区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
中西區,山頂,22A-22B 柯士甸山道 柯士甸山道 22A-22B A室,N/A,31/03/2025,-,$12.3 萬,"2,012 呎",$61,車位 | | 花園
中西區,山頂,騰皇居 中層 B室,N/A,29/03/2025,-,"$72,000","1,236 呎",$58,車位
中西區,山頂,白加道31號 B號屋,N/A,28/03/2025,-,$2.88 億,"3,203 呎","$89,916",花園 | | 天台
中西區,山頂,山頂花園 18 柯士甸山道 1樓 9室,N/A,28/03/2025,-,"$4,500 萬","1,490 呎","$30,201",車位
中西區,山頂,寶園 14樓 B室,N/A,28/03/2025,3房,"$3,880 萬","1,940 呎","$20,000",車位
中西區,山頂,雨時大廈 低層 A室,N/A,21/03/2025,開放式,"$16,800",314 呎,$54,N/A
中西區,山頂,御花園 2座 中層 B室,N/A,20/03/2025,-,"$56,000","1,094 呎",$51,車位
中西區,山頂,曉峯閣 4座 高層 B室,N/A,20/03/2025,2房,"$38,500",761 呎,$51,N/A
中西區,山頂,晨光大廈 2樓 38D室,N/A,19/03/2025,-,"$1,838 萬","1,370 呎","$13,416",N/A
中西區,山頂,帝景園 4座 18樓 B室,N/A,18/03/2025,3房,"$4,350 萬","1,513 呎","$28,751",車位
中西區,山頂,曉峯閣 2座 13樓 B室,N/A,18/03/2025,2房,"$1,120 萬",625 呎,"$17,920",N/A
中西區,山頂,帝景閣 16樓 A室,N/A,17/03/2025,3房,"$2,800 萬","1,107 呎","$25,294",露台
中西區,山頂,嘉富麗苑 2座 36樓 B室,N/A,14/03/2025,3房,"$3,938 萬","1,562 呎","$25,211",車位
中西區,山頂,蔚山花園 23樓 B室,N/A,13/03/2025,4房,"$4,280 萬","1,848 呎","$23,160",車位 | | 露台
中西區,山頂,嘉富麗苑 2座 高層 A室,N/A,13/03/2025,3房,"$90,000","1,785 呎",$50,車位
中西區,山頂,雨時大廈 8樓 D室,N/A,11/03/2025,開放式,$565 萬,306 呎,"$18,464",N/A
中西區,山頂,曉峯閣 2座 高層 B室,N/A,04/03/2025,2房,"$30,000",652 呎,$46,N/A
中西區,山頂,寶園 17樓 B室,N/A,25/02/2025,3房,"$4,000 萬","1,940 呎","$20,619",車位
中西區,山頂,雨時大廈 低層 D室,N/A,24/02/2025,開放式,"$15,500",306 呎,$51,N/A
中西區,山頂,Infinity A2座 中層 A室,N/A,21/02/2025,3房,$17 萬,"1,869 呎",$91,車位
中西區,山頂,龍景樓 3樓 D室,N/A,20/02/2025,-,"$3,900 萬","2,351 呎","$16,589",車位
中西區,山頂,帝景園 3座 高層 B室,N/A,15/02/2025,3房,$10 萬,"1,513 呎",$66,車位
中西區,山頂,地利根德閣 1座 17樓 B室,N/A,14/02/2025,3房,"$4,150 萬","2,330 呎","$17,811",車位 | | 露台
中西區,山頂,世紀大廈 1座 29樓 A室,N/A,12/02/2025,-,"$5,300 萬","2,041 呎","$25,968",車位
中西區,山頂,帝景園 3座 1樓 A室,N/A,11/02/2025,3房,"$4,590 萬","1,530 呎","$30,000",車位 | | 露台
中西區,山頂,帝景園 3座 5樓 B室,N/A,11/02/2025,3房,"$4,800 萬","1,522 呎","$31,537",車位 | | 露台
中西區,山頂,寶雲道5G-5H號 寶雲道5號G,N/A,28/01/2025,-,"$45,000","1,432 呎",$31,N/A
中西區,山頂,嘉樂園 A座 4樓 A8室,N/A,27/01/2025,-,"$6,680 萬","2,145 呎","$31,142",車位
中西區,山頂,The Mayfair 18樓 A室,N/A,23/01/2025,-,"$7,094 萬","2,142 呎","$33,119",N/A
中西區,山頂,帝景園 5座 10樓 A室,N/A,21/01/2025,3房,"$4,380 萬","1,522 呎","$28,778",車位 | | 露台
中西區,山頂,山頂道77-79號 山頂道77C號,N/A,17/01/2025,4房,$5.01 億,"6,257 呎","$80,000",花園 | | 天台 | | 露台
中西區,山頂,曉峯閣 2座 低層 C室,N/A,15/01/2025,2房,"$35,500",771 呎,$46,N/A
中西區,山頂,豐林閣 H 號屋,N/A,13/01/2025,3房,$2 億,"2,037 呎","$98,184",花園 | | 天台 | | 露台
中西區,山頂,蔚皇居 低層 A室,N/A,08/01/2025,2房,"$41,000",721 呎,$57,車位
中西區,山頂,蔚皇居 28樓 B室,N/A,08/01/2025,3房,"$2,780 萬","1,042 呎","$26,679",車位
中西區,山頂,好利閣 3樓 A室,N/A,06/01/2025,3房,"$5,800 萬","2,272 呎","$25,528",車位 | | 露台
中西區,山頂,帝景園 3座 8樓 B室,N/A,03/01/2025,3房,"$4,965 萬","1,522 呎","$32,622",露台
