房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
昇悅居 3座 高層 C室,,成交,2房,$768,522 呎,"$14,713",
栢慧豪園 一期(栢慧豪園) 3座 低層 B室,,成交,2房,$460,502 呎,"$9,163",
翠麗花園 4座 低層 L室,,成交,2房,$307,427 呎,"$7,190",
尚柏 高層 J室,,成交,1房,$290,282 呎,"$10,284",露台
皓畋 2座 高層 F室,,成交,2房,"$28,000",595 呎,$47,露台 |  | 工作平台
維景灣畔 1期 01座 低層 A室,,成交,3房,"$25,000",658 呎,$38,
滙星壹號 匯星壹號 高層 D室,,成交,2房,"$30,500",511 呎,$60,
黃埔花園 二期 16座 高層 F室,,成交,2房,$570,466 呎,"$12,232",
瓏門 一期 2座 中層 G室,,成交,3房,"$1,249",783 呎,"$15,949",露台 |  | 工作平台
寶翠園 2期 8座 高層 H室,,成交,3房,"$2,450","1,158 呎","$21,157",
君頤峰 8座 高層 D室,,成交,3房,"$1,360",829 呎,"$16,405",露台
碧海藍天 5座 高層 F室,,成交,2房,$780,499 呎,"$15,631",
南區．左岸 1座 低層 B室,,成交,4房,"$76,800","1,720 呎",$45,車位 |  | 露台 |  | 工作平台
海翠花園 3座 低層 F室,,成交,3房,$524,668 呎,"$7,841",
22A-22B 柯士甸山道 柯士甸山道 22A-22B A室,,成交,-,$12.3,"2,012 呎",$61,車位 |  | 花園
壹號雲頂 2期 (雲頂峰) Zone B B07室,,成交,1房,$460,415 呎,"$11,084",露台
喜遇 低層 E室,,成交,1房,$390,278 呎,"$14,029",工作平台
時代廣場 C座 高層 2室,,成交,1房,$338,325 呎,"$10,400",
比華利山別墅 翠樺道 三門仔路23號〈獨立屋〉,,成交,4房,"$1,432","1,606 呎","$8,917",車位
錦榮大廈 高層 A室,,成交,-,$360,459 呎,"$7,843",
淘大花園 3期 M座 低層 6室,,成交,2房,$440,356 呎,"$12,360",
綠悠雅苑 2座 中層 F室,,成交,3房,$717,696 呎,"$10,299",露台 |  | 工作平台
新都城 一期 03座 中層 H室,,成交,3房,"$22,000",526 呎,$42,
映灣園 三期 9座 低層 F室,,成交,2房,"$18,000",563 呎,$32,露台
天鑄 2期 1座 B室,,成交,4房,"$6,400","2,337 呎","$27,386",複式 |  | 花園
海典灣 第三座 低層 F室,,成交,2房,$563,468 呎,"$12,030",
匯璽 3期(匯璽II) 3B座 高層 K室,,成交,1房,$710,379 呎,"$18,734",露台
好運中心 B2座 ( 椰林閣 ) 中層 F室,,成交,2房,$430,334 呎,"$12,874",
倚嶺南庭 低層 K室,,成交,2房,"$15,500",587 呎,$26,露台
利奧坊．曉岸 1座 高層 C室,,成交,1房,"$16,500",256 呎,$64,露台
維峯．浚匯 中層 B室,,成交,1房,"$18,200",270 呎,$67,露台
又一居 04座 中層 A室,,成交,3房,"$29,000",568 呎,$51,
珀麗灣 3期 20座 低層 F室,,成交,2房,"$15,500",532 呎,$29,露台
維港頌 1座 高層 A室,,成交,4房,"$85,000","1,453 呎",$58,露台 |  | 工作平台
安寧花園 1座 中層 G室,,成交,2房,"$15,500",465 呎,$33,
天晉 1期 1座(天鑽海) 中層 C室,,成交,3房,"$28,800",708 呎,$41,露台 |  | 工作平台
清水灣道8號 清水灣道 8 低層 D室,,成交,2房,"$20,000",503 呎,$40,
維港1號 2B座 高層 F室,,成交,4房,"$50,000","1,325 呎",$38,天台 |  | 露台 |  | 工作平台
日出康城 Marini 3A座 低層 E室,,成交,2房,"$18,500",495 呎,$37,露台
奧柏‧御峯 2座 低層 C室,,成交,1房,"$15,000",332 呎,$45,露台 |  | 工作平台
匯璽 5期(匯璽III) 6座 低層 C室,,成交,開放式,"$17,000",279 呎,$61,露台
君滙港 2座 低層 C室,,成交,3房,"$39,800",887 呎,$45,
邁亞美海灣 T-6座 低層 F室,,成交,2房,"$13,500",466 呎,$29,
大興花園 一期 01座 高層 A室,,成交,2房,"$11,800",428 呎,$28,
泓景臺 二期 7座 高層 H室,,成交,2房,"$20,000",475 呎,$42,
置富花園 H-20座 (富興苑) 高層 B室,,成交,3房,"$21,800",588 呎,$37,
富麗花園 2座 中層 A室,,成交,2房,"$15,200",410 呎,$37,
騰皇居 中層 B室,,成交,-,"$72,000","1,236 呎",$58,車位
帝御 1期(帝御．金灣) 3座 中層 15室,,成交,開放式,"$8,800",207 呎,$43,露台
康和閣 7樓 A室,,註冊處成交,-,$245,213 呎,"$11,502",
白加道31號 B號屋,,註冊處成交,-,$2.88,"3,203 呎","$89,916",花園 |  | 天台
新填地街171號 1樓 A室,,註冊處成交,-,$168,225 呎,"$7,467",平台
安秀苑 B座 29樓 22室,,"註冊處成交
一手",-,$259,384 呎,"$6,733",
華源大廈 4樓 C4室,,註冊處成交,-,$407,478 呎,"$8,510",
南首 12樓 B7室,,"註冊處成交
一手",開放式,$369,200 呎,"$18,428",露台
南首 23樓 B2室,,"註冊處成交
一手",2房,$761,342 呎,"$22,257",露台 |  | 工作平台
南首 7樓 B7室,,"註冊處成交
一手",開放式,$352,200 呎,"$17,613",露台
南首 10樓 A8室,,"註冊處成交
一手",1房,$482,262 呎,"$18,390",露台 |  | 工作平台
42 Tung St. 6樓,,"註冊處成交
一手",2房,"$1,539",584 呎,"$26,358",露台
滙都 滙都II 5座 1樓 B01室,,"註冊處成交
一手",2房,$435,443 呎,"$9,812",露台 |  | 工作平台
蝶翠峰 二期 10座 5樓 H室,,註冊處成交,2房,$400,509 呎,"$7,849",露台
裕成樓 3樓 C室,,註冊處成交,-,$350,510 呎,"$6,863",
德泰大廈 13樓 D室,,註冊處成交,-,$330,375 呎,"$8,800",
業利樓 11樓 A室,,註冊處成交,-,$350,523 呎,"$6,692",
杏花邨 5座 15樓 2室,,註冊處成交,3房,$680,596 呎,"$11,409",
廟街198號 4樓,,註冊處成交,-,$245,455 呎,"$5,385",
通菜街105-107號 8樓 105室,,註冊處成交,-,$298,584 呎,"$5,103",
醫局街125號 4樓,,註冊處成交,-,$300,654 呎,"$4,587",
27-29 槐樹街 8樓 27室,,註冊處成交,-,$260,600 呎,"$4,333",
Yoho West Yoho West Parkside 1A座 32樓 A3室,,"註冊處成交
一手",2房,$523,410 呎,"$12,747",露台 |  | 工作平台
Yoho West Yoho West Parkside 1B座 41樓 B2室,,"註冊處成交
一手",2房,$695,431 呎,"$16,131",露台 |  | 工作平台
