区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
中西區,上環,匯賢居 中層 B室,N/A,01/04/2025,-,"$1,070 萬",579 呎,"$18,480",露台
中西區,上環,大興樓 1樓 132室,N/A,31/03/2025,-,$365 萬,339 呎,"$10,767",N/A
中西區,上環,百好大樓 6樓 G室,N/A,31/03/2025,-,$318 萬,376 呎,"$8,457",N/A
中西區,上環,嘉裕樓 10樓 63(R)室,N/A,31/03/2025,-,$223 萬,235 呎,"$9,481",N/A
中西區,上環,普頓臺 38樓 A室,N/A,31/03/2025,2房,$868 萬,489 呎,"$17,751",露台 | | 工作平台
中西區,上環,聯友新樓 8樓 4室,N/A,31/03/2025,-,$385 萬,323 呎,"$11,920",N/A
中西區,上環,泓都 3座 8樓 J室,N/A,31/03/2025,3房,"$1,080 萬",619 呎,"$17,447",天台 | | 露台 | | 工作平台
中西區,上環,華冠大廈 9樓 J室,N/A,31/03/2025,2房,$360 萬,335 呎,"$10,746",N/A
中西區,上環,湀昌大廈 17樓 D室,N/A,31/03/2025,-,$320 萬,291 呎,"$10,997",N/A
中西區,上環,良基大廈 3樓 C室,N/A,31/03/2025,2房,$419 萬,363 呎,"$11,537",N/A
中西區,上環,42 Tung St. 6樓,N/A,28/03/2025,2房,"$1,539 萬",584 呎,"$26,358",露台
中西區,上環,堅城中心 8樓 H室,N/A,28/03/2025,2房,$710 萬,477 呎,"$14,885",N/A
中西區,上環,永華大廈 425X 皇后大道西 2樓 FP室,N/A,28/03/2025,-,$385 萬,464 呎,"$8,297",N/A
中西區,上環,福安大廈 9樓 C室,N/A,28/03/2025,-,$350 萬,382 呎,"$9,162",N/A
中西區,上環,南海大廈 21樓 5室,N/A,28/03/2025,2房,$378 萬,284 呎,"$13,310",N/A
中西區,上環,恒興樓 16樓 C室,N/A,28/03/2025,-,$338 萬,241 呎,"$14,025",N/A
中西區,上環,生昌大廈 2樓 B室,N/A,28/03/2025,-,$320 萬,357 呎,"$8,964",N/A
中西區,上環,荷李活華庭 A座 24樓 H室,N/A,27/03/2025,3房,"$1,240 萬",756 呎,"$16,402",N/A
中西區,上環,均益大廈 二期 C 座 23樓 C3室,N/A,27/03/2025,-,$453 萬,404 呎,"$11,213",N/A
中西區,上環,普頓臺 15樓 A室,N/A,27/03/2025,2房,$750 萬,489 呎,"$15,337",露台 | | 工作平台
中西區,上環,明珠閣 低層 C室,N/A,27/03/2025,-,$570 萬,527 呎,"$10,816",N/A
中西區,上環,聯友新樓 3樓 2室,N/A,27/03/2025,-,$425 萬,397 呎,"$10,705",N/A
中西區,上環,翰林峰 5座 26樓 C室,N/A,27/03/2025,開放式,$511 萬,216 呎,"$23,657",露台
中西區,上環,豐盛大廈 10樓 B室,N/A,26/03/2025,-,$228 萬,181 呎,"$12,597",N/A
