区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
中西區,中半山,滙星壹號 匯星壹號 高層 D室,N/A,31/03/2025,2房,"$30,500",511 呎,$60,N/A
中西區,中半山,騰皇居 中層 B室,N/A,29/03/2025,-,"$72,000","1,236 呎",$58,車位
中西區,中半山,承德山莊 2座 26樓 C室,N/A,28/03/2025,3房,"$1,378 萬",765 呎,"$18,013",露台
中西區,中半山,寶園 14樓 B室,N/A,28/03/2025,3房,"$3,880 萬","1,940 呎","$20,000",車位
中西區,中半山,駿豪閣 15樓 H室,N/A,27/03/2025,3房,"$1,195 萬",802 呎,"$14,900",N/A
中西區,中半山,高雲台 34樓 F室,N/A,27/03/2025,3房,"$1,355 萬",817 呎,"$16,585",N/A
中西區,中半山,樂欣大廈 14樓 D室,N/A,27/03/2025,1房,$335 萬,238 呎,"$14,076",N/A
中西區,中半山,樂欣大廈 中層 C室,N/A,26/03/2025,1房,"$14,000",266 呎,$53,N/A
中西區,中半山,The Richmond 8樓 A室,N/A,26/03/2025,1房,$630 萬,304 呎,"$20,724",露台 | | 工作平台
中西區,中半山,正大花園 8樓 A室,N/A,26/03/2025,2房,$868 萬,779 呎,"$11,142",露台
中西區,中半山,蔚華閣 中層 A室,N/A,25/03/2025,3房,"$29,500",686 呎,$43,N/A
中西區,中半山,金碧閣 高層 A室,N/A,25/03/2025,-,"$28,000",496 呎,$56,N/A
中西區,中半山,聯邦花園 維也納閣 低層 B室,N/A,25/03/2025,3房,"$45,000","1,166 呎",$39,N/A
中西區,中半山,慧豪閣 2座 中層 D室,N/A,25/03/2025,2房,"$23,500",437 呎,$54,N/A
中西區,中半山,星域軒 2座 7樓 F室,N/A,24/03/2025,2房,"$1,880 萬",787 呎,"$23,888",N/A
中西區,中半山,樂怡閣 低層 A室,N/A,24/03/2025,3房,"$1,198 萬",792 呎,"$15,126",N/A
中西區,中半山,景雅花園 高層 D室,N/A,24/03/2025,2房,"$25,500",592 呎,$43,N/A
中西區,中半山,瓊林閣 22樓,N/A,24/03/2025,-,"$1,820 萬","1,273 呎","$14,297",車位
中西區,中半山,高雲台 10樓 H室,N/A,24/03/2025,3房,"$1,130 萬",802 呎,"$14,090",N/A
中西區,中半山,寶玉閣 低層 D室,N/A,23/03/2025,2房,"$13,000",332 呎,$39,N/A
中西區,中半山,輝煌臺 低層 B室,N/A,22/03/2025,3房,"$25,000",511 呎,$49,N/A
中西區,中半山,Soho 38 低層 B室,N/A,21/03/2025,-,$525 萬,269 呎,"$19,517",N/A
中西區,中半山,雨時大廈 低層 A室,N/A,21/03/2025,開放式,"$16,800",314 呎,$54,N/A
中西區,中半山,The Icon 低層 A室,N/A,21/03/2025,-,"$23,000",452 呎,$51,露台 | | 工作平台
中西區,中半山,樂怡閣 10樓 B室,N/A,21/03/2025,3房,"$1,048 萬",736 呎,"$14,239",N/A
中西區,中半山,駿豪閣 8樓 C室,N/A,20/03/2025,3房,"$1,205 萬",802 呎,"$15,025",N/A
中西區,中半山,曉峯閣 4座 高層 B室,N/A,20/03/2025,2房,"$38,500",761 呎,$51,N/A
中西區,中半山,晨光大廈 2樓 38D室,N/A,19/03/2025,-,"$1,838 萬","1,370 呎","$13,416",N/A
中西區,中半山,星域軒 2座 15樓 A室,N/A,19/03/2025,3房,"$2,428 萬",925 呎,"$26,249",N/A
中西區,中半山,帝景園 4座 18樓 B室,N/A,18/03/2025,3房,"$4,350 萬","1,513 呎","$28,751",車位
中西區,中半山,曉峯閣 2座 13樓 B室,N/A,18/03/2025,2房,"$1,120 萬",625 呎,"$17,920",N/A
中西區,中半山,蔚巒閣 1座 低層 B室,N/A,18/03/2025,3房,"$28,500",652 呎,$44,N/A
中西區,中半山,殷豪閣 低層 B室,N/A,17/03/2025,3房,"$2,698 萬","1,398 呎","$19,299",車位
中西區,中半山,君德閣 低層 B室,N/A,16/03/2025,2房,"$31,000",567 呎,$55,N/A
中西區,中半山,瀚然 中層 B室,N/A,15/03/2025,2房,"$63,000",980 呎,$64,露台 | | 工作平台
中西區,中半山,波老道21號 1期 6號及7號 1樓 6室,N/A,14/03/2025,4房,$1.26 億,"2,032 呎","$62,156",車位 | | 花園 | | 平台
中西區,中半山,正大花園 4樓 D室,N/A,14/03/2025,2房,$715 萬,672 呎,"$10,640",露台
中西區,中半山,嘉富麗苑 2座 36樓 B室,N/A,14/03/2025,3房,"$3,938 萬","1,562 呎","$25,211",車位
中西區,中半山,羅便臣道31號 22樓 C室,N/A,14/03/2025,-,"$1,702 萬",880 呎,"$19,341",露台 | | 工作平台
中西區,中半山,蔚山花園 23樓 B室,N/A,13/03/2025,4房,"$4,280 萬","1,848 呎","$23,160",車位 | | 露台
中西區,中半山,嘉富麗苑 2座 高層 A室,N/A,13/03/2025,3房,"$90,000","1,785 呎",$50,車位
中西區,中半山,英輝閣 17樓 B室,N/A,13/03/2025,2房,$600 萬,447 呎,"$13,423",N/A
中西區,中半山,聯邦花園 維也納閣 2樓 D室,N/A,12/03/2025,3房,"$1,520 萬","1,166 呎","$13,036",車位 | | 露台
中西區,中半山,堅道134號 5樓 45室,N/A,12/03/2025,-,$560 萬,565 呎,"$9,912",N/A
中西區,中半山,雍景臺 2座 低層 C室,N/A,12/03/2025,3房,"$55,000","1,052 呎",$52,N/A
中西區,中半山,星域軒 1座 高層 E室,N/A,12/03/2025,2房,"$46,000",734 呎,$63,N/A
中西區,中半山,禮順苑 低層 B室,N/A,12/03/2025,2房,"$18,500",470 呎,$39,N/A
中西區,中半山,半山捌號 中層 A室,N/A,11/03/2025,開放式,"$14,000",202 呎,$69,露台
中西區,中半山,半山捌號 高層 D室,N/A,11/03/2025,開放式,"$15,500",202 呎,$77,露台
中西區,中半山,雨時大廈 8樓 D室,N/A,11/03/2025,開放式,$565 萬,306 呎,"$18,464",N/A
中西區,中半山,Soho 38 中層 C室,N/A,10/03/2025,-,"$29,000",489 呎,$59,露台
中西區,中半山,The Richmond 低層 B室,N/A,08/03/2025,開放式,"$15,000",217 呎,$69,露台 | | 工作平台
中西區,中半山,蔚然 中層 A室,N/A,08/03/2025,3房,"$85,000","1,292 呎",$66,露台 | | 工作平台
中西區,中半山,賓士花園 23樓 C室,N/A,07/03/2025,2房,$615 萬,504 呎,"$12,202",N/A
中西區,中半山,羅便臣道80號 1座 低層 A室,N/A,07/03/2025,2房,"$33,000",618 呎,$53,N/A
中西區,中半山,嘉兆臺 3座 30樓 A室,N/A,07/03/2025,3房,"$1,300 萬",812 呎,"$16,010",N/A
中西區,中半山,駿豪閣 17樓 A室,N/A,06/03/2025,3房,"$1,100 萬",725 呎,"$15,172",N/A
中西區,中半山,帝滙豪庭 22樓 A室,N/A,06/03/2025,4房,"$6,519 萬","1,735 呎","$37,572",露台 | | 工作平台
中西區,中半山,殷然 46樓 A室,N/A,05/03/2025,2房,"$3,450 萬","1,014 呎","$34,024",露台 | | 工作平台
中西區,中半山,星域軒 1座 低層 B室,N/A,05/03/2025,2房,"$43,000",734 呎,$59,N/A
中西區,中半山,福臨閣 4樓 B室,N/A,04/03/2025,2房,$380 萬,329 呎,"$11,550",N/A
中西區,中半山,曉峯閣 2座 高層 B室,N/A,04/03/2025,2房,"$30,000",652 呎,$46,N/A
中西區,中半山,御景臺 31樓 A室,N/A,04/03/2025,3房,"$1,250 萬",678 呎,"$18,437",N/A
中西區,中半山,駿豪閣 6樓 G室,N/A,04/03/2025,3房,"$1,035 萬",682 呎,"$15,176",N/A
中西區,中半山,瀚然 中層 A室,N/A,03/03/2025,3房,"$75,000","1,309 呎",$57,露台 | | 工作平台
中西區,中半山,君德閣 低層 D室,N/A,01/03/2025,3房,"$27,300",705 呎,$39,N/A
中西區,中半山,蔚晴軒 低層 A室,N/A,01/03/2025,3房,"$22,000",455 呎,$48,N/A
中西區,中半山,Soho 38 高層 C室,N/A,28/02/2025,-,"$30,000",489 呎,$61,露台
中西區,中半山,海華苑 2座 3樓 A室,N/A,27/02/2025,2房,$456 萬,281 呎,"$16,228",N/A
中西區,中半山,殷樺花園 一期 3樓 C室,N/A,27/02/2025,3房,"$1,250 萬",854 呎,"$14,637",N/A
中西區,中半山,敦皓 6樓 S1室,N/A,27/02/2025,開放式,"$1,000 萬",483 呎,"$20,704",露台
中西區,中半山,嘉兆臺 3座 高層 C室,N/A,25/02/2025,3房,"$43,000",967 呎,$44,N/A
中西區,中半山,寶園 17樓 B室,N/A,25/02/2025,3房,"$4,000 萬","1,940 呎","$20,619",車位
中西區,中半山,駿豪閣 8樓 A室,N/A,24/02/2025,3房,"$1,088 萬",725 呎,"$15,007",N/A
中西區,中半山,滙豪閣 41樓 C室,N/A,24/02/2025,2房,"$1,350 萬",660 呎,"$20,455",N/A
中西區,中半山,雨時大廈 低層 D室,N/A,24/02/2025,開放式,"$15,500",306 呎,$51,N/A
中西區,中半山,羅便臣道80號 2座 高層 A室,N/A,24/02/2025,3房,"$60,800","1,070 呎",$57,N/A
中西區,中半山,星域軒 1座 低層 E室,N/A,22/02/2025,2房,"$41,000",719 呎,$57,N/A
中西區,中半山,樂信臺 1座 23樓 A室,N/A,21/02/2025,3房,"$1,325 萬",746 呎,"$17,761",N/A
中西區,中半山,龍景樓 3樓 D室,N/A,20/02/2025,-,"$3,900 萬","2,351 呎","$16,589",車位
中西區,中半山,福熙苑 高層 C室,N/A,20/02/2025,2房,"$16,000",344 呎,$47,天台
中西區,中半山,香港花園 25樓 D室,N/A,20/02/2025,3房,"$4,338 萬","1,991 呎","$21,788",車位 | | 露台
中西區,中半山,福臨閣 24樓 A室,N/A,19/02/2025,1房,$450 萬,305 呎,"$14,754",N/A
中西區,中半山,慧豪閣 2座 16樓 E室,N/A,17/02/2025,3房,"$1,320 萬",692 呎,"$19,075",N/A
