区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
中西區,中環金鐘,No.1 加冕臺 28樓 A室,N/A,01/04/2025,1房,"$1,060 萬",401 呎,"$26,434",露台 | | 工作平台
中西區,中環金鐘,York Place 低層 B室,N/A,26/03/2025,2房,"$25,000",494 呎,$51,露台 | | 工作平台
中西區,中環金鐘,Caine Hill 19樓 C室,N/A,24/03/2025,開放式,$553 萬,197 呎,"$28,084",露台 | | 工作平台
中西區,中環金鐘,Caine Hill 低層 A室,N/A,21/03/2025,1房,"$17,800",288 呎,$62,露台 | | 工作平台
中西區,中環金鐘,御花園 2座 中層 B室,N/A,20/03/2025,-,"$56,000","1,094 呎",$51,車位
中西區,中環金鐘,帝景閣 16樓 A室,N/A,17/03/2025,3房,"$2,800 萬","1,107 呎","$25,294",露台
中西區,中環金鐘,莉景閣 3樓 A室,N/A,14/03/2025,1房,$480 萬,333 呎,"$14,414",N/A
中西區,中環金鐘,英邦大廈 高層 A室,N/A,10/03/2025,1房,"$15,200",260 呎,$58,N/A
中西區,中環金鐘,廣福樓 10樓 A室,N/A,28/02/2025,-,$355 萬,237 呎,"$14,979",天台
中西區,中環金鐘,嘉景臺 低層 G室,N/A,18/02/2025,3房,"$24,600",634 呎,$39,N/A
中西區,中環金鐘,新陞大樓 低層 A室,N/A,14/02/2025,2房,"$31,500",462 呎,$68,平台
中西區,中環金鐘,士丹頓街32A-32B號 士丹頓街32A-32C號 2樓 32A室,N/A,13/02/2025,-,$678 萬,381 呎,"$17,795",N/A
中西區,中環金鐘,明興樓 4樓 A室,N/A,12/02/2025,-,$500 萬,280 呎,"$17,857",N/A
中西區,中環金鐘,Caine Hill 15樓 C室,N/A,07/02/2025,開放式,$533 萬,197 呎,"$27,036",露台 | | 工作平台
中西區,中環金鐘,Caine Hill 高層 H室,N/A,03/02/2025,1房,"$21,000",278 呎,$76,露台 | | 工作平台
中西區,中環金鐘,Caine Hill 中層 B室,N/A,02/02/2025,1房,"$19,800",278 呎,$71,露台 | | 工作平台
中西區,中環金鐘,翰庭軒 高層 A室,N/A,28/01/2025,2房,"$21,000",446 呎,$47,N/A
中西區,中環金鐘,祥暉大廈 高層 B室,N/A,27/01/2025,-,"$15,000",268 呎,$56,N/A
中西區,中環金鐘,No.1 加冕臺 31樓 A室,N/A,27/01/2025,2房,"$1,300 萬",515 呎,"$25,243",平台
中西區,中環金鐘,York Place 33樓 B室,N/A,20/01/2025,3房,"$1,800 萬",779 呎,"$23,107",平台 | | 露台 | | 工作平台
中西區,中環金鐘,鴻基大廈 19樓 C室,N/A,09/01/2025,-,$380 萬,302 呎,"$12,583",N/A
中西區,中環金鐘,No.1 加冕臺 低層 A室,N/A,08/01/2025,1房,"$23,000",401 呎,$57,露台 | | 工作平台
中西區,中環金鐘,翰庭軒 高層 B室,N/A,03/01/2025,2房,"$24,500",485 呎,$51,N/A
中西區,中環金鐘,Caine Hill 低層 A室,N/A,23/12/2024,1房,"$20,000",288 呎,$69,露台 | | 工作平台
中西區,中環金鐘,嘉景臺 20樓 C室,N/A,18/12/2024,3房,$998 萬,651 呎,"$15,330",N/A
中西區,中環金鐘,No.1 加冕臺 21樓 B室,N/A,18/12/2024,1房,$770 萬,305 呎,"$25,246",露台
中西區,中環金鐘,元明大廈 1樓 C室,N/A,12/12/2024,-,$265 萬,277 呎,"$9,567",N/A
中西區,中環金鐘,Caine Hill 高層 F室,N/A,10/12/2024,開放式,"$15,000",191 呎,$79,露台
中西區,中環金鐘,Caine Hill 高層 C室,N/A,10/12/2024,開放式,"$15,000",197 呎,$76,露台
中西區,中環金鐘,新陞大樓 7樓 A室,N/A,02/12/2024,2房,$608 萬,462 呎,"$13,160",N/A
中西區,中環金鐘,Caine Hill 26樓 G室,N/A,27/11/2024,開放式,$551 萬,196 呎,"$28,119",露台 | | 工作平台
中西區,中環金鐘,結志街14號 4樓,N/A,22/11/2024,-,$960 萬,460 呎,"$20,870",N/A
