区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
中西區,堅尼地城,寶翠園 1期 2座 中層 B室,N/A,01/04/2025,2房,"$30,000",667 呎,$45,N/A
中西區,堅尼地城,百好大樓 6樓 G室,N/A,31/03/2025,-,$318 萬,376 呎,"$8,457",N/A
中西區,堅尼地城,寶翠園 2期 8座 高層 H室,N/A,31/03/2025,3房,"$2,450 萬","1,158 呎","$21,157",N/A
中西區,堅尼地城,聯友新樓 8樓 4室,N/A,31/03/2025,-,$385 萬,323 呎,"$11,920",N/A
中西區,堅尼地城,泓都 3座 8樓 J室,N/A,31/03/2025,3房,"$1,080 萬",619 呎,"$17,447",天台 | | 露台 | | 工作平台
中西區,堅尼地城,堅城中心 8樓 H室,N/A,28/03/2025,2房,$710 萬,477 呎,"$14,885",N/A
中西區,堅尼地城,Jessville Jessville 大廈 6樓 B室,N/A,28/03/2025,4房,"$2,512 萬","1,358 呎","$18,500",車位 | | 露台 | | 工作平台
中西區,堅尼地城,Jessville Jessville 大廈 6樓 A室,N/A,28/03/2025,3房,"$2,619 萬","1,431 呎","$18,300",車位 | | 露台 | | 工作平台
中西區,堅尼地城,福安大廈 9樓 C室,N/A,28/03/2025,-,$350 萬,382 呎,"$9,162",N/A
中西區,堅尼地城,南海大廈 21樓 5室,N/A,28/03/2025,2房,$378 萬,284 呎,"$13,310",N/A
中西區,堅尼地城,Jessville Jessville 大廈 13樓 A室,N/A,28/03/2025,3房,"$3,005 萬","1,431 呎","$21,000",車位 | | 露台 | | 工作平台
中西區,堅尼地城,Jessville Jessville 大廈 13樓 B室,N/A,28/03/2025,4房,"$2,716 萬","1,358 呎","$20,000",車位 | | 露台 | | 工作平台
中西區,堅尼地城,Jessville Jessville 大廈 9樓 A室,N/A,28/03/2025,3房,"$3,291 萬","1,431 呎","$23,000",車位 | | 露台 | | 工作平台
中西區,堅尼地城,均益大廈 二期 C 座 23樓 C3室,N/A,27/03/2025,-,$453 萬,404 呎,"$11,213",N/A
中西區,堅尼地城,聯友新樓 3樓 2室,N/A,27/03/2025,-,$425 萬,397 呎,"$10,705",N/A
中西區,堅尼地城,明珠閣 低層 C室,N/A,27/03/2025,-,$570 萬,527 呎,"$10,816",N/A
中西區,堅尼地城,寶翠園 2期 5座 15樓 D室,N/A,27/03/2025,3房,"$1,518 萬","1,097 呎","$13,838",N/A
中西區,堅尼地城,吉喆 中層 C室,N/A,27/03/2025,1房,"$28,000",382 呎,$73,露台
中西區,堅尼地城,域多利道60號 18樓 B室,N/A,27/03/2025,-,$690 萬,466 呎,"$14,807",露台
中西區,堅尼地城,Jessville Jessville 大廈 11樓 B室,N/A,27/03/2025,4房,"$2,675 萬","1,358 呎","$19,700",車位 | | 露台 | | 工作平台
中西區,堅尼地城,聯友新樓 10樓 1室,N/A,26/03/2025,-,$390 萬,323 呎,"$12,074",N/A
中西區,堅尼地城,Jessville Jessville 大廈 7樓 A室,N/A,26/03/2025,3房,"$2,719 萬","1,431 呎","$19,000",車位 | | 露台 | | 工作平台
中西區,堅尼地城,Jessville Jessville 大廈 2樓 A室,N/A,26/03/2025,4房,"$2,490 萬","1,431 呎","$17,400",車位 | | 露台 | | 工作平台
中西區,堅尼地城,Jessville Jessville 大廈 10樓 B室,N/A,26/03/2025,4房,"$2,580 萬","1,358 呎","$19,000",車位 | | 露台 | | 工作平台
中西區,堅尼地城,西寧閣 6樓 D室,N/A,25/03/2025,3房,$780 萬,691 呎,"$11,288",N/A
中西區,堅尼地城,Jessville Jessville 大廈 1樓 A室,N/A,25/03/2025,3房,"$2,433 萬","1,431 呎","$17,000",車位 | | 露台 | | 工作平台
中西區,堅尼地城,加多近山 中層 C室,N/A,25/03/2025,1房,"$23,500",375 呎,$63,露台
中西區,堅尼地城,Lexington Hill 高層 A室,N/A,25/03/2025,-,"$45,000",719 呎,$63,露台 | | 工作平台
中西區,堅尼地城,聯友新樓 15樓 3室,N/A,24/03/2025,-,$428 萬,397 呎,"$10,781",N/A
中西區,堅尼地城,新景樓 25樓 A室,N/A,24/03/2025,3房,$630 萬,559 呎,"$11,270",天台
中西區,堅尼地城,南雄大廈 B座 18樓 B1室,N/A,24/03/2025,-,$520 萬,391 呎,"$13,299",N/A
中西區,堅尼地城,聯發新樓 8樓 5室,N/A,24/03/2025,-,$380 萬,410 呎,"$9,268",N/A
