区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
中西區,西半山,安景閣 中層 B室,N/A,01/04/2025,2房,$450 萬,297 呎,"$15,152",N/A
中西區,西半山,寶翠園 1期 2座 中層 B室,N/A,01/04/2025,2房,"$30,000",667 呎,$45,N/A
中西區,西半山,Upper Central 6樓 A室,N/A,31/03/2025,開放式,$450 萬,196 呎,"$22,980",露台 | | 工作平台
中西區,西半山,寶翠園 2期 8座 高層 H室,N/A,31/03/2025,3房,"$2,450 萬","1,158 呎","$21,157",N/A
中西區,西半山,承德山莊 2座 26樓 C室,N/A,28/03/2025,3房,"$1,378 萬",765 呎,"$18,013",露台
中西區,西半山,Upper Central 23樓 B室,N/A,28/03/2025,開放式,$436 萬,168 呎,"$25,946",露台
中西區,西半山,駿豪閣 15樓 H室,N/A,27/03/2025,3房,"$1,195 萬",802 呎,"$14,900",N/A
中西區,西半山,高雲台 34樓 F室,N/A,27/03/2025,3房,"$1,355 萬",817 呎,"$16,585",N/A
中西區,西半山,栢苑 12樓 B室,N/A,27/03/2025,2房,$800 萬,417 呎,"$19,185",N/A
中西區,西半山,寶翠園 2期 5座 15樓 D室,N/A,27/03/2025,3房,"$1,518 萬","1,097 呎","$13,838",N/A
中西區,西半山,樂欣大廈 14樓 D室,N/A,27/03/2025,1房,$335 萬,238 呎,"$14,076",N/A
中西區,西半山,錦明閣 12樓 A室,N/A,26/03/2025,2房,$495 萬,382 呎,"$12,958",N/A
中西區,西半山,興漢大廈 22樓 B室,N/A,26/03/2025,-,$907 萬,727 呎,"$12,469",N/A
中西區,西半山,恆柏園 A座 5樓 A4室,N/A,26/03/2025,3房,"$1,868 萬","1,455 呎","$12,838",車位 | | 露台
中西區,西半山,高士台 2座 10樓 A室,N/A,26/03/2025,2房,"$1,565 萬",769 呎,"$20,351",露台 | | 工作平台
中西區,西半山,The Richmond 8樓 A室,N/A,26/03/2025,1房,$630 萬,304 呎,"$20,724",露台 | | 工作平台
中西區,西半山,樂欣大廈 中層 C室,N/A,26/03/2025,1房,"$14,000",266 呎,$53,N/A
中西區,西半山,正大花園 8樓 A室,N/A,26/03/2025,2房,$868 萬,779 呎,"$11,142",露台
中西區,西半山,蔚華閣 中層 A室,N/A,25/03/2025,3房,"$29,500",686 呎,$43,N/A
中西區,西半山,般柏苑 23樓 A室,N/A,25/03/2025,2房,$623 萬,322 呎,"$19,348",N/A
中西區,西半山,金碧閣 高層 A室,N/A,25/03/2025,-,"$28,000",496 呎,$56,N/A
