区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
中西區,西營盤,安景閣 中層 B室,N/A,01/04/2025,2房,$450 萬,297 呎,"$15,152",N/A
中西區,西營盤,匯賢居 中層 B室,N/A,01/04/2025,-,"$1,070 萬",579 呎,"$18,480",露台
中西區,西營盤,大興樓 1樓 132室,N/A,31/03/2025,-,$365 萬,339 呎,"$10,767",N/A
中西區,西營盤,嘉裕樓 10樓 63(R)室,N/A,31/03/2025,-,$223 萬,235 呎,"$9,481",N/A
中西區,西營盤,普頓臺 38樓 A室,N/A,31/03/2025,2房,$868 萬,489 呎,"$17,751",露台 | | 工作平台
中西區,西營盤,華冠大廈 9樓 J室,N/A,31/03/2025,2房,$360 萬,335 呎,"$10,746",N/A
中西區,西營盤,湀昌大廈 17樓 D室,N/A,31/03/2025,-,$320 萬,291 呎,"$10,997",N/A
中西區,西營盤,良基大廈 3樓 C室,N/A,31/03/2025,2房,$419 萬,363 呎,"$11,537",N/A
中西區,西營盤,永華大廈 425X 皇后大道西 2樓 FP室,N/A,28/03/2025,-,$385 萬,464 呎,"$8,297",N/A
中西區,西營盤,尚逸 26樓 C室,N/A,28/03/2025,開放式,$520 萬,215 呎,"$24,181",露台 | | 工作平台
中西區,西營盤,恒興樓 16樓 C室,N/A,28/03/2025,-,$338 萬,241 呎,"$14,025",N/A
中西區,西營盤,生昌大廈 2樓 B室,N/A,28/03/2025,-,$320 萬,357 呎,"$8,964",N/A
中西區,西營盤,荷李活華庭 A座 24樓 H室,N/A,27/03/2025,3房,"$1,240 萬",756 呎,"$16,402",N/A
中西區,西營盤,栢苑 12樓 B室,N/A,27/03/2025,2房,$800 萬,417 呎,"$19,185",N/A
中西區,西營盤,普頓臺 15樓 A室,N/A,27/03/2025,2房,$750 萬,489 呎,"$15,337",露台 | | 工作平台
中西區,西營盤,翰林峰 5座 26樓 C室,N/A,27/03/2025,開放式,$511 萬,216 呎,"$23,657",露台
中西區,西營盤,興漢大廈 22樓 B室,N/A,26/03/2025,-,$907 萬,727 呎,"$12,469",N/A
中西區,西營盤,恆柏園 A座 5樓 A4室,N/A,26/03/2025,3房,"$1,868 萬","1,455 呎","$12,838",車位 | | 露台
中西區,西營盤,高士台 2座 10樓 A室,N/A,26/03/2025,2房,"$1,565 萬",769 呎,"$20,351",露台 | | 工作平台
中西區,西營盤,錦明閣 12樓 A室,N/A,26/03/2025,2房,$495 萬,382 呎,"$12,958",N/A
中西區,西營盤,豐盛大廈 10樓 B室,N/A,26/03/2025,-,$228 萬,181 呎,"$12,597",N/A
中西區,西營盤,星鑽 25樓 C室,N/A,26/03/2025,3房,"$1,965 萬",844 呎,"$23,282",露台 | | 工作平台
中西區,西營盤,般柏苑 23樓 A室,N/A,25/03/2025,2房,$623 萬,322 呎,"$19,348",N/A
中西區,西營盤,星鑽 12樓 E室,N/A,25/03/2025,2房,"$1,378 萬",628 呎,"$21,943",露台 | | 工作平台
中西區,西營盤,藝里坊．2號 高層 D室,N/A,25/03/2025,1房,"$18,000",250 呎,$72,露台
中西區,西營盤,惠德大廈 13樓 C室,N/A,25/03/2025,-,$320 萬,363 呎,"$8,815",N/A
