区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,九龍城,東頭邨2期 盛東樓 13樓 2室,N/A,31/03/2025,開放式,$190 萬,428 呎,"$4,439",露台
九龍,九龍城,南首 11樓 B7室,N/A,31/03/2025,開放式,$366 萬,200 呎,"$18,280",露台
九龍,九龍城,合眾樓 4樓 31室,N/A,31/03/2025,-,$564 萬,490 呎,"$11,510",N/A
九龍,九龍城,南首 25樓 A2室,N/A,31/03/2025,2房,$776 萬,342 呎,"$22,677",露台 | | 工作平台
九龍,九龍城,南首 23樓 A2室,N/A,31/03/2025,2房,$756 萬,342 呎,"$22,096",露台 | | 工作平台
九龍,九龍城,東頭邨2期 泰東樓 3樓 15室,N/A,31/03/2025,開放式,$169 萬,358 呎,"$4,721",露台
九龍,九龍城,逸利樓 2樓 B室,N/A,31/03/2025,-,$399 萬,395 呎,"$10,101",平台
九龍,九龍城,南首 18樓 B7室,N/A,31/03/2025,開放式,$389 萬,200 呎,"$19,467",露台
九龍,九龍城,南首 12樓 B7室,N/A,28/03/2025,開放式,$369 萬,200 呎,"$18,428",露台
九龍,九龍城,南首 23樓 B2室,N/A,28/03/2025,2房,$761 萬,342 呎,"$22,257",露台 | | 工作平台
九龍,九龍城,南首 10樓 A8室,N/A,28/03/2025,1房,$482 萬,262 呎,"$18,390",露台 | | 工作平台
九龍,九龍城,南首 7樓 A1室,N/A,28/03/2025,2房,$595 萬,349 呎,"$17,040",露台 | | 工作平台
九龍,九龍城,南首 10樓 B9室,N/A,28/03/2025,1房,$481 萬,261 呎,"$18,418",露台 | | 工作平台
九龍,九龍城,南首 17樓 A1室,N/A,28/03/2025,2房,$675 萬,349 呎,"$19,330",露台 | | 工作平台
九龍,九龍城,南首 20樓 A3室,N/A,28/03/2025,1房,$537 萬,263 呎,"$20,402",露台 | | 工作平台
九龍,九龍城,南首 19樓 A2室,N/A,28/03/2025,2房,$663 萬,342 呎,"$19,376",露台 | | 工作平台
九龍,九龍城,東頭邨2期 裕東樓 22樓 14室,N/A,28/03/2025,開放式,$218 萬,443 呎,"$4,926",露台
