区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,九龍塘筆架山,馬可尼大廈 中層 E室,N/A,03/04/2025,3房,$780 萬,692 呎,"$11,272",車位
九龍,九龍塘筆架山,怡苑 G樓 B室,N/A,01/04/2025,-,"$8,200 萬","4,918 呎","$16,673",車位 | | 花園
九龍,九龍塘筆架山,雋睿 1座 1樓 C室,N/A,01/04/2025,3房,"$1,406 萬",639 呎,"$22,000",平台
九龍,九龍塘筆架山,寶能閣 二期 1樓 A室,N/A,01/04/2025,2房,$590 萬,440 呎,"$13,409",車位 | | 露台
九龍,九龍塘筆架山,牛津道8號 B室,N/A,31/03/2025,-,"$8,500 萬","5,802 呎","$14,650",車位
九龍,九龍塘筆架山,麗景樓 低層 A室,N/A,28/03/2025,-,"$58,000","1,846 呎",$31,車位
九龍,九龍塘筆架山,碧華花園 01座 中層 B室,N/A,27/03/2025,3房,"$2,330 萬","1,607 呎","$14,499",車位
九龍,九龍塘筆架山,聯安樓 1樓 C室,N/A,25/03/2025,-,$200 萬,255 呎,"$7,843",平台
九龍,九龍塘筆架山,畢架山一號 1期 3座 5樓 B室,N/A,25/03/2025,3房,"$1,400 萬","1,115 呎","$12,556",車位 | | 露台 | | 工作平台
九龍,九龍塘筆架山,永德園 6樓 B室,N/A,24/03/2025,-,"$1,230 萬","1,082 呎","$11,368",N/A
九龍,九龍塘筆架山,星輝豪庭 B座 低層 5室,N/A,23/03/2025,-,"$34,000","1,101 呎",$31,N/A
九龍,九龍塘筆架山,尚御 2座 低層 B室,N/A,20/03/2025,3房,"$41,000",988 呎,$41,車位 | | 露台 | | 工作平台
九龍,九龍塘筆架山,畢架山一號 3期 9座 1樓 A室,N/A,19/03/2025,3房,"$2,120 萬","1,104 呎","$19,203",車位 | | 露台 | | 工作平台
九龍,九龍塘筆架山,龍翔苑 1座 3樓 4B室,N/A,19/03/2025,-,$600 萬,803 呎,"$7,472",N/A
九龍,九龍塘筆架山,賢文禮士 2座 低層 A室,N/A,19/03/2025,2房,"$38,000",833 呎,$46,露台
九龍,九龍塘筆架山,寶能閣 一期 5樓 A室,N/A,18/03/2025,1房,$740 萬,505 呎,"$14,653",車位
九龍,九龍塘筆架山,聚賢居 A室,N/A,18/03/2025,3房,"$55,000","1,499 呎",$37,N/A
九龍,九龍塘筆架山,秀竹園道3-3A號 4樓 3室,N/A,17/03/2025,-,$930 萬,"1,123 呎","$8,281",車位
九龍,九龍塘筆架山,霞明閣 I座 低層 B3室,N/A,15/03/2025,3房,"$28,000",758 呎,$37,N/A
九龍,九龍塘筆架山,牛津道1號 12號屋,N/A,11/03/2025,-,$1.45 億,"5,319 呎","$27,261",花園 | | 天台 | | 平台
九龍,九龍塘筆架山,根德閣 3座 11樓 A室,N/A,11/03/2025,3房,"$1,200 萬","1,138 呎","$10,545",車位 | | 露台
九龍,九龍塘筆架山,新餘邨 中層 D5室,N/A,06/03/2025,-,"$34,000",950 呎,$36,車位
九龍,九龍塘筆架山,翠麗苑 9樓 B3室,N/A,04/03/2025,3房,$595 萬,487 呎,"$12,218",車位 | | 天台
九龍,九龍塘筆架山,晟林 低層 A室,N/A,02/03/2025,2房,"$20,500",420 呎,$49,露台 | | 工作平台
九龍,九龍塘筆架山,瀚名 中層 C室,N/A,01/03/2025,1房,"$19,000",320 呎,$59,露台
九龍,九龍塘筆架山,新德園 -號屋 1室,N/A,01/03/2025,4房,"$68,000","1,912 呎",$36,車位
九龍,九龍塘筆架山,碧華花園 04座 高層 C室,N/A,22/02/2025,3房,"$46,000","1,211 呎",$38,車位
九龍,九龍塘筆架山,碧華花園 6座 6樓 C室,N/A,20/02/2025,3房,"$1,490 萬","1,211 呎","$12,304",車位
九龍,九龍塘筆架山,馬可尼大廈 中層 A室,N/A,19/02/2025,3房,"$20,000",652 呎,$31,車位
九龍,九龍塘筆架山,龍翔閣 3樓 E室,N/A,19/02/2025,-,$241 萬,256 呎,"$9,414",N/A
九龍,九龍塘筆架山,賢文禮士 5座 中層 D室,N/A,19/02/2025,4房,"$60,000","1,533 呎",$39,車位 | | 露台 | | 工作平台
九龍,九龍塘筆架山,畢架山一號 2期 6座 10樓 A室,N/A,18/02/2025,3房,"$1,870 萬","1,026 呎","$18,226",車位 | | 露台 | | 工作平台
九龍,九龍塘筆架山,碧華花園 3座 高層 B室,N/A,14/02/2025,3房,"$65,000","1,607 呎",$40,車位
九龍,九龍塘筆架山,碧華花園 9座 7樓 C室,N/A,12/02/2025,3房,"$1,492 萬","1,211 呎","$12,320",車位
九龍,九龍塘筆架山,畢架山一號 3期 9座 6樓 B室,N/A,12/02/2025,3房,"$2,080 萬","1,091 呎","$19,065",車位 | | 露台 | | 工作平台
九龍,九龍塘筆架山,陶源 25樓 C室,N/A,12/02/2025,3房,"$1,000 萬",779 呎,"$12,837",車位
九龍,九龍塘筆架山,界限街9-9A號 5樓 9A室,N/A,10/02/2025,-,$285 萬,555 呎,"$5,135",N/A
九龍,九龍塘筆架山,星輝豪庭 A座 9樓 1室,N/A,06/02/2025,-,"$1,400 萬","1,241 呎","$11,281",N/A
九龍,九龍塘筆架山,南方花園 3樓 A室,N/A,05/02/2025,-,"$1,180 萬","1,012 呎","$11,660",車位
九龍,九龍塘筆架山,匯山園 5樓 A室,N/A,04/02/2025,-,"$1,520 萬","1,239 呎","$12,268",車位
九龍,九龍塘筆架山,碧華花園 6座 低層 C室,N/A,04/02/2025,3房,"$45,000","1,211 呎",$37,車位
九龍,九龍塘筆架山,龍翔閣 3樓 G室,N/A,04/02/2025,-,$230 萬,236 呎,"$9,746",N/A
九龍,九龍塘筆架山,龍翔閣 1樓 E室,N/A,04/02/2025,-,$288 萬,256 呎,"$11,250",平台
九龍,九龍塘筆架山,龍翔閣 1樓 F室,N/A,04/02/2025,-,$225 萬,187 呎,"$12,032",平台
九龍,九龍塘筆架山,碧麗閣 A座 低層 A3室,N/A,03/02/2025,3房,"$33,000",976 呎,$34,車位
九龍,九龍塘筆架山,雋睿 1座 低層 D室,N/A,02/02/2025,3房,"$33,500",652 呎,$51,露台 | | 工作平台
九龍,九龍塘筆架山,嘉福閣 F室,N/A,25/01/2025,-,"$18,000",455 呎,$40,天台
九龍,九龍塘筆架山,蔚珊園 A座,N/A,24/01/2025,4房,"$7,000 萬","4,078 呎","$17,165",花園 | | 天台 | | 露台
九龍,九龍塘筆架山,龍翔閣 4樓 G室,N/A,17/01/2025,-,$225 萬,236 呎,"$9,534",N/A
九龍,九龍塘筆架山,喇沙利道11號 4樓 A室,N/A,16/01/2025,-,"$1,038 萬",975 呎,"$10,646",車位
九龍,九龍塘筆架山,喇沙利道5-5C號 2樓 (5B)SOUTH室,N/A,15/01/2025,-,$925 萬,922 呎,"$10,033",天台
九龍,九龍塘筆架山,龍翔閣 4樓 A室,N/A,13/01/2025,-,$235 萬,252 呎,"$9,325",N/A
