区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,九龍灣,得寶花園 H座 高層 H4室,N/A,03/04/2025,2房,$284 萬,253 呎,"$11,225",N/A
九龍,九龍灣,安基苑 D座 高層 7室,N/A,03/04/2025,2房,$400 萬,434 呎,"$9,217",N/A
九龍,九龍灣,彩興苑 A座 中層 11室,N/A,03/04/2025,2房,$440 萬,443 呎,"$9,932",N/A
九龍,九龍灣,彩興苑 B座 高層 15室,N/A,03/04/2025,1房,$352 萬,378 呎,"$9,312",N/A
九龍,九龍灣,德福花園 B座 低層 14室,N/A,03/04/2025,2房,$515 萬,538 呎,"$9,572",N/A
九龍,九龍灣,淘大花園 1期 F座 低層 4室,N/A,03/04/2025,2房,$410 萬,375 呎,"$10,933",N/A
九龍,九龍灣,德福花園 A座 中層 11室,N/A,02/04/2025,2房,$550 萬,538 呎,"$10,223",N/A
九龍,九龍灣,德福花園 U座 低層 10室,N/A,02/04/2025,2房,$497 萬,520 呎,"$9,554",N/A
九龍,九龍灣,淘大花園 1期 A座 低層 8室,N/A,01/04/2025,2房,"$14,500",375 呎,$39,N/A
九龍,九龍灣,德福花園 H座 1樓 6室,N/A,31/03/2025,2房,$480 萬,539 呎,"$8,905",N/A
九龍,九龍灣,宏光樓 C座 19樓 8室,N/A,31/03/2025,3房,$343 萬,386 呎,"$8,894",N/A
九龍,九龍灣,宏光樓 B座 27樓 1室,N/A,31/03/2025,3房,$318 萬,379 呎,"$8,391",N/A
九龍,九龍灣,得寶花園 F座 8樓 F6室,N/A,31/03/2025,2房,$300 萬,282 呎,"$10,638",N/A
九龍,九龍灣,淘大花園 3期 M座 低層 6室,N/A,31/03/2025,2房,$440 萬,356 呎,"$12,360",N/A
九龍,九龍灣,泰峯 2A座 15樓 D室,N/A,31/03/2025,3房,$918 萬,560 呎,"$16,393",露台 | | 工作平台
九龍,九龍灣,清水灣道8號 清水灣道 8 低層 D室,N/A,29/03/2025,2房,"$20,000",503 呎,$40,N/A
九龍,九龍灣,淘大花園 1期 G座 低層 5室,N/A,29/03/2025,2房,"$14,000",390 呎,$36,N/A
九龍,九龍灣,彩興苑 B座 4樓 9室,N/A,28/03/2025,1房,$368 萬,372 呎,"$9,892",N/A
九龍,九龍灣,堅美樓 1樓,N/A,28/03/2025,-,$334 萬,551 呎,"$6,062",平台
九龍,九龍灣,德福花園 N座 高層 12室,N/A,28/03/2025,2房,$568 萬,551 呎,"$10,309",N/A
九龍,九龍灣,德福花園 N座 6樓 9室,N/A,28/03/2025,2房,$603 萬,588 呎,"$10,255",N/A
九龍,九龍灣,淘大花園 3期 P座 高層 8室,N/A,28/03/2025,2房,"$13,300",285 呎,$47,N/A
九龍,九龍灣,麗晶花園 9座 6樓 B室,N/A,28/03/2025,2房,$340 萬,407 呎,"$8,354",N/A
九龍,九龍灣,淘大花園 3期 M座 2樓 8室,N/A,28/03/2025,2房,$325 萬,285 呎,"$11,404",N/A
