区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,九龍站,擎天半島 2期 1座 低層 E室,N/A,03/04/2025,4房,"$58,000","1,236 呎",$47,N/A
九龍,九龍站,御金．國峯 6座 中層 B室,N/A,02/04/2025,1房,$635 萬,400 呎,"$15,875",露台 | | 工作平台
九龍,九龍站,Grand Austin 2座 - T2 高層 B室,N/A,01/04/2025,4房,"$3,820 萬","1,215 呎","$31,440",露台 | | 工作平台
九龍,九龍站,凱旋門 2座 (觀星閣) 高層 A室,N/A,01/04/2025,4房,"$88,000","1,382 呎",$64,車位 | | 露台
九龍,九龍站,擎天半島 1期 3座 高層 B室,N/A,01/04/2025,2房,"$35,000",633 呎,$55,N/A
九龍,九龍站,凱旋門 2A座 (映月閣) 18樓 E室,N/A,31/03/2025,1房,"$1,015 萬",395 呎,"$25,696",N/A
九龍,九龍站,凱旋門 2座 (觀星閣) 52樓 D室,N/A,31/03/2025,2房,"$1,660 萬",548 呎,"$30,292",N/A
九龍,九龍站,Grand Austin 3座 - T3A 22樓 B室,N/A,31/03/2025,2房,"$1,220 萬",580 呎,"$21,034",露台 | | 工作平台
九龍,九龍站,擎天半島 2期 1座 78樓 D室,N/A,28/03/2025,4房,"$3,700 萬","1,409 呎","$26,260",露台
九龍,九龍站,凱旋門 1座 (摩天閣) 11樓 C室,N/A,28/03/2025,3房,"$2,400 萬",846 呎,"$28,369",露台
九龍,九龍站,凱旋門 1座 (摩天閣) 低層 C室,N/A,28/03/2025,3房,"$54,500",846 呎,$64,車位 | | 露台
九龍,九龍站,擎天半島 1期 3座 35樓 D室,N/A,27/03/2025,3房,"$1,738 萬",803 呎,"$21,644",N/A
九龍,九龍站,君臨天下 3座 低層 F室,N/A,27/03/2025,2房,"$1,978 萬",794 呎,"$24,912",露台
九龍,九龍站,御金．國峯 2座 35樓 C室,N/A,27/03/2025,2房,"$1,000 萬",603 呎,"$16,584",露台 | | 工作平台
九龍,九龍站,漾日居 1期 3座 33樓 C室,N/A,26/03/2025,3房,"$1,480 萬",794 呎,"$18,640",N/A
九龍,九龍站,凱旋門 2A座 (映月閣) 31樓 B室,N/A,26/03/2025,3房,"$3,250 萬",969 呎,"$33,540",露台
九龍,九龍站,Grand Austin 2座 - T2A 21樓 C室,N/A,26/03/2025,2房,"$1,194 萬",595 呎,"$20,064",露台 | | 工作平台
九龍,九龍站,凱旋門 1A座 (朝日閣) 中層 E室,N/A,25/03/2025,1房,"$30,000",398 呎,$75,N/A
九龍,九龍站,天璽 星鑽璽 低層 D室,N/A,25/03/2025,2房,"$34,000",555 呎,$61,N/A
九龍,九龍站,凱旋門 2A座 (映月閣) 中層 D室,N/A,24/03/2025,2房,"$35,000",518 呎,$68,N/A
九龍,九龍站,君臨天下 3座 56樓 E室,N/A,21/03/2025,2房,"$1,800 萬",779 呎,"$23,107",N/A
九龍,九龍站,The Austin 3座 - T3A 23樓 C室,N/A,21/03/2025,1房,$888 萬,420 呎,"$21,143",露台 | | 工作平台
九龍,九龍站,凱旋門 2座 (觀星閣) 高層 C室,N/A,20/03/2025,4房,"$68,800","1,098 呎",$63,露台
九龍,九龍站,君臨天下 2座 12樓 F室,N/A,20/03/2025,2房,"$1,500 萬",751 呎,"$19,973",N/A
九龍,九龍站,擎天半島 2期 2座 31樓 C室,N/A,18/03/2025,3房,"$2,550 萬","1,054 呎","$24,194",N/A
九龍,九龍站,擎天半島 1期 6座 42樓 A室,N/A,18/03/2025,2房,"$1,385 萬",632 呎,"$21,915",N/A
九龍,九龍站,擎天半島 1期 3座 中層 H室,N/A,15/03/2025,3房,"$36,000",748 呎,$48,N/A
九龍,九龍站,擎天半島 1期 5座 41樓 B室,N/A,14/03/2025,2房,"$1,323 萬",633 呎,"$20,900",N/A
九龍,九龍站,擎天半島 2期 1座 31樓 A室,N/A,14/03/2025,3房,"$2,580 萬","1,070 呎","$24,112",N/A
