区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,京士柏,皓畋 2座 高層 F室,N/A,31/03/2025,2房,"$28,000",595 呎,$47,露台 | | 工作平台
九龍,京士柏,君頤峰 8座 高層 D室,N/A,31/03/2025,3房,"$1,360 萬",829 呎,"$16,405",露台
九龍,京士柏,天鑄 2期 1座 B室,N/A,31/03/2025,4房,"$6,400 萬","2,337 呎","$27,386",複式 | | 花園
九龍,京士柏,賀龍居 1座 高層 D室,N/A,30/03/2025,-,"$31,000",677 呎,$46,N/A
九龍,京士柏,欣圖軒 4座 9樓 J室,N/A,28/03/2025,2房,$485 萬,485 呎,"$10,000",N/A
九龍,京士柏,傲玟 3座 12樓 A室,N/A,28/03/2025,3房,"$2,456 萬","1,118 呎","$21,968",露台 | | 工作平台
九龍,京士柏,高臨 A2座 23樓 H室,N/A,28/03/2025,2房,$799 萬,382 呎,"$20,927",露台 | | 工作平台
九龍,京士柏,Chung Pak Mansion 中柏大廈 2樓 15室,N/A,28/03/2025,-,$250 萬,432 呎,"$5,787",N/A
九龍,京士柏,加多利軒 低層 B室,N/A,28/03/2025,開放式,"$13,000",181 呎,$72,露台
九龍,京士柏,皓畋 5座 16樓 A室,N/A,27/03/2025,3房,"$1,780 萬",865 呎,"$20,578",露台 | | 工作平台
九龍,京士柏,集德苑 17樓 A室,N/A,27/03/2025,-,"$1,350 萬","1,346 呎","$10,030",車位
九龍,京士柏,德威大廈 一期 低層 B室,N/A,27/03/2025,3房,$657 萬,727 呎,"$9,034",N/A
九龍,京士柏,福園 7樓 5室,N/A,27/03/2025,-,"$1,188 萬","1,098 呎","$10,820",複式 | | 車位
九龍,京士柏,加多利軒 17樓 G室,N/A,27/03/2025,1房,$408 萬,248 呎,"$16,452",露台
九龍,京士柏,君頤峰 5座 15樓 B室,N/A,26/03/2025,3房,"$1,700 萬",959 呎,"$17,727",露台 | | 工作平台
九龍,京士柏,帝庭園 7座 19樓 B室,N/A,26/03/2025,3房,"$1,650 萬","1,266 呎","$13,033",車位 | | 露台
九龍,京士柏,皓畋 5座 中層 C室,N/A,26/03/2025,2房,"$26,500",587 呎,$45,露台 | | 工作平台
九龍,京士柏,One Homantin 3座 2樓 A室,N/A,26/03/2025,3房,"$1,250 萬",752 呎,"$16,622",露台
九龍,京士柏,瑧樺 15樓 B6室,N/A,26/03/2025,開放式,$400 萬,222 呎,"$18,018",露台
九龍,京士柏,華欣閣 10樓 F室,N/A,26/03/2025,2房,$362 萬,298 呎,"$12,148",N/A
九龍,京士柏,麗苑 14樓 B室,N/A,25/03/2025,-,"$1,300 萬","1,216 呎","$10,691",N/A
九龍,京士柏,德信園 15樓 C室,N/A,25/03/2025,2房,$733 萬,635 呎,"$11,543",車位
九龍,京士柏,高臨 A2座 31樓 F室,N/A,25/03/2025,2房,$881 萬,377 呎,"$23,366",露台 | | 工作平台
九龍,京士柏,皓畋 6座 中層 B室,N/A,25/03/2025,4房,"$73,000","1,477 呎",$49,露台 | | 工作平台
九龍,京士柏,高臨 A1座 18樓 C室,N/A,24/03/2025,2房,$929 萬,414 呎,"$22,444",露台 | | 工作平台
九龍,京士柏,文豪閣 B座 2樓 B室,N/A,24/03/2025,2房,"$1,398 萬","1,144 呎","$12,220",車位
九龍,京士柏,冠暉苑 B 座 9樓 4室,N/A,24/03/2025,開放式,$228 萬,287 呎,"$7,944",N/A
