区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,又一村石硤尾,又一居 6座 5樓 E室,N/A,31/03/2025,3房,"$1,060 萬",657 呎,"$16,134",N/A
九龍,又一村石硤尾,又一居 04座 中層 A室,N/A,30/03/2025,3房,"$29,000",568 呎,$51,N/A
九龍,又一村石硤尾,又一居 21座 4樓 D室,N/A,28/03/2025,3房,$818 萬,559 呎,"$14,633",N/A
九龍,又一村石硤尾,雅趣苑 A座 3樓 A1室,N/A,27/03/2025,3房,"$1,100 萬",727 呎,"$15,131",車位 | | 天台
九龍,又一村石硤尾,又一村花園 B期 花圃街21號(B3座) 1樓 A室,N/A,26/03/2025,3房,"$3,130 萬","1,620 呎","$19,321",車位 | | 露台
九龍,又一村石硤尾,瑰麗新村 3座 8樓 C室,N/A,25/03/2025,3房,"$1,300 萬",858 呎,"$15,152",車位
九龍,又一村石硤尾,畢架山花園 四期 02座 中層 C室,N/A,25/03/2025,3房,"$33,000",844 呎,$39,車位
九龍,又一村石硤尾,李鄭屋邨 7座 (和睦樓) 16樓 16室,N/A,24/03/2025,開放式,$285 萬,494 呎,"$5,769",露台
九龍,又一村石硤尾,白玉樓 8樓 J室,N/A,24/03/2025,-,$290 萬,270 呎,"$10,741",N/A
九龍,又一村石硤尾,緹外 5座 3樓 A室,N/A,21/03/2025,4房,$2.3 億,"4,274 呎","$53,814",車位 | | 露台 | | 工作平台
九龍,又一村石硤尾,又一居 27座 中層 B室,N/A,20/03/2025,3房,"$30,000",674 呎,$45,N/A
九龍,又一村石硤尾,帝景峰 帝景臺 帝景臺10座 ( 第9座 ) 8&9樓 8室,N/A,18/03/2025,-,"$3,580 萬","1,763 呎","$20,306",複式 | | 車位 | | 花園 | | 天台
九龍,又一村石硤尾,帝景峰 帝景軒 帝景軒6座 ( 第21座 ) 5樓 C室,N/A,18/03/2025,開放式,$700 萬,468 呎,"$14,957",N/A
九龍,又一村石硤尾,緹外 1座 G樓 A室,N/A,18/03/2025,4房,$1.72 億,"4,010 呎","$42,893",車位 | | 花園
九龍,又一村石硤尾,李鄭屋邨 9座 (孝慈樓) 9樓 13室,N/A,12/03/2025,開放式,$340 萬,443 呎,"$7,675",露台
九龍,又一村石硤尾,又一居 19座 高層 D室,N/A,12/03/2025,3房,"$35,000","1,084 呎",$32,複式 | | 平台
九龍,又一村石硤尾,又一村花園 C期 花圃街34號(B15座) 2樓 D室,N/A,12/03/2025,3房,"$1,380 萬",803 呎,"$17,186",N/A
九龍,又一村石硤尾,南苑大廈 G室,N/A,11/03/2025,-,"$1,900 萬","1,657 呎","$11,467",車位
九龍,又一村石硤尾,爾登豪庭 3座 6樓 B室,N/A,11/03/2025,3房,"$1,035 萬","1,067 呎","$9,700",車位
九龍,又一村石硤尾,怡富大廈 4樓 D室,N/A,10/03/2025,-,$290 萬,244 呎,"$11,885",N/A
九龍,又一村石硤尾,爾登豪庭 7座 G樓 B室,N/A,10/03/2025,2房,$915 萬,912 呎,"$10,033",車位 | | 花園
九龍,又一村石硤尾,時喜閣 2樓 B室,N/A,10/03/2025,3房,"$1,268 萬","1,039 呎","$12,204",車位 | | 露台
九龍,又一村石硤尾,畢架山峰 05號屋,N/A,06/03/2025,4房,"$9,580 萬","2,822 呎","$33,948",花園 | | 天台 | | 平台 | | 露台
九龍,又一村石硤尾,嘉珀山 第二座 7樓 A室,N/A,03/03/2025,4房,"$2,208 萬","1,669 呎","$13,229",車位 | | 露台 | | 工作平台
九龍,又一村石硤尾,李鄭屋邨 6座 (廉潔樓) 24樓 2室,N/A,03/03/2025,開放式,$295 萬,572 呎,"$5,157",露台
九龍,又一村石硤尾,石竹閣 C室,N/A,02/03/2025,-,"$38,800","1,179 呎",$33,N/A
九龍,又一村石硤尾,又一村花園 C期 B15座( 花圃街34號 ) B室,N/A,01/03/2025,3房,"$43,800",801 呎,$55,花園
九龍,又一村石硤尾,畢架山峰 3座 高層 C室,N/A,28/02/2025,3房,"$40,000",839 呎,$48,N/A
九龍,又一村石硤尾,美華閣 3樓 E室,N/A,28/02/2025,3房,"$1,188 萬","1,049 呎","$11,325",車位 | | 天台 | | 露台
九龍,又一村石硤尾,寶華閣 19樓 A室,N/A,24/02/2025,2房,$339 萬,263 呎,"$12,890",N/A
九龍,又一村石硤尾,緹外 5座 1樓 A室,N/A,24/02/2025,4房,$1.85 億,"4,116 呎","$44,947",車位 | | 花園 | | 平台 | | 露台 | | 工作平台
九龍,又一村石硤尾,李鄭屋邨 9座 (孝慈樓) 3樓 15室,N/A,24/02/2025,開放式,$280 萬,566 呎,"$4,947",露台
九龍,又一村石硤尾,又一居 12座 中層 A室,N/A,22/02/2025,3房,"$32,000",737 呎,$43,N/A
九龍,又一村石硤尾,仁寶大廈 10樓 C室,N/A,21/02/2025,2房,$402 萬,410 呎,"$9,805",N/A
九龍,又一村石硤尾,爾登華庭 3座 5樓 B室,N/A,18/02/2025,2房,"$1,075 萬","1,293 呎","$8,314",車位
九龍,又一村石硤尾,畢架山花園 二期 19座 中層 E室,N/A,15/02/2025,3房,"$31,000",905 呎,$34,N/A
九龍,又一村石硤尾,帝景峰 帝景軒 帝景軒6座 ( 第21座 ) 高層 C室,N/A,15/02/2025,開放式,"$17,000",468 呎,$36,N/A
九龍,又一村石硤尾,又一居 5座 3樓 B室,N/A,13/02/2025,3房,"$1,038 萬",737 呎,"$14,084",N/A
九龍,又一村石硤尾,花圃街22-24號 麗園 A2室,N/A,12/02/2025,-,"$37,500","1,022 呎",$37,車位 | | 花園
九龍,又一村石硤尾,又一居 33座 2樓 A室,N/A,11/02/2025,3房,"$1,380 萬",792 呎,"$17,424",花園 | | 露台
九龍,又一村石硤尾,白玉樓 6樓 F室,N/A,11/02/2025,-,$300 萬,272 呎,"$11,029",N/A
九龍,又一村石硤尾,桃苑 中層 C室,N/A,11/02/2025,2房,"$22,500",499 呎,$45,N/A
九龍,又一村石硤尾,又一居 29座 3樓 BB室,N/A,06/02/2025,3房,"$1,030 萬",678 呎,"$15,192",N/A
九龍,又一村石硤尾,Beacon Peak Beacon Peak 第1期 2座 19樓 B室,N/A,06/02/2025,3房,"$2,789 萬","1,276 呎","$21,854",露台 | | 工作平台
九龍,又一村石硤尾,Beacon Peak Beacon Peak 第1期 6座 17樓 A室,N/A,06/02/2025,4房,"$3,703 萬","1,555 呎","$23,814",露台 | | 工作平台
九龍,又一村石硤尾,Beacon Peak Beacon Peak 第1期 2座 19樓 C室,N/A,06/02/2025,3房,"$2,875 萬","1,304 呎","$22,050",露台 | | 工作平台
九龍,又一村石硤尾,畢架山花園 四期 04座 中層 B室,N/A,25/01/2025,3房,"$28,000",807 呎,$35,車位
九龍,又一村石硤尾,金玉大廈 2樓 E室,N/A,24/01/2025,1房,$208 萬,233 呎,"$8,927",平台
九龍,又一村石硤尾,又一村花園 B期 花圃街17號(B1座) 5樓 A室,N/A,24/01/2025,3房,"$2,750 萬","1,455 呎","$18,900",車位 | | 露台
九龍,又一村石硤尾,畢架山花園 三期 12座 8樓 B室,N/A,24/01/2025,3房,"$1,280 萬","1,305 呎","$9,808",露台
九龍,又一村石硤尾,又一居 32座 5樓 A室,N/A,23/01/2025,3房,"$1,130 萬",792 呎,"$14,269",露台
九龍,又一村石硤尾,又一居 25座 3樓 A室,N/A,23/01/2025,3房,$850 萬,561 呎,"$15,152",N/A
九龍,又一村石硤尾,又一村花園 C期 B16座( 花圃街36號 ) 中層 C室,N/A,21/01/2025,3房,"$38,800",805 呎,$48,車位
九龍,又一村石硤尾,又一居 05座 高層 D室,N/A,18/01/2025,3房,"$31,000",797 呎,$39,N/A
九龍,又一村石硤尾,又一村花園 B期 B1座( 花圃街17號 ) 中層 B室,N/A,13/01/2025,3房,"$50,000","1,517 呎",$33,N/A
九龍,又一村石硤尾,帝景峰 帝景臺 帝景臺11座 ( 第8座 ) 6&7樓 6室,N/A,13/01/2025,4房,"$3,230 萬","1,844 呎","$17,516",複式 | | 花園 | | 露台
九龍,又一村石硤尾,李鄭屋邨 8座 (孝廉樓) 21樓 12室,N/A,08/01/2025,開放式,$268 萬,443 呎,"$6,050",露台
九龍,又一村石硤尾,緹山 8號屋,N/A,08/01/2025,4房,$1.25 億,"2,913 呎","$42,911",車位 | | 花園 | | 天台 | | 平台 | | 工作平台
九龍,又一村石硤尾,畢架山花園 四期 2座 2樓 C室,N/A,07/01/2025,3房,$938 萬,844 呎,"$11,114",車位
九龍,又一村石硤尾,爾登華庭 6座 9樓 B室,N/A,07/01/2025,2房,"$1,134 萬","1,337 呎","$8,484",車位
九龍,又一村石硤尾,又一居 19座 中層 E室,N/A,04/01/2025,3房,"$28,500",681 呎,$42,N/A
九龍,又一村石硤尾,李鄭屋邨 8座 (孝廉樓) 6樓 11室,N/A,02/01/2025,開放式,$380 萬,376 呎,"$10,106",露台
九龍,又一村石硤尾,畢架山花園 一期 7座 5樓 A室,N/A,31/12/2024,4房,"$1,118 萬","1,179 呎","$9,478",N/A
九龍,又一村石硤尾,帝景峰 帝景居 帝景居2座 ( 第2座 ) 中層 C室,N/A,30/12/2024,2房,"$24,000",620 呎,$39,N/A
九龍,又一村石硤尾,又一村花園 A期 B10座( 花圃街63號 ) 中層 B室,N/A,29/12/2024,3房,"$52,000","1,537 呎",$34,車位
九龍,又一村石硤尾,又一居 20座 5樓 B室,N/A,27/12/2024,3房,"$1,118 萬",675 呎,"$16,563",N/A
九龍,又一村石硤尾,李鄭屋邨 6座 (廉潔樓) 7樓 5室,N/A,27/12/2024,開放式,$247 萬,494 呎,"$5,000",露台
九龍,又一村石硤尾,畢架山花園 三期 14座 6樓 D室,N/A,24/12/2024,3房,"$1,320 萬","1,304 呎","$10,123",露台
九龍,又一村石硤尾,李鄭屋邨 1座 (仁愛樓) 16樓 11室,N/A,23/12/2024,開放式,$235 萬,423 呎,"$5,556",露台
九龍,又一村石硤尾,李鄭屋邨 4座 (道德樓) 5樓 5室,N/A,23/12/2024,開放式,$298 萬,494 呎,"$6,032",露台
九龍,又一村石硤尾,仁寶大廈 8樓 J室,N/A,20/12/2024,3房,$368 萬,410 呎,"$8,976",N/A
九龍,又一村石硤尾,帝景峰 帝景居 帝景居5座 ( 第5座 ) 10樓 A室,N/A,19/12/2024,3房,"$2,100 萬","1,155 呎","$18,182",車位 | | 平台
九龍,又一村石硤尾,李鄭屋邨 1座 (仁愛樓) 23樓 3室,N/A,16/12/2024,開放式,$195 萬,424 呎,"$4,599",露台
九龍,又一村石硤尾,又一居 26座 7樓 F室,N/A,12/12/2024,3房,$858 萬,560 呎,"$15,321",N/A
九龍,又一村石硤尾,又一居 31座 3樓 B室,N/A,09/12/2024,3房,"$1,150 萬",771 呎,"$14,916",N/A
九龍,又一村石硤尾,又一居 18座 低層 A室,N/A,08/12/2024,3房,"$26,000",584 呎,$45,N/A
九龍,又一村石硤尾,又一村花園 A期 花圃街65號(B11座) 1樓 B室,N/A,06/12/2024,3房,"$3,600 萬","1,443 呎","$24,948",車位 | | 花園 | | 露台
九龍,又一村石硤尾,緹外 3座 2樓 B室,N/A,06/12/2024,4房,$1.92 億,"4,394 呎","$43,696",車位 | | 露台 | | 工作平台
九龍,又一村石硤尾,海棠路2-6號 海棠路2A號 G樓,N/A,04/12/2024,-,"$1,433 萬","1,468 呎","$9,762",N/A
九龍,又一村石硤尾,又一村花園 C期 花圃街34號(B15座) 4樓 D室,N/A,03/12/2024,3房,"$1,200 萬",803 呎,"$14,944",N/A
九龍,又一村石硤尾,玉寶閣 2樓 E室,N/A,03/12/2024,-,"$1,050 萬",986 呎,"$10,649",車位
九龍,又一村石硤尾,李鄭屋邨 5座 (禮讓樓) 8樓 19室,N/A,02/12/2024,開放式,$295 萬,572 呎,"$5,157",露台
九龍,又一村石硤尾,又一村花園 C期 花圃街34號(B15座) 4樓 C室,N/A,02/12/2024,3房,"$1,418 萬",805 呎,"$17,615",N/A
九龍,又一村石硤尾,又一居 11座 低層 G室,N/A,01/12/2024,2房,"$20,000",439 呎,$46,N/A
九龍,又一村石硤尾,又一居 25座 9樓 B室,N/A,29/11/2024,3房,"$1,055 萬",660 呎,"$15,985",N/A
九龍,又一村石硤尾,又一居 28座 7樓 B室,N/A,29/11/2024,3房,"$1,100 萬",677 呎,"$16,248",N/A
九龍,又一村石硤尾,緹外 6座 1樓 A室,N/A,29/11/2024,4房,$1.8 億,"3,723 呎","$48,348",車位 | | 露台 | | 工作平台
九龍,又一村石硤尾,又一居 13座 10樓 A室,N/A,28/11/2024,4房,"$1,938 萬","1,279 呎","$15,152",複式 | | 平台
