区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,啟德,維港1號 2A座 高層 A室,N/A,01/04/2025,3房,"$34,300",763 呎,$45,露台 | | 工作平台
九龍,啟德,嘉峯匯 1A座 7樓 B室,N/A,31/03/2025,2房,$770 萬,443 呎,"$17,381",露台
九龍,啟德,嘉匯 第1座 12樓 C室,N/A,31/03/2025,3房,"$1,220 萬",679 呎,"$17,968",露台 | | 工作平台
九龍,啟德,Henley Park 1B座 低層 H室,N/A,31/03/2025,1房,"$17,000",390 呎,$44,露台
九龍,啟德,柏蔚森 柏蔚森 I 5座 26樓 G室,N/A,31/03/2025,2房,$819 萬,469 呎,"$17,465",露台 | | 工作平台
九龍,啟德,龍譽 2A座 7樓 F室,N/A,31/03/2025,3房,"$1,660 萬",883 呎,"$18,800",露台 | | 工作平台
九龍,啟德,啟德海灣 啟德海灣 1 2B座 22樓 J室,N/A,31/03/2025,2房,"$1,061 萬",538 呎,"$19,723",露台 | | 工作平台
九龍,啟德,天寰 星寰匯3座 C室,N/A,31/03/2025,3房,"$33,800",700 呎,$48,露台 | | 工作平台
九龍,啟德,啟德海灣 啟德海灣 1 2A座 18樓 L室,N/A,31/03/2025,2房,$779 萬,430 呎,"$18,109",露台 | | 工作平台
九龍,啟德,維港1號 2B座 高層 F室,N/A,29/03/2025,4房,"$50,000","1,325 呎",$38,天台 | | 露台 | | 工作平台
九龍,啟德,啟德海灣 啟德海灣 1 2B座 25樓 J室,N/A,28/03/2025,2房,"$1,067 萬",538 呎,"$19,840",露台 | | 工作平台
九龍,啟德,尚．珒溋 2座 中層 A室,N/A,28/03/2025,3房,"$33,000",752 呎,$44,露台 | | 工作平台
九龍,啟德,維港．雙鑽 1A座 9樓 C室,N/A,28/03/2025,1房,$535 萬,305 呎,"$17,544",露台 | | 工作平台
九龍,啟德,龍譽 1B座 6樓 F室,N/A,28/03/2025,2房,$800 萬,499 呎,"$16,032",露台 | | 工作平台
