区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,土瓜灣,興基豪園 高層 B室,N/A,03/04/2025,3房,$678 萬,524 呎,"$12,939",N/A
九龍,土瓜灣,傲雲峰 第二座 中層 A室,N/A,03/04/2025,2房,$660 萬,478 呎,"$13,808",露台
九龍,土瓜灣,傲雲峰 第六座 中層 G室,N/A,02/04/2025,2房,"$22,500",520 呎,$43,露台
九龍,土瓜灣,傲雲峰 第一座 高層 A室,N/A,01/04/2025,2房,"$19,300",479 呎,$40,露台
九龍,土瓜灣,環海．東岸 1B座 中層 J室,N/A,01/04/2025,1房,"$16,500",322 呎,$51,露台
九龍,土瓜灣,廣廈 2樓 58室,N/A,31/03/2025,-,$931 萬,"1,066 呎","$8,734",N/A
九龍,土瓜灣,美善同道118-128號 4樓 126室,N/A,31/03/2025,-,"$1,037 萬","1,306 呎","$7,940",N/A
九龍,土瓜灣,美善同道118-128號 2樓 126室,N/A,31/03/2025,-,"$1,058 萬","1,306 呎","$8,101",N/A
九龍,土瓜灣,半山壹號 一期 半山徑30號 26樓 30室,N/A,31/03/2025,3房,"$2,138 萬","1,252 呎","$17,077",露台 | | 工作平台
九龍,土瓜灣,美麗苑 一期 G樓 131室,N/A,31/03/2025,-,$782 萬,957 呎,"$8,171",花園
九龍,土瓜灣,喜點 低層 A室,N/A,31/03/2025,開放式,"$11,338",273 呎,$42,露台
九龍,土瓜灣,廣廈 2樓 56A室,N/A,31/03/2025,-,$741 萬,857 呎,"$8,646",N/A
九龍,土瓜灣,美麗苑 三期 5樓 69室,N/A,31/03/2025,-,$847 萬,"1,082 呎","$7,828",N/A
九龍,土瓜灣,美善同道127-129號 4樓 129室,N/A,31/03/2025,-,$678 萬,861 呎,"$7,875",N/A
九龍,土瓜灣,江蘇街8-10號 G樓 8室,N/A,31/03/2025,-,"$1,170 萬","1,237 呎","$9,458",N/A
九龍,土瓜灣,定安大廈 8樓 B5室,N/A,31/03/2025,-,$300 萬,287 呎,"$10,453",N/A
九龍,土瓜灣,馬頭圍道193號 1樓,N/A,28/03/2025,-,$380 萬,494 呎,"$7,692",N/A
九龍,土瓜灣,美善同道82-86號 2樓 86室,N/A,28/03/2025,-,$504 萬,554 呎,"$9,097",N/A
九龍,土瓜灣,農圃道18號 高層 B室,N/A,28/03/2025,2房,$800 萬,496 呎,"$16,129",露台
九龍,土瓜灣,中南大廈 4樓 A室,N/A,28/03/2025,-,$370 萬,523 呎,"$7,075",N/A
