区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,坑口,新寶城 4座 中層 B室,N/A,03/04/2025,3房,$670 萬,561 呎,"$11,943",N/A
九龍,坑口,新寶城 1座 34樓 C室,N/A,02/04/2025,2房,$512 萬,377 呎,"$13,581",N/A
九龍,坑口,顯明苑 12樓 16室,N/A,01/04/2025,1房,$380 萬,545 呎,"$6,972",N/A
九龍,坑口,南豐廣場 1座 46樓 F室,N/A,01/04/2025,2房,$515 萬,419 呎,"$12,291",N/A
九龍,坑口,新寶城 4座 30樓 H室,N/A,01/04/2025,3房,$800 萬,644 呎,"$12,422",N/A
九龍,坑口,新寶城 6座 25樓 F室,N/A,01/04/2025,2房,$550 萬,378 呎,"$14,537",N/A
九龍,坑口,裕明苑 A座(裕榮閣) 13樓 2室,N/A,31/03/2025,1房,$600 萬,606 呎,"$9,901",N/A
九龍,坑口,頌明苑 A座(嘉明閣) 35樓 7室,N/A,31/03/2025,3房,$480 萬,645 呎,"$7,442",露台
九龍,坑口,安寧花園 1座 中層 G室,N/A,29/03/2025,2房,"$15,500",465 呎,$33,N/A
九龍,坑口,東港城 5座 中層 G室,N/A,28/03/2025,2房,$560 萬,466 呎,"$12,017",N/A
九龍,坑口,裕明苑 A座(裕榮閣) 10樓 1室,N/A,28/03/2025,2房,$460 萬,649 呎,"$7,088",N/A
九龍,坑口,東港城 7座 高層 F室,N/A,27/03/2025,2房,$620 萬,463 呎,"$13,391",N/A
九龍,坑口,煜明苑 C座(熹明閣) 38樓 14室,N/A,27/03/2025,開放式,$450 萬,435 呎,"$10,345",N/A
九龍,坑口,南豐廣場 3座 32樓 E室,N/A,25/03/2025,2房,$580 萬,457 呎,"$12,691",N/A
九龍,坑口,蔚藍灣畔 2座 6樓 B室,N/A,25/03/2025,3房,$959 萬,763 呎,"$12,569",露台 | | 工作平台
九龍,坑口,和明苑 D座(和煦閣) 9樓 2室,N/A,25/03/2025,2房,$411 萬,517 呎,"$7,950",N/A
九龍,坑口,蔚藍灣畔 3座 40樓 F室,N/A,25/03/2025,2房,$688 萬,490 呎,"$14,041",露台 | | 工作平台
九龍,坑口,南豐廣場 5座 低層 G室,N/A,25/03/2025,2房,"$15,800",375 呎,$42,N/A
九龍,坑口,南豐廣場 6座 中層 H室,N/A,23/03/2025,2房,"$17,200",454 呎,$38,N/A
九龍,坑口,東港城 1座 高層 F室,N/A,23/03/2025,2房,"$18,000",463 呎,$39,車位
九龍,坑口,蔚藍灣畔 2座 高層 G室,N/A,22/03/2025,2房,"$20,600",510 呎,$40,天台
九龍,坑口,蔚藍灣畔 7座 低層 G室,N/A,22/03/2025,2房,"$19,200",488 呎,$39,N/A
九龍,坑口,新寶城 3座 低層 G室,N/A,21/03/2025,3房,$660 萬,562 呎,"$11,744",N/A
九龍,坑口,南豐廣場 3座 17樓 H室,N/A,21/03/2025,2房,$520 萬,466 呎,"$11,159",N/A
九龍,坑口,富寧花園 6座 20樓 M室,N/A,21/03/2025,2房,$415 萬,495 呎,"$8,384",N/A
九龍,坑口,煜明苑 B座(焜明閣) 10樓 11室,N/A,20/03/2025,1房,$450 萬,610 呎,"$7,377",N/A
九龍,坑口,東港城 7座 42樓 G室,N/A,20/03/2025,2房,$620 萬,463 呎,"$13,391",N/A
九龍,坑口,顯明苑 30樓 11室,N/A,18/03/2025,開放式,$270 萬,213 呎,"$12,676",N/A
九龍,坑口,富寧花園 5座 26樓 C室,N/A,18/03/2025,3房,$363 萬,592 呎,"$6,128",N/A
九龍,坑口,東港城 1座 低層 E室,N/A,17/03/2025,3房,"$18,000",619 呎,$29,N/A
九龍,坑口,南豐廣場 6座 低層 C室,N/A,15/03/2025,3房,"$21,500",608 呎,$35,N/A
九龍,坑口,東港城 7座 37樓 C室,N/A,14/03/2025,2房,$578 萬,463 呎,"$12,484",N/A
九龍,坑口,昭明苑 38樓 11室,N/A,13/03/2025,-,$200 萬,283 呎,"$7,051",N/A
九龍,坑口,裕明苑 B座(裕昌閣) 2樓 3室,N/A,12/03/2025,1房,$383 萬,606 呎,"$6,320",N/A
九龍,坑口,蔚藍灣畔 6座 21樓 D室,N/A,12/03/2025,3房,$873 萬,652 呎,"$13,390",露台 | | 工作平台
九龍,坑口,南豐廣場 2座 低層 C室,N/A,11/03/2025,2房,"$17,000",419 呎,$41,N/A
九龍,坑口,海悅豪園 2座 低層 D室,N/A,10/03/2025,2房,"$17,000",432 呎,$39,N/A
九龍,坑口,東港城 1座 中層 G室,N/A,10/03/2025,2房,"$17,300",463 呎,$37,N/A
九龍,坑口,南豐廣場 3座 32樓 H室,N/A,10/03/2025,2房,$554 萬,466 呎,"$11,884",N/A
九龍,坑口,新寶城 3座 中層 D室,N/A,10/03/2025,2房,"$17,000",434 呎,$39,N/A
九龍,坑口,南豐廣場 5座 12樓 F室,N/A,05/03/2025,2房,$520 萬,375 呎,"$13,867",N/A
九龍,坑口,海悅豪園 1座 24樓 E室,N/A,05/03/2025,2房,$500 萬,432 呎,"$11,574",N/A
九龍,坑口,東港城 7座 18樓 H室,N/A,05/03/2025,3房,$750 萬,623 呎,"$12,039",N/A
九龍,坑口,昭明苑 40樓 12室,N/A,05/03/2025,-,$204 萬,287 呎,"$7,110",N/A
