区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,太子,通菜街105-107號 8樓 105室,N/A,28/03/2025,-,$298 萬,584 呎,"$5,103",N/A
九龍,太子,華鴻大樓 2樓 F室,N/A,28/03/2025,-,$220 萬,330 呎,"$6,667",平台
九龍,太子,五寶大廈 3樓 E室,N/A,28/03/2025,-,$272 萬,335 呎,"$8,119",N/A
九龍,太子,花園街190號 1樓,N/A,28/03/2025,-,$318 萬,718 呎,"$4,429",平台
九龍,太子,西洋大樓 2樓 190室,N/A,27/03/2025,-,$310 萬,466 呎,"$6,652",N/A
九龍,太子,利興大樓 11樓 H室,N/A,26/03/2025,-,$315 萬,538 呎,"$5,855",N/A
九龍,太子,通菜街154-156號 3樓 C室,N/A,25/03/2025,-,$300 萬,363 呎,"$8,264",N/A
九龍,太子,長寧大廈 10樓 E室,N/A,21/03/2025,-,$550 萬,700 呎,"$7,857",N/A
九龍,太子,先施大廈 3樓 5室,N/A,20/03/2025,-,$330 萬,772 呎,"$4,275",N/A
九龍,太子,別樹華軒 29樓 D室,N/A,20/03/2025,1房,$446 萬,267 呎,"$16,704",N/A
九龍,太子,旺角城大廈 11樓 C室,N/A,20/03/2025,-,$428 萬,394 呎,"$10,863",N/A
九龍,太子,太子道西206-208號 1樓 206室,N/A,18/03/2025,-,$480 萬,874 呎,"$5,497",平台
九龍,太子,兆業大廈 4樓 D室,N/A,17/03/2025,-,$270 萬,399 呎,"$6,767",N/A
九龍,太子,啟運大廈 11樓 C室,N/A,17/03/2025,2房,$210 萬,220 呎,"$9,545",N/A
九龍,太子,友誠大廈 15樓 C室,N/A,17/03/2025,-,$300 萬,393 呎,"$7,634",N/A
九龍,太子,鉅成大樓 6樓 D室,N/A,14/03/2025,-,$379 萬,360 呎,"$10,528",N/A
九龍,太子,別樹一居 18樓 A室,N/A,13/03/2025,3房,$780 萬,591 呎,"$13,198",N/A
九龍,太子,五寶大廈 8樓 G室,N/A,12/03/2025,-,$185 萬,340 呎,"$5,441",N/A
九龍,太子,伊利莎大廈 12樓 C室,N/A,11/03/2025,-,$380 萬,306 呎,"$12,418",N/A
九龍,太子,花園街217號 3樓 B室,N/A,11/03/2025,-,$350 萬,428 呎,"$8,178",N/A
九龍,太子,建煌華廈 二期 H座 2樓,N/A,11/03/2025,-,$350 萬,406 呎,"$8,621",平台
九龍,太子,國際大樓 13樓 58室,N/A,06/03/2025,-,$400 萬,610 呎,"$6,557",N/A
九龍,太子,別樹華軒 低層 F室,N/A,06/03/2025,1房,"$14,600",242 呎,$60,平台
九龍,太子,百花閣 13樓 A室,N/A,05/03/2025,-,$708 萬,535 呎,"$13,234",N/A
