区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,奧運,浪澄灣 6座 低層 F室,N/A,03/04/2025,2房,$790 萬,566 呎,"$13,958",N/A
九龍,奧運,君滙港 5座 中層 G室,N/A,03/04/2025,2房,$780 萬,474 呎,"$16,456",N/A
九龍,奧運,維港灣 07座 中層 D室,N/A,02/04/2025,3房,"$1,340 萬",710 呎,"$18,873",N/A
九龍,奧運,帝峯．皇殿 7座 低層 D室,N/A,01/04/2025,開放式,"$17,500",333 呎,$53,露台 | | 工作平台
九龍,奧運,柏景灣 06座 中層 D室,N/A,01/04/2025,3房,"$1,432 萬",756 呎,"$18,942",N/A
九龍,奧運,帝峯．皇殿 2座 高層 A室,N/A,01/04/2025,5房,"$52,000","1,174 呎",$44,車位 | | 露台 | | 工作平台
九龍,奧運,帝峯．皇殿 3座 高層 B室,N/A,01/04/2025,5房,"$50,000","1,118 呎",$45,露台 | | 工作平台
九龍,奧運,浪澄灣 7座 39樓 D室,N/A,31/03/2025,3房,"$1,380 萬",823 呎,"$16,768",露台
九龍,奧運,浪澄灣 8座 低層 F室,N/A,30/03/2025,2房,"$23,000",550 呎,$42,N/A
九龍,奧運,君滙港 2座 低層 C室,N/A,29/03/2025,3房,"$39,800",887 呎,$45,N/A
九龍,奧運,凱帆軒 1座 28樓 D室,N/A,28/03/2025,2房,$718 萬,464 呎,"$15,474",平台 | | 露台 | | 工作平台
九龍,奧運,君滙港 6座 26樓 C室,N/A,27/03/2025,3房,$850 萬,541 呎,"$15,712",露台 | | 工作平台
九龍,奧運,浪澄灣 6座 27樓 C室,N/A,27/03/2025,2房,$842 萬,546 呎,"$15,412",N/A
九龍,奧運,君滙港 6座 19樓 G室,N/A,27/03/2025,2房,$768 萬,473 呎,"$16,237",露台 | | 工作平台
九龍,奧運,維港灣 05座 中層 F室,N/A,26/03/2025,2房,$775 萬,457 呎,"$16,958",N/A
九龍,奧運,一號銀海 3座 低層 C室,N/A,26/03/2025,3房,"$40,000",665 呎,$60,N/A
九龍,奧運,君滙港 6座 6樓 D室,N/A,25/03/2025,2房,$750 萬,477 呎,"$15,723",露台 | | 工作平台
九龍,奧運,浪澄灣 7座 16樓 D室,N/A,25/03/2025,3房,"$1,342 萬",790 呎,"$16,987",N/A
九龍,奧運,凱帆軒 3座 中層 F室,N/A,25/03/2025,2房,"$21,000",440 呎,$48,N/A
九龍,奧運,浪澄灣 1座 中層 D室,N/A,25/03/2025,2房,"$24,000",569 呎,$42,N/A
九龍,奧運,凱帆軒 2座 低層 F室,N/A,24/03/2025,2房,$529 萬,426 呎,"$12,418",N/A
