区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,寶琳,新都城 二期 9座 5樓 A室,N/A,02/04/2025,3房,$640 萬,538 呎,"$11,896",N/A
九龍,寶琳,新都城 二期 11座 低層 C室,N/A,02/04/2025,2房,$496 萬,363 呎,"$13,664",N/A
九龍,寶琳,新都城 三期 3座 42樓 D室,N/A,01/04/2025,2房,$633 萬,470 呎,"$13,468",N/A
九龍,寶琳,茵怡花園 6座 8樓 A室,N/A,01/04/2025,-,$428 萬,368 呎,"$11,630",N/A
九龍,寶琳,慧安園 3座 7樓 F室,N/A,01/04/2025,2房,$450 萬,411 呎,"$10,949",N/A
九龍,寶琳,英明苑 明安閣 ( E座 ) 21樓 3室,N/A,01/04/2025,2房,$381 萬,401 呎,"$9,501",露台
九龍,寶琳,新都城 一期 03座 中層 H室,N/A,31/03/2025,3房,"$22,000",526 呎,$42,N/A
九龍,寶琳,富麗花園 2座 中層 A室,N/A,29/03/2025,2房,"$15,200",410 呎,$37,N/A
九龍,寶琳,寶林邨 寶德樓 (4座) 23樓 13室,N/A,28/03/2025,開放式,$285 萬,490 呎,"$5,816",露台
九龍,寶琳,寶林邨 寶德樓 (4座) 11樓 19室,N/A,28/03/2025,開放式,$38.76 萬,-,-,露台
九龍,寶琳,英明苑 明遠閣 ( A座 ) 32樓 4室,N/A,28/03/2025,3房,$550 萬,645 呎,"$8,527",露台
九龍,寶琳,新都城 三期 02座 低層 C室,N/A,28/03/2025,2房,$558 萬,406 呎,"$13,744",N/A
九龍,寶琳,新都城 二期 7座 8樓 A室,N/A,28/03/2025,2房,$577 萬,441 呎,"$13,084",N/A
九龍,寶琳,新都城 一期 2座 38樓 G室,N/A,27/03/2025,2房,$530 萬,364 呎,"$14,560",N/A
九龍,寶琳,景林邨 1座 (景松樓) 15樓 23室,N/A,27/03/2025,開放式,$178 萬,349 呎,"$5,100",露台
九龍,寶琳,新都城 三期 1座 42樓 B室,N/A,27/03/2025,2房,$564 萬,406 呎,"$13,887",N/A
九龍,寶琳,茵怡花園 4座 8樓 H室,N/A,26/03/2025,-,$400 萬,372 呎,"$10,753",N/A
九龍,寶琳,景林邨 2座 (景櫚樓) 10樓 15室,N/A,26/03/2025,開放式,$297 萬,349 呎,"$8,510",露台
九龍,寶琳,慧安園 4座 6樓 E室,N/A,26/03/2025,2房,$418 萬,354 呎,"$11,808",N/A
九龍,寶琳,叠翠軒 3座 43樓 H室,N/A,25/03/2025,-,$452 萬,452 呎,"$10,000",N/A
九龍,寶琳,新都城 二期 8座 33樓 B室,N/A,25/03/2025,2房,$450 萬,363 呎,"$12,397",N/A
九龍,寶琳,富麗花園 1座 1樓 A室,N/A,25/03/2025,2房,$430 萬,410 呎,"$10,488",N/A
九龍,寶琳,富麗花園 1座 35樓 C室,N/A,25/03/2025,3房,$550 萬,556 呎,"$9,892",N/A
九龍,寶琳,景林邨 6座 (景桃樓) 1樓 4室,N/A,25/03/2025,-,$20.16 萬,-,-,N/A
九龍,寶琳,新都城 一期 6座 13樓 D室,N/A,25/03/2025,3房,$679 萬,526 呎,"$12,909",N/A
九龍,寶琳,新都城 一期 1座 27樓 F室,N/A,21/03/2025,2房,$536 萬,364 呎,"$14,725",N/A
九龍,寶琳,景林邨 3座 (景棉樓) 20樓 20室,N/A,21/03/2025,開放式,$129 萬,153 呎,"$8,418",N/A
九龍,寶琳,浩明苑 A座 高層 14室,N/A,21/03/2025,開放式,$408 萬,443 呎,"$9,210",N/A
九龍,寶琳,景林邨 3座 (景棉樓) 10樓 20室,N/A,21/03/2025,開放式,$16.26 萬,-,-,N/A
九龍,寶琳,新都城 一期 2座 9樓 A室,N/A,20/03/2025,2房,$530 萬,420 呎,"$12,619",N/A
九龍,寶琳,新都城 一期 3座 4樓 C室,N/A,20/03/2025,2房,$486 萬,364 呎,"$13,352",N/A
九龍,寶琳,慧安園 2座 高層 H室,N/A,20/03/2025,2房,"$15,500",413 呎,$38,N/A
九龍,寶琳,新都城 一期 3座 13樓 G室,N/A,20/03/2025,2房,$498 萬,364 呎,"$13,681",N/A
九龍,寶琳,茵怡花園 1座 21樓 D室,N/A,18/03/2025,-,$280 萬,400 呎,"$7,000",N/A
九龍,寶琳,茵怡花園 2座 27樓 D室,N/A,18/03/2025,-,$450 萬,488 呎,"$9,221",N/A
九龍,寶琳,怡心園 1座 40樓 F室,N/A,17/03/2025,2房,$490 萬,503 呎,"$9,742",N/A
九龍,寶琳,茵怡花園 5座 30樓 C室,N/A,17/03/2025,-,$495 萬,485 呎,"$10,206",平台
九龍,寶琳,怡心園 2座 5樓 A室,N/A,14/03/2025,3房,$567 萬,656 呎,"$8,640",N/A
九龍,寶琳,浩明苑 A座 24樓 16室,N/A,14/03/2025,開放式,$381 萬,381 呎,"$10,000",露台
九龍,寶琳,寶林邨 寶泰樓 (2座) 24樓 22室,N/A,14/03/2025,開放式,$61.27 萬,-,-,露台
九龍,寶琳,茵怡花園 3座 13樓 E室,N/A,13/03/2025,-,$450 萬,495 呎,"$9,091",N/A
九龍,寶琳,新都城 二期 1座 10樓 G室,N/A,13/03/2025,3房,$697 萬,545 呎,"$12,789",N/A
九龍,寶琳,英明苑 明達閣 ( C座 ) 28樓 5室,N/A,13/03/2025,3房,$450 萬,554 呎,"$8,123",露台
九龍,寶琳,慧安園 1座 8樓 H室,N/A,13/03/2025,1房,$412 萬,354 呎,"$11,638",N/A
九龍,寶琳,景林邨 8座 (景榕樓) 28樓 13室,N/A,13/03/2025,開放式,$66.91 萬,-,-,露台
九龍,寶琳,怡心園 1座 低層 D室,N/A,12/03/2025,3房,"$16,200",604 呎,$27,N/A
九龍,寶琳,寶林邨 寶智樓 (5座) 27樓 2室,N/A,12/03/2025,開放式,$40.27 萬,-,-,露台
九龍,寶琳,景林邨 6座 (景桃樓) 10樓 6室,N/A,12/03/2025,開放式,$163 萬,150 呎,"$10,853",N/A
九龍,寶琳,慧安園 4座 4樓 B室,N/A,11/03/2025,3房,$539 萬,578 呎,"$9,325",N/A
九龍,寶琳,新都城 二期 9座 37樓 C室,N/A,10/03/2025,2房,$538 萬,363 呎,"$14,821",N/A
