区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,尖沙咀佐敦,御金．國峯 6座 中層 B室,N/A,02/04/2025,1房,$635 萬,400 呎,"$15,875",露台 | | 工作平台
九龍,尖沙咀佐敦,Grand Austin 2座 - T2A 26樓 D室,N/A,02/04/2025,3房,"$2,080 萬",889 呎,"$23,397",露台 | | 工作平台
九龍,尖沙咀佐敦,翠匯軒 21樓 A室,N/A,01/04/2025,-,$538 萬,381 呎,"$14,121",露台 | | 工作平台
九龍,尖沙咀佐敦,恆星樓 16樓 3室,N/A,01/04/2025,1房,$273 萬,337 呎,"$8,101",N/A
九龍,尖沙咀佐敦,Grand Austin 2座 - T2 高層 B室,N/A,01/04/2025,4房,"$3,820 萬","1,215 呎","$31,440",露台 | | 工作平台
九龍,尖沙咀佐敦,文昌樓 16樓 29室,N/A,01/04/2025,-,$335 萬,370 呎,"$9,054",N/A
九龍,尖沙咀佐敦,瑞香園大廈 8樓 C室,N/A,01/04/2025,-,$280 萬,362 呎,"$7,735",N/A
九龍,尖沙咀佐敦,Grand Austin 5座 - T5 22樓 D室,N/A,31/03/2025,4房,"$3,700 萬","1,271 呎","$29,111",車位 | | 露台 | | 工作平台
九龍,尖沙咀佐敦,偉利閣 9樓 C室,N/A,31/03/2025,-,$340 萬,280 呎,"$12,143",N/A
九龍,尖沙咀佐敦,鴻運大樓 7樓 E1室,N/A,31/03/2025,-,$100 萬,93 呎,"$10,753",N/A
九龍,尖沙咀佐敦,漢中大廈 10樓 B室,N/A,31/03/2025,-,$732 萬,896 呎,"$8,170",N/A
九龍,尖沙咀佐敦,Grand Austin 3座 - T3A 22樓 B室,N/A,31/03/2025,2房,"$1,220 萬",580 呎,"$21,034",露台 | | 工作平台
九龍,尖沙咀佐敦,文耀樓 7樓 45室,N/A,31/03/2025,-,$350 萬,565 呎,"$6,195",N/A
九龍,尖沙咀佐敦,華源大廈 4樓 C4室,N/A,28/03/2025,-,$407 萬,478 呎,"$8,510",N/A
九龍,尖沙咀佐敦,廟街198號 4樓,N/A,28/03/2025,-,$245 萬,455 呎,"$5,385",N/A
九龍,尖沙咀佐敦,道興樓 7樓 C室,N/A,28/03/2025,-,$228 萬,310 呎,"$7,355",N/A
九龍,尖沙咀佐敦,港景峯 2座 51樓 B室,N/A,28/03/2025,3房,"$2,060 萬",920 呎,"$22,391",露台
九龍,尖沙咀佐敦,餘慶大廈 4樓 D室,N/A,27/03/2025,-,$272 萬,380 呎,"$7,158",N/A
九龍,尖沙咀佐敦,顯發大廈 15樓 B室,N/A,27/03/2025,2房,$400 萬,343 呎,"$11,662",N/A
九龍,尖沙咀佐敦,廣東道578號 1樓,N/A,27/03/2025,-,$298 萬,737 呎,"$4,043",N/A
九龍,尖沙咀佐敦,御金．國峯 2座 35樓 C室,N/A,27/03/2025,2房,"$1,000 萬",603 呎,"$16,584",露台 | | 工作平台
九龍,尖沙咀佐敦,帝寶樓 15樓 B室,N/A,26/03/2025,-,$508 萬,512 呎,"$9,922",N/A
九龍,尖沙咀佐敦,白加士街125-127 白加士街125-127號 1樓 125室,N/A,26/03/2025,-,$281 萬,280 呎,"$10,036",平台
九龍,尖沙咀佐敦,浩如樓 5樓 141室,N/A,26/03/2025,-,$200 萬,391 呎,"$5,115",天台
九龍,尖沙咀佐敦,Grand Austin 2座 - T2A 21樓 C室,N/A,26/03/2025,2房,"$1,194 萬",595 呎,"$20,064",露台 | | 工作平台
九龍,尖沙咀佐敦,美麗都大廈 8樓 E2室,N/A,25/03/2025,-,$360 萬,560 呎,"$6,429",N/A
九龍,尖沙咀佐敦,天文臺道16號 2樓,N/A,25/03/2025,-,$450 萬,639 呎,"$7,042",N/A
九龍,尖沙咀佐敦,名鑄 28樓 G室,N/A,24/03/2025,2房,"$2,080 萬","1,033 呎","$20,136",N/A
九龍,尖沙咀佐敦,恆星樓 8樓 2室,N/A,24/03/2025,1房,$330 萬,431 呎,"$7,657",N/A
九龍,尖沙咀佐敦,嘉文花園 3座 低層 C室,N/A,23/03/2025,2房,"$1,364 萬",793 呎,"$17,198",車位
九龍,尖沙咀佐敦,恒通大廈 10樓 B10室,N/A,21/03/2025,-,$300 萬,368 呎,"$8,152",N/A
九龍,尖沙咀佐敦,康源閣 6樓 B2室,N/A,21/03/2025,-,$700 萬,597 呎,"$11,725",N/A
九龍,尖沙咀佐敦,名鑄 低層 D室,N/A,21/03/2025,1房,"$35,000",604 呎,$58,N/A
九龍,尖沙咀佐敦,祥景樓 3樓 B室,N/A,20/03/2025,-,$457 萬,375 呎,"$12,187",平台
九龍,尖沙咀佐敦,山林道34-36號 9樓 34室,N/A,20/03/2025,-,$768 萬,732 呎,"$10,492",N/A
九龍,尖沙咀佐敦,白加士街41號 3樓 41室,N/A,19/03/2025,-,$280 萬,568 呎,"$4,930",N/A
九龍,尖沙咀佐敦,華寶大廈 4樓 A1室,N/A,19/03/2025,3房,$375 萬,401 呎,"$9,352",N/A
九龍,尖沙咀佐敦,富裕臺 A座 4樓 A5室,N/A,18/03/2025,3房,$628 萬,568 呎,"$11,056",露台
九龍,尖沙咀佐敦,港景峯 1座 39樓 A室,N/A,18/03/2025,2房,$930 萬,487 呎,"$19,097",露台
九龍,尖沙咀佐敦,海防大廈 2樓 4室,N/A,18/03/2025,-,$600 萬,684 呎,"$8,772",N/A
九龍,尖沙咀佐敦,恒昌大廈 11樓 B室,N/A,18/03/2025,-,$323 萬,269 呎,"$12,007",N/A
九龍,尖沙咀佐敦,海景大廈 漆咸道南25號 14樓 FP室,N/A,18/03/2025,-,"$1,035 萬","1,138 呎","$9,095",N/A
九龍,尖沙咀佐敦,偉利閣 16樓 B室,N/A,18/03/2025,-,$290 萬,273 呎,"$10,623",N/A
九龍,尖沙咀佐敦,富麗閣 7樓 C室,N/A,17/03/2025,1房,$267 萬,214 呎,"$12,477",N/A
九龍,尖沙咀佐敦,康源閣 14樓 B4室,N/A,17/03/2025,-,$738 萬,586 呎,"$12,594",N/A
九龍,尖沙咀佐敦,名鑄 低層 B室,N/A,17/03/2025,1房,"$45,000",817 呎,$55,N/A
九龍,尖沙咀佐敦,海景大廈 麼地道31號 10樓 RP室,N/A,17/03/2025,-,$550 萬,701 呎,"$7,846",N/A
九龍,尖沙咀佐敦,立信大廈 6樓 I室,N/A,17/03/2025,-,$203 萬,238 呎,"$8,529",N/A
九龍,尖沙咀佐敦,利源閣 18樓 C室,N/A,17/03/2025,2房,$350 萬,265 呎,"$13,208",N/A
九龍,尖沙咀佐敦,重慶大廈 4樓 D4室,N/A,17/03/2025,-,$300 萬,605 呎,"$4,959",N/A
九龍,尖沙咀佐敦,恆星樓 中層 H室,N/A,16/03/2025,1房,"$12,000",335 呎,$36,N/A
九龍,尖沙咀佐敦,寶華大樓 13樓 C室,N/A,14/03/2025,-,$230 萬,193 呎,"$11,917",N/A
九龍,尖沙咀佐敦,喜利大廈 11樓 B室,N/A,14/03/2025,-,$650 萬,920 呎,"$7,065",N/A
九龍,尖沙咀佐敦,官涌大樓 7樓 44A室,N/A,14/03/2025,-,$260 萬,358 呎,"$7,263",N/A
九龍,尖沙咀佐敦,恩賜大廈 6樓 B室,N/A,14/03/2025,-,$320 萬,286 呎,"$11,189",N/A
九龍,尖沙咀佐敦,好安樓 7樓 D室,N/A,14/03/2025,-,$880 萬,753 呎,"$11,687",車位
九龍,尖沙咀佐敦,華源大廈 2樓 C4室,N/A,13/03/2025,-,$300 萬,478 呎,"$6,276",平台
九龍,尖沙咀佐敦,官涌大樓 3樓 44室,N/A,13/03/2025,-,$312 萬,456 呎,"$6,842",N/A
九龍,尖沙咀佐敦,安樂大廈 11樓 A室,N/A,13/03/2025,-,$588 萬,779 呎,"$7,548",N/A
九龍,尖沙咀佐敦,康信大廈 12樓 B室,N/A,12/03/2025,3房,$500 萬,457 呎,"$10,941",N/A
九龍,尖沙咀佐敦,AVA 62 15樓 C室,N/A,12/03/2025,開放式,$275 萬,173 呎,"$15,896",露台
九龍,尖沙咀佐敦,恆星樓 2樓 4室,N/A,12/03/2025,1房,$285 萬,337 呎,"$8,457",N/A
九龍,尖沙咀佐敦,幸運大廈 1樓 C室,N/A,12/03/2025,3房,$500 萬,424 呎,"$11,792",平台
九龍,尖沙咀佐敦,AVA 62 15樓 D室,N/A,12/03/2025,開放式,$300 萬,200 呎,"$15,000",露台
九龍,尖沙咀佐敦,文華樓 14樓 7室,N/A,11/03/2025,-,$400 萬,605 呎,"$6,612",N/A
九龍,尖沙咀佐敦,重慶大廈 9樓 C2室,N/A,11/03/2025,-,$300 萬,717 呎,"$4,184",N/A
九龍,尖沙咀佐敦,Grand Austin 3座 - T3A 低層 B室,N/A,11/03/2025,2房,"$31,000",580 呎,$53,露台 | | 工作平台
九龍,尖沙咀佐敦,名鑄 低層 A室,N/A,10/03/2025,2房,"$50,000","1,133 呎",$44,N/A
九龍,尖沙咀佐敦,金利大廈 中層 B室,N/A,10/03/2025,2房,"$12,500",340 呎,$37,N/A
九龍,尖沙咀佐敦,Grand Austin 5座 - T5 高層 C室,N/A,09/03/2025,3房,"$52,000",852 呎,$61,車位 | | 露台 | | 工作平台
九龍,尖沙咀佐敦,Grand Austin 3座 - T3A 高層 C室,N/A,08/03/2025,2房,"$32,800",581 呎,$56,露台 | | 工作平台
九龍,尖沙咀佐敦,渡船街6號 2樓,N/A,07/03/2025,-,$270 萬,612 呎,"$4,412",N/A
九龍,尖沙咀佐敦,上海街189-191號 上海街191號 2樓,N/A,07/03/2025,-,$260 萬,435 呎,"$5,977",N/A
九龍,尖沙咀佐敦,統一大廈 統一大廈 (A 座) 4樓 A6室,N/A,07/03/2025,-,$485 萬,868 呎,"$5,588",N/A
九龍,尖沙咀佐敦,喜利大廈 14樓 C室,N/A,07/03/2025,-,$352 萬,413 呎,"$8,523",N/A
九龍,尖沙咀佐敦,怡興閣 4樓 C室,N/A,06/03/2025,-,$343 萬,316 呎,"$10,854",N/A
九龍,尖沙咀佐敦,夏蕙樓 4樓 A室,N/A,06/03/2025,-,$470 萬,541 呎,"$8,688",N/A
九龍,尖沙咀佐敦,新填地街49號 2樓,N/A,06/03/2025,-,$280 萬,410 呎,"$6,829",N/A
九龍,尖沙咀佐敦,寶輝閣 高層 B室,N/A,05/03/2025,-,"$16,000",320 呎,$50,N/A
九龍,尖沙咀佐敦,平安大樓 15樓 5室,N/A,05/03/2025,-,$425 萬,734 呎,"$5,790",N/A
九龍,尖沙咀佐敦,恆星樓 低層 5室,N/A,05/03/2025,1房,"$13,500",337 呎,$40,N/A
九龍,尖沙咀佐敦,御金．國峯 1座 低層 B室,N/A,04/03/2025,3房,"$36,000",930 呎,$39,露台 | | 工作平台
九龍,尖沙咀佐敦,寶安大廈 3樓 B室,N/A,04/03/2025,-,$300 萬,338 呎,"$8,876",N/A
九龍,尖沙咀佐敦,嘉樂大廈 3樓 5A室,N/A,03/03/2025,-,$320 萬,448 呎,"$7,143",N/A
九龍,尖沙咀佐敦,嘉樂大廈 3樓 5室,N/A,03/03/2025,-,$460 萬,593 呎,"$7,757",N/A
九龍,尖沙咀佐敦,紀德樓 11樓 8室,N/A,03/03/2025,-,$520 萬,493 呎,"$10,548",N/A
九龍,尖沙咀佐敦,漢興大廈 5樓 C室,N/A,03/03/2025,-,$580 萬,691 呎,"$8,394",N/A
九龍,尖沙咀佐敦,東景台 低層 B室,N/A,01/03/2025,-,"$82,500","2,442 呎",$34,車位
九龍,尖沙咀佐敦,嘉文花園 2座 高層 B室,N/A,01/03/2025,3房,"$51,000","1,087 呎",$47,N/A
九龍,尖沙咀佐敦,騏邦大廈 11樓 B室,N/A,28/02/2025,-,$290 萬,283 呎,"$10,247",N/A
九龍,尖沙咀佐敦,金百龍大廈 7樓 C室,N/A,28/02/2025,-,$218 萬,337 呎,"$6,469",N/A
九龍,尖沙咀佐敦,凱譽 中層 A室,N/A,27/02/2025,2房,"$28,000",445 呎,$63,N/A
九龍,尖沙咀佐敦,重慶大廈 12樓 B5室,N/A,27/02/2025,-,$270 萬,524 呎,"$5,153",N/A
九龍,尖沙咀佐敦,好安樓 低層 D室,N/A,27/02/2025,-,"$26,000",753 呎,$35,N/A
九龍,尖沙咀佐敦,溫莎大廈 12樓 G室,N/A,25/02/2025,-,$398 萬,534 呎,"$7,453",N/A
九龍,尖沙咀佐敦,金巴利道86-96號 2樓 A室,N/A,25/02/2025,-,$405 萬,590 呎,"$6,864",N/A
九龍,尖沙咀佐敦,金巴利道86-96號 2樓 A室,N/A,25/02/2025,-,$405 萬,590 呎,"$6,864",N/A
九龍,尖沙咀佐敦,華寶大廈 15樓 A2室,N/A,25/02/2025,3房,$390 萬,413 呎,"$9,443",N/A
九龍,尖沙咀佐敦,華寶大廈 中層 B2室,N/A,24/02/2025,3房,"$17,500",413 呎,$42,N/A
九龍,尖沙咀佐敦,高景臺 高層 B室,N/A,24/02/2025,-,"$84,000","2,491 呎",$34,車位
九龍,尖沙咀佐敦,港景峯 1座 中層 A室,N/A,22/02/2025,2房,"$25,000",487 呎,$51,N/A
九龍,尖沙咀佐敦,Grand Austin 2座 - T2 高層 B室,N/A,22/02/2025,4房,"$71,000","1,216 呎",$58,露台 | | 工作平台
九龍,尖沙咀佐敦,名鑄 高層 F室,N/A,22/02/2025,2房,"$47,500","1,147 呎",$41,N/A
九龍,尖沙咀佐敦,嘉寶大廈 中層 A室,N/A,21/02/2025,-,"$15,500",432 呎,$36,N/A
九龍,尖沙咀佐敦,海景大廈 漆咸道南27A號 9樓,N/A,20/02/2025,-,"$1,600 萬","1,748 呎","$9,153",N/A
九龍,尖沙咀佐敦,威華大廈 8樓 1室,N/A,20/02/2025,-,$397 萬,380 呎,"$10,447",N/A
九龍,尖沙咀佐敦,餘慶大廈 15樓 D室,N/A,19/02/2025,-,$300 萬,356 呎,"$8,427",N/A
九龍,尖沙咀佐敦,麗東大廈 高層 F室,N/A,19/02/2025,-,"$16,800",850 呎,$20,N/A
九龍,尖沙咀佐敦,赫德道11A-11D號 3樓 A室,N/A,18/02/2025,-,$590 萬,656 呎,"$8,994",N/A
九龍,尖沙咀佐敦,港景峯 2座 低層 F室,N/A,18/02/2025,3房,"$37,000",841 呎,$44,N/A
九龍,尖沙咀佐敦,福樂大廈 14樓 A室,N/A,18/02/2025,-,$558 萬,807 呎,"$6,914",N/A
九龍,尖沙咀佐敦,文華樓 10樓 11室,N/A,17/02/2025,-,$500 萬,565 呎,"$8,850",N/A
九龍,尖沙咀佐敦,康寧大廈 8樓 D室,N/A,17/02/2025,-,$280 萬,365 呎,"$7,671",N/A
九龍,尖沙咀佐敦,御金．國峯 3座 11樓 A室,N/A,14/02/2025,4房,"$2,588 萬","1,614 呎","$16,035",車位 | | 露台 | | 工作平台
九龍,尖沙咀佐敦,瑜德大廈 4樓 8室,N/A,14/02/2025,-,$320 萬,395 呎,"$8,101",N/A
九龍,尖沙咀佐敦,統一大廈 統一大廈 (A 座) 3樓 A4室,N/A,14/02/2025,-,$700 萬,"1,390 呎","$5,036",N/A
九龍,尖沙咀佐敦,港景峯 3座 41樓 B室,N/A,13/02/2025,3房,"$1,510 萬",800 呎,"$18,875",平台 | | 露台
九龍,尖沙咀佐敦,御金．國峯 1座 25樓 B室,N/A,13/02/2025,3房,"$1,550 萬",928 呎,"$16,703",露台 | | 工作平台
九龍,尖沙咀佐敦,金勳大廈 4樓 10室,N/A,11/02/2025,-,$380 萬,457 呎,"$8,315",N/A
九龍,尖沙咀佐敦,金巴利大廈 F座 12A樓,N/A,11/02/2025,-,$460 萬,533 呎,"$8,630",N/A
九龍,尖沙咀佐敦,御金．國峯 2座 31樓 B室,N/A,11/02/2025,3房,"$1,600 萬",927 呎,"$17,260",露台 | | 工作平台
九龍,尖沙咀佐敦,夏蕙閣 12樓 B室,N/A,10/02/2025,2房,$320 萬,248 呎,"$12,903",N/A
九龍,尖沙咀佐敦,恆星樓 13樓 I室,N/A,10/02/2025,1房,$296 萬,353 呎,"$8,385",N/A
九龍,尖沙咀佐敦,御金．國峯 1座 高層 B室,N/A,08/02/2025,3房,"$37,000",932 呎,$40,露台 | | 工作平台
九龍,尖沙咀佐敦,港景峯 3座 57樓 B室,N/A,07/02/2025,-,"$1,590 萬",791 呎,"$20,101",N/A
九龍,尖沙咀佐敦,名鑄 中層 E室,N/A,05/02/2025,2房,"$61,000","1,016 呎",$60,N/A
九龍,尖沙咀佐敦,海景大廈 麼地道33號 5樓 FP室,N/A,05/02/2025,-,$880 萬,999 呎,"$8,809",N/A
九龍,尖沙咀佐敦,平安大樓 7樓 11室,N/A,05/02/2025,-,$330 萬,730 呎,"$4,521",N/A
九龍,尖沙咀佐敦,偉安大廈 A座 7樓 1B(RP)室,N/A,05/02/2025,-,$340 萬,374 呎,"$9,091",N/A
九龍,尖沙咀佐敦,金瓊樓 9樓 1室,N/A,04/02/2025,-,$400 萬,438 呎,"$9,132",N/A
九龍,尖沙咀佐敦,德昇大廈 6樓 C室,N/A,04/02/2025,-,$218 萬,285 呎,"$7,649",N/A
九龍,尖沙咀佐敦,發利大廈 5樓 4室,N/A,03/02/2025,-,$600 萬,575 呎,"$10,435",N/A
九龍,尖沙咀佐敦,嘉芬大廈 9樓 A3室,N/A,03/02/2025,-,$491 萬,662 呎,"$7,417",N/A
九龍,尖沙咀佐敦,文苑樓 1樓 7室,N/A,28/01/2025,-,$345 萬,665 呎,"$5,188",N/A
九龍,尖沙咀佐敦,珀．軒 17樓 B室,N/A,27/01/2025,開放式,$300 萬,233 呎,"$12,876",露台 | | 工作平台
九龍,尖沙咀佐敦,重慶大廈 11樓 E4室,N/A,27/01/2025,-,$430 萬,684 呎,"$6,287",N/A
九龍,尖沙咀佐敦,廟街280-284號 4樓 C室,N/A,27/01/2025,-,$157 萬,264 呎,"$5,947",N/A
