区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,康城,日出康城 Malibu 1A座 低層 C室,N/A,03/04/2025,2房,$615 萬,459 呎,"$13,399",露台
九龍,康城,日出康城 晉海II 5A座 中層 D室,N/A,03/04/2025,2房,$625 萬,477 呎,"$13,103",露台 | | 工作平台
九龍,康城,日出康城 領都 2座 L 高層 D室,N/A,03/04/2025,3房,"$19,000",714 呎,$27,露台 | | 工作平台
九龍,康城,峻瀅 2期 2座 低層 D室,N/A,02/04/2025,3房,$670 萬,741 呎,"$9,042",露台 | | 工作平台
九龍,康城,日出康城 Malibu 2B座 低層 C室,N/A,02/04/2025,2房,"$20,000",541 呎,$37,露台
九龍,康城,日出康城 領都 - 領凱 9座 L 12樓 B室,N/A,02/04/2025,3房,$685 萬,733 呎,"$9,345",露台 | | 工作平台
九龍,康城,日出康城 LP6 1座 中層 E室,N/A,02/04/2025,3房,$898 萬,644 呎,"$13,944",露台 | | 工作平台
九龍,康城,日出康城 LP10 1-A座 9樓 C室,N/A,01/04/2025,3房,"$1,200 萬",921 呎,"$13,029",露台 | | 工作平台
九龍,康城,日出康城 Malibu 1A座 中層 A室,N/A,01/04/2025,4房,"$37,000","1,087 呎",$34,露台 | | 工作平台
九龍,康城,日出康城 Montara 2B座 低層 D室,N/A,01/04/2025,2房,$630 萬,482 呎,"$13,071",露台
九龍,康城,日出康城 Grand Seasons 1B座 25樓 B室,N/A,01/04/2025,2房,$672 萬,457 呎,"$14,702",露台 | | 工作平台
九龍,康城,日出康城 首都 5座 L 28樓 A室,N/A,01/04/2025,3房,$729 萬,713 呎,"$10,224",露台 | | 工作平台
九龍,康城,日出康城 領都 - 領峯 6座 L 低層 C室,N/A,01/04/2025,4房,$950 萬,985 呎,"$9,645",露台 | | 工作平台
九龍,康城,日出康城 Grand Seasons 1B座 16樓 A室,N/A,01/04/2025,3房,"$1,097 萬",716 呎,"$15,325",露台 | | 工作平台
九龍,康城,日出康城 Sea To Sky 2座 E室,N/A,01/04/2025,2房,"$18,000",470 呎,$38,N/A
