区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,新蒲崗,譽．港灣 6座 低層 F室,N/A,02/04/2025,2房,$838 萬,545 呎,"$15,376",露台 | | 工作平台
九龍,新蒲崗,譽．港灣 7座 30樓 B室,N/A,31/03/2025,3房,"$1,338 萬",825 呎,"$16,218",露台
九龍,新蒲崗,譽．港灣 2B座 9樓 A室,N/A,28/03/2025,1房,$625 萬,454 呎,"$13,767",露台 | | 工作平台
九龍,新蒲崗,新蒲崗廣場 1座 8樓 G室,N/A,28/03/2025,2房,$490 萬,437 呎,"$11,213",N/A
九龍,新蒲崗,啟德花園 一期 2座 21樓 A室,N/A,28/03/2025,3房,$720 萬,612 呎,"$11,765",N/A
九龍,新蒲崗,譽．港灣 6座 7樓 F室,N/A,26/03/2025,2房,$768 萬,545 呎,"$14,092",露台 | | 工作平台
九龍,新蒲崗,譽．港灣 7座 33樓 F室,N/A,25/03/2025,2房,$799 萬,511 呎,"$15,636",露台 | | 工作平台
九龍,新蒲崗,景泰苑 17樓 8室,N/A,24/03/2025,1房,$378 萬,397 呎,"$9,521",N/A
九龍,新蒲崗,啟德花園 二期 4座 6樓 C室,N/A,18/03/2025,2房,$400 萬,479 呎,"$8,351",N/A
九龍,新蒲崗,仁愛大樓 7樓 J室,N/A,17/03/2025,-,$320 萬,434 呎,"$7,373",N/A
九龍,新蒲崗,新蒲崗大廈 2樓 B6室,N/A,14/03/2025,-,$350 萬,516 呎,"$6,783",N/A
九龍,新蒲崗,新蒲崗大廈 16樓 C6室,N/A,13/03/2025,-,$290 萬,368 呎,"$7,880",N/A
九龍,新蒲崗,百樂大樓 5樓 E室,N/A,12/03/2025,-,$198 萬,369 呎,"$5,366",N/A
九龍,新蒲崗,新蒲崗廣場 1座 30樓 C室,N/A,27/02/2025,3房,$800 萬,609 呎,"$13,136",N/A
九龍,新蒲崗,新蒲崗廣場 2座 31樓 H室,N/A,24/02/2025,2房,$550 萬,417 呎,"$13,189",N/A
九龍,新蒲崗,新蒲崗廣場 1座 33樓 C室,N/A,20/02/2025,3房,$788 萬,609 呎,"$12,939",N/A
九龍,新蒲崗,越秀廣場 2座 (秀華苑) 10樓 H室,N/A,18/02/2025,3房,$590 萬,566 呎,"$10,424",N/A
九龍,新蒲崗,景泰苑 29樓 17室,N/A,12/02/2025,開放式,$295 萬,293 呎,"$10,068",N/A
九龍,新蒲崗,昌泰大廈 2樓 7室,N/A,11/02/2025,-,$300 萬,435 呎,"$6,897",N/A
九龍,新蒲崗,崇齡大廈 4樓 B8室,N/A,11/02/2025,-,$265 萬,316 呎,"$8,386",N/A
九龍,新蒲崗,譽．港灣 8座 36樓 E室,N/A,11/02/2025,2房,$830 萬,525 呎,"$15,810",露台 | | 工作平台
九龍,新蒲崗,譽．港灣 8座 33樓 E室,N/A,05/02/2025,2房,$835 萬,525 呎,"$15,905",露台 | | 工作平台
九龍,新蒲崗,康景樓 16樓 N室,N/A,27/01/2025,-,$320 萬,325 呎,"$9,846",N/A
九龍,新蒲崗,譽．港灣 6座 11樓 G室,N/A,27/01/2025,2房,$793 萬,525 呎,"$15,105",露台 | | 工作平台
九龍,新蒲崗,越秀廣場 1座 (秀明苑) 18樓 E室,N/A,27/01/2025,3房,$618 萬,566 呎,"$10,919",N/A
九龍,新蒲崗,譽．港灣 6座 20樓 F室,N/A,22/01/2025,2房,$836 萬,545 呎,"$15,339",露台 | | 工作平台
九龍,新蒲崗,景泰苑 30樓 15室,N/A,22/01/2025,2房,$525 萬,493 呎,"$10,649",N/A
九龍,新蒲崗,金僑大廈 3樓 3室,N/A,20/01/2025,-,$182 萬,346 呎,"$5,260",N/A
九龍,新蒲崗,譽．港灣 1B座 16樓 B室,N/A,14/01/2025,2房,$800 萬,534 呎,"$14,981",露台 | | 工作平台
九龍,新蒲崗,康景樓 20樓 B室,N/A,13/01/2025,-,$350 萬,437 呎,"$8,009",N/A
九龍,新蒲崗,譽．港灣 8座 高層 G室,N/A,12/01/2025,3房,"$32,500",758 呎,$43,露台 | | 工作平台
九龍,新蒲崗,景福街51-53號 1樓 53室,N/A,10/01/2025,-,$368 萬,530 呎,"$6,943",平台
九龍,新蒲崗,譽．港灣 6座 40樓 A室,N/A,10/01/2025,4房,"$1,850 萬","1,037 呎","$17,840",露台 | | 工作平台
九龍,新蒲崗,裕富大廈 5樓 1室,N/A,07/01/2025,-,$270 萬,545 呎,"$4,954",N/A
九龍,新蒲崗,新蒲崗廣場 1座 16樓 D室,N/A,30/12/2024,2房,$550 萬,470 呎,"$11,702",N/A
九龍,新蒲崗,康景樓 9樓 J室,N/A,27/12/2024,-,$290 萬,325 呎,"$8,923",N/A
九龍,新蒲崗,仁愛大樓 8樓 F室,N/A,27/12/2024,-,$300 萬,434 呎,"$6,912",N/A
九龍,新蒲崗,啟德花園 一期 3座 8樓 H室,N/A,24/12/2024,3房,$485 萬,612 呎,"$7,925",N/A
九龍,新蒲崗,譽．港灣 8座 38樓 G室,N/A,20/12/2024,3房,$800 萬,758 呎,"$10,554",露台 | | 工作平台
九龍,新蒲崗,越秀廣場 2座 (秀華苑) 11樓 A室,N/A,18/12/2024,3房,$609 萬,566 呎,"$10,756",N/A
九龍,新蒲崗,裕富大廈 7樓 3室,N/A,11/12/2024,-,$250 萬,384 呎,"$6,510",N/A
九龍,新蒲崗,崇齡大廈 15樓 A7室,N/A,11/12/2024,-,$298 萬,265 呎,"$11,245",N/A
九龍,新蒲崗,譽．港灣 1A座 中層 B室,N/A,09/12/2024,4房,"$41,700","1,333 呎",$31,露台 | | 工作平台
九龍,新蒲崗,越秀廣場 秀明苑 中層 H室,N/A,03/12/2024,3房,"$17,500",566 呎,$31,N/A
九龍,新蒲崗,裕富大廈 2樓 1室,N/A,02/12/2024,-,$290 萬,545 呎,"$5,321",N/A
