区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,旺角大角咀,百勝大廈 高層 D室,N/A,03/04/2025,2房,$373 萬,311 呎,"$11,994",N/A
九龍,旺角大角咀,Larchwood 27樓 A室,N/A,02/04/2025,1房,$600 萬,250 呎,"$24,000",天台 | | 露台 | | 工作平台
九龍,旺角大角咀,亮賢居 28樓 A室,N/A,02/04/2025,2房,$738 萬,561 呎,"$13,155",露台 | | 工作平台
九龍,旺角大角咀,廣源大廈 7樓 K室,N/A,02/04/2025,-,$400 萬,586 呎,"$6,826",N/A
九龍,旺角大角咀,荔塘大廈 B座 10樓 8室,N/A,02/04/2025,-,$288 萬,228 呎,"$12,632",N/A
九龍,旺角大角咀,太子道西75號 75 太子道西 5樓,N/A,02/04/2025,-,$290 萬,628 呎,"$4,618",N/A
九龍,旺角大角咀,港灣豪庭 二期 10座 26樓 A室,N/A,02/04/2025,2房,$548 萬,408 呎,"$13,431",露台 | | 工作平台
九龍,旺角大角咀,奧城．西岸 30樓 B室,N/A,02/04/2025,3房,$980 萬,609 呎,"$16,092",露台 | | 工作平台
九龍,旺角大角咀,Mod 595 26樓 A室,N/A,02/04/2025,-,$647 萬,483 呎,"$13,395",露台 | | 工作平台
九龍,旺角大角咀,德發大廈 16樓 C室,N/A,02/04/2025,2房,$310 萬,282 呎,"$10,993",N/A
九龍,旺角大角咀,利奧坊．壹隅 2座 27樓 A室,N/A,02/04/2025,2房,"$1,022 萬",405 呎,"$25,228",平台 | | 露台 | | 工作平台
九龍,旺角大角咀,大同新邨 L座 (大衛樓) 8樓 2室,N/A,02/04/2025,1房,$317 萬,326 呎,"$9,718",N/A
九龍,旺角大角咀,天寶樓 2樓 662室,N/A,01/04/2025,-,$300 萬,308 呎,"$9,740",平台
九龍,旺角大角咀,文昌樓 16樓 29室,N/A,01/04/2025,-,$335 萬,370 呎,"$9,054",N/A
九龍,旺角大角咀,Skypark 10樓 B1室,N/A,01/04/2025,1房,$580 萬,463 呎,"$12,527",露台 | | 工作平台
九龍,旺角大角咀,港灣豪庭 二期 10 座 中層 C室,N/A,01/04/2025,2房,"$17,200",413 呎,$42,N/A
九龍,旺角大角咀,9-11 柏樹街 2樓 A室,N/A,01/04/2025,-,$210 萬,294 呎,"$7,143",N/A
九龍,旺角大角咀,利奧坊．首隅 17樓 H室,N/A,01/04/2025,2房,$679 萬,351 呎,"$19,352",露台 | | 工作平台
九龍,旺角大角咀,奧柏‧御峯 1座 低層 J室,N/A,01/04/2025,2房,"$23,000",574 呎,$40,露台 | | 工作平台
九龍,旺角大角咀,麗華大廈 9樓 C室,N/A,31/03/2025,-,$312 萬,293 呎,"$10,648",N/A
九龍,旺角大角咀,富錦樓 5樓 51A室,N/A,31/03/2025,-,$280 萬,355 呎,"$7,887",N/A
九龍,旺角大角咀,偉利閣 9樓 C室,N/A,31/03/2025,-,$340 萬,280 呎,"$12,143",N/A
九龍,旺角大角咀,文耀樓 7樓 45室,N/A,31/03/2025,-,$350 萬,565 呎,"$6,195",N/A
九龍,旺角大角咀,利奧坊．凱岸 2座 低層 H室,N/A,31/03/2025,1房,"$15,200",249 呎,$61,露台
九龍,旺角大角咀,利奧坊．曉岸 1座 高層 C室,N/A,30/03/2025,1房,"$16,500",256 呎,$64,露台
九龍,旺角大角咀,奧柏‧御峯 1座 低層 G室,N/A,30/03/2025,開放式,"$14,000",274 呎,$51,露台 | | 工作平台
九龍,旺角大角咀,奧柏‧御峯 2座 低層 C室,N/A,29/03/2025,1房,"$15,000",332 呎,$45,露台 | | 工作平台
九龍,旺角大角咀,康和閣 7樓 A室,N/A,28/03/2025,-,$245 萬,213 呎,"$11,502",N/A
九龍,旺角大角咀,裕成樓 3樓 C室,N/A,28/03/2025,-,$350 萬,510 呎,"$6,863",N/A
九龍,旺角大角咀,業利樓 11樓 A室,N/A,28/03/2025,-,$350 萬,523 呎,"$6,692",N/A
九龍,旺角大角咀,港灣豪庭 二期 10座 47樓 H室,N/A,28/03/2025,2房,$579 萬,369 呎,"$15,691",露台 | | 工作平台
九龍,旺角大角咀,港灣豪庭 二期 10座 42樓 D室,N/A,28/03/2025,2房,$550 萬,372 呎,"$14,785",露台 | | 工作平台
九龍,旺角大角咀,Chung Pak Mansion 中柏大廈 2樓 15室,N/A,28/03/2025,-,$250 萬,432 呎,"$5,787",N/A
九龍,旺角大角咀,廣豐大廈 2樓 A室,N/A,28/03/2025,-,$270 萬,407 呎,"$6,634",N/A
九龍,旺角大角咀,中和樓 1樓 19室,N/A,28/03/2025,-,$230 萬,394 呎,"$5,838",平台
九龍,旺角大角咀,中星樓 4樓 14室,N/A,28/03/2025,-,$308 萬,457 呎,"$6,740",N/A
九龍,旺角大角咀,港灣豪庭 二期 7座 47樓 E室,N/A,27/03/2025,2房,$558 萬,372 呎,"$15,000",露台 | | 工作平台
九龍,旺角大角咀,利奧坊．曉岸 1座 低層 H室,N/A,27/03/2025,1房,"$15,000",252 呎,$60,露台
九龍,旺角大角咀,餘慶大廈 4樓 D室,N/A,27/03/2025,-,$272 萬,380 呎,"$7,158",N/A
