区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,油塘,海傲灣 2座 高層 H室,N/A,02/04/2025,1房,$380 萬,261 呎,"$14,559",露台
九龍,油塘,高宏苑 A座 23樓 3室,N/A,31/03/2025,-,$98.36 萬,186 呎,"$5,288",N/A
九龍,油塘,高宏苑 B座 26樓 3室,N/A,31/03/2025,-,$162 萬,291 呎,"$5,568",N/A
九龍,油塘,高宏苑 A座 7樓 21室,N/A,31/03/2025,-,$201 萬,384 呎,"$5,243",N/A
九龍,油塘,高宏苑 A座 3樓 14室,N/A,31/03/2025,-,$184 萬,375 呎,"$4,905",N/A
九龍,油塘,高宏苑 A座 18樓 13室,N/A,31/03/2025,-,$237 萬,447 呎,"$5,291",N/A
九龍,油塘,高宏苑 A座 12樓 8室,N/A,31/03/2025,-,$149 萬,281 呎,"$5,306",N/A
九龍,油塘,高宏苑 A座 7樓 16室,N/A,31/03/2025,-,$233 萬,447 呎,"$5,215",N/A
九龍,油塘,高宏苑 A座 18樓 11室,N/A,31/03/2025,-,$155 萬,278 呎,"$5,566",N/A
九龍,油塘,高宏苑 B座 30樓 2室,N/A,31/03/2025,-,$150 萬,281 呎,"$5,349",N/A
九龍,油塘,高宏苑 A座 31樓 1室,N/A,31/03/2025,-,$149 萬,281 呎,"$5,286",N/A
九龍,油塘,高宏苑 A座 43樓 1室,N/A,31/03/2025,-,$151 萬,281 呎,"$5,388",N/A
九龍,油塘,高宏苑 A座 13樓 11室,N/A,31/03/2025,-,$152 萬,278 呎,"$5,481",N/A
九龍,油塘,高宏苑 B座 24樓 4室,N/A,31/03/2025,-,$157 萬,283 呎,"$5,564",N/A
九龍,油塘,高宏苑 A座 8樓 1室,N/A,31/03/2025,-,$139 萬,281 呎,"$4,931",N/A
九龍,油塘,高宏苑 A座 25樓 7室,N/A,31/03/2025,-,$154 萬,278 呎,"$5,539",N/A
九龍,油塘,高宏苑 A座 20樓 5室,N/A,31/03/2025,-,$154 萬,281 呎,"$5,472",N/A
九龍,油塘,蔚藍東岸 1座 12樓 A室,N/A,31/03/2025,4房,"$3,080 萬","1,278 呎","$24,100",露台 | | 工作平台
九龍,油塘,高宏苑 A座 9樓 24室,N/A,31/03/2025,-,$237 萬,448 呎,"$5,280",N/A
九龍,油塘,高宏苑 A座 27樓 20室,N/A,31/03/2025,-,$264 萬,489 呎,"$5,393",露台
九龍,油塘,油塘中心 T2座 7樓 F室,N/A,28/03/2025,2房,$396 萬,423 呎,"$9,362",N/A
九龍,油塘,高宏苑 A座 44樓 13室,N/A,27/03/2025,-,$247 萬,447 呎,"$5,521",N/A
九龍,油塘,高宏苑 A座 37樓 2室,N/A,27/03/2025,-,$150 萬,281 呎,"$5,346",N/A
九龍,油塘,高宏苑 A座 8樓 9室,N/A,27/03/2025,-,$101 萬,192 呎,"$5,251",N/A
九龍,油塘,高宏苑 A座 12樓 3室,N/A,27/03/2025,-,$95.09 萬,186 呎,"$5,112",N/A
九龍,油塘,高宏苑 A座 21樓 14室,N/A,27/03/2025,-,$199 萬,375 呎,"$5,302",N/A
九龍,油塘,高宏苑 A座 17樓 23室,N/A,27/03/2025,-,$152 萬,288 呎,"$5,264",N/A
九龍,油塘,Peninsula East 1座 31樓 B室,N/A,27/03/2025,2房,$630 萬,521 呎,"$12,092",露台 | | 工作平台
九龍,油塘,高宏苑 A座 38樓 11室,N/A,26/03/2025,-,$161 萬,278 呎,"$5,795",N/A
