区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,油麻地,御金．國峯 6座 中層 B室,N/A,02/04/2025,1房,$635 萬,400 呎,"$15,875",露台 | | 工作平台
九龍,油麻地,獨立大廈 4樓 499室,N/A,31/03/2025,-,$380 萬,619 呎,"$6,139",N/A
九龍,油麻地,偉利閣 9樓 C室,N/A,31/03/2025,-,$340 萬,280 呎,"$12,143",N/A
九龍,油麻地,文耀樓 7樓 45室,N/A,31/03/2025,-,$350 萬,565 呎,"$6,195",N/A
九龍,油麻地,新填地街171號 1樓 A室,N/A,28/03/2025,-,$168 萬,225 呎,"$7,467",平台
九龍,油麻地,廟街198號 4樓,N/A,28/03/2025,-,$245 萬,455 呎,"$5,385",N/A
九龍,油麻地,東裕大廈 14樓 B室,N/A,27/03/2025,-,$325 萬,302 呎,"$10,762",N/A
九龍,油麻地,顯發大廈 15樓 B室,N/A,27/03/2025,2房,$400 萬,343 呎,"$11,662",N/A
九龍,油麻地,廣東道578號 1樓,N/A,27/03/2025,-,$298 萬,737 呎,"$4,043",N/A
九龍,油麻地,御金．國峯 2座 35樓 C室,N/A,27/03/2025,2房,"$1,000 萬",603 呎,"$16,584",露台 | | 工作平台
九龍,油麻地,窩打老道8號 2座 22樓 E室,N/A,26/03/2025,3房,$915 萬,561 呎,"$16,310",N/A
九龍,油麻地,白加士街125-127 白加士街125-127號 1樓 125室,N/A,26/03/2025,-,$281 萬,280 呎,"$10,036",平台
九龍,油麻地,浩如樓 5樓 141室,N/A,26/03/2025,-,$200 萬,391 呎,"$5,115",天台
九龍,油麻地,駿發花園 4座 3樓 H室,N/A,24/03/2025,3房,$650 萬,606 呎,"$10,726",N/A
九龍,油麻地,幸運大廈 6樓 D室,N/A,21/03/2025,-,$230 萬,456 呎,"$5,044",N/A
九龍,油麻地,駿發花園 2座 9樓 H室,N/A,21/03/2025,3房,$750 萬,606 呎,"$12,376",N/A
九龍,油麻地,順豐大廈 9樓 D室,N/A,20/03/2025,1房,$290 萬,248 呎,"$11,694",N/A
九龍,油麻地,東裕大廈 9樓 C室,N/A,20/03/2025,-,$330 萬,304 呎,"$10,855",N/A
九龍,油麻地,偉晴閣 B座 18樓 B5室,N/A,19/03/2025,-,$345 萬,312 呎,"$11,058",N/A
九龍,油麻地,海溢閣 8樓 C室,N/A,18/03/2025,2房,$268 萬,251 呎,"$10,677",N/A
九龍,油麻地,偉利閣 16樓 B室,N/A,18/03/2025,-,$290 萬,273 呎,"$10,623",N/A
九龍,油麻地,碧街50-56號 4樓 50A室,N/A,17/03/2025,-,$260 萬,299 呎,"$8,696",N/A
九龍,油麻地,慶華大樓 2樓 F室,N/A,17/03/2025,-,$300 萬,354 呎,"$8,475",N/A
九龍,油麻地,德昌閣 17樓 A室,N/A,17/03/2025,3房,$475 萬,406 呎,"$11,700",露台
九龍,油麻地,利源閣 18樓 C室,N/A,17/03/2025,2房,$350 萬,265 呎,"$13,208",N/A
九龍,油麻地,上海街432-434號 上海街432號 4樓,N/A,14/03/2025,-,$300 萬,676 呎,"$4,438",N/A
九龍,油麻地,雅寶大廈 11樓 C室,N/A,14/03/2025,2房,$400 萬,366 呎,"$10,929",N/A
九龍,油麻地,順利大廈 A 座 16樓 A3室,N/A,13/03/2025,-,$300 萬,382 呎,"$7,853",N/A
九龍,油麻地,旺角大樓 6樓 B室,N/A,13/03/2025,-,$360 萬,498 呎,"$7,229",N/A
九龍,油麻地,旭威閣 20樓 B室,N/A,13/03/2025,開放式,$190 萬,187 呎,"$10,160",N/A
九龍,油麻地,德昌里11-13號 德昌里11號 1樓,N/A,12/03/2025,-,$280 萬,552 呎,"$5,072",N/A
九龍,油麻地,偉晴閣 B座 10樓 B4室,N/A,12/03/2025,-,$290 萬,288 呎,"$10,069",N/A
九龍,油麻地,文華樓 14樓 7室,N/A,11/03/2025,-,$400 萬,605 呎,"$6,612",N/A
九龍,油麻地,偉晴閣 B座 16樓 B1室,N/A,11/03/2025,-,$292 萬,270 呎,"$10,815",N/A
九龍,油麻地,金輝大廈 11樓 A室,N/A,10/03/2025,-,$338 萬,340 呎,"$9,941",N/A
九龍,油麻地,渡船街6號 2樓,N/A,07/03/2025,-,$270 萬,612 呎,"$4,412",N/A
九龍,油麻地,上海街189-191號 上海街191號 2樓,N/A,07/03/2025,-,$260 萬,435 呎,"$5,977",N/A
九龍,油麻地,統一大廈 統一大廈 (A 座) 4樓 A6室,N/A,07/03/2025,-,$485 萬,868 呎,"$5,588",N/A
九龍,油麻地,慶華大樓 3樓 E室,N/A,07/03/2025,-,$263 萬,356 呎,"$7,388",N/A
九龍,油麻地,萬榮大樓 5樓 C室,N/A,07/03/2025,開放式,$400 萬,594 呎,"$6,734",平台 | | 露台
九龍,油麻地,新填地街49號 2樓,N/A,06/03/2025,-,$280 萬,410 呎,"$6,829",N/A
九龍,油麻地,平安大樓 15樓 5室,N/A,05/03/2025,-,$425 萬,734 呎,"$5,790",N/A
九龍,油麻地,御金．國峯 1座 低層 B室,N/A,04/03/2025,3房,"$36,000",930 呎,$39,露台 | | 工作平台
九龍,油麻地,俊逸豪園 7樓 A室,N/A,03/03/2025,2房,$453 萬,375 呎,"$12,080",N/A
九龍,油麻地,騏邦大廈 11樓 B室,N/A,28/02/2025,-,$290 萬,283 呎,"$10,247",N/A
九龍,油麻地,華德大廈 13樓 6A室,N/A,28/02/2025,-,$185 萬,241 呎,"$7,676",N/A
九龍,油麻地,瑞香園大廈 6樓 B室,N/A,25/02/2025,-,$410 萬,462 呎,"$8,874",N/A
九龍,油麻地,駿發花園 2座 2樓 H室,N/A,24/02/2025,3房,$663 萬,606 呎,"$10,941",平台
