区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,深水埗,丰滙 3座 高層 B室,N/A,03/04/2025,1房,$518 萬,392 呎,"$13,214",工作平台
九龍,深水埗,匯璽 5期(匯璽III) 6座 高層 G室,N/A,03/04/2025,開放式,"$16,500",273 呎,$60,露台
九龍,深水埗,匯璽 3期(匯璽II) 3B座 高層 H室,N/A,02/04/2025,1房,$715 萬,362 呎,"$19,751",露台
九龍,深水埗,匯璽 2A期 2B座 高層 D室,N/A,01/04/2025,1房,"$21,000",351 呎,$60,露台
九龍,深水埗,匯璽 2A期 2B座 中層 K室,N/A,01/04/2025,2房,"$27,000",441 呎,$61,露台 | | 工作平台
九龍,深水埗,匯璽 5期(匯璽III) 6座 高層 J室,N/A,01/04/2025,1房,"$23,000",371 呎,$62,露台
九龍,深水埗,友聯大樓 2樓 G室,N/A,31/03/2025,-,$200 萬,395 呎,"$5,063",N/A
九龍,深水埗,Belgravia Place Belgravia Place 第2期 2座 16樓 9室,N/A,31/03/2025,2房,$568 萬,353 呎,"$16,090",露台 | | 工作平台
九龍,深水埗,匯璽 5期(匯璽III) 8座 25樓 C室,N/A,31/03/2025,2房,$964 萬,417 呎,"$23,113",露台
九龍,深水埗,Belgravia Place Belgravia Place 第2期 2座 22樓 5室,N/A,31/03/2025,2房,$636 萬,385 呎,"$16,513",露台 | | 工作平台
九龍,深水埗,佳悅 18樓 E室,N/A,31/03/2025,開放式,$332 萬,212 呎,"$15,660",露台
九龍,深水埗,連方II 17樓 N10室,N/A,31/03/2025,開放式,$667 萬,267 呎,"$24,996",露台 | | 工作平台
九龍,深水埗,南都大廈 11樓 9室,N/A,31/03/2025,-,$385 萬,735 呎,"$5,238",N/A
九龍,深水埗,Belgravia Place Belgravia Place 第1期 1B座 15樓 15室,N/A,31/03/2025,1房,$466 萬,265 呎,"$17,603",露台 | | 工作平台
