区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,清水灣,傲瀧 19座 B室,N/A,26/03/2025,3房,"$37,000","1,161 呎",$32,露台 | | 工作平台
九龍,清水灣,溱喬 99號屋,N/A,20/03/2025,3房,"$1,700 萬","1,232 呎","$13,799",車位 | | 花園 | | 天台 | | 平台 | | 露台
九龍,清水灣,金璧花園 1座 G樓,N/A,11/03/2025,2房,"$1,120 萬","1,187 呎","$9,436",車位 | | 花園
九龍,清水灣,傲瀧 7座 3樓 D室,N/A,21/02/2025,3房,"$1,380 萬","1,172 呎","$11,775",露台 | | 工作平台
九龍,清水灣,傲瀧 9座 3樓 A室,N/A,06/02/2025,4房,"$2,348 萬","1,837 呎","$12,782",露台 | | 工作平台
九龍,清水灣,馬游塘 馬游塘262A號 WB樓 WB室,N/A,27/01/2025,-,$470 萬,-,-,N/A
九龍,清水灣,清水灣山莊 20號屋,N/A,24/01/2025,-,"$1,550 萬","1,250 呎","$12,400",N/A
九龍,清水灣,寶珊苑 3號屋 1樓 A室,N/A,22/01/2025,3房,"$1,300 萬",984 呎,"$13,211",天台 | | 露台
九龍,清水灣,傲瀧 8座 D室,N/A,21/01/2025,4房,"$50,000","1,701 呎",$29,花園
九龍,清水灣,傲瀧 16座 7樓 A室,N/A,21/01/2025,4房,"$3,200 萬","1,841 呎","$17,382",天台 | | 露台 | | 工作平台
九龍,清水灣,傲瀧 21座 6樓 D室,N/A,21/01/2025,3房,"$1,300 萬",903 呎,"$14,396",天台 | | 露台 | | 工作平台
九龍,清水灣,傲瀧 9座 高層 B室,N/A,15/01/2025,4房,"$72,000","1,837 呎",$39,車位 | | 天台 | | 露台 | | 工作平台
九龍,清水灣,滿湖花園 043 號屋,N/A,13/01/2025,-,"$4,600 萬","2,145 呎","$21,445",車位
九龍,清水灣,銀灣花園 G座 G樓 G1室,N/A,07/01/2025,2房,$600 萬,608 呎,"$9,868",花園
九龍,清水灣,傲瀧 2座 7樓 B室,N/A,09/12/2024,4房,"$4,800 萬","1,834 呎","$26,172",天台 | | 露台 | | 工作平台
九龍,清水灣,傲瀧 15座 2樓 C室,N/A,06/12/2024,3房,"$1,728 萬","1,157 呎","$14,935",車位 | | 露台 | | 工作平台
九龍,清水灣,禾塘崗 禾塘崗1號 WB樓 WB室,N/A,02/12/2024,-,"$2,150 萬",-,-,N/A
九龍,清水灣,傲瀧 11座 中層 D室,N/A,25/11/2024,3房,"$46,000","1,183 呎",$39,車位 | | 露台 | | 工作平台
九龍,清水灣,陶樂苑 7A 號屋,N/A,19/11/2024,2房,"$1,300 萬",973 呎,"$13,361",車位 | | 花園 | | 平台 | | 露台
九龍,清水灣,碧翠苑 2座 2樓 A室,N/A,15/11/2024,-,"$1,358 萬","1,147 呎","$11,840",車位 | | 天台
九龍,清水灣,傲瀧 1座 5樓 B室,N/A,13/11/2024,4房,"$2,270 萬","1,600 呎","$14,188",車位 | | 露台 | | 工作平台
九龍,清水灣,銀灣花園 H座 1樓 H2室,N/A,08/11/2024,2房,$620 萬,670 呎,"$9,254",花園 | | 天台
九龍,清水灣,銀灣花園 H座 G樓 H1室,N/A,07/11/2024,2房,$530 萬,608 呎,"$8,717",花園
九龍,清水灣,傲瀧 15座 3樓 D室,N/A,05/11/2024,3房,"$1,560 萬","1,183 呎","$13,187",露台 | | 工作平台
九龍,清水灣,檳榔灣 檳榔灣167號 WB樓 WB室,N/A,31/10/2024,-,"$1,465 萬",-,-,N/A
九龍,清水灣,檳榔灣 檳榔灣155號 WB樓 WB室,N/A,31/10/2024,-,"$1,466 萬",-,-,N/A
九龍,清水灣,溱喬 61號屋,N/A,30/10/2024,-,"$2,998 萬","2,057 呎","$14,575",N/A
九龍,清水灣,傲瀧 5座 2樓 E室,N/A,21/10/2024,3房,"$1,308 萬",968 呎,"$13,512",露台 | | 工作平台
九龍,清水灣,檳榔灣 檳榔灣163號 WB樓 WB室,N/A,21/10/2024,-,"$1,466 萬",-,-,N/A
九龍,清水灣,五塊田 五塊田161號 WB樓 WB室,N/A,18/10/2024,-,"$1,480 萬",-,-,N/A
九龍,清水灣,清水灣大廈 H座 4樓 H4室,N/A,15/10/2024,-,"$2,150 萬","2,287 呎","$9,401",車位
九龍,清水灣,清水灣大廈 H座 2樓 H2室,N/A,15/10/2024,-,"$1,940 萬","2,287 呎","$8,483",車位
九龍,清水灣,清水灣大廈 G座 4樓 G4室,N/A,15/10/2024,-,"$2,090 萬","2,287 呎","$9,139",車位
九龍,清水灣,清水灣大廈 G座 3樓 G3室,N/A,15/10/2024,-,"$1,950 萬","2,287 呎","$8,526",車位
九龍,清水灣,清水灣大廈 H座 3樓 H3室,N/A,15/10/2024,-,"$2,040 萬","2,287 呎","$8,920",車位
九龍,清水灣,清水灣大廈 G座 1樓 G1室,N/A,15/10/2024,-,"$1,730 萬","2,287 呎","$7,564",車位
九龍,清水灣,清水灣大廈 G座 2樓 G2室,N/A,15/10/2024,-,"$1,840 萬","2,287 呎","$8,045",車位
九龍,清水灣,清水灣大廈 H座 1樓 H1室,N/A,15/10/2024,-,"$1,830 萬","2,287 呎","$8,002",車位
九龍,清水灣,陶樂苑 9A 號屋,N/A,03/10/2024,2房,"$1,420 萬","1,116 呎","$12,724",車位 | | 露台
九龍,清水灣,銀泉臺 B號屋,N/A,03/10/2024,-,"$2,000 萬","2,057 呎","$9,723",車位
九龍,清水灣,傲瀧 15座 2樓 B室,N/A,30/09/2024,4房,"$2,250 萬","1,837 呎","$12,248",露台 | | 工作平台
九龍,清水灣,傲瀧 7座 低層 E室,N/A,09/09/2024,3房,"$37,000",968 呎,$38,露台 | | 工作平台
九龍,清水灣,陶樂苑 5C 號屋,N/A,05/09/2024,2房,"$1,320 萬","1,194 呎","$11,055",車位 | | 花園 | | 天台 | | 平台 | | 露台
九龍,清水灣,傲瀧 15座 6樓 A室,N/A,03/09/2024,4房,"$2,400 萬","1,836 呎","$13,072",露台 | | 工作平台
九龍,清水灣,傲瀧 20座 D室,N/A,26/08/2024,3房,"$33,000",906 呎,$36,露台 | | 工作平台
九龍,清水灣,銀灣花園 E座 1樓 E2室,N/A,23/08/2024,2房,$638 萬,670 呎,"$9,522",花園 | | 天台
九龍,清水灣,綠怡花園 16座 1樓 A室,N/A,19/08/2024,4房,"$1,010 萬","1,096 呎","$9,215",車位 | | 露台
九龍,清水灣,傲瀧 D座 P12室,N/A,18/08/2024,4房,"$95,000","2,548 呎",$37,三層式 | | 車位 | | 天台 | | 平台 | | 露台 | | 工作平台
九龍,清水灣,傲瀧 22座 D室,N/A,29/07/2024,1房,"$22,000",457 呎,$48,露台 | | 工作平台
九龍,清水灣,傲瀧 16座 低層 E室,N/A,28/07/2024,3房,"$35,000",894 呎,$39,車位 | | 平台
九龍,清水灣,傲瀧 18座 A室,N/A,15/07/2024,3房,"$42,000","1,161 呎",$36,車位 | | 露台 | | 工作平台
九龍,清水灣,早禾居 A3號屋,N/A,12/07/2024,-,"$8,800 萬","4,006 呎","$21,967",花園 | | 天台 | | 平台
九龍,清水灣,金苑 G號屋,N/A,03/07/2024,-,"$2,300 萬","1,688 呎","$13,626",N/A
九龍,清水灣,翠巒小築 清水灣道〈獨立屋〉,N/A,01/07/2024,-,"$65,000","1,692 呎",$38,N/A
九龍,清水灣,傲瀧 22座 B室,N/A,01/07/2024,1房,"$21,500",469 呎,$46,露台 | | 工作平台
九龍,清水灣,灣景小築 D號屋,N/A,25/06/2024,-,"$3,038 萬","1,510 呎","$20,119",N/A
