区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,秀茂坪安達臣,安秀苑 B座 13樓 22室,N/A,01/04/2025,-,$246 萬,384 呎,"$6,402",N/A
九龍,秀茂坪安達臣,安秀苑 B座 29樓 22室,N/A,28/03/2025,-,$259 萬,384 呎,"$6,733",N/A
九龍,秀茂坪安達臣,安秀苑 A座 5樓 13室,N/A,28/03/2025,-,$285 萬,456 呎,"$6,240",N/A
九龍,秀茂坪安達臣,安秀苑 A座 8樓 3室,N/A,27/03/2025,-,$183 萬,284 呎,"$6,439",N/A
九龍,秀茂坪安達臣,安秀苑 A座 28樓 7室,N/A,27/03/2025,-,$258 萬,384 呎,"$6,711",N/A
九龍,秀茂坪安達臣,曉麗苑 G座 3樓 2室,N/A,27/03/2025,1房,$392 萬,604 呎,"$6,490",N/A
九龍,秀茂坪安達臣,安秀苑 B座 28樓 7室,N/A,26/03/2025,-,$267 萬,393 呎,"$6,791",N/A
九龍,秀茂坪安達臣,安秀苑 A座 4樓 15室,N/A,25/03/2025,-,$250 萬,388 呎,"$6,433",N/A
九龍,秀茂坪安達臣,安秀苑 A座 22樓 3室,N/A,25/03/2025,-,$192 萬,284 呎,"$6,765",N/A
九龍,秀茂坪安達臣,安秀苑 A座 17樓 26室,N/A,25/03/2025,-,$305 萬,465 呎,"$6,560",N/A
九龍,秀茂坪安達臣,曉麗苑 A座 1樓 15室,N/A,24/03/2025,開放式,$228 萬,436 呎,"$5,229",N/A
九龍,秀茂坪安達臣,曉麗苑 D座 25樓 9室,N/A,21/03/2025,2房,$455 萬,642 呎,"$7,084",N/A
九龍,秀茂坪安達臣,安秀苑 B座 4樓 22室,N/A,21/03/2025,-,$237 萬,384 呎,"$6,169",N/A
九龍,秀茂坪安達臣,曉麗苑 D座 1樓 6室,N/A,21/03/2025,開放式,$300 萬,436 呎,"$6,881",N/A
九龍,秀茂坪安達臣,安秀苑 A座 7樓 21室,N/A,20/03/2025,-,$259 萬,396 呎,"$6,534",N/A
