区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,紅磡,半島豪庭 1座 高層 G室,N/A,01/04/2025,2房,$860 萬,653 呎,"$13,170",N/A
九龍,紅磡,何文田山畔 1座 低層 D室,N/A,01/04/2025,1房,"$18,500",372 呎,$50,露台
九龍,紅磡,環海．東岸 1B座 中層 J室,N/A,01/04/2025,1房,"$16,500",322 呎,$51,露台
九龍,紅磡,悅目 中層 D室,N/A,01/04/2025,2房,"$19,300",429 呎,$45,N/A
九龍,紅磡,黃埔新邨 遠榮樓(K座) 8樓 6室,N/A,31/03/2025,-,$446 萬,401 呎,"$11,122",N/A
九龍,紅磡,寶源大廈 11樓 D室,N/A,31/03/2025,3房,$480 萬,471 呎,"$10,191",N/A
九龍,紅磡,Midtown South 必嘉坊．迎匯 18樓 M室,N/A,31/03/2025,開放式,$394 萬,214 呎,"$18,421",露台
九龍,紅磡,黃埔花園 二期 16座 高層 F室,N/A,31/03/2025,2房,$570 萬,466 呎,"$12,232",N/A
九龍,紅磡,Midtown South The Haddon 9樓 K室,N/A,31/03/2025,1房,$481 萬,262 呎,"$18,369",露台 | | 工作平台
九龍,紅磡,黃埔花園 十二期 6座 10樓 C室,N/A,31/03/2025,3房,$820 萬,729 呎,"$11,248",N/A
九龍,紅磡,黃埔新邨 佳榮樓(N座) 2樓 2室,N/A,31/03/2025,1房,$415 萬,401 呎,"$10,349",N/A
九龍,紅磡,半島豪庭 5座 37樓 D室,N/A,31/03/2025,2房,$985 萬,565 呎,"$17,434",N/A
九龍,紅磡,啟岸 高層 B5室,N/A,28/03/2025,1房,$436 萬,268 呎,"$16,272",露台
九龍,紅磡,黃埔花園 十一期 13座 10樓 A室,N/A,28/03/2025,2房,$670 萬,505 呎,"$13,267",N/A
九龍,紅磡,黃埔花園 十一期 2座 7樓 C室,N/A,28/03/2025,3房,$718 萬,639 呎,"$11,236",N/A
九龍,紅磡,海濱南岸 4座 低層 H室,N/A,28/03/2025,3房,$882 萬,590 呎,"$14,949",N/A
九龍,紅磡,啟岸 26樓 D5室,N/A,28/03/2025,開放式,$300 萬,197 呎,"$15,228",露台
九龍,紅磡,紅磡花園 1座 5樓 F室,N/A,28/03/2025,2房,$460 萬,386 呎,"$11,917",N/A
九龍,紅磡,Midtown South Baker Circle．Greenwich 26樓 J室,N/A,28/03/2025,1房,$400 萬,265 呎,"$15,094",露台 | | 工作平台
九龍,紅磡,黃埔花園 十一期 12座 高層 F室,N/A,28/03/2025,3房,$770 萬,639 呎,"$12,050",N/A
九龍,紅磡,海濱南岸 4座 4樓 A室,N/A,28/03/2025,2房,$510 萬,432 呎,"$11,806",N/A
九龍,紅磡,海逸豪園 翠堤灣 23A座 15樓 C室,N/A,28/03/2025,2房,"$1,018 萬",562 呎,"$18,114",N/A
九龍,紅磡,海濱南岸 3座 8樓 H室,N/A,28/03/2025,3房,$850 萬,590 呎,"$14,407",N/A
九龍,紅磡,黃埔新邨 永貴樓(A座) 8樓 3室,N/A,28/03/2025,1房,$400 萬,356 呎,"$11,236",N/A
九龍,紅磡,黃埔花園 二期 7座 3樓 C室,N/A,28/03/2025,2房,$600 萬,466 呎,"$12,876",N/A
九龍,紅磡,Midtown South 必嘉坊．迎匯 11樓 M室,N/A,28/03/2025,開放式,$388 萬,214 呎,"$18,146",露台
九龍,紅磡,Midtown South The Haddon 10樓 R室,N/A,28/03/2025,2房,$641 萬,346 呎,"$18,513",露台 | | 工作平台
九龍,紅磡,海名軒 3座 68樓 A室,N/A,28/03/2025,4房,"$3,730 萬","1,356 呎","$27,507",天台
九龍,紅磡,獲嘉進29-31號 獲嘉道29-31號 7樓 5室,N/A,27/03/2025,-,$500 萬,653 呎,"$7,657",天台
九龍,紅磡,華蕙閣 22樓 C室,N/A,27/03/2025,1房,$408 萬,344 呎,"$11,860",N/A
九龍,紅磡,Midtown South The Haddon 28樓 C室,N/A,27/03/2025,1房,$564 萬,284 呎,"$19,853",露台 | | 工作平台
九龍,紅磡,黃埔新邨 遠華樓(G座) 3樓 1室,N/A,27/03/2025,3房,$480 萬,490 呎,"$9,796",N/A
九龍,紅磡,Midtown South Baker Circle．Greenwich 高層 E室,N/A,27/03/2025,開放式,"$14,500",222 呎,$65,露台
九龍,紅磡,黃埔花園 二期 17座 3樓 A室,N/A,27/03/2025,2房,$450 萬,389 呎,"$11,568",N/A
九龍,紅磡,環海．東岸 1B座 中層 K室,N/A,27/03/2025,1房,"$17,000",308 呎,$55,露台
九龍,紅磡,黃埔花園 二期 12座 16樓 F室,N/A,26/03/2025,1房,$440 萬,389 呎,"$11,311",N/A
