区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,紅磡灣尖東,海濱南岸 7座 7樓 A室,N/A,02/04/2025,2房,$675 萬,432 呎,"$15,625",N/A
九龍,紅磡灣尖東,半島豪庭 1座 高層 G室,N/A,01/04/2025,2房,$860 萬,653 呎,"$13,170",N/A
九龍,紅磡灣尖東,半島豪庭 5座 37樓 D室,N/A,31/03/2025,2房,$985 萬,565 呎,"$17,434",N/A
九龍,紅磡灣尖東,海濱南岸 4座 低層 H室,N/A,28/03/2025,3房,$882 萬,590 呎,"$14,949",N/A
九龍,紅磡灣尖東,海濱南岸 4座 4樓 A室,N/A,28/03/2025,2房,$510 萬,432 呎,"$11,806",N/A
九龍,紅磡灣尖東,海濱南岸 3座 8樓 H室,N/A,28/03/2025,3房,$850 萬,590 呎,"$14,407",N/A
九龍,紅磡灣尖東,海濱南岸 4座 32樓 B室,N/A,26/03/2025,3房,$880 萬,593 呎,"$14,840",N/A
九龍,紅磡灣尖東,海濱南岸 1座 21樓 F室,N/A,26/03/2025,2房,$600 萬,432 呎,"$13,889",N/A
九龍,紅磡灣尖東,都會軒 1座 27樓 9室,N/A,26/03/2025,1房,$698 萬,477 呎,"$14,633",N/A
九龍,紅磡灣尖東,海濱南岸 7座 9樓 K室,N/A,26/03/2025,2房,$725 萬,481 呎,"$15,073",N/A
九龍,紅磡灣尖東,海濱南岸 7座 7樓 D室,N/A,25/03/2025,3房,$810 萬,589 呎,"$13,752",N/A
九龍,紅磡灣尖東,海濱南岸 4座 中層 C室,N/A,22/03/2025,3房,"$25,000",590 呎,$42,N/A
九龍,紅磡灣尖東,維港．星岸 2座 25樓 A室,N/A,21/03/2025,3房,"$2,200 萬","1,089 呎","$20,202",露台 | | 工作平台
九龍,紅磡灣尖東,都會軒 2座 19樓 20室,N/A,14/03/2025,1房,$728 萬,476 呎,"$15,294",N/A
九龍,紅磡灣尖東,維港．星岸 2座 12樓 A室,N/A,13/03/2025,3房,"$1,500 萬","1,076 呎","$13,941",露台 | | 工作平台
