区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,美孚,美孚新邨 六期 恆柏街002號 中層 B室,N/A,03/04/2025,3房,$698 萬,716 呎,"$9,749",N/A
九龍,美孚,美孚新邨 三期 百老匯街049號 低層 B室,N/A,03/04/2025,2房,$538 萬,511 呎,"$10,528",N/A
九龍,美孚,美孚新邨 四期 百老匯街111號 低層 C室,N/A,01/04/2025,2房,"$18,800",510 呎,$37,N/A
九龍,美孚,美孚新邨 八期 百老匯街100號 低層 B室,N/A,30/03/2025,2房,"$23,500",648 呎,$36,N/A
九龍,美孚,美孚新邨 八期 百老匯街94號 20樓 D室,N/A,28/03/2025,3房,$729 萬,906 呎,"$8,046",露台
九龍,美孚,美孚新邨 三期 百老匯街58號 2樓 B室,N/A,28/03/2025,4房,$890 萬,"1,066 呎","$8,349",露台
九龍,美孚,美孚新邨 五期 蘭秀街9號 19樓 B室,N/A,28/03/2025,3房,$830 萬,704 呎,"$11,790",露台
九龍,美孚,美孚新邨 二期 百老匯街50號 17樓 A室,N/A,28/03/2025,3房,$688 萬,729 呎,"$9,438",露台
九龍,美孚,美孚新邨 三期 百老匯街86號 6樓 A室,N/A,27/03/2025,3房,$688 萬,719 呎,"$9,569",露台
九龍,美孚,美孚新邨 一期 百老匯街4號 1樓 B室,N/A,27/03/2025,3房,$810 萬,913 呎,"$8,872",露台
九龍,美孚,曼克頓山 5座 低層 E室,N/A,25/03/2025,2房,"$23,500",538 呎,$44,露台
九龍,美孚,美孚新邨 四期 百老匯街85號 15樓 C室,N/A,25/03/2025,3房,$630 萬,743 呎,"$8,479",露台
九龍,美孚,美孚新邨 六期 蘭秀街40號 18樓 B室,N/A,25/03/2025,4房,"$1,128 萬","1,109 呎","$10,171",露台
九龍,美孚,美孚新邨 三期 百老匯街57號 18樓 D室,N/A,25/03/2025,3房,$570 萬,657 呎,"$8,676",露台
九龍,美孚,美孚新邨 一期 百老匯街14號 14樓 C室,N/A,25/03/2025,3房,$850 萬,946 呎,"$8,985",露台
九龍,美孚,清麗苑 B座 中層 7室,N/A,24/03/2025,2房,$365 萬,403 呎,"$9,057",N/A
九龍,美孚,美孚新邨 五期 蘭秀街22號 2樓 C室,N/A,24/03/2025,2房,$422 萬,508 呎,"$8,307",露台
九龍,美孚,美孚新邨 二期 吉利徑1號 19樓 A室,N/A,24/03/2025,2房,$490 萬,630 呎,"$7,778",N/A
九龍,美孚,美孚新邨 五期 蘭秀街022號 高層 C室,N/A,22/03/2025,2房,"$19,000",508 呎,$37,N/A
九龍,美孚,美孚新邨 三期 百老匯街90號 16樓 C室,N/A,21/03/2025,4房,"$1,370 萬","1,337 呎","$10,247",露台
九龍,美孚,美孚新邨 一期 百老匯街29號 12樓 A室,N/A,21/03/2025,3房,$623 萬,617 呎,"$10,097",露台
九龍,美孚,美孚新邨 八期 百老匯街112號 9樓 A室,N/A,21/03/2025,3房,$985 萬,992 呎,"$9,929",露台
九龍,美孚,美孚新邨 一期 百老匯街21號 11樓 C室,N/A,21/03/2025,2房,$538 萬,639 呎,"$8,419",N/A
九龍,美孚,曼克頓山 1座 低層 A室,N/A,21/03/2025,4房,"$3,168 萬","1,846 呎","$17,161",露台
九龍,美孚,美孚新邨 七期 萬事達廣場9號 11樓 C室,N/A,21/03/2025,2房,$618 萬,657 呎,"$9,406",露台
九龍,美孚,美孚新邨 一期 百老匯街23號 5樓 G室,N/A,20/03/2025,1房,$450 萬,464 呎,"$9,698",N/A
九龍,美孚,美孚新邨 五期 蘭秀街6號 14樓 B室,N/A,20/03/2025,2房,$650 萬,612 呎,"$10,621",露台
九龍,美孚,美孚新邨 二期 吉利徑15號 13樓 B室,N/A,20/03/2025,2房,$610 萬,638 呎,"$9,561",露台
九龍,美孚,美孚新邨 一期 百老匯街11號 18樓 B室,N/A,20/03/2025,1房,$440 萬,482 呎,"$9,124",露台
九龍,美孚,美孚新邨 二期 吉利徑3號 9樓 A室,N/A,19/03/2025,3房,$550 萬,685 呎,"$8,029",露台
九龍,美孚,美孚新邨 一期 百老匯街18號 16樓 B室,N/A,18/03/2025,3房,$810 萬,853 呎,"$9,496",N/A
九龍,美孚,美孚新邨 四期 百老匯街109號 13樓 A室,N/A,17/03/2025,3房,$625 萬,656 呎,"$9,527",露台
九龍,美孚,美孚新邨 四期 百老匯街113號 16樓 A室,N/A,17/03/2025,3房,$640 萬,670 呎,"$9,552",露台
九龍,美孚,美孚新邨 三期 百老匯街070號 低層 C室,N/A,17/03/2025,2房,"$20,000",544 呎,$37,N/A
九龍,美孚,美孚新邨 五期 蘭秀街4號 16樓 A室,N/A,17/03/2025,3房,$600 萬,656 呎,"$9,146",露台
九龍,美孚,美孚新邨 五期 蘭秀街5號 4樓 A室,N/A,17/03/2025,3房,$535 萬,657 呎,"$8,143",露台
九龍,美孚,美孚新邨 六期 蘭秀街27號 7樓 B室,N/A,14/03/2025,3房,$650 萬,716 呎,"$9,078",露台
九龍,美孚,美孚新邨 三期 百老匯街64號 4樓 A室,N/A,14/03/2025,2房,$588 萬,657 呎,"$8,950",露台
九龍,美孚,美孚新邨 二期 百老匯街35號 4樓 D室,N/A,13/03/2025,3房,$770 萬,869 呎,"$8,861",露台
九龍,美孚,美孚新邨 四期 百老匯街99號 8樓 A室,N/A,12/03/2025,3房,$690 萬,752 呎,"$9,176",露台
九龍,美孚,美孚新邨 七期 萬事達廣場3號 13樓 B室,N/A,11/03/2025,2房,$598 萬,659 呎,"$9,074",露台
九龍,美孚,美孚新邨 三期 百老匯街84號 16樓 D室,N/A,11/03/2025,3房,$660 萬,713 呎,"$9,257",露台
九龍,美孚,美孚新邨 六期 恆柏街2號 10樓 C室,N/A,10/03/2025,3房,$628 萬,716 呎,"$8,771",露台
九龍,美孚,美孚新邨 二期 吉利徑19號 20樓 D室,N/A,10/03/2025,2房,$520 萬,630 呎,"$8,254",露台
九龍,美孚,美孚新邨 八期 百老匯街120號 5樓 A室,N/A,10/03/2025,2房,$550 萬,674 呎,"$8,160",露台
九龍,美孚,美孚新邨 二期 百老匯街39號 7樓 D室,N/A,10/03/2025,3房,$730 萬,870 呎,"$8,391",露台
九龍,美孚,美孚新邨 四期 百老匯街89號 9樓 C室,N/A,07/03/2025,3房,$700 萬,767 呎,"$9,126",露台
九龍,美孚,曼克頓山 3座 低層 E室,N/A,07/03/2025,2房,"$23,800",538 呎,$44,露台
九龍,美孚,美孚新邨 五期 蘭秀街9號 12樓 B室,N/A,07/03/2025,3房,$680 萬,704 呎,"$9,659",露台
九龍,美孚,美孚新邨 四期 百老匯街117號 4樓 A室,N/A,05/03/2025,2房,$455 萬,437 呎,"$10,412",露台
九龍,美孚,美孚新邨 三期 百老匯街90號 17樓 B室,N/A,05/03/2025,4房,"$1,788 萬","1,371 呎","$13,042",露台
九龍,美孚,美孚新邨 五期 蘭秀街7號 3樓 C室,N/A,04/03/2025,2房,$460 萬,509 呎,"$9,037",露台
九龍,美孚,美孚新邨 一期 百老匯街11號 12樓 B室,N/A,03/03/2025,1房,$430 萬,482 呎,"$8,921",露台
九龍,美孚,美孚新邨 五期 蘭秀街2號 高層 D室,N/A,03/03/2025,3房,"$25,000",672 呎,$37,N/A
九龍,美孚,美孚新邨 五期 蘭秀街020號 高層 D室,N/A,03/03/2025,2房,"$22,000",591 呎,$37,N/A
九龍,美孚,美孚新邨 五期 蘭秀街015號 中層 B室,N/A,01/03/2025,2房,"$19,000",508 呎,$37,N/A
九龍,美孚,美孚新邨 二期 百老匯街037號 高層 C室,N/A,01/03/2025,1房,"$13,200",409 呎,$32,N/A
九龍,美孚,清麗苑 C座 3樓 5室,N/A,28/02/2025,2房,$360 萬,388 呎,"$9,278",N/A
九龍,美孚,美孚新邨 二期 百老匯街35號 14樓 B室,N/A,27/02/2025,1房,$450 萬,445 呎,"$10,112",露台
九龍,美孚,美孚新邨 三期 百老匯街52號 3樓 C室,N/A,27/02/2025,3房,$755 萬,853 呎,"$8,851",露台
九龍,美孚,清麗苑 F座 12樓 10室,N/A,27/02/2025,2房,$350 萬,388 呎,"$9,021",N/A
九龍,美孚,美孚新邨 一期 百老匯街9號 14樓 C室,N/A,26/02/2025,3房,$548 萬,629 呎,"$8,704",露台
九龍,美孚,美孚新邨 五期 蘭秀街022號 高層 C室,N/A,23/02/2025,2房,"$20,000",508 呎,$39,N/A
九龍,美孚,美孚新邨 三期 百老匯街43號 5樓 C室,N/A,21/02/2025,2房,$490 萬,509 呎,"$9,627",露台
九龍,美孚,美孚新邨 四期 百老匯街93號 10樓 D室,N/A,20/02/2025,3房,$660 萬,717 呎,"$9,205",露台
九龍,美孚,美孚新邨 二期 百老匯街032號 中層 A室,N/A,19/02/2025,3房,"$33,000",941 呎,$35,N/A
九龍,美孚,美孚新邨 一期 百老匯街8號 18樓 A室,N/A,19/02/2025,4房,"$1,550 萬","1,271 呎","$12,195",露台
