区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,藍田,麗港城 1期 01座 中層 D室,N/A,03/04/2025,3房,$689 萬,687 呎,"$10,026",N/A
九龍,藍田,啟田大廈 A座 7樓 3室,N/A,01/04/2025,2房,$386 萬,469 呎,"$8,230",N/A
九龍,藍田,麗港城 1期 1座 17樓 B室,N/A,31/03/2025,2房,$566 萬,522 呎,"$10,843",N/A
九龍,藍田,麗港城 4期 20座 14樓 H室,N/A,31/03/2025,3房,$768 萬,748 呎,"$10,267",N/A
九龍,藍田,KOKO HILLS 3A期 (Koko Rosso) 6座 15樓 C室,N/A,31/03/2025,2房,$825 萬,426 呎,"$19,366",露台 | | 工作平台
九龍,藍田,匯景花園 8座 23樓 D室,N/A,28/03/2025,2房,$615 萬,537 呎,"$11,453",N/A
九龍,藍田,麗港城 1期 16座 14樓 F室,N/A,28/03/2025,2房,$558 萬,517 呎,"$10,793",N/A
九龍,藍田,KOKO HILLS 3B期 (Koko Mare) 9座 15樓 K室,N/A,27/03/2025,2房,$792 萬,416 呎,"$19,036",露台 | | 工作平台
九龍,藍田,匯景花園 16座 中層 H室,N/A,26/03/2025,3房,$800 萬,720 呎,"$11,111",N/A
九龍,藍田,匯景花園 13座 16樓 A室,N/A,26/03/2025,3房,$734 萬,614 呎,"$11,951",N/A
九龍,藍田,康華苑 B座 高層 7室,N/A,25/03/2025,2房,$334 萬,423 呎,"$7,891",N/A
九龍,藍田,康雅苑 A座 (桃雅閣) 24樓 4室,N/A,25/03/2025,1房,$475 萬,541 呎,"$8,780",N/A
九龍,藍田,德田邨 4座 (德樂樓) 21樓 15室,N/A,24/03/2025,開放式,$203 萬,407 呎,"$4,988",露台
九龍,藍田,匯景花園 9座 11樓 A室,N/A,24/03/2025,3房,$703 萬,614 呎,"$11,450",N/A
九龍,藍田,鯉安苑 B 座 (鯉逸閣) 14樓 4室,N/A,24/03/2025,2房,$415 萬,506 呎,"$8,202",N/A
九龍,藍田,康栢苑 G 座 (金柏閣) 中層 7室,N/A,24/03/2025,3房,$400 萬,554 呎,"$7,220",N/A
九龍,藍田,麗港城 1期 15座 高層 G室,N/A,23/03/2025,2房,"$18,800",517 呎,$36,N/A
九龍,藍田,麗港城 2期 31座 25樓 F室,N/A,21/03/2025,2房,$600 萬,517 呎,"$11,605",N/A
九龍,藍田,KOKO HILLS 3A期 (Koko Rosso) 7座 1樓 J室,N/A,21/03/2025,2房,$860 萬,408 呎,"$21,078",平台
九龍,藍田,麗港城 2期 30座 9樓 A室,N/A,21/03/2025,3房,$752 萬,748 呎,"$10,053",N/A
九龍,藍田,匯景花園 7座 23樓 E室,N/A,19/03/2025,3房,$690 萬,614 呎,"$11,238",N/A
九龍,藍田,KOKO HILLS 1期 5座 6樓 F室,N/A,19/03/2025,3房,"$1,226 萬",671 呎,"$18,271",露台
九龍,藍田,麗港城 4期 20座 17樓 A室,N/A,19/03/2025,3房,$738 萬,748 呎,"$9,866",N/A
九龍,藍田,匯景花園 03座 低層 G室,N/A,19/03/2025,3房,$680 萬,612 呎,"$11,111",N/A
九龍,藍田,匯景花園 03座 低層 G室,N/A,19/03/2025,3房,$680 萬,612 呎,"$11,111",N/A
九龍,藍田,麗港城 1期 7座 14樓 G室,N/A,18/03/2025,2房,$580 萬,517 呎,"$11,219",N/A
九龍,藍田,鯉安苑 E 座 (鯉景閣) 11樓 5室,N/A,18/03/2025,3房,$628 萬,650 呎,"$9,662",N/A
九龍,藍田,麗港城 2期 30座 15樓 D室,N/A,17/03/2025,3房,$713 萬,687 呎,"$10,371",N/A
九龍,藍田,匯景花園 11座 16樓 H室,N/A,17/03/2025,3房,$838 萬,720 呎,"$11,639",N/A
九龍,藍田,KOKO HILLS 1期 3座 2樓 A室,N/A,17/03/2025,3房,"$1,412 萬",771 呎,"$18,314",露台
九龍,藍田,麗港城 4期 21座 高層 C室,N/A,15/03/2025,2房,"$17,500",517 呎,$34,N/A
九龍,藍田,啟田大廈 A座 3樓 6室,N/A,14/03/2025,2房,$355 萬,469 呎,"$7,569",N/A
九龍,藍田,麗港城 4期 21座 8樓 H室,N/A,14/03/2025,3房,$750 萬,748 呎,"$10,027",N/A
九龍,藍田,康栢苑 E座 (欣柏閣) 19樓 8室,N/A,14/03/2025,2房,$352 萬,401 呎,"$8,778",露台
九龍,藍田,康華苑 C座 (頌康閣) 1樓 4室,N/A,14/03/2025,1房,$260 萬,346 呎,"$7,514",露台
九龍,藍田,KOKO HILLS 3A期 (Koko Rosso) 7座 9樓 G室,N/A,14/03/2025,2房,$882 萬,477 呎,"$18,491",露台 | | 工作平台
九龍,藍田,KOKO HILLS 3A期 (Koko Rosso) 6座 11樓 G室,N/A,14/03/2025,2房,$880 萬,475 呎,"$18,533",露台 | | 工作平台
九龍,藍田,匯景花園 16座 19樓 E室,N/A,14/03/2025,3房,$850 萬,720 呎,"$11,806",N/A
九龍,藍田,康華苑 A座 (宏康閣) 2樓 6室,N/A,14/03/2025,2房,$308 萬,423 呎,"$7,281",露台
九龍,藍田,KOKO HILLS 3A期 (Koko Rosso) 6座 15樓 A室,N/A,13/03/2025,2房,$960 萬,489 呎,"$19,632",露台 | | 工作平台
九龍,藍田,康華苑 B座 (怡康閣) 9樓 16室,N/A,13/03/2025,1房,$309 萬,380 呎,"$8,132",露台
九龍,藍田,鯉安苑 C 座 (鯉欣閣) 高層 5室,N/A,13/03/2025,3房,"$20,000",650 呎,$31,N/A
九龍,藍田,麗港城 3期 36座 17樓 A室,N/A,12/03/2025,3房,$755 萬,748 呎,"$10,094",N/A
九龍,藍田,康田苑 B座 24樓 2室,N/A,12/03/2025,3房,$510 萬,550 呎,"$9,273",N/A
