区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,西貢,逸瓏海滙 1座 7樓 A室,N/A,01/04/2025,3房,$870 萬,837 呎,"$10,394",露台 | | 工作平台
九龍,西貢,西貢苑 F座 7樓 G室,N/A,26/03/2025,2房,$260 萬,360 呎,"$7,222",N/A
九龍,西貢,西貢大廈 A座 10樓 A1室,N/A,20/03/2025,-,$518 萬,457 呎,"$11,335",N/A
九龍,西貢,逸瓏海滙 2座 2樓 D室,N/A,12/03/2025,1房,$438 萬,433 呎,"$10,115",露台 | | 工作平台
九龍,西貢,西貢苑 F座 8樓 D室,N/A,11/03/2025,1房,$290 萬,293 呎,"$9,898",N/A
九龍,西貢,匡湖居 一期 8座 D號 (70號屋 ),N/A,18/02/2025,4房,"$2,100 萬","1,051 呎","$19,981",花園 | | 天台 | | 平台
九龍,西貢,萬年街11-13號 2樓 13室,N/A,13/02/2025,-,$400 萬,691 呎,"$5,789",N/A
九龍,西貢,133 Portofino 2座 1樓 A室,N/A,13/02/2025,3房,"$1,480 萬","1,031 呎","$14,355",車位 | | 平台 | | 露台 | | 工作平台
九龍,西貢,西貢大廈 A座 1樓 A5室,N/A,04/02/2025,-,$500 萬,449 呎,"$11,136",平台
九龍,西貢,高勝樓 5樓 C1室,N/A,23/01/2025,-,$260 萬,340 呎,"$7,647",天台
九龍,西貢,西貢大廈 B座 6樓 B4室,N/A,22/01/2025,-,$537 萬,537 呎,"$10,000",N/A
九龍,西貢,黃竹灣 黃竹灣23號 WB樓 WB室,N/A,15/01/2025,-,"$1,300 萬",-,-,N/A
九龍,西貢,西貢花園 1座 4樓 C室,N/A,06/01/2025,3房,$505 萬,504 呎,"$10,020",N/A
九龍,西貢,璟瓏軒 牛寮87號 WB樓 WB室,N/A,18/12/2024,-,"$1,608 萬",-,-,N/A
九龍,西貢,西貢大廈 A座 7樓 A1室,N/A,18/12/2024,-,$517 萬,457 呎,"$11,313",N/A
九龍,西貢,西貢苑 C座 8樓 B室,N/A,06/12/2024,2房,$320 萬,292 呎,"$10,959",N/A
九龍,西貢,萬年街67-69號 1樓 67室,N/A,22/11/2024,-,$480 萬,691 呎,"$6,946",N/A
九龍,西貢,萬年街94-96號 3樓 94室,N/A,19/11/2024,-,$420 萬,691 呎,"$6,078",N/A
九龍,西貢,南山(西貢) 南山146A號 WB樓 WB室,N/A,15/11/2024,-,"$1,300 萬",-,-,N/A
九龍,西貢,Greenwood Villa 4座 WB樓 WB室,N/A,12/11/2024,-,"$1,632 萬",-,-,N/A
九龍,西貢,逸瓏海滙 2座 低層 A室,N/A,09/11/2024,3房,"$24,000",827 呎,$29,露台 | | 工作平台
九龍,西貢,南圍 南圍491號 -樓,N/A,28/10/2024,-,"$1,235 萬",-,-,N/A
九龍,西貢,逸瓏海滙 3座 高層 H室,N/A,26/10/2024,2房,"$16,800",543 呎,$31,露台 | | 工作平台
九龍,西貢,逸瓏園 1座 2樓 C室,N/A,18/10/2024,3房,"$1,038 萬",881 呎,"$11,782",露台 | | 工作平台
九龍,西貢,西貢大廈 B座 10樓 B7室,N/A,08/10/2024,-,$530 萬,532 呎,"$9,962",N/A
九龍,西貢,匡湖居 第五期 A22號,N/A,07/10/2024,3房,"$2,388 萬","1,356 呎","$17,611",花園 | | 天台 | | 平台 | | 露台
九龍,西貢,西貢花園 2座 6樓 A室,N/A,02/10/2024,3房,$450 萬,470 呎,"$9,574",N/A
九龍,西貢,翠塘花園 10 座 2樓 F室,N/A,02/10/2024,-,$238 萬,432 呎,"$5,509",N/A
九龍,西貢,御花園 16座,N/A,02/10/2024,3房,"$1,198 萬","1,234 呎","$9,708",車位 | | 天台
九龍,西貢,逸瓏園 2座 1樓 D室,N/A,30/09/2024,2房,$600 萬,666 呎,"$9,009",露台 | | 工作平台
九龍,西貢,133 Portofino 3號屋,N/A,26/09/2024,4房,"$5,694 萬","2,589 呎","$21,993",花園 | | 天台 | | 露台 | | 工作平台
九龍,西貢,逸瓏園 3座 3樓 E室,N/A,13/09/2024,2房,$748 萬,661 呎,"$11,316",露台 | | 工作平台
九龍,西貢,匡湖居 第四期 F28號,N/A,10/09/2024,3房,"$2,000 萬","1,355 呎","$14,760",花園 | | 天台 | | 平台 | | 露台
九龍,西貢,吉祥樓 4樓 C室,N/A,05/09/2024,-,$295 萬,422 呎,"$6,991",N/A
九龍,西貢,逸瓏園 5座 5樓 B室,N/A,29/08/2024,3房,"$1,280 萬",992 呎,"$12,903",露台 | | 工作平台
九龍,西貢,匡湖居 第二期 F23號,N/A,14/08/2024,3房,"$3,300 萬","1,561 呎","$21,140",花園 | | 天台 | | 平台 | | 露台
九龍,西貢,翠塘花園 6 座 8樓 C室,N/A,05/08/2024,-,$443 萬,448 呎,"$9,888",N/A
九龍,西貢,逸瓏海滙 3座 G樓 C室,N/A,22/07/2024,2房,$700 萬,589 呎,"$11,885",花園 | | 露台 | | 工作平台
九龍,西貢,萬年街7-9號 1樓 7室,N/A,12/07/2024,-,$600 萬,691 呎,"$8,683",N/A
九龍,西貢,匡湖居 第四期 K40號,N/A,12/07/2024,4房,"$3,800 萬","1,942 呎","$19,567",花園 | | 天台 | | 平台 | | 露台
九龍,西貢,翠塘花園 2 座 2樓 C室,N/A,21/06/2024,-,$417 萬,448 呎,"$9,308",N/A
九龍,西貢,匡湖居 第五期 A28號,N/A,21/06/2024,3房,"$2,500 萬","1,356 呎","$18,437",花園 | | 天台 | | 平台 | | 露台
九龍,西貢,翠塘花園 10 座 7樓 G室,N/A,12/06/2024,-,$420 萬,432 呎,"$9,722",N/A
九龍,西貢,逸瓏海滙 3座 2樓 P室,N/A,11/06/2024,2房,$528 萬,527 呎,"$10,019",平台 | | 露台 | | 工作平台
九龍,西貢,翠塘花園 5 座 9樓 A室,N/A,23/05/2024,-,$270 萬,570 呎,"$4,737",N/A
九龍,西貢,普通道66-68號 68座 4樓,N/A,13/05/2024,-,$560 萬,691 呎,"$8,104",N/A
九龍,西貢,逸瓏海滙 2座 中層 B室,N/A,06/05/2024,2房,"$16,800",592 呎,$28,露台 | | 工作平台
九龍,西貢,西貢濤苑 15座 G樓,N/A,24/04/2024,3房,"$1,380 萬",985 呎,"$14,010",車位
九龍,西貢,西貢花園 1座 3樓 F室,N/A,17/04/2024,3房,$550 萬,570 呎,"$9,649",N/A
九龍,西貢,西貢苑 E座 8樓 A室,N/A,11/04/2024,2房,$300 萬,292 呎,"$10,274",N/A
九龍,西貢,西貢花園 2座 4樓 G室,N/A,11/04/2024,2房,$402 萬,408 呎,"$9,853",N/A
九龍,西貢,翠塘花園 5 座 8樓 H室,N/A,27/03/2024,-,$445 萬,436 呎,"$10,206",N/A
九龍,西貢,西貢苑 E座 9樓 C室,N/A,12/03/2024,1房,$750 萬,657 呎,"$11,416",N/A
九龍,西貢,西貢苑 A座 8樓 C室,N/A,11/03/2024,1房,$352 萬,294 呎,"$11,973",N/A
