区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,觀塘牛頭角,安基苑 D座 高層 7室,N/A,03/04/2025,2房,$400 萬,434 呎,"$9,217",N/A
九龍,觀塘牛頭角,金僑華廈 2樓 10室,N/A,02/04/2025,-,$350 萬,460 呎,"$7,609",N/A
九龍,觀塘牛頭角,萬福大廈 2樓 432室,N/A,02/04/2025,1房,$275 萬,375 呎,"$7,333",N/A
九龍,觀塘牛頭角,裕民中心 2座 23樓 F室,N/A,01/04/2025,-,$636 萬,588 呎,"$10,816",N/A
九龍,觀塘牛頭角,連安大廈 2樓 23A室,N/A,01/04/2025,-,$213 萬,380 呎,"$5,605",N/A
九龍,觀塘牛頭角,聯安大樓 4樓 27RP室,N/A,31/03/2025,-,$290 萬,310 呎,"$9,355",N/A
九龍,觀塘牛頭角,堅美樓 1樓,N/A,28/03/2025,-,$334 萬,551 呎,"$6,062",平台
九龍,觀塘牛頭角,富華閣 8樓 E室,N/A,28/03/2025,-,$352 萬,501 呎,"$7,026",N/A
九龍,觀塘牛頭角,景興閣 7樓 3室,N/A,28/03/2025,-,$658 萬,734 呎,"$8,965",車位
九龍,觀塘牛頭角,月威大廈 2座 G樓 L室,N/A,28/03/2025,-,$418 萬,625 呎,"$6,688",平台
九龍,觀塘牛頭角,南和大樓 1樓 A室,N/A,28/03/2025,-,$190 萬,282 呎,"$6,738",平台
九龍,觀塘牛頭角,凱滙 I期 1座 中層 L室,N/A,28/03/2025,2房,"$24,000",592 呎,$41,露台 | | 工作平台
九龍,觀塘牛頭角,Bal Residence 3樓 A室,N/A,28/03/2025,1房,$541 萬,300 呎,"$18,032",平台
九龍,觀塘牛頭角,百富閣 23樓 B室,N/A,28/03/2025,2房,$289 萬,297 呎,"$9,731",N/A
九龍,觀塘牛頭角,觀月•樺峯 32樓 C室,N/A,27/03/2025,3房,"$1,188 萬",843 呎,"$14,093",露台 | | 工作平台
九龍,觀塘牛頭角,裕民中心 2座 22樓 D室,N/A,26/03/2025,-,$625 萬,576 呎,"$10,851",N/A
九龍,觀塘牛頭角,麗裕大廈 24樓 A室,N/A,26/03/2025,2房,$352 萬,299 呎,"$11,773",N/A
九龍,觀塘牛頭角,金僑華廈 16樓 13室,N/A,26/03/2025,-,$280 萬,410 呎,"$6,829",N/A
九龍,觀塘牛頭角,功樂大廈 3樓 B室,N/A,26/03/2025,-,$620 萬,678 呎,"$9,145",車位
九龍,觀塘牛頭角,祥和苑 F座( 和通閣 ) 高層 5室,N/A,26/03/2025,2房,$380 萬,434 呎,"$8,756",N/A
九龍,觀塘牛頭角,觀月•樺峯 高層 E室,N/A,25/03/2025,3房,"$1,280 萬",851 呎,"$15,041",露台 | | 工作平台
九龍,觀塘牛頭角,凱滙 I期 2座 高層 C室,N/A,25/03/2025,1房,"$20,000",452 呎,$44,天台 | | 露台 | | 工作平台
九龍,觀塘牛頭角,鴻發大樓 2樓 D室,N/A,25/03/2025,-,$210 萬,340 呎,"$6,176",N/A
九龍,觀塘牛頭角,安基苑 A座 3樓 8室,N/A,25/03/2025,2房,$330 萬,414 呎,"$7,971",N/A
九龍,觀塘牛頭角,景興閣 8樓 3室,N/A,24/03/2025,-,$668 萬,734 呎,"$9,101",車位
九龍,觀塘牛頭角,凱滙 II期 5座 低層 M室,N/A,23/03/2025,3房,"$29,500",803 呎,$37,露台 | | 工作平台
九龍,觀塘牛頭角,富裕大廈 12樓 B室,N/A,21/03/2025,-,$225 萬,240 呎,"$9,375",N/A
九龍,觀塘牛頭角,凱滙 II期 5座 7樓 G室,N/A,21/03/2025,2房,$805 萬,522 呎,"$15,421",露台 | | 工作平台
九龍,觀塘牛頭角,Bal Residence 9樓 B室,N/A,21/03/2025,1房,$461 萬,344 呎,"$13,411",露台 | | 工作平台
九龍,觀塘牛頭角,聯利大樓 8樓 FP06M室,N/A,19/03/2025,-,$208 萬,294 呎,"$7,075",N/A
九龍,觀塘牛頭角,時興大廈 10樓 A室,N/A,18/03/2025,-,$420 萬,610 呎,"$6,885",N/A
九龍,觀塘牛頭角,好景樓 12樓 B室,N/A,18/03/2025,-,$460 萬,582 呎,"$7,904",車位
九龍,觀塘牛頭角,瑞寧樓 5樓 C9室,N/A,18/03/2025,-,$140 萬,276 呎,"$5,072",N/A
九龍,觀塘牛頭角,協威園 A座 5樓 A1室,N/A,18/03/2025,-,$420 萬,584 呎,"$7,192",車位
九龍,觀塘牛頭角,寶珮苑 A座 1樓 7室,N/A,18/03/2025,3房,$333 萬,554 呎,"$6,011",露台
九龍,觀塘牛頭角,兆景樓 低層 F室,N/A,18/03/2025,-,"$13,800",388 呎,$36,N/A
九龍,觀塘牛頭角,建泰樓 1樓 2室,N/A,17/03/2025,-,$220 萬,296 呎,"$7,432",平台
九龍,觀塘牛頭角,凱滙 II期 3座 39樓 L室,N/A,17/03/2025,2房,$900 萬,592 呎,"$15,203",露台 | | 工作平台
九龍,觀塘牛頭角,觀塘大廈 G樓 17室,N/A,17/03/2025,-,$297 萬,397 呎,"$7,469",N/A
九龍,觀塘牛頭角,好景樓 10樓 B室,N/A,17/03/2025,-,$390 萬,582 呎,"$6,701",N/A
九龍,觀塘牛頭角,康寧大廈 2樓 L室,N/A,17/03/2025,-,$266 萬,536 呎,"$4,963",N/A
九龍,觀塘牛頭角,建泰樓 2樓 6室,N/A,17/03/2025,-,$220 萬,302 呎,"$7,285",N/A
九龍,觀塘牛頭角,凱滙 II期 5座 低層 F室,N/A,15/03/2025,2房,"$25,000",607 呎,$41,露台 | | 工作平台
九龍,觀塘牛頭角,光明大廈 21樓 A室,N/A,14/03/2025,-,$488 萬,489 呎,"$9,980",N/A
九龍,觀塘牛頭角,凱滙 II期 5座 低層 J室,N/A,14/03/2025,1房,"$22,000",391 呎,$56,露台 | | 工作平台
九龍,觀塘牛頭角,仁寧大廈 11樓 E室,N/A,14/03/2025,-,$280 萬,418 呎,"$6,699",N/A
九龍,觀塘牛頭角,Bal Residence 10樓 B室,N/A,14/03/2025,1房,$463 萬,344 呎,"$13,472",露台 | | 工作平台
九龍,觀塘牛頭角,遠景大廈 6樓 B2室,N/A,13/03/2025,-,$536 萬,560 呎,"$9,571",N/A
九龍,觀塘牛頭角,林景閣 2座 10樓 C室,N/A,12/03/2025,-,$450 萬,541 呎,"$8,318",N/A
九龍,觀塘牛頭角,翠屏(北)邨 翠樟樓 18樓 14室,N/A,12/03/2025,開放式,$30 萬,-,-,N/A
九龍,觀塘牛頭角,翠屏(北)邨 翠楊樓 5樓 17室,N/A,11/03/2025,開放式,$25.24 萬,-,-,N/A
九龍,觀塘牛頭角,Bal Residence 15樓 G室,N/A,11/03/2025,1房,$470 萬,339 呎,"$13,864",露台 | | 工作平台
九龍,觀塘牛頭角,光明大廈 15樓 B室,N/A,11/03/2025,-,$538 萬,513 呎,"$10,487",N/A
九龍,觀塘牛頭角,華峯園 8樓 B1室,N/A,11/03/2025,-,$600 萬,716 呎,"$8,380",車位
九龍,觀塘牛頭角,百富閣 22樓 A室,N/A,11/03/2025,2房,$310 萬,305 呎,"$10,164",N/A
九龍,觀塘牛頭角,翠屏(北)邨 翠楊樓 2樓 38室,N/A,11/03/2025,開放式,$38.55 萬,-,-,N/A
九龍,觀塘牛頭角,合和大廈 6樓 F室,N/A,10/03/2025,-,$300 萬,410 呎,"$7,317",N/A
九龍,觀塘牛頭角,Bal Residence 3樓 B室,N/A,10/03/2025,1房,$526 萬,307 呎,"$17,121",平台
九龍,觀塘牛頭角,永泰大廈 9樓 4室,N/A,10/03/2025,-,$439 萬,630 呎,"$6,968",N/A
九龍,觀塘牛頭角,凱滙 I期 2座 高層 M室,N/A,09/03/2025,3房,"$36,500",880 呎,$41,露台 | | 工作平台
九龍,觀塘牛頭角,安基苑 D座 26樓 4室,N/A,07/03/2025,2房,$320 萬,414 呎,"$7,729",N/A
九龍,觀塘牛頭角,康麗園 D座 7樓 1室,N/A,07/03/2025,2房,$350 萬,456 呎,"$7,675",車位
九龍,觀塘牛頭角,凱滙 II期 3座 39樓 F室,N/A,07/03/2025,3房,"$1,456 萬",910 呎,"$16,000",露台 | | 工作平台
九龍,觀塘牛頭角,仁寧大廈 9樓 B室,N/A,06/03/2025,-,$350 萬,418 呎,"$8,373",N/A
九龍,觀塘牛頭角,凱滙 I期 1座 9樓 M室,N/A,06/03/2025,2房,$916 萬,590 呎,"$15,525",露台 | | 工作平台
九龍,觀塘牛頭角,裕民中心 3座 2樓 C室,N/A,05/03/2025,-,$600 萬,583 呎,"$10,292",平台
九龍,觀塘牛頭角,多喜大廈 2樓 K室,N/A,05/03/2025,-,$368 萬,490 呎,"$7,510",N/A
九龍,觀塘牛頭角,凱滙 I期 2座 26樓 C室,N/A,03/03/2025,1房,$729 萬,452 呎,"$16,128",露台 | | 工作平台
九龍,觀塘牛頭角,樂雅苑 D座 28樓 5室,N/A,03/03/2025,2房,$308 萬,483 呎,"$6,377",N/A
