区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,調景嶺,維景灣畔 3期 11 座 低層 E室,N/A,03/04/2025,2房,$758 萬,543 呎,"$13,959",N/A
九龍,調景嶺,都會駅 二期 (城中駅) 8座 高層 B室,N/A,03/04/2025,4房,"$1,260 萬",894 呎,"$14,094",露台
九龍,調景嶺,維景灣畔 1期 03座 低層 G室,N/A,02/04/2025,2房,"$19,200",512 呎,$38,N/A
九龍,調景嶺,維景灣畔 1期 01座 低層 D室,N/A,02/04/2025,2房,$695 萬,516 呎,"$13,469",N/A
九龍,調景嶺,康盛花園 3座 6樓 F室,N/A,02/04/2025,3房,$338 萬,589 呎,"$5,739",N/A
九龍,調景嶺,維景灣畔 1期 1座 3樓 D室,N/A,02/04/2025,2房,$685 萬,516 呎,"$13,275",N/A
九龍,調景嶺,維景灣畔 3期 17 座 低層 H室,N/A,01/04/2025,2房,$625 萬,525 呎,"$11,905",N/A
九龍,調景嶺,維景灣畔 1期 01座 低層 A室,N/A,31/03/2025,3房,"$25,000",658 呎,$38,N/A
九龍,調景嶺,維景灣畔 1期 3 座 52樓 H室,N/A,31/03/2025,2房,$705 萬,516 呎,"$13,663",N/A
九龍,調景嶺,翠林邨 碧林樓(第1座) 8樓 13室,N/A,28/03/2025,開放式,$36.93 萬,-,-,露台
九龍,調景嶺,維景灣畔 2期 9 座 49樓 A室,N/A,27/03/2025,3房,"$1,015 萬",651 呎,"$15,591",N/A
九龍,調景嶺,維景灣畔 1期 5 座 51樓 G室,N/A,26/03/2025,2房,$737 萬,511 呎,"$14,423",N/A
九龍,調景嶺,維景灣畔 1期 03座 低層 B室,N/A,25/03/2025,1房,"$16,500",398 呎,$41,N/A
九龍,調景嶺,康盛花園 3座 11樓 D室,N/A,25/03/2025,2房,$328 萬,495 呎,"$6,626",N/A
九龍,調景嶺,維景灣畔 1期 3 座 46樓 A室,N/A,24/03/2025,3房,$930 萬,693 呎,"$13,420",N/A
九龍,調景嶺,都會駅 二期 (城中駅) 9座 37樓 C室,N/A,24/03/2025,3房,$950 萬,731 呎,"$12,996",平台 | | 露台 | | 工作平台
九龍,調景嶺,康盛花園 4座 29樓 J室,N/A,24/03/2025,3房,$348 萬,592 呎,"$5,878",N/A
九龍,調景嶺,都會駅 一期(都會駅) 5座 28樓 A室,N/A,24/03/2025,2房,$600 萬,492 呎,"$12,195",平台 | | 露台
九龍,調景嶺,彩明苑 D 座 (彩柏閣) 24樓 2室,N/A,21/03/2025,3房,$600 萬,650 呎,"$9,231",N/A
九龍,調景嶺,維景灣畔 3期 17 座 中層 C室,N/A,21/03/2025,3房,$888 萬,663 呎,"$13,394",N/A
九龍,調景嶺,維景灣畔 2期 9 座 47樓 E室,N/A,20/03/2025,2房,$720 萬,498 呎,"$14,458",N/A
九龍,調景嶺,景明苑 曦景閣 ( A座 ) 9樓 8室,N/A,20/03/2025,2房,$300 萬,401 呎,"$7,481",露台
九龍,調景嶺,都會駅 一期(都會駅) 5座 47樓 D室,N/A,20/03/2025,3房,$855 萬,642 呎,"$13,318",平台 | | 露台
九龍,調景嶺,維景灣畔 1期 06 座 高層 G室,N/A,19/03/2025,2房,"$20,000",525 呎,$38,N/A
九龍,調景嶺,都會駅 一期(都會駅) 1座 35樓 E室,N/A,19/03/2025,2房,$685 萬,487 呎,"$14,066",平台 | | 露台
九龍,調景嶺,彩明苑 E 座 (彩桃閣) 11樓 3室,N/A,19/03/2025,2房,$418 萬,506 呎,"$8,261",N/A
九龍,調景嶺,維景灣畔 1期 5 座 21樓 G室,N/A,18/03/2025,2房,$568 萬,511 呎,"$11,115",N/A
九龍,調景嶺,景明苑 旭景閣 ( C座 ) 27樓 4室,N/A,18/03/2025,3房,$319 萬,645 呎,"$4,946",露台
九龍,調景嶺,維景灣畔 2期 7 座 26樓 G室,N/A,18/03/2025,2房,$700 萬,496 呎,"$14,113",N/A
九龍,調景嶺,都會駅 二期 (城中駅) 6座 35樓 H室,N/A,17/03/2025,3房,$776 萬,594 呎,"$13,061",平台 | | 露台 | | 工作平台
九龍,調景嶺,都會駅 二期 (城中駅) 6座 中層 A室,N/A,15/03/2025,3房,"$21,500",594 呎,$36,露台
九龍,調景嶺,都會駅 二期 (城中駅) 8座 16樓 C室,N/A,14/03/2025,4房,$980 萬,894 呎,"$10,962",平台 | | 露台 | | 工作平台
