区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,鑽石山牛池灣,峻弦 1座 中層 C室,N/A,03/04/2025,3房,$892 萬,755 呎,"$11,815",露台 | | 工作平台
九龍,鑽石山牛池灣,薈鳴 3樓 J室,N/A,02/04/2025,開放式,$355 萬,200 呎,"$17,740",露台
九龍,鑽石山牛池灣,竹園北邨 桐園樓 28樓 22室,N/A,02/04/2025,開放式,$200 萬,443 呎,"$4,515",露台
九龍,鑽石山牛池灣,嘉峰臺 2期 1座 36樓 H室,N/A,02/04/2025,3房,$650 萬,592 呎,"$10,980",N/A
九龍,鑽石山牛池灣,星河明居 D座 27樓 3室,N/A,02/04/2025,3房,$742 萬,517 呎,"$14,352",N/A
九龍,鑽石山牛池灣,滙豪山 52樓 B室,N/A,02/04/2025,-,"$1,900 萬","1,285 呎","$14,786",天台 | | 平台
九龍,鑽石山牛池灣,龍蟠苑 E座 中層 4室,N/A,02/04/2025,1房,$408 萬,383 呎,"$10,653",N/A
九龍,鑽石山牛池灣,環鳳街32-34號 2樓 34室,N/A,01/04/2025,-,$280 萬,448 呎,"$6,250",N/A
九龍,鑽石山牛池灣,曉暉花園 1座 27樓 C室,N/A,01/04/2025,3房,$719 萬,660 呎,"$10,894",N/A
九龍,鑽石山牛池灣,薈鳴 2樓 J室,N/A,01/04/2025,開放式,$400 萬,178 呎,"$22,472",平台
九龍,鑽石山牛池灣,瓊麗苑 A座 19樓 2室,N/A,01/04/2025,3房,$530 萬,645 呎,"$8,217",露台
九龍,鑽石山牛池灣,星河明居 E座 高層 3室,N/A,01/04/2025,3房,"$22,300",517 呎,$43,N/A
九龍,鑽石山牛池灣,慈祥大廈 6樓 D室,N/A,01/04/2025,-,$260 萬,354 呎,"$7,345",N/A
九龍,鑽石山牛池灣,曉暉花園 5座 21樓 A室,N/A,31/03/2025,3房,$810 萬,676 呎,"$11,982",N/A
九龍,鑽石山牛池灣,鳳德邨 碧鳳樓 ( 第二座 ) 26樓 15室,N/A,31/03/2025,開放式,$280 萬,443 呎,"$6,321",露台
九龍,鑽石山牛池灣,龍蟠苑 B座 23樓 5室,N/A,31/03/2025,1房,$355 萬,340 呎,"$10,441",露台
九龍,鑽石山牛池灣,宏景花園 3座 35樓 G室,N/A,31/03/2025,3房,$490 萬,572 呎,"$8,566",N/A
九龍,鑽石山牛池灣,鳳德邨 紫鳳樓 ( 第三座 ) 32樓 6室,N/A,31/03/2025,開放式,$150 萬,149 呎,"$10,034",N/A
九龍,鑽石山牛池灣,宏景花園 2座 33樓 E室,N/A,31/03/2025,2房,$353 萬,424 呎,"$8,321",N/A
九龍,鑽石山牛池灣,鳳德邨 黛鳳樓 ( 第四座 ) 25樓 23室,N/A,28/03/2025,開放式,$284 萬,445 呎,"$6,378",露台
九龍,鑽石山牛池灣,龍蟠苑 B座 中層 5室,N/A,28/03/2025,1房,$345 萬,340 呎,"$10,147",N/A
九龍,鑽石山牛池灣,瓊麗苑 A座 18樓 7室,N/A,28/03/2025,3房,$338 萬,645 呎,"$5,240",露台
九龍,鑽石山牛池灣,薈鳴 7樓 J室,N/A,27/03/2025,開放式,$373 萬,200 呎,"$18,640",露台
九龍,鑽石山牛池灣,宏景花園 3座 28樓 A室,N/A,26/03/2025,3房,$580 萬,584 呎,"$9,932",N/A
九龍,鑽石山牛池灣,豪苑 B座 6樓 F室,N/A,26/03/2025,1房,$336 萬,333 呎,"$10,090",N/A
九龍,鑽石山牛池灣,現崇山 6A座 33樓 D室,N/A,26/03/2025,3房,"$1,318 萬",827 呎,"$15,937",露台 | | 工作平台
九龍,鑽石山牛池灣,新光中心 1座 18樓 C室,N/A,26/03/2025,2房,$500 萬,382 呎,"$13,089",N/A
九龍,鑽石山牛池灣,龍蟠苑 B座 17樓 16室,N/A,26/03/2025,1房,$360 萬,383 呎,"$9,399",露台
九龍,鑽石山牛池灣,慈愛苑 三期 K座 (愛華閣) 31樓 7室,N/A,25/03/2025,2房,$389 萬,506 呎,"$7,684",N/A
九龍,鑽石山牛池灣,明豐大廈 12樓 B室,N/A,25/03/2025,-,$280 萬,355 呎,"$7,887",N/A
九龍,鑽石山牛池灣,盈福苑 4樓 6室,N/A,25/03/2025,3房,$368 萬,559 呎,"$6,583",露台
九龍,鑽石山牛池灣,龍蟠苑 A座 6樓 8室,N/A,24/03/2025,1房,$398 萬,383 呎,"$10,392",露台
九龍,鑽石山牛池灣,薈鳴 22樓 F室,N/A,24/03/2025,1房,$541 萬,260 呎,"$20,815",露台
九龍,鑽石山牛池灣,龍蟠苑 E座 低層 9室,N/A,24/03/2025,1房,$300 萬,353 呎,"$8,499",N/A
九龍,鑽石山牛池灣,薈鳴 27樓 C室,N/A,24/03/2025,1房,$467 萬,245 呎,"$19,053",露台
九龍,鑽石山牛池灣,采頤花園 3座 17樓 B室,N/A,24/03/2025,3房,$700 萬,591 呎,"$11,844",N/A
九龍,鑽石山牛池灣,薈鳴 21樓 F室,N/A,24/03/2025,1房,$538 萬,260 呎,"$20,685",露台
九龍,鑽石山牛池灣,薈鳴 20樓 F室,N/A,24/03/2025,1房,$499 萬,260 呎,"$19,185",露台
九龍,鑽石山牛池灣,薈鳴 25樓 C室,N/A,24/03/2025,1房,$462 萬,245 呎,"$18,849",露台
九龍,鑽石山牛池灣,曉暉花園 5座 高層 C室,N/A,23/03/2025,2房,"$17,500",497 呎,$35,N/A
九龍,鑽石山牛池灣,星河明居 B座 低層 7室,N/A,22/03/2025,3房,"$21,500",517 呎,$42,N/A
九龍,鑽石山牛池灣,怡庭居 1座 11樓 A室,N/A,21/03/2025,-,$370 萬,302 呎,"$12,252",N/A
