区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
九龍,黃大仙樂富,峻弦 1座 中層 C室,N/A,03/04/2025,3房,$892 萬,755 呎,"$11,815",露台 | | 工作平台
九龍,黃大仙樂富,竹園北邨 桐園樓 28樓 22室,N/A,02/04/2025,開放式,$200 萬,443 呎,"$4,515",露台
九龍,黃大仙樂富,嘉峰臺 2期 1座 36樓 H室,N/A,02/04/2025,3房,$650 萬,592 呎,"$10,980",N/A
九龍,黃大仙樂富,康強苑 27樓 14室,N/A,02/04/2025,開放式,$380 萬,429 呎,"$8,858",N/A
九龍,黃大仙樂富,星河明居 D座 27樓 3室,N/A,02/04/2025,3房,$742 萬,517 呎,"$14,352",N/A
九龍,黃大仙樂富,滙豪山 52樓 B室,N/A,02/04/2025,-,"$1,900 萬","1,285 呎","$14,786",天台 | | 平台
九龍,黃大仙樂富,龍蟠苑 E座 中層 4室,N/A,02/04/2025,1房,$408 萬,383 呎,"$10,653",N/A
九龍,黃大仙樂富,東頭邨2期 逸東樓 9樓 3室,N/A,02/04/2025,開放式,$235 萬,439 呎,"$5,353",露台
九龍,黃大仙樂富,環鳳街32-34號 2樓 34室,N/A,01/04/2025,-,$280 萬,448 呎,"$6,250",N/A
九龍,黃大仙樂富,曉暉花園 1座 27樓 C室,N/A,01/04/2025,3房,$719 萬,660 呎,"$10,894",N/A
九龍,黃大仙樂富,翠竹花園 9座 25樓 K室,N/A,01/04/2025,2房,$440 萬,484 呎,"$9,091",N/A
九龍,黃大仙樂富,星河明居 E座 高層 3室,N/A,01/04/2025,3房,"$22,300",517 呎,$43,N/A
九龍,黃大仙樂富,瓊麗苑 A座 19樓 2室,N/A,01/04/2025,3房,$530 萬,645 呎,"$8,217",露台
九龍,黃大仙樂富,東頭邨2期 盛東樓 13樓 2室,N/A,31/03/2025,開放式,$190 萬,428 呎,"$4,439",露台
九龍,黃大仙樂富,宏景花園 3座 35樓 G室,N/A,31/03/2025,3房,$490 萬,572 呎,"$8,566",N/A
九龍,黃大仙樂富,龍蟠苑 B座 23樓 5室,N/A,31/03/2025,1房,$355 萬,340 呎,"$10,441",露台
九龍,黃大仙樂富,東頭邨2期 泰東樓 3樓 15室,N/A,31/03/2025,開放式,$169 萬,358 呎,"$4,721",露台
九龍,黃大仙樂富,曉暉花園 5座 21樓 A室,N/A,31/03/2025,3房,$810 萬,676 呎,"$11,982",N/A
九龍,黃大仙樂富,鳳德邨 碧鳳樓 ( 第二座 ) 26樓 15室,N/A,31/03/2025,開放式,$280 萬,443 呎,"$6,321",露台
九龍,黃大仙樂富,鳳德邨 紫鳳樓 ( 第三座 ) 32樓 6室,N/A,31/03/2025,開放式,$150 萬,149 呎,"$10,034",N/A
九龍,黃大仙樂富,宏景花園 2座 33樓 E室,N/A,31/03/2025,2房,$353 萬,424 呎,"$8,321",N/A
九龍,黃大仙樂富,翠竹花園 3座 5樓 B室,N/A,31/03/2025,2房,$225 萬,484 呎,"$4,649",N/A
九龍,黃大仙樂富,清水灣道8號 清水灣道 8 低層 D室,N/A,29/03/2025,2房,"$20,000",503 呎,$40,N/A
九龍,黃大仙樂富,龍蟠苑 B座 中層 5室,N/A,28/03/2025,1房,$345 萬,340 呎,"$10,147",N/A
九龍,黃大仙樂富,鳳德邨 黛鳳樓 ( 第四座 ) 25樓 23室,N/A,28/03/2025,開放式,$284 萬,445 呎,"$6,378",露台
九龍,黃大仙樂富,東頭邨2期 裕東樓 22樓 14室,N/A,28/03/2025,開放式,$218 萬,443 呎,"$4,926",露台
九龍,黃大仙樂富,瓊麗苑 A座 18樓 7室,N/A,28/03/2025,3房,$338 萬,645 呎,"$5,240",露台
九龍,黃大仙樂富,啟德花園 一期 2座 21樓 A室,N/A,28/03/2025,3房,$720 萬,612 呎,"$11,765",N/A
