区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
南區,壽臣山,香島道33號 8號屋,N/A,21/03/2025,-,$4.8 億,"5,025 呎","$95,522",花園 | | 天台 | | 平台 | | 露台 | | 工作平台
南區,壽臣山,香島道45號 3號屋,N/A,10/03/2025,3房,"$9,800 萬","2,222 呎","$44,104",車位 | | 花園 | | 天台
南區,壽臣山,壽山村道41A-41F號 壽山村道 41B室,N/A,15/02/2025,-,"$65,000","1,956 呎",$33,車位
南區,壽臣山,Shouson Peak 壽山村道9-19號〈獨立屋〉,N/A,31/01/2025,5房,$39 萬,"4,212 呎",$93,車位 | | 花園
南區,壽臣山,深水灣道51-55號 獨立屋,N/A,15/01/2025,-,$23 萬,"3,498 呎",$66,車位
南區,壽臣山,Sunbeam 3 號屋,N/A,04/12/2024,-,$2.1 億,"3,876 呎","$54,180",車位
南區,壽臣山,深水灣徑8號 2座 高層 D室,N/A,03/12/2024,3房,$24 萬,"2,865 呎",$84,車位 | | 露台
南區,壽臣山,翠谷別墅 2座 1樓 2A室,N/A,20/11/2024,-,"$2,604 萬","1,177 呎","$22,127",車位
南區,壽臣山,壽臣山15號 2號屋,N/A,01/11/2024,5房,$8.45 億,"12,073 呎","$69,991",花園 | | 天台 | | 露台
南區,壽臣山,淺水灣道32號 獨立屋,N/A,01/11/2024,-,$20 萬,"2,490 呎",$80,車位 | | 花園
南區,壽臣山,怡禮苑 中層 3A室,N/A,01/11/2024,-,"$60,000","1,691 呎",$35,車位 | | 平台
南區,壽臣山,榛園 3 號屋,N/A,30/10/2024,4房,"$8,780 萬","2,634 呎","$33,333",花園 | | 天台 | | 平台
南區,壽臣山,嘉名苑 高層 B室,N/A,15/10/2024,4房,$10.2 萬,"2,075 呎",$49,車位
南區,壽臣山,壽臣山道東1號 19號屋,N/A,02/10/2024,4房,$1.47 億,"2,840 呎","$51,761",車位 | | 天台
南區,壽臣山,深水灣道61-63號 獨立屋,N/A,15/09/2024,-,$23 萬,"2,727 呎",$84,N/A
南區,壽臣山,壽山村道41A-41F號 壽山村道 41B室,N/A,04/09/2024,-,"$70,000","1,956 呎",$36,車位
南區,壽臣山,麒麟閣 Ij座 3樓 J3室,N/A,03/09/2024,-,"$3,250 萬","1,657 呎","$19,614",車位
南區,壽臣山,麒麟閣 Kl座 3樓 K3室,N/A,03/09/2024,-,"$3,250 萬","1,657 呎","$19,614",車位
南區,壽臣山,碧麗閣 G室,N/A,01/09/2024,-,"$60,000","1,350 呎",$44,N/A
南區,壽臣山,壽臣山15號 3號屋,N/A,12/08/2024,6房,$7.17 億,"9,694 呎","$74,000",花園 | | 天台 | | 露台
南區,壽臣山,翠谷別墅 1座 1A室,N/A,10/08/2024,-,"$56,500","1,177 呎",$48,N/A
南區,壽臣山,壽臣山15號 12號屋,N/A,30/07/2024,4房,$3.2 億,"4,696 呎","$68,177",花園 | | 天台 | | 露台
南區,壽臣山,曉穎花園 2號屋 UG樓 B室,N/A,04/07/2024,2房,"$5,095 萬","1,831 呎","$27,826",複式 | | 露台
南區,壽臣山,傲林軒 B座 B5室,N/A,24/06/2024,-,"$59,000",948 呎,$62,車位
