区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
南區,大潭石澳,紅山半島 四期 2座 高層 A室,N/A,10/03/2025,2房,"$48,000","1,013 呎",$47,車位 | | 露台
南區,大潭石澳,浪琴園 4座 28樓 B室,N/A,04/03/2025,3房,"$2,600 萬","1,534 呎","$16,949",車位 | | 露台
南區,大潭石澳,紅山半島 一期 松柏徑D039號屋,N/A,08/01/2025,3房,"$5,500 萬","2,584 呎","$21,285",花園 | | 平台
南區,大潭石澳,紅山半島 四期 2座 高層 B室,N/A,27/12/2024,2房,"$42,000","1,013 呎",$41,車位 | | 露台
南區,大潭石澳,浪琴園 1座 33樓 B室,N/A,02/12/2024,2房,"$1,600 萬","1,077 呎","$14,856",車位 | | 露台
南區,大潭石澳,Bluewater 大潭道25號〈洋房〉 中層 6A室,N/A,01/12/2024,3房,"$76,000","1,824 呎",$42,車位
南區,大潭石澳,大潭道45號 6號屋,N/A,27/11/2024,6房,$3.03 億,"4,778 呎","$63,416",花園 | | 天台 | | 平台 | | 露台
南區,大潭石澳,皇府灣 第2號屋,N/A,22/11/2024,4房,"$6,689 萬","2,507 呎","$26,681",花園 | | 天台 | | 平台
南區,大潭石澳,浪琴園 4座 7樓 B室,N/A,21/11/2024,3房,"$2,500 萬","1,534 呎","$16,297",車位 | | 露台
南區,大潭石澳,浪琴園 1座 低層 B室,N/A,15/10/2024,2房,"$45,000","1,077 呎",$42,車位
南區,大潭石澳,紅山半島 四期 3座 低層 A室,N/A,07/09/2024,2房,"$43,000","1,017 呎",$42,車位 | | 露台
南區,大潭石澳,皇府灣 第30號屋,N/A,05/09/2024,4房,$1.4 億,"3,337 呎","$41,954",花園 | | 天台 | | 平台
南區,大潭石澳,紅山半島 四期 9座 6樓 B室,N/A,05/09/2024,2房,"$1,600 萬",956 呎,"$16,736",車位 | | 露台
南區,大潭石澳,浪琴園 1座 高層 A室,N/A,03/09/2024,3房,"$60,000","1,397 呎",$43,車位
南區,大潭石澳,玫瑰園 紅山道88號〈獨立屋〉,N/A,30/08/2024,4房,$15 萬,"3,314 呎",$45,花園
南區,大潭石澳,紅山半島 四期 1座 中層 B室,N/A,10/08/2024,3房,"$80,000","1,567 呎",$51,車位 | | 露台
南區,大潭石澳,紅山半島 四期 2座 低層 A室,N/A,01/08/2024,2房,"$43,000","1,013 呎",$42,車位 | | 露台
南區,大潭石澳,玫瑰園 19 號屋,N/A,19/07/2024,4房,"$6,800 萬","3,314 呎","$20,519",花園 | | 天台 | | 露台
南區,大潭石澳,紅山半島 四期 06座 中層 B室,N/A,03/07/2024,2房,"$45,000","1,013 呎",$44,車位 | | 露台
南區,大潭石澳,紅山半島 四期 04座 中層 A室,N/A,15/06/2024,3房,"$60,000","1,567 呎",$38,露台
南區,大潭石澳,紅山半島 四期 1座 低層 A室,N/A,14/06/2024,3房,"$70,000","1,575 呎",$44,車位 | | 露台
南區,大潭石澳,紅山半島 二期 松柏徑〈獨立屋〉,N/A,05/06/2024,4房,$10.2 萬,"2,743 呎",$37,花園
南區,大潭石澳,紅山半島 四期 3座 中層 B室,N/A,01/06/2024,2房,"$43,000","1,013 呎",$42,車位 | | 露台
南區,大潭石澳,紅山半島 四期 3座 中層 A室,N/A,01/06/2024,2房,"$44,000","1,017 呎",$43,車位 | | 露台
