区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
南區,淺水灣,陽明山莊 摘星樓 14座 6樓 79室,N/A,19/03/2025,2房,"$3,280 萬","1,624 呎","$20,197",車位
南區,淺水灣,松苑 7樓 B室,N/A,10/03/2025,3房,"$5,680 萬","1,917 呎","$29,630",車位 | | 露台
南區,淺水灣,陽明山莊 山景園 03座 中層 21室,N/A,07/03/2025,2房,"$48,000","1,042 呎",$46,N/A
南區,淺水灣,陽明山莊 山景園 5座 21樓 39室,N/A,24/02/2025,2房,"$2,000 萬","1,045 呎","$19,139",N/A
南區,淺水灣,陽明山莊 涵碧苑 11座 8樓 67室,N/A,12/02/2025,3房,"$4,800 萬","2,049 呎","$23,426",車位 | | 露台
南區,淺水灣,華景園 1座 17樓 A室,N/A,10/02/2025,4房,"$6,500 萬","2,482 呎","$26,189",車位 | | 露台
南區,淺水灣,南灣花園 C座 高層 2室,N/A,05/02/2025,-,"$48,000",850 呎,$56,車位
南區,淺水灣,陽明山莊 摘星樓 13座 3樓 73室,N/A,20/01/2025,3房,"$5,000 萬","2,308 呎","$21,664",車位 | | 露台
南區,淺水灣,華景園 2座 高層 B室,N/A,11/01/2025,3房,"$63,000","1,089 呎",$58,車位
南區,淺水灣,陽明山莊 山景園 5座 1樓 35室,N/A,08/01/2025,2房,"$1,850 萬","1,031 呎","$17,944",N/A
南區,淺水灣,麗景園 5座 低層,N/A,02/01/2025,-,"$78,000","2,049 呎",$38,車位
南區,淺水灣,保華大廈 中層 F室,N/A,01/01/2025,-,$10.3 萬,"2,578 呎",$40,複式 | | 車位
南區,淺水灣,陽明山莊 山景園 05座 高層 35室,N/A,25/12/2024,2房,"$43,600","1,031 呎",$42,車位
南區,淺水灣,淺水灣道127號 中層 B室,N/A,20/12/2024,-,$12.5 萬,"2,334 呎",$54,N/A
南區,淺水灣,華景園 3座 23樓 B室,N/A,20/12/2024,3房,"$3,500 萬","1,239 呎","$28,249",車位 | | 露台
南區,淺水灣,保華大廈 中層 G室,N/A,20/12/2024,-,$10 萬,"2,578 呎",$39,複式 | | 車位
南區,淺水灣,陽明山莊 山景園 05座 高層 35室,N/A,18/12/2024,2房,"$48,000","1,031 呎",$47,車位
南區,淺水灣,冠園 B座 8樓 B室,N/A,12/12/2024,3房,"$4,800 萬","1,878 呎","$25,559",車位 | | 露台
南區,淺水灣,陽明山莊 山景園 3座 5樓 21室,N/A,06/12/2024,2房,"$2,030 萬","1,042 呎","$19,482",車位
南區,淺水灣,淺水灣道127號 低層 A室,N/A,06/12/2024,-,$12 萬,"2,334 呎",$51,車位
南區,淺水灣,華景園 2座 19樓 A室,N/A,04/12/2024,3房,"$3,205 萬","1,358 呎","$23,601",車位 | | 露台
南區,淺水灣,陽明山莊 摘星樓 14座 16樓 81室,N/A,25/11/2024,2房,"$3,880 萬","1,441 呎","$26,926",N/A
南區,淺水灣,喜蓮苑 中層,N/A,20/11/2024,-,"$68,000","1,437 呎",$47,車位
南區,淺水灣,華景園 2座 22樓 A室,N/A,08/11/2024,3房,"$3,350 萬","1,358 呎","$24,669",車位 | | 露台
南區,淺水灣,南灣大廈 高層 A室,N/A,04/11/2024,2房,"$41,000","1,112 呎",$37,車位
南區,淺水灣,璧池 3 號屋,N/A,28/10/2024,4房,$1.6 億,"2,821 呎","$56,717",花園 | | 平台 | | 露台
南區,淺水灣,陽明山莊 山景園 5座 1樓 39室,N/A,28/10/2024,2房,"$1,780 萬","1,045 呎","$17,033",N/A
南區,淺水灣,90 Repulse Bay Road 11號屋,N/A,18/10/2024,5房,$4.7 億,"5,766 呎","$81,512",車位 | | 花園 | | 天台 | | 平台
南區,淺水灣,陽明山莊 眺景台 16座 高層 89室,N/A,16/10/2024,3房,$12.5 萬,"2,067 呎",$60,車位 | | 天台
南區,淺水灣,The Lily 4座 中層,N/A,15/10/2024,-,$14 萬,"2,546 呎",$55,車位
南區,淺水灣,陽明山莊 凌雲閣 06座 低層 45室,N/A,10/10/2024,3房,"$90,000","2,069 呎",$43,車位
南區,淺水灣,陽明山莊 山景園 3座 10樓 23室,N/A,10/10/2024,2房,"$2,050 萬","1,045 呎","$19,617",車位
南區,淺水灣,麗景園 2座 7樓,N/A,02/10/2024,-,"$6,000 萬","2,049 呎","$29,283",車位
南區,淺水灣,陽明山莊 山景園 05座 高層 37室,N/A,22/09/2024,2房,"$44,500","1,001 呎",$44,N/A
