区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
南區,貝沙灣薄扶林,貝沙灣 四期 (南灣) 8座 18樓 B室,N/A,02/04/2025,2房,"$1,118 萬",649 呎,"$17,227",露台 | | 工作平台
南區,貝沙灣薄扶林,華貴邨 華禮樓 ( 第一座 ) 23樓 13室,N/A,02/04/2025,開放式,$280 萬,443 呎,"$6,321",露台
南區,貝沙灣薄扶林,置富花園 H-1座 (富麗苑) 高層 D室,N/A,01/04/2025,2房,$488 萬,439 呎,"$11,116",N/A
南區,貝沙灣薄扶林,貝沙灣 四期 (南灣) 8座 20樓 C室,N/A,01/04/2025,3房,"$1,935 萬","1,090 呎","$17,752",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,貝沙灣 四期 (南灣) 5座 38樓 B室,N/A,31/03/2025,4房,"$5,400 萬","1,886 呎","$28,632",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,Jessville Jessville 大廈 5樓 A室,N/A,31/03/2025,3房,"$2,748 萬","1,431 呎","$19,200",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,Jessville Jessville 大廈 12樓 B室,N/A,31/03/2025,4房,"$2,825 萬","1,358 呎","$20,800",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,置富花園 H-19座 (富榮苑) 8樓 C室,N/A,31/03/2025,3房,$540 萬,588 呎,"$9,184",N/A
南區,貝沙灣薄扶林,置富花園 H-20座 (富興苑) 高層 B室,N/A,29/03/2025,3房,"$21,800",588 呎,$37,N/A
南區,貝沙灣薄扶林,Jessville Jessville 大廈 6樓 B室,N/A,28/03/2025,4房,"$2,512 萬","1,358 呎","$18,500",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,Jessville Jessville 大廈 6樓 A室,N/A,28/03/2025,3房,"$2,619 萬","1,431 呎","$18,300",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,置富花園 H-10座 (富華苑) 23樓 C室,N/A,28/03/2025,3房,$570 萬,588 呎,"$9,694",N/A
南區,貝沙灣薄扶林,Jessville Jessville 大廈 13樓 A室,N/A,28/03/2025,3房,"$3,005 萬","1,431 呎","$21,000",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,貝沙灣 四期 (南灣) 9座 15樓 B室,N/A,28/03/2025,2房,"$1,088 萬",649 呎,"$16,764",露台 | | 工作平台
南區,貝沙灣薄扶林,置富花園 H-4座 (富景苑) 10樓 E室,N/A,28/03/2025,2房,$400 萬,439 呎,"$9,112",N/A
南區,貝沙灣薄扶林,貝沙灣 六期 8B座 25樓 B室,N/A,28/03/2025,3房,"$2,800 萬","1,352 呎","$20,710",露台 | | 工作平台
南區,貝沙灣薄扶林,Jessville Jessville 大廈 13樓 B室,N/A,28/03/2025,4房,"$2,716 萬","1,358 呎","$20,000",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,Jessville Jessville 大廈 9樓 A室,N/A,28/03/2025,3房,"$3,291 萬","1,431 呎","$23,000",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,Jessville Jessville 大廈 11樓 B室,N/A,27/03/2025,4房,"$2,675 萬","1,358 呎","$19,700",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,Jessville Jessville 大廈 7樓 A室,N/A,26/03/2025,3房,"$2,719 萬","1,431 呎","$19,000",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,Jessville Jessville 大廈 2樓 A室,N/A,26/03/2025,4房,"$2,490 萬","1,431 呎","$17,400",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,置富花園 H-19座 (富榮苑) 10樓 H室,N/A,26/03/2025,2房,$487 萬,439 呎,"$11,093",N/A
南區,貝沙灣薄扶林,置富花園 H-8座 (富仁苑) 8樓 A室,N/A,26/03/2025,2房,$410 萬,439 呎,"$9,339",N/A
南區,貝沙灣薄扶林,Jessville Jessville 大廈 10樓 B室,N/A,26/03/2025,4房,"$2,580 萬","1,358 呎","$19,000",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,Jessville Jessville 大廈 1樓 A室,N/A,25/03/2025,3房,"$2,433 萬","1,431 呎","$17,000",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,置富花園 H-15座 (富嘉苑) 7樓 F室,N/A,25/03/2025,3房,$535 萬,588 呎,"$9,099",N/A
南區,貝沙灣薄扶林,碧荔花園 碧荔道25-27號〈獨立屋〉,N/A,25/03/2025,-,"$90,000","2,096 呎",$43,N/A
南區,貝沙灣薄扶林,置富花園 H-4座 (富景苑) 4樓 B室,N/A,24/03/2025,3房,$550 萬,588 呎,"$9,354",N/A
南區,貝沙灣薄扶林,Jessville Jessville 大廈 9樓 B室,N/A,24/03/2025,4房,"$2,480 萬","1,358 呎","$18,262",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,Jessville Jessville 大廈 10樓 A室,N/A,24/03/2025,3房,"$2,748 萬","1,431 呎","$19,203",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,碧瑤灣 19座 24樓 B室,N/A,24/03/2025,2房,"$1,150 萬",906 呎,"$12,693",車位
南區,貝沙灣薄扶林,貝沙灣 四期 (南灣) 8座 低層 A室,N/A,23/03/2025,3房,"$49,500","1,046 呎",$47,N/A
南區,貝沙灣薄扶林,貝沙灣 四期 (南灣) 9座 8樓 B室,N/A,21/03/2025,2房,"$1,075 萬",649 呎,"$16,564",露台 | | 工作平台
南區,貝沙灣薄扶林,碧海閣 2樓 B室,N/A,20/03/2025,-,"$1,900 萬","1,307 呎","$14,537",車位
南區,貝沙灣薄扶林,貝沙灣 第一期 6座 12樓 B室,N/A,20/03/2025,3房,"$2,200 萬","1,190 呎","$18,487",露台 | | 工作平台
南區,貝沙灣薄扶林,浪頤居 1座 3樓 B&R室,N/A,19/03/2025,-,"$4,100 萬","1,821 呎","$22,515",車位 | | 天台
南區,貝沙灣薄扶林,貝沙灣 四期 (南灣) 6座 17樓 A室,N/A,19/03/2025,4房,"$3,500 萬","1,410 呎","$24,823",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,Jessville Jessville 大廈 8樓 A室,N/A,19/03/2025,3房,"$2,690 萬","1,431 呎","$18,800",車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,趙苑 3期 2座 E室,N/A,18/03/2025,3房,"$64,500","1,969 呎",$33,車位 | | 露台 | | 工作平台
南區,貝沙灣薄扶林,華貴邨 華孝樓 ( 第二座 ) 23樓 17室,N/A,18/03/2025,開放式,$198 萬,385 呎,"$5,143",露台
南區,貝沙灣薄扶林,貝沙灣 六期 5座 中層 C室,N/A,17/03/2025,3房,"$53,000","1,029 呎",$52,車位 | | 露台
