区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
南區,赤柱舂磡角,赤柱灘道六號 12號屋,N/A,01/04/2025,4房,$1.03 億,"3,147 呎","$32,730",花園 | | 天台 | | 平台 | | 露台
南區,赤柱舂磡角,赤柱灘道六號 3號屋,N/A,01/04/2025,4房,$1.16 億,"3,151 呎","$36,814",花園 | | 天台 | | 平台 | | 露台
南區,赤柱舂磡角,龍德苑 C 座 4樓 26室,N/A,27/03/2025,1房,$320 萬,527 呎,"$6,072",N/A
南區,赤柱舂磡角,One Stanley 5座 G樓 B室,N/A,20/03/2025,2房,"$2,450 萬",834 呎,"$29,376",花園
南區,赤柱舂磡角,One Stanley 7座 3樓 A室,N/A,11/03/2025,3房,"$4,380 萬","1,170 呎","$37,440",車位 | | 天台 | | 平台 | | 露台
南區,赤柱舂磡角,One Stanley 6座 G樓 B室,N/A,06/03/2025,3房,"$3,159 萬","1,097 呎","$28,801",車位 | | 花園
南區,赤柱舂磡角,One Stanley 5座 3樓 B室,N/A,18/02/2025,4房,"$7,708 萬","1,871 呎","$41,197",車位 | | 天台 | | 露台
南區,赤柱舂磡角,Villa Piubello A3室,N/A,13/02/2025,-,"$55,000","1,450 呎",$38,車位
南區,赤柱舂磡角,旭逸居 5座 1樓 C室,N/A,11/02/2025,3房,"$2,300 萬",855 呎,"$26,901",車位
南區,赤柱舂磡角,One Stanley 2座 G&1樓 A室,N/A,06/02/2025,4房,"$5,254 萬","1,826 呎","$28,773",複式 | | 花園 | | 露台
南區,赤柱舂磡角,龍德苑 A 座 7樓 7室,N/A,04/02/2025,開放式,$390 萬,421 呎,"$9,264",N/A
南區,赤柱舂磡角,龍德苑 C 座 4樓 12室,N/A,04/02/2025,開放式,$246 萬,417 呎,"$5,899",N/A
南區,赤柱舂磡角,富豪海灣 一期 下行式海景洋房 - B11號屋,N/A,13/01/2025,5房,"$6,120 萬","2,790 呎","$21,935",花園 | | 天台 | | 平台
南區,赤柱舂磡角,龍欣苑 B座 6樓 16室,N/A,07/01/2025,2房,$560 萬,640 呎,"$8,750",N/A
南區,赤柱舂磡角,龍德苑 B 座 2樓 15室,N/A,06/01/2025,1房,$316 萬,527 呎,"$5,996",N/A
南區,赤柱舂磡角,柏濤小築 C座 C1室,N/A,31/12/2024,-,"$53,000",967 呎,$55,N/A
南區,赤柱舂磡角,綠怡居 2樓 B室,N/A,27/12/2024,-,$640 萬,517 呎,"$12,379",平台
南區,赤柱舂磡角,龍德苑 A 座 6樓 3室,N/A,24/12/2024,1房,$345 萬,526 呎,"$6,559",N/A
南區,赤柱舂磡角,龍德苑 B 座 8樓 15室,N/A,19/12/2024,1房,$300 萬,527 呎,"$5,693",N/A
南區,赤柱舂磡角,龍德苑 B 座 8樓 23室,N/A,17/12/2024,1房,$350 萬,526 呎,"$6,654",N/A
南區,赤柱舂磡角,黃麻角道6-8號 1樓 8室,N/A,09/12/2024,-,$400 萬,440 呎,"$9,091",N/A
南區,赤柱舂磡角,One Stanley 31號屋,N/A,29/11/2024,4房,"$9,614 萬","2,739 呎","$35,099",花園 | | 天台 | | 平台 | | 露台
南區,赤柱舂磡角,龍欣苑 A座 1樓 4室,N/A,18/11/2024,1房,$450 萬,535 呎,"$8,411",N/A
南區,赤柱舂磡角,One Stanley 3座 3樓 A室,N/A,14/11/2024,4房,"$6,752 萬","1,871 呎","$36,086",車位 | | 天台 | | 露台
南區,赤柱舂磡角,旭逸居 4座 C室,N/A,01/11/2024,3房,"$46,000",855 呎,$54,車位
南區,赤柱舂磡角,富豪海灣 一期 黃麻角道（獨立屋）,N/A,22/10/2024,5房,$10.4 萬,"3,379 呎",$31,車位 | | 花園
南區,赤柱舂磡角,富豪海灣 一期 黃麻角道（獨立屋）,N/A,22/10/2024,5房,$10.4 萬,"3,379 呎",$31,車位 | | 花園
南區,赤柱舂磡角,旭逸居 4座 2樓 B室,N/A,29/08/2024,3房,"$1,938 萬",855 呎,"$22,667",車位 | | 天台
南區,赤柱舂磡角,One Stanley 11座 2&3樓 C室,N/A,05/08/2024,4房,"$9,469 萬","2,566 呎","$36,900",複式 | | 花園 | | 天台 | | 平台 | | 露台
南區,赤柱舂磡角,海灣閣 B室,N/A,31/07/2024,3房,"$47,000","1,461 呎",$32,車位
南區,赤柱舂磡角,步雲軒 3座 B室,N/A,26/07/2024,-,"$72,630","1,523 呎",$48,車位
南區,赤柱舂磡角,富豪海灣 二期 C30號洋房,N/A,23/07/2024,-,"$5,988 萬","3,041 呎","$19,691",花園 | | 天台
南區,赤柱舂磡角,龍欣苑 A座 1樓 15室,N/A,19/07/2024,1房,$405 萬,530 呎,"$7,642",N/A
南區,赤柱舂磡角,富豪海灣 一期 B22號洋房,N/A,10/07/2024,5房,"$8,800 萬","2,791 呎","$31,530",車位 | | 花園 | | 天台 | | 平台
南區,赤柱舂磡角,富豪海灣 一期 B23號洋房,N/A,10/07/2024,5房,"$7,800 萬","2,781 呎","$28,047",車位 | | 花園 | | 天台 | | 平台
南區,赤柱舂磡角,步雲軒 3座 A室,N/A,05/07/2024,-,"$63,800","1,579 呎",$40,車位
南區,赤柱舂磡角,龍德苑 C 座 4樓 7室,N/A,04/07/2024,開放式,$300 萬,421 呎,"$7,126",N/A
南區,赤柱舂磡角,龍德苑 C 座 3樓 15室,N/A,25/06/2024,開放式,$275 萬,527 呎,"$5,218",N/A
南區,赤柱舂磡角,One Stanley 27號屋,N/A,25/06/2024,4房,$1.46 億,"3,304 呎","$44,200",花園 | | 天台 | | 平台 | | 露台
南區,赤柱舂磡角,龍德苑 B 座 4樓 9室,N/A,19/06/2024,開放式,$430 萬,417 呎,"$10,312",N/A
南區,赤柱舂磡角,龍欣苑 A座 9樓 6室,N/A,14/06/2024,開放式,$460 萬,431 呎,"$10,673",N/A
南區,赤柱舂磡角,One Stanley 33號屋,N/A,30/05/2024,4房,$1.15 億,"3,102 呎","$37,150",車位 | | 花園 | | 天台 | | 平台 | | 露台
南區,赤柱舂磡角,龍欣苑 A座 G樓 6室,N/A,28/05/2024,開放式,$290 萬,431 呎,"$6,729",N/A
南區,赤柱舂磡角,環角道33號 獨立屋,N/A,25/05/2024,3房,$10.5 萬,"2,362 呎",$44,花園 | | 露台
南區,赤柱舂磡角,One Stanley 10座 2&3樓 D室,N/A,24/05/2024,4房,"$8,307 萬","2,551 呎","$32,564",複式 | | 車位 | | 花園 | | 天台 | | 平台 | | 露台
南區,赤柱舂磡角,柏濤小築 B座 G&1樓 B8室,N/A,24/05/2024,-,"$3,000 萬","1,860 呎","$16,129",複式 | | 車位
