区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
南區,香港仔田灣,富澤大廈 中層 D室,N/A,03/04/2025,2房,"$11,900",256 呎,$46,N/A
南區,香港仔田灣,貝沙灣 四期 (南灣) 8座 18樓 B室,N/A,02/04/2025,2房,"$1,118 萬",649 呎,"$17,227",露台 | | 工作平台
南區,香港仔田灣,華貴邨 華禮樓 ( 第一座 ) 23樓 13室,N/A,02/04/2025,開放式,$280 萬,443 呎,"$6,321",露台
南區,香港仔田灣,置富花園 H-1座 (富麗苑) 高層 D室,N/A,01/04/2025,2房,$488 萬,439 呎,"$11,116",N/A
南區,香港仔田灣,永穩大廈 15樓 B室,N/A,01/04/2025,-,$365 萬,330 呎,"$11,061",N/A
南區,香港仔田灣,貝沙灣 四期 (南灣) 8座 20樓 C室,N/A,01/04/2025,3房,"$1,935 萬","1,090 呎","$17,752",車位 | | 露台 | | 工作平台
南區,香港仔田灣,漁暉苑 D座 18樓 7室,N/A,01/04/2025,-,$350 萬,384 呎,"$9,115",N/A
南區,香港仔田灣,貝沙灣 四期 (南灣) 5座 38樓 B室,N/A,31/03/2025,4房,"$5,400 萬","1,886 呎","$28,632",車位 | | 露台 | | 工作平台
南區,香港仔田灣,澄天 23樓 D室,N/A,31/03/2025,2房,$730 萬,400 呎,"$18,250",露台 | | 工作平台
南區,香港仔田灣,偉景大廈 21樓 B室,N/A,31/03/2025,2房,$540 萬,492 呎,"$10,976",露台
南區,香港仔田灣,福群大樓 B座 13樓 1室,N/A,31/03/2025,2房,$370 萬,304 呎,"$12,171",N/A
南區,香港仔田灣,澄天 23樓 C室,N/A,31/03/2025,2房,$812 萬,400 呎,"$20,300",露台 | | 工作平台
南區,香港仔田灣,置富花園 H-19座 (富榮苑) 8樓 C室,N/A,31/03/2025,3房,$540 萬,588 呎,"$9,184",N/A
南區,香港仔田灣,置富花園 H-20座 (富興苑) 高層 B室,N/A,29/03/2025,3房,"$21,800",588 呎,$37,N/A
南區,香港仔田灣,大樂樓 3樓 1室,N/A,28/03/2025,-,$280 萬,351 呎,"$7,977",N/A
南區,香港仔田灣,置富花園 H-10座 (富華苑) 23樓 C室,N/A,28/03/2025,3房,$570 萬,588 呎,"$9,694",N/A
南區,香港仔田灣,貝沙灣 四期 (南灣) 9座 15樓 B室,N/A,28/03/2025,2房,"$1,088 萬",649 呎,"$16,764",露台 | | 工作平台
南區,香港仔田灣,置富花園 H-4座 (富景苑) 10樓 E室,N/A,28/03/2025,2房,$400 萬,439 呎,"$9,112",N/A
南區,香港仔田灣,貝沙灣 六期 8B座 25樓 B室,N/A,28/03/2025,3房,"$2,800 萬","1,352 呎","$20,710",露台 | | 工作平台
南區,香港仔田灣,添喜大廈 16樓 C室,N/A,27/03/2025,-,$300 萬,407 呎,"$7,371",N/A
南區,香港仔田灣,置富花園 H-19座 (富榮苑) 10樓 H室,N/A,26/03/2025,2房,$487 萬,439 呎,"$11,093",N/A
南區,香港仔田灣,香港仔中心 海珠閣 (B座) 2樓 1室,N/A,26/03/2025,-,$420 萬,438 呎,"$9,589",N/A
南區,香港仔田灣,置富花園 H-8座 (富仁苑) 8樓 A室,N/A,26/03/2025,2房,$410 萬,439 呎,"$9,339",N/A
南區,香港仔田灣,益添大廈 8樓 B室,N/A,25/03/2025,2房,$350 萬,297 呎,"$11,785",N/A
南區,香港仔田灣,置富花園 H-15座 (富嘉苑) 7樓 F室,N/A,25/03/2025,3房,$535 萬,588 呎,"$9,099",N/A
南區,香港仔田灣,福群大樓 A座 高層 4室,N/A,25/03/2025,2房,"$14,800",325 呎,$46,N/A
南區,香港仔田灣,澄天 11樓 E室,N/A,24/03/2025,1房,$484 萬,286 呎,"$16,921",露台 | | 工作平台
南區,香港仔田灣,置富花園 H-4座 (富景苑) 4樓 B室,N/A,24/03/2025,3房,$550 萬,588 呎,"$9,354",N/A
南區,香港仔田灣,漁暉苑 C座 4樓 4室,N/A,24/03/2025,-,$368 萬,419 呎,"$8,783",N/A
南區,香港仔田灣,福群大樓 B座 16樓 3室,N/A,24/03/2025,2房,$370 萬,325 呎,"$11,385",N/A
南區,香港仔田灣,貝沙灣 四期 (南灣) 8座 低層 A室,N/A,23/03/2025,3房,"$49,500","1,046 呎",$47,N/A
南區,香港仔田灣,貝沙灣 四期 (南灣) 9座 8樓 B室,N/A,21/03/2025,2房,"$1,075 萬",649 呎,"$16,564",露台 | | 工作平台
南區,香港仔田灣,澄天 21樓 D室,N/A,21/03/2025,2房,$715 萬,400 呎,"$17,875",露台 | | 工作平台
南區,香港仔田灣,香港仔中心 港盛閣 (F座) 10樓 4室,N/A,21/03/2025,2房,$465 萬,485 呎,"$9,588",N/A
南區,香港仔田灣,香港仔中心 P座 (美光閣) 中層 6室,N/A,20/03/2025,3房,"$18,500",590 呎,$31,N/A
南區,香港仔田灣,貝沙灣 第一期 6座 12樓 B室,N/A,20/03/2025,3房,"$2,200 萬","1,190 呎","$18,487",露台 | | 工作平台
南區,香港仔田灣,漁暉苑 B座 15樓 3室,N/A,20/03/2025,-,$370 萬,384 呎,"$9,635",N/A
南區,香港仔田灣,貝沙灣 四期 (南灣) 6座 17樓 A室,N/A,19/03/2025,4房,"$3,500 萬","1,410 呎","$24,823",車位 | | 露台 | | 工作平台
南區,香港仔田灣,嘉寧大廈 16樓 C室,N/A,19/03/2025,-,$640 萬,647 呎,"$9,892",N/A
南區,香港仔田灣,華貴邨 華孝樓 ( 第二座 ) 23樓 17室,N/A,18/03/2025,開放式,$198 萬,385 呎,"$5,143",露台
南區,香港仔田灣,澄天 21樓 C室,N/A,18/03/2025,2房,$758 萬,400 呎,"$18,950",露台 | | 工作平台
南區,香港仔田灣,貝沙灣 六期 5座 中層 C室,N/A,17/03/2025,3房,"$53,000","1,029 呎",$52,車位 | | 露台
南區,香港仔田灣,漁暉苑 C座 中層 8室,N/A,16/03/2025,-,"$15,000",419 呎,$36,N/A
南區,香港仔田灣,貝沙灣 二期 (南岸) 1座 中層 C室,N/A,14/03/2025,3房,"$50,000","1,118 呎",$45,露台
南區,香港仔田灣,貝沙灣 六期 8B座 39樓 A室,N/A,13/03/2025,3房,"$3,480 萬","1,340 呎","$25,970",車位 | | 露台 | | 工作平台
南區,香港仔田灣,鴻福苑 B座 19樓 3室,N/A,12/03/2025,2房,$340 萬,407 呎,"$8,354",露台
