区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,九肚山火炭,御龍山 11座 高層 E室,N/A,03/04/2025,2房,"$23,000",543 呎,$42,露台 | | 工作平台
新界,九肚山火炭,玖瓏山 傲瓏閣 2座 3樓 E室,N/A,02/04/2025,2房,$670 萬,690 呎,"$9,710",露台 | | 工作平台
新界,九肚山火炭,駿景園 1期 01座 高層 D室,N/A,01/04/2025,3房,"$30,000","1,041 呎",$29,N/A
新界,九肚山火炭,御龍山 6座 中層 C室,N/A,01/04/2025,3房,"$26,800",696 呎,$39,露台 | | 工作平台
新界,九肚山火炭,星凱．堤岸 3座 49樓 A室,N/A,01/04/2025,3房,"$1,198 萬",673 呎,"$17,796",露台 | | 工作平台
新界,九肚山火炭,穗禾苑 豐裕閣(Block A) 27樓 4室,N/A,01/04/2025,2房,$329 萬,411 呎,"$8,005",N/A
新界,九肚山火炭,名日．九肚山 2座 低層 C室,N/A,01/04/2025,4房,"$40,000","1,226 呎",$33,露台
新界,九肚山火炭,銀禧花園 7座 8樓 C室,N/A,31/03/2025,2房,$530 萬,510 呎,"$10,392",N/A
新界,九肚山火炭,駿景園 2期 11座 11樓 F室,N/A,31/03/2025,3房,"$1,100 萬",974 呎,"$11,294",露台
新界,九肚山火炭,星凱．堤岸 2座 39樓 C室,N/A,28/03/2025,3房,"$1,701 萬",849 呎,"$20,038",露台 | | 工作平台
新界,九肚山火炭,晉名峰 C座 18樓 C室,N/A,28/03/2025,3房,$968 萬,790 呎,"$12,253",車位 | | 露台 | | 工作平台
新界,九肚山火炭,御龍山 6座 12樓 D室,N/A,28/03/2025,3房,"$1,090 萬",775 呎,"$14,065",露台 | | 工作平台
新界,九肚山火炭,名日．九肚山 1座 9樓 A室,N/A,28/03/2025,4房,"$2,090 萬","1,213 呎","$17,233",露台
新界,九肚山火炭,星凱．堤岸 1座 46樓 C室,N/A,27/03/2025,開放式,$499 萬,228 呎,"$21,873",露台
新界,九肚山火炭,星凱．堤岸 5座 37樓 C室,N/A,27/03/2025,3房,"$1,796 萬",945 呎,"$19,005",露台 | | 工作平台
新界,九肚山火炭,晉名峰 C座 中層 A室,N/A,27/03/2025,3房,"$1,266 萬",922 呎,"$13,731",車位
新界,九肚山火炭,星凱．堤岸 1座 42樓 C室,N/A,27/03/2025,開放式,$492 萬,228 呎,"$21,561",露台
新界,九肚山火炭,星凱．堤岸 1座 43樓 C室,N/A,27/03/2025,開放式,$494 萬,228 呎,"$21,662",露台
新界,九肚山火炭,穗禾苑 詠興閣(Block J) 5樓 2室,N/A,26/03/2025,2房,$399 萬,550 呎,"$7,255",N/A
新界,九肚山火炭,穗禾苑 豐年閣(Block C) 11樓 1室,N/A,26/03/2025,2房,$295 萬,473 呎,"$6,237",N/A
新界,九肚山火炭,穗禾苑 豐逸閣(Block B) 12樓 9室,N/A,26/03/2025,2房,$290 萬,471 呎,"$6,157",N/A
新界,九肚山火炭,御龍山 2座 35樓 C室,N/A,26/03/2025,3房,"$1,030 萬",696 呎,"$14,799",露台 | | 工作平台
新界,九肚山火炭,星凱．堤岸 2座 45樓 H室,N/A,26/03/2025,開放式,$557 萬,259 呎,"$21,490",露台
新界,九肚山火炭,星凱．堤岸 2座 43樓 H室,N/A,26/03/2025,開放式,$554 萬,259 呎,"$21,386",露台
新界,九肚山火炭,穗禾苑 豐裕閣(Block A) 1樓 7室,N/A,26/03/2025,2房,$290 萬,473 呎,"$6,131",N/A
新界,九肚山火炭,星凱．堤岸 1座 45樓 C室,N/A,26/03/2025,開放式,$496 萬,228 呎,"$21,768",露台
新界,九肚山火炭,玖瓏山 月瓏閣 2座 LG&G&1樓 D室,N/A,25/03/2025,4房,"$2,600 萬","2,157 呎","$12,054",複式 | | 車位 | | 花園
新界,九肚山火炭,穗禾苑 詠茂閣(Block G) 12樓 3室,N/A,25/03/2025,2房,$300 萬,471 呎,"$6,369",N/A
新界,九肚山火炭,穗禾苑 詠茂閣(Block G) 25樓 8室,N/A,25/03/2025,2房,$365 萬,550 呎,"$6,636",N/A
新界,九肚山火炭,御龍山 3座 高層 D室,N/A,25/03/2025,2房,"$26,000",554 呎,$47,露台 | | 工作平台
新界,九肚山火炭,星凱．堤岸 2座 41樓 H室,N/A,25/03/2025,開放式,$549 萬,259 呎,"$21,178",露台
新界,九肚山火炭,駿景園 1期 5座 36樓 F室,N/A,25/03/2025,3房,"$1,760 萬","1,370 呎","$12,847",露台
新界,九肚山火炭,松翠小築 D座 G樓 D1室,N/A,24/03/2025,3房,"$1,155 萬",933 呎,"$12,379",車位 | | 花園 | | 露台
新界,九肚山火炭,穗禾苑 豐逸閣(Block B) 16樓 1室,N/A,24/03/2025,2房,$238 萬,473 呎,"$5,032",N/A
新界,九肚山火炭,御龍山 10座 27樓 A室,N/A,24/03/2025,4房,"$1,700 萬","1,230 呎","$13,821",露台 | | 工作平台
新界,九肚山火炭,澐瀚 16號屋,N/A,24/03/2025,4房,"$4,868 萬","2,523 呎","$19,294",車位 | | 花園 | | 天台 | | 平台 | | 露台
新界,九肚山火炭,星凱．堤岸 3座 高層 G室,N/A,23/03/2025,1房,"$18,500",347 呎,$53,露台 | | 工作平台
新界,九肚山火炭,玖瓏山 傲瓏閣 1座 中層 A室,N/A,23/03/2025,3房,"$31,000",963 呎,$32,露台 | | 工作平台
新界,九肚山火炭,御龍山 9座 6樓 A室,N/A,21/03/2025,4房,"$2,500 萬","1,845 呎","$13,550",露台 | | 工作平台
新界,九肚山火炭,穗禾苑 慶盛閣(Block E) 23樓 2室,N/A,21/03/2025,-,$366 萬,550 呎,"$6,655",N/A
新界,九肚山火炭,星凱．堤岸 2座 35樓 C室,N/A,21/03/2025,3房,"$1,674 萬",849 呎,"$19,716",露台 | | 工作平台
新界,九肚山火炭,穗禾苑 詠昌閣(Block H) 23樓 2室,N/A,21/03/2025,2房,$400 萬,550 呎,"$7,273",N/A
新界,九肚山火炭,銀禧花園 5座 19樓 C室,N/A,20/03/2025,2房,$523 萬,498 呎,"$10,502",N/A
新界,九肚山火炭,星凱．堤岸 5座 51樓 C室,N/A,20/03/2025,3房,"$1,468 萬",682 呎,"$21,531",天台 | | 露台 | | 工作平台
新界,九肚山火炭,星凱．堤岸 2座 37樓 C室,N/A,20/03/2025,3房,"$1,684 萬",849 呎,"$19,837",露台 | | 工作平台
新界,九肚山火炭,星凱．堤岸 2座 33樓 C室,N/A,20/03/2025,3房,"$1,657 萬",849 呎,"$19,518",露台 | | 工作平台
新界,九肚山火炭,松柏花園 12號屋,N/A,19/03/2025,-,"$4,000 萬","1,610 呎","$24,845",車位
新界,九肚山火炭,御龍山 9座 中層 A室,N/A,19/03/2025,4房,"$2,492 萬","1,845 呎","$13,507",露台 | | 工作平台
新界,九肚山火炭,晉名峰 D座 高層 C室,N/A,19/03/2025,3房,"$28,000",875 呎,$32,車位
新界,九肚山火炭,銀禧花園 1座 5樓 E室,N/A,18/03/2025,2房,$550 萬,506 呎,"$10,870",N/A
新界,九肚山火炭,豐景花園 A座 15樓 2室,N/A,18/03/2025,3房,$780 萬,"1,008 呎","$7,738",車位 | | 露台
新界,九肚山火炭,玖瓏山 傲瓏閣 1座 高層 C室,N/A,18/03/2025,2房,"$31,000",947 呎,$33,露台 | | 工作平台
