区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,元朗市中心,蝶翠峰 一期 01座 中層 B室,N/A,03/04/2025,3房,$470 萬,572 呎,"$8,217",N/A
新界,元朗市中心,鴻運樓 3樓 7室,N/A,02/04/2025,-,$250 萬,505 呎,"$4,950",N/A
新界,元朗市中心,朗天峰 2座 27樓 C室,N/A,02/04/2025,2房,$851 萬,496 呎,"$17,150",天台 | | 平台 | | 露台 | | 工作平台
新界,元朗市中心,年發大廈 6樓 B室,N/A,02/04/2025,-,$265 萬,301 呎,"$8,804",N/A
新界,元朗市中心,映御 1座 6樓 C室,N/A,02/04/2025,1房,$368 萬,374 呎,"$9,840",露台 | | 工作平台
新界,元朗市中心,新時代廣場 1期 8座 32樓 A室,N/A,02/04/2025,2房,$550 萬,422 呎,"$13,033",露台
新界,元朗市中心,The Yoho Hub The Yoho Hub II 6座 33樓 C室,N/A,02/04/2025,2房,$715 萬,447 呎,"$15,989",露台
新界,元朗市中心,尚悦 6座 19樓 G室,N/A,02/04/2025,2房,$443 萬,440 呎,"$10,057",露台 | | 工作平台
新界,元朗市中心,新時代廣場 Yoho Midtown M8座 35樓 A室,N/A,02/04/2025,2房,$625 萬,473 呎,"$13,214",露台 | | 工作平台
新界,元朗市中心,寶發大樓 7樓 D室,N/A,02/04/2025,-,$280 萬,343 呎,"$8,163",N/A
新界,元朗市中心,朗屏邨 雁屏樓 (11座) 26樓 13室,N/A,02/04/2025,開放式,$35.33 萬,-,-,露台
新界,元朗市中心,The Yoho Hub The Yoho Hub II 6座 高層 A室,N/A,01/04/2025,2房,"$20,000",462 呎,$43,露台
新界,元朗市中心,尚悦 7座 25樓 G室,N/A,01/04/2025,2房,$439 萬,439 呎,"$10,000",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 10樓 C室,N/A,01/04/2025,2房,$467 萬,403 呎,"$11,598",露台 | | 工作平台
新界,元朗市中心,翹翠峰 2座 5樓 D室,N/A,01/04/2025,2房,$458 萬,526 呎,"$8,707",露台 | | 工作平台
新界,元朗市中心,好順福大廈 11樓 C室,N/A,01/04/2025,-,$280 萬,290 呎,"$9,655",N/A
新界,元朗市中心,御景園 2 座 5樓 D室,N/A,01/04/2025,2房,$350 萬,475 呎,"$7,368",N/A
新界,元朗市中心,尚悦 2座 低層 C室,N/A,01/04/2025,3房,"$16,000",660 呎,$24,露台 | | 工作平台
新界,元朗市中心,好順意大廈 A座 低層 2室,N/A,01/04/2025,-,"$10,000",283 呎,$35,N/A
新界,元朗市中心,朗天峰 2座 26樓 J室,N/A,01/04/2025,1房,$391 萬,286 呎,"$13,688",露台 | | 工作平台
新界,元朗市中心,尚豪庭 1座 17樓 C室,N/A,01/04/2025,2房,$510 萬,463 呎,"$11,015",露台 | | 工作平台
新界,元朗市中心,Residence譽88 2座 8樓 D室,N/A,01/04/2025,2房,$520 萬,519 呎,"$10,019",露台 | | 工作平台
新界,元朗市中心,建輝大廈 3樓 E室,N/A,01/04/2025,2房,$268 萬,321 呎,"$8,349",N/A
新界,元朗市中心,好景樓 1樓 K室,N/A,01/04/2025,-,$196 萬,295 呎,"$6,644",N/A
新界,元朗市中心,朗天峰 1A座 9樓 B室,N/A,31/03/2025,2房,$556 萬,429 呎,"$12,958",露台 | | 工作平台
新界,元朗市中心,朗天峰 1A座 18樓 B室,N/A,31/03/2025,2房,$596 萬,429 呎,"$13,904",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 25樓 G室,N/A,31/03/2025,1房,$388 萬,291 呎,"$13,346",露台 | | 工作平台
新界,元朗市中心,朗天峰 1A座 18樓 D室,N/A,31/03/2025,1房,$380 萬,285 呎,"$13,350",露台 | | 工作平台
新界,元朗市中心,尚柏 高層 J室,N/A,31/03/2025,1房,$290 萬,282 呎,"$10,284",露台
新界,元朗市中心,好順利大廈 1座 20樓 G室,N/A,31/03/2025,-,$336 萬,309 呎,"$10,874",天台
新界,元朗市中心,采葉庭 11座 2樓 A室,N/A,31/03/2025,2房,$403 萬,460 呎,"$8,757",N/A
新界,元朗市中心,朗天峰 2座 10樓 D室,N/A,31/03/2025,2房,$487 萬,393 呎,"$12,402",露台 | | 工作平台
新界,元朗市中心,朗天峰 1A座 15樓 D室,N/A,31/03/2025,1房,$363 萬,285 呎,"$12,723",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 25樓 E室,N/A,31/03/2025,1房,$399 萬,288 呎,"$13,846",露台 | | 工作平台
新界,元朗市中心,朗天峰 1A座 10樓 D室,N/A,31/03/2025,1房,$361 萬,285 呎,"$12,680",露台 | | 工作平台
新界,元朗市中心,朗天峰 1B座 22樓 C室,N/A,31/03/2025,2房,$505 萬,397 呎,"$12,721",露台 | | 工作平台
新界,元朗市中心,朗天峰 1A座 9樓 D室,N/A,31/03/2025,1房,$349 萬,285 呎,"$12,263",露台 | | 工作平台
新界,元朗市中心,映御 1座 26樓 M室,N/A,31/03/2025,1房,$396 萬,398 呎,"$9,950",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 7樓 C室,N/A,31/03/2025,2房,$452 萬,403 呎,"$11,222",露台 | | 工作平台
新界,元朗市中心,朗天峰 1A座 12樓 D室,N/A,31/03/2025,1房,$359 萬,285 呎,"$12,608",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 25樓 J室,N/A,31/03/2025,1房,$385 萬,286 呎,"$13,453",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 17樓 C室,N/A,31/03/2025,2房,$486 萬,403 呎,"$12,070",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 25樓 F室,N/A,31/03/2025,1房,$390 萬,286 呎,"$13,633",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 25樓 H室,N/A,31/03/2025,1房,$388 萬,291 呎,"$13,346",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 15樓 C室,N/A,31/03/2025,2房,$479 萬,403 呎,"$11,881",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 23樓 J室,N/A,31/03/2025,1房,$381 萬,286 呎,"$13,335",露台 | | 工作平台
新界,元朗市中心,朗天峰 1A座 10樓 B室,N/A,31/03/2025,2房,$560 萬,429 呎,"$13,055",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 25樓 B室,N/A,31/03/2025,2房,$522 萬,403 呎,"$12,944",露台 | | 工作平台
新界,元朗市中心,朗天峰 1A座 6樓 B室,N/A,31/03/2025,2房,$539 萬,429 呎,"$12,568",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 23樓 H室,N/A,31/03/2025,1房,$394 萬,291 呎,"$13,553",露台 | | 工作平台
新界,元朗市中心,建輝大廈 高層 B室,N/A,31/03/2025,2房,"$12,000",335 呎,$36,N/A
新界,元朗市中心,朗天峰 1A座 6樓 D室,N/A,31/03/2025,1房,$336 萬,285 呎,"$11,802",露台 | | 工作平台
新界,元朗市中心,朗天峰 2座 7樓 D室,N/A,31/03/2025,2房,$484 萬,393 呎,"$12,309",露台 | | 工作平台
