区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,古洞,高爾夫．御苑 第7座 高層 F室,N/A,22/03/2025,2房,"$16,000",487 呎,$33,露台 | | 工作平台
新界,古洞,歐意花園 古洞路48號〈獨立屋〉,N/A,15/03/2025,3房,"$31,000","1,466 呎",$21,N/A
新界,古洞,高爾夫．御苑 第7座 8樓 G室,N/A,13/03/2025,開放式,$288 萬,280 呎,"$10,286",露台
新界,古洞,高爾夫．御苑 第5座 20樓 A室,N/A,12/03/2025,3房,"$1,296 萬",959 呎,"$13,514",露台 | | 工作平台
新界,古洞,高爾夫．御苑 第7座 低層 H室,N/A,07/03/2025,開放式,"$8,500",277 呎,$31,露台
新界,古洞,高爾夫．御苑 第7座 低層 K室,N/A,04/03/2025,開放式,"$9,500",281 呎,$34,露台
新界,古洞,高爾夫．御苑 第7座 低層 K室,N/A,02/03/2025,開放式,"$10,000",281 呎,$36,露台
新界,古洞,高爾夫．御苑 第7座 低層 G室,N/A,01/03/2025,開放式,"$9,000",280 呎,$32,露台
新界,古洞,歌賦嶺 1期(櫻桃徑) 粉錦公路338號 (獨立屋),N/A,27/02/2025,3房,"$30,000","1,315 呎",$23,花園 | | 露台
新界,古洞,邁爾豪園 A型 51號屋,N/A,25/02/2025,-,"$1,428 萬","1,795 呎","$7,955",N/A
新界,古洞,御林皇府 牛津徑 牛津徑〈獨立屋〉,N/A,21/02/2025,-,"$65,000","3,003 呎",$22,N/A
新界,古洞,高爾夫．御苑 第7座 12樓 F室,N/A,07/02/2025,2房,$530 萬,487 呎,"$10,883",露台 | | 工作平台
新界,古洞,天巒 II期 古洞路33號〈獨立屋〉,N/A,05/02/2025,3房,"$47,000","1,823 呎",$26,花園 | | 露台
新界,古洞,天巒 II期 古洞路33號〈獨立屋〉,N/A,05/02/2025,4房,"$50,000","1,818 呎",$28,花園 | | 露台
新界,古洞,邁爾豪園 A型 67號屋,N/A,09/01/2025,-,"$1,448 萬","1,776 呎","$8,153",N/A
新界,古洞,歌賦嶺 1期(楊柳徑) 楊柳徑10號,N/A,06/01/2025,3房,"$1,650 萬","1,904 呎","$8,666",花園 | | 天台 | | 平台 | | 露台
新界,古洞,高爾夫．御苑 第5座 11樓 B室,N/A,03/01/2025,3房,"$1,250 萬",959 呎,"$13,034",露台 | | 工作平台
新界,古洞,高爾夫．御苑 第5座 11樓 A室,N/A,02/01/2025,3房,"$1,242 萬",959 呎,"$12,951",露台 | | 工作平台
新界,古洞,高爾夫．御苑 第8座 低層 B室,N/A,20/12/2024,3房,"$23,800",960 呎,$25,露台 | | 工作平台
新界,古洞,高爾夫．御苑 第7座 中層 A室,N/A,20/12/2024,2房,"$15,600",487 呎,$32,露台 | | 工作平台
新界,古洞,金錢 金錢103號 WB樓 WB室,N/A,17/12/2024,-,$300 萬,-,-,N/A
新界,古洞,高爾夫．御苑 第9座 中層 A室,N/A,11/12/2024,3房,"$26,000",968 呎,$27,露台 | | 工作平台
新界,古洞,天巒 II期 琉森大道22號,N/A,11/12/2024,4房,"$2,188 萬","1,818 呎","$12,035",花園 | | 天台 | | 平台 | | 露台
新界,古洞,高爾夫．御苑 第7座 28樓 A室,N/A,05/12/2024,2房,$575 萬,487 呎,"$11,807",露台 | | 工作平台
新界,古洞,天巒 I期 庫爾大道11號,N/A,02/12/2024,3房,"$2,258 萬","2,018 呎","$11,189",花園 | | 天台 | | 露台
新界,古洞,天巒 II期 古洞路33號〈獨立屋〉,N/A,30/11/2024,3房,"$40,000","1,674 呎",$24,花園 | | 露台
新界,古洞,天巒 II期 古洞路33號〈獨立屋〉,N/A,27/11/2024,3房,"$58,000","2,018 呎",$29,花園 | | 露台
新界,古洞,高爾夫．御苑 第7座 低層 K室,N/A,25/11/2024,開放式,"$9,600",281 呎,$34,露台
新界,古洞,高爾夫．御苑 第7座 1樓 D室,N/A,22/11/2024,1房,$415 萬,375 呎,"$11,067",露台 | | 工作平台
新界,古洞,高爾夫．御苑 第7座 中層 D室,N/A,22/11/2024,1房,"$12,500",375 呎,$33,露台 | | 工作平台
新界,古洞,高爾夫．御苑 第7座 18樓 B室,N/A,22/11/2024,1房,$400 萬,372 呎,"$10,753",露台 | | 工作平台
新界,古洞,天巒 II期 獨立屋,N/A,21/11/2024,3房,"$46,000","1,846 呎",$25,花園 | | 露台
新界,古洞,高爾夫．御苑 第7座 19樓 B室,N/A,19/11/2024,1房,$380 萬,373 呎,"$10,188",露台 | | 工作平台
新界,古洞,天巒 II期 洛卡諾大道9號,N/A,15/11/2024,4房,"$2,660 萬","2,466 呎","$10,787",花園 | | 天台 | | 露台
新界,古洞,高爾夫．御苑 第5座 10樓 A室,N/A,15/11/2024,3房,"$1,235 萬",959 呎,"$12,878",露台 | | 工作平台
新界,古洞,華第 1期 粉錦公路333C號,N/A,12/11/2024,4房,$1.22 億,"5,881 呎","$20,745",花園 | | 天台 | | 平台 | | 露台
新界,古洞,高爾夫．御苑 第3座 低層 B室,N/A,11/11/2024,3房,"$23,000",959 呎,$24,露台 | | 工作平台
新界,古洞,天巒 II期 古洞路33號〈獨立屋〉,N/A,08/11/2024,3房,"$38,800","1,815 呎",$21,花園 | | 露台
新界,古洞,高爾夫．御苑 第9座 高層 A室,N/A,02/11/2024,3房,"$27,000",968 呎,$28,露台 | | 工作平台
新界,古洞,天巒 I期 古洞路28號〈獨立屋〉,N/A,25/10/2024,3房,"$54,000","2,207 呎",$24,花園 | | 露台
新界,古洞,天巒 II期 古洞路33號〈獨立屋〉,N/A,25/10/2024,3房,"$47,000","1,846 呎",$25,花園 | | 露台
新界,古洞,高爾夫．御苑 第3座 中層 A室,N/A,22/10/2024,3房,"$25,500",968 呎,$26,露台 | | 工作平台
新界,古洞,歌賦嶺 1期(龍柏徑) 龍柏徑20號,N/A,18/10/2024,3房,"$1,350 萬","1,315 呎","$10,266",花園 | | 天台 | | 平台 | | 露台
新界,古洞,御林皇府 牛津徑 6號屋C型,N/A,18/10/2024,-,"$3,438 萬","3,003 呎","$11,449",N/A
新界,古洞,高爾夫．御苑 第1座 26樓 A室,N/A,02/10/2024,4房,"$2,080 萬","1,314 呎","$15,830",露台 | | 工作平台
新界,古洞,天巒 II期 古洞路33號〈獨立屋〉,N/A,27/09/2024,3房,"$46,000","1,815 呎",$25,花園 | | 露台
新界,古洞,天巒 I期 洛森大道10號,N/A,26/09/2024,3房,"$1,780 萬","1,822 呎","$9,769",花園 | | 天台 | | 露台
新界,古洞,歐意花園 古洞路48號〈獨立屋〉,N/A,25/09/2024,3房,"$34,800","1,475 呎",$24,N/A
新界,古洞,天巒 II期 古洞路33號〈獨立屋〉,N/A,16/09/2024,4房,"$43,800","1,818 呎",$24,花園 | | 露台
新界,古洞,高爾夫．御苑 第9座 低層 A室,N/A,16/09/2024,3房,"$27,000",968 呎,$28,露台 | | 工作平台
新界,古洞,高爾夫．御苑 第7座 低層 D室,N/A,14/09/2024,1房,"$11,000",375 呎,$29,露台 | | 工作平台
新界,古洞,高爾夫．御苑 第3座 高層 A室,N/A,29/08/2024,3房,"$27,500",968 呎,$28,露台 | | 工作平台
新界,古洞,高爾夫．御苑 第7座 中層 F室,N/A,22/08/2024,2房,"$15,000",487 呎,$31,露台 | | 工作平台
新界,古洞,歌賦嶺 1期(楊柳徑) 粉錦公路338號 (獨立屋),N/A,21/08/2024,3房,"$32,000","1,423 呎",$22,花園 | | 露台
新界,古洞,高爾夫．御苑 第8座 高層 A室,N/A,20/08/2024,3房,"$26,000","1,047 呎",$25,露台 | | 工作平台
新界,古洞,高爾夫．御苑 第5座 中層 B室,N/A,08/08/2024,3房,"$26,000",959 呎,$27,露台 | | 工作平台
新界,古洞,高爾夫．御苑 第9座 中層 A室,N/A,05/08/2024,3房,"$26,000",968 呎,$27,露台 | | 工作平台
新界,古洞,歌賦嶺 1期(冬青徑) 粉錦公路338號 (獨立屋),N/A,04/08/2024,3房,"$32,000","1,423 呎",$22,花園 | | 天台 | | 露台
新界,古洞,高爾夫．御苑 第7座 中層 J室,N/A,01/08/2024,開放式,"$9,500",277 呎,$34,露台
新界,古洞,高爾夫．御苑 第7座 高層 A室,N/A,26/07/2024,2房,"$18,000",487 呎,$37,露台 | | 工作平台
新界,古洞,高爾夫．御苑 第7座 低層 D室,N/A,21/07/2024,1房,"$12,500",375 呎,$33,露台 | | 工作平台
