区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,大圍,柏傲莊 柏傲莊 II 7B座 低層 D室,N/A,03/04/2025,3房,"$1,378 萬",752 呎,"$18,324",露台 | | 工作平台
新界,大圍,壹號雲頂 2期 (雲頂峰) Zone A A01室,N/A,03/04/2025,2房,$850 萬,559 呎,"$15,206",車位 | | 露台
新界,大圍,顯徑邨 顯祐樓 中層 12室,N/A,03/04/2025,-,"$17,500",531 呎,$33,N/A
新界,大圍,金獅花園 一期 金麗閣 (B座) 8樓 6室,N/A,02/04/2025,2房,$320 萬,285 呎,"$11,228",N/A
新界,大圍,景田苑 恆心閣(Block E) 22樓 5室,N/A,02/04/2025,2房,$348 萬,483 呎,"$7,205",N/A
新界,大圍,翠景花園 2座 18樓 B室,N/A,02/04/2025,2房,$460 萬,420 呎,"$10,952",N/A
新界,大圍,金獅花園 二期 第二期 - E座 - (金福閣) 低層 4室,N/A,02/04/2025,2房,$316 萬,306 呎,"$10,327",N/A
新界,大圍,薈蕎 1翼 高層 D01室,N/A,02/04/2025,3房,"$32,000",746 呎,$43,天台 | | 平台 | | 露台
新界,大圍,金獅花園 二期 第二期 - B座 - (金貴閣) 高層 5室,N/A,02/04/2025,2房,$345 萬,321 呎,"$10,748",N/A
新界,大圍,金獅花園 一期 金華閣(D座) 10樓 2室,N/A,01/04/2025,2房,$340 萬,285 呎,"$11,930",N/A
新界,大圍,名城 1期 3座 7樓 SA室,N/A,01/04/2025,3房,$870 萬,679 呎,"$12,813",露台 | | 工作平台
新界,大圍,名城 1期 5座 19樓 SB室,N/A,01/04/2025,3房,"$1,000 萬",785 呎,"$12,739",露台 | | 工作平台
新界,大圍,景田苑 冰心閣(Block C) 23樓 6室,N/A,01/04/2025,2房,$380 萬,431 呎,"$8,817",N/A
新界,大圍,柏傲莊 柏傲莊 II 5A座 高層 B室,N/A,01/04/2025,2房,"$31,000",634 呎,$49,露台 | | 工作平台
新界,大圍,名城 2期(盛薈) 5座 47樓 SD室,N/A,01/04/2025,3房,"$1,028 萬",679 呎,"$15,140",平台 | | 露台 | | 工作平台
新界,大圍,金獅花園 一期 金康閣(A座) 19樓 4室,N/A,01/04/2025,2房,$300 萬,270 呎,"$11,111",N/A
新界,大圍,聚龍居 7座 3樓 B室,N/A,01/04/2025,3房,$955 萬,942 呎,"$10,138",N/A
新界,大圍,美柏苑 21樓 9室,N/A,01/04/2025,2房,$430 萬,447 呎,"$9,620",N/A
新界,大圍,溱岸8號 3座 47樓 F室,N/A,31/03/2025,2房,$900 萬,510 呎,"$17,647",露台 | | 工作平台
新界,大圍,名城 3期(盛世) 1座 48樓 NB室,N/A,31/03/2025,3房,"$1,228 萬",786 呎,"$15,623",露台 | | 工作平台
新界,大圍,壹號雲頂 2期 (雲頂峰) Zone B B07室,N/A,31/03/2025,1房,$460 萬,415 呎,"$11,084",露台
新界,大圍,名城 3期(盛世) 3座 50樓 NB室,N/A,31/03/2025,3房,"$1,230 萬",787 呎,"$15,629",露台 | | 工作平台
新界,大圍,金獅花園 二期 金安閣(C座) 14樓 7室,N/A,31/03/2025,2房,$363 萬,336 呎,"$10,804",N/A
新界,大圍,柏傲莊 柏傲莊 II 7A座 低層 F室,N/A,30/03/2025,1房,"$20,000",344 呎,$58,露台
新界,大圍,金禧花園 4座 11樓 C室,N/A,28/03/2025,2房,$455 萬,314 呎,"$14,490",N/A
新界,大圍,名城 1期 3座 7樓 SB室,N/A,28/03/2025,3房,"$1,083 萬",785 呎,"$13,794",露台 | | 工作平台
新界,大圍,柏傲莊 柏傲莊 II 5B座 高層 B室,N/A,28/03/2025,3房,"$1,325 萬",660 呎,"$20,076",露台 | | 工作平台
