区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,大埔,嵐山 一期 8座 中層 A室,N/A,03/04/2025,開放式,$256 萬,181 呎,"$14,144",N/A
新界,大埔,太和邨 福和樓(11座) 23樓 8室,N/A,02/04/2025,開放式,$56.52 萬,-,-,露台
新界,大埔,昌運中心 1座 (富昌閣) 6樓 C室,N/A,02/04/2025,2房,$363 萬,339 呎,"$10,708",天台
新界,大埔,林海山城 3座 2樓 D室,N/A,02/04/2025,3房,"$1,543 萬","1,150 呎","$13,418",露台 | | 工作平台
新界,大埔,嵐山 一期 7座 9樓 G室,N/A,02/04/2025,4房,$774 萬,936 呎,"$8,267",露台 | | 工作平台
新界,大埔,明雅苑 A座 (明凱閣) 32樓 2室,N/A,02/04/2025,2房,$381 萬,394 呎,"$9,670",露台
新界,大埔,明雅苑 C座 (明昌閣) 15樓 9室,N/A,02/04/2025,1房,$392 萬,363 呎,"$10,799",露台
新界,大埔,比華利山別墅 溫莎道 三門仔路23號〈獨立屋〉,N/A,01/04/2025,4房,"$38,000","1,606 呎",$24,車位
新界,大埔,比華利山別墅 萊茵道 6號屋,N/A,01/04/2025,4房,"$1,388 萬","1,606 呎","$8,643",天台 | | 平台
新界,大埔,大埔廣場 2座(宜輝閣) 13樓 I室,N/A,01/04/2025,2房,$335 萬,377 呎,"$8,886",N/A
新界,大埔,大埔廣場 4座(宜興閣) 18樓 B室,N/A,01/04/2025,2房,$500 萬,422 呎,"$11,848",N/A
新界,大埔,海寶花園 B座 9樓 8室,N/A,01/04/2025,-,$335 萬,400 呎,"$8,375",N/A
新界,大埔,翠屏花園 C座 4樓 6室,N/A,31/03/2025,2房,$300 萬,269 呎,"$11,152",N/A
新界,大埔,太和邨 新和樓(3座) 6樓 10室,N/A,31/03/2025,開放式,$47.06 萬,-,-,露台
新界,大埔,寶雅苑 A座 (逸和閣) 12樓 12室,N/A,31/03/2025,開放式,$338 萬,489 呎,"$6,912",露台
新界,大埔,大埔中心 4期 6座 11樓 B室,N/A,31/03/2025,2房,$380 萬,371 呎,"$10,243",N/A
新界,大埔,比華利山別墅 翠樺道 三門仔路23號〈獨立屋〉,N/A,31/03/2025,4房,"$1,432 萬","1,606 呎","$8,917",車位
新界,大埔,大埔中心 4期 6座 22樓 C室,N/A,31/03/2025,2房,$405 萬,371 呎,"$10,916",N/A
新界,大埔,大埔中心 4期 9座 14樓 C室,N/A,31/03/2025,1房,$404 萬,371 呎,"$10,889",N/A
新界,大埔,翠怡花園 A座 中層 2室,N/A,30/03/2025,2房,"$12,800",321 呎,$40,N/A
新界,大埔,富善邨 善鄰樓 26樓 15室,N/A,28/03/2025,開放式,$297 萬,586 呎,"$5,065",露台
新界,大埔,翠屏花園 C座 中層 6室,N/A,28/03/2025,2房,$213 萬,269 呎,"$7,918",N/A
新界,大埔,大埔中心 4期 9座 11樓 C室,N/A,27/03/2025,1房,$360 萬,371 呎,"$9,704",N/A
新界,大埔,富亨邨 亨隆樓 (2座) 6樓 1室,N/A,27/03/2025,開放式,$191 萬,443 呎,"$4,312",露台
新界,大埔,林海山城 15座 1樓 D室,N/A,27/03/2025,3房,"$1,775 萬","1,185 呎","$14,979",露台 | | 工作平台
新界,大埔,太湖花園 一期 6座 12樓 B室,N/A,26/03/2025,2房,$350 萬,355 呎,"$9,859",N/A
新界,大埔,大埔中心 4期 10座 10樓 F室,N/A,26/03/2025,1房,$380 萬,371 呎,"$10,243",N/A
新界,大埔,翠屏花園 C座 19樓 7室,N/A,26/03/2025,2房,$265 萬,262 呎,"$10,115",N/A
新界,大埔,大埔中心 6期 14座 13樓 G室,N/A,26/03/2025,2房,$380 萬,379 呎,"$10,026",N/A
新界,大埔,昌運中心 2座 (貴昌閣) 5樓 H室,N/A,26/03/2025,2房,$353 萬,342 呎,"$10,322",天台
新界,大埔,昌運中心 3座 (榮昌閣) 13樓 G室,N/A,25/03/2025,2房,$360 萬,339 呎,"$10,619",天台
