区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,大埔墟太和,上然 1期 2座 7樓 B1室,N/A,02/04/2025,3房,$854 萬,713 呎,"$11,972",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 18樓 B8室,N/A,02/04/2025,2房,$508 萬,434 呎,"$11,700",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 15樓 A1室,N/A,02/04/2025,4房,"$1,141 萬",873 呎,"$13,068",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 3樓 B6室,N/A,02/04/2025,2房,$447 萬,455 呎,"$9,829",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 7樓 C3室,N/A,02/04/2025,開放式,$270 萬,244 呎,"$11,070",露台
新界,大埔墟太和,上然 1期 2座 2樓 D6室,N/A,02/04/2025,1房,$326 萬,303 呎,"$10,752",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 7樓 B5室,N/A,02/04/2025,2房,$429 萬,435 呎,"$9,864",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 3樓 B3室,N/A,02/04/2025,2房,$520 萬,475 呎,"$10,937",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 15樓 C2室,N/A,02/04/2025,2房,$525 萬,474 呎,"$11,070",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 15樓 B1室,N/A,02/04/2025,3房,$950 萬,713 呎,"$13,320",露台 | | 工作平台
新界,大埔墟太和,歡樂樓 4樓 C室,N/A,02/04/2025,-,$220 萬,530 呎,"$4,151",N/A
新界,大埔墟太和,上然 1期 2座 17樓 B6室,N/A,02/04/2025,2房,$515 萬,431 呎,"$11,947",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 15樓 B2室,N/A,02/04/2025,2房,$608 萬,475 呎,"$12,806",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 10樓 B2室,N/A,02/04/2025,2房,$569 萬,475 呎,"$11,981",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 10樓 C3室,N/A,02/04/2025,開放式,$291 萬,244 呎,"$11,934",露台
新界,大埔墟太和,上然 1期 2座 17樓 D3室,N/A,02/04/2025,2房,$549 萬,444 呎,"$12,365",露台 | | 工作平台
新界,大埔墟太和,上然 1期 2座 17樓 C7室,N/A,02/04/2025,1房,$371 萬,313 呎,"$11,856",露台 | | 工作平台
