区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,大埔滘白石角,海日灣II 13座 低層 G室,N/A,03/04/2025,3房,"$35,000","1,022 呎",$34,車位 | | 露台
新界,大埔滘白石角,逸瓏灣8 2座 中層 C室,N/A,02/04/2025,3房,$854 萬,702 呎,"$12,162",露台 | | 工作平台
新界,大埔滘白石角,天賦海灣 1期 19座 中層 A室,N/A,01/04/2025,2房,$920 萬,987 呎,"$9,321",露台 | | 工作平台
新界,大埔滘白石角,嘉熙 8座 低層 F室,N/A,01/04/2025,2房,"$17,000",456 呎,$37,露台
新界,大埔滘白石角,逸瓏灣 II 15座 中層 D室,N/A,01/04/2025,3房,"$35,000",915 呎,$38,車位 | | 露台 | | 工作平台
新界,大埔滘白石角,海日灣II 10座 中層 K室,N/A,01/04/2025,3房,"$26,500",795 呎,$33,露台
新界,大埔滘白石角,嘉熙 3座 低層 F室,N/A,31/03/2025,2房,$565 萬,455 呎,"$12,418",露台
新界,大埔滘白石角,大埔寶馬山 3座 7樓 A室,N/A,31/03/2025,3房,$852 萬,"1,033 呎","$8,248",N/A
新界,大埔滘白石角,逸瓏灣 I 20座 中層 D室,N/A,30/03/2025,3房,"$30,000",907 呎,$33,露台 | | 工作平台
新界,大埔滘白石角,海日灣II 11座 低層 C室,N/A,30/03/2025,開放式,"$11,200",251 呎,$45,N/A
新界,大埔滘白石角,天鑽 07座 低層 C室,N/A,28/03/2025,3房,$720 萬,579 呎,"$12,435",露台 | | 工作平台
新界,大埔滘白石角,天鑽 9座 15樓 H室,N/A,28/03/2025,2房,$582 萬,457 呎,"$12,724",露台 | | 工作平台
新界,大埔滘白石角,雲滙 1期 2座 6樓 A6室,N/A,28/03/2025,2房,$920 萬,732 呎,"$12,568",露台 | | 工作平台
新界,大埔滘白石角,海日灣II 10座 高層 D室,N/A,28/03/2025,1房,"$16,200",398 呎,$41,N/A
新界,大埔滘白石角,天賦海灣 海鑽 1座 8樓 B室,N/A,27/03/2025,4房,"$1,380 萬","1,366 呎","$10,102",露台 | | 工作平台
新界,大埔滘白石角,鹿茵山莊 鹿怡居 3座 5樓 E室,N/A,26/03/2025,3房,"$1,158 萬","1,175 呎","$9,855",車位
新界,大埔滘白石角,Silicon Hill University Hill 2A期 漾景閣第5B座 1樓 A3室,N/A,26/03/2025,2房,$646 萬,383 呎,"$16,864",花園
新界,大埔滘白石角,天鑽 08座 低層 A室,N/A,25/03/2025,3房,"$21,500",629 呎,$34,露台 | | 工作平台
新界,大埔滘白石角,逸瓏灣 I 21座 10樓 D室,N/A,25/03/2025,3房,"$1,292 萬","1,006 呎","$12,841",露台 | | 工作平台
新界,大埔滘白石角,逸瓏灣 I 18座 低層 D室,N/A,25/03/2025,3房,$917 萬,886 呎,"$10,348",露台 | | 工作平台
新界,大埔滘白石角,天鑽 16座 高層 F室,N/A,25/03/2025,2房,"$17,500",508 呎,$34,露台 | | 工作平台
新界,大埔滘白石角,海日灣II 03座 低層 B室,N/A,25/03/2025,2房,"$22,000",616 呎,$36,N/A
新界,大埔滘白石角,天賦海灣 1期 2座 高層 D室,N/A,24/03/2025,4房,"$1,135 萬","1,116 呎","$10,170",露台 | | 工作平台
新界,大埔滘白石角,天賦海灣 溋玥 16座 低層 C室,N/A,24/03/2025,4房,"$35,000","1,212 呎",$29,露台 | | 工作平台
新界,大埔滘白石角,雲滙 1期 6座 中層 B2室,N/A,23/03/2025,3房,"$20,500",646 呎,$32,露台 | | 工作平台
新界,大埔滘白石角,海日灣II 2座 1樓 C室,N/A,21/03/2025,3房,"$1,453 萬",987 呎,"$14,717",露台
新界,大埔滘白石角,天賦海灣 海鑽 9座 高層 A室,N/A,19/03/2025,3房,"$45,000","1,432 呎",$31,露台 | | 工作平台
新界,大埔滘白石角,翡翠花園 43座 5樓 B室,N/A,19/03/2025,3房,$838 萬,949 呎,"$8,830",車位 | | 露台
新界,大埔滘白石角,嘉熙 9座 16樓 C室,N/A,19/03/2025,開放式,$338 萬,257 呎,"$13,152",露台
新界,大埔滘白石角,逸瓏灣8 2座 12樓 H室,N/A,19/03/2025,3房,$867 萬,700 呎,"$12,383",露台 | | 工作平台
新界,大埔滘白石角,海日灣II 12座 中層 F室,N/A,18/03/2025,2房,"$21,000",581 呎,$36,N/A
