区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,大嶼山離島,梅窩大廈 4樓 5室,N/A,02/04/2025,-,$185 萬,253 呎,"$7,312",N/A
新界,大嶼山離島,銀河苑 B座 7樓 9室,N/A,01/04/2025,1房,$270 萬,383 呎,"$7,050",N/A
新界,大嶼山離島,碧濤軒 2座 2樓 B室,N/A,26/03/2025,3房,$356 萬,633 呎,"$5,624",天台
新界,大嶼山離島,碧濤軒 6座 1樓 A室,N/A,19/03/2025,3房,$450 萬,633 呎,"$7,109",N/A
新界,大嶼山離島,梅窩中心 2樓 B3室,N/A,26/02/2025,-,$473 萬,485 呎,"$9,753",N/A
新界,大嶼山離島,南山路11號 1樓 B室,N/A,26/02/2025,-,$300 萬,581 呎,"$5,164",N/A
新界,大嶼山離島,碧濤軒 8座 G樓 B室,N/A,24/02/2025,3房,$495 萬,633 呎,"$7,820",花園
新界,大嶼山離島,銀河苑 A座(銀旭閣) 11樓 20室,N/A,14/02/2025,1房,$190 萬,383 呎,"$4,961",N/A
新界,大嶼山離島,碧濤軒 5座 G樓 C室,N/A,12/02/2025,2房,$380 萬,451 呎,"$8,426",花園
新界,大嶼山離島,䃟石灣 䃟石灣2A號 WB樓 WB室,N/A,07/01/2025,-,"$1,250 萬",-,-,N/A
新界,大嶼山離島,長沙下村(大嶼山) 長沙下村(大嶼山)27號 WB樓 WB室,N/A,06/01/2025,-,"$1,180 萬",-,-,N/A
新界,大嶼山離島,大澳太平街 大澳太平街192號 WB樓 WB室,N/A,03/01/2025,-,$69.88 萬,-,-,N/A
新界,大嶼山離島,銀蔚苑 14樓 4室,N/A,20/12/2024,-,$295 萬,442 呎,"$6,674",N/A
新界,大嶼山離島,橫塘(梅窩) 橫塘(梅窩)37號 WB樓 WB室,N/A,18/12/2024,-,$950 萬,-,-,N/A
新界,大嶼山離島,龍軒苑 C座 (暢軒閣) 2樓 9室,N/A,17/12/2024,開放式,$250 萬,590 呎,"$4,237",N/A
新界,大嶼山離島,梅窩大廈 4樓 6室,N/A,13/12/2024,-,$195 萬,209 呎,"$9,330",N/A
新界,大嶼山離島,長沙別墅 A5號屋,N/A,10/12/2024,3房,"$1,215 萬","1,287 呎","$9,441",天台
新界,大嶼山離島,銀蔚苑 5樓 1室,N/A,05/12/2024,-,$208 萬,446 呎,"$4,664",N/A
新界,大嶼山離島,銀蔚苑 14樓 5室,N/A,04/12/2024,-,$218 萬,442 呎,"$4,932",N/A
新界,大嶼山離島,大新後街 大新後街165號 WB樓 WB室,N/A,27/11/2024,-,$308 萬,-,-,N/A
新界,大嶼山離島,龍軒苑 B座 (鱗軒閣) 3樓 2室,N/A,12/11/2024,開放式,$188 萬,421 呎,"$4,466",N/A
新界,大嶼山離島,卓濤軒 1座 4樓 D室,N/A,07/11/2024,2房,$304 萬,354 呎,"$8,588",平台
新界,大嶼山離島,大浪灣村 大浪灣村63號 WB樓 WB室,N/A,31/10/2024,-,$800 萬,-,-,N/A
新界,大嶼山離島,銀河苑 B座 3樓 3室,N/A,08/10/2024,1房,$168 萬,391 呎,"$4,297",N/A
新界,大嶼山離島,長沙上村 長沙上村75號 WB樓 WB室,N/A,25/09/2024,-,"$1,230 萬",-,-,N/A
新界,大嶼山離島,金銀灣 III座 (金富閣) 1樓 210室,N/A,24/09/2024,-,$235 萬,337 呎,"$6,973",N/A
新界,大嶼山離島,金銀灣 I座 (金碧閣) 1樓 202室,N/A,27/08/2024,-,$300 萬,390 呎,"$7,692",N/A
新界,大嶼山離島,銀寶大廈 5樓 B1室,N/A,23/08/2024,-,$365 萬,543 呎,"$6,722",N/A
新界,大嶼山離島,銀河苑 A座(銀旭閣) 7樓 2室,N/A,23/08/2024,3房,$325 萬,543 呎,"$5,985",N/A
新界,大嶼山離島,銀礦中心大廈 5樓 H室,N/A,22/08/2024,-,$260 萬,382 呎,"$6,806",N/A
新界,大嶼山離島,海愉花園 2座 6樓 C室,N/A,31/07/2024,-,$250 萬,240 呎,"$10,417",N/A
新界,大嶼山離島,坪麗苑 5樓 21室,N/A,11/07/2024,1房,$378 萬,642 呎,"$5,888",N/A
新界,大嶼山離島,卓濤軒 1座 3樓 E室,N/A,08/07/2024,2房,$300 萬,375 呎,"$8,000",平台
新界,大嶼山離島,銀蔚苑 1樓 8室,N/A,03/07/2024,-,$220 萬,446 呎,"$4,933",N/A
新界,大嶼山離島,梅窩中心 1樓 B1室,N/A,20/06/2024,-,$490 萬,493 呎,"$9,939",花園 | | 平台
新界,大嶼山離島,永利街(坪洲)1-9號 永利街(坪洲)8號 2樓,N/A,19/06/2024,-,$248 萬,404 呎,"$6,139",N/A
新界,大嶼山離島,銀蔚苑 4樓 5室,N/A,17/06/2024,-,$343 萬,442 呎,"$7,767",N/A
新界,大嶼山離島,Whitesands 28號屋,N/A,13/06/2024,3房,"$3,650 萬","2,480 呎","$14,718",花園 | | 天台 | | 平台 | | 露台 | | 工作平台
新界,大嶼山離島,遠東發展坪洲大廈 2樓 A室,N/A,07/06/2024,-,$210 萬,496 呎,"$4,234",N/A
新界,大嶼山離島,銀河苑 B座 14樓 1室,N/A,27/05/2024,1房,$172 萬,383 呎,"$4,491",N/A
新界,大嶼山離島,銀河苑 A座(銀旭閣) 5樓 14室,N/A,23/05/2024,1房,$155 萬,380 呎,"$4,079",N/A
新界,大嶼山離島,天利苑 5樓 7室,N/A,21/05/2024,開放式,$238 萬,481 呎,"$4,948",N/A
新界,大嶼山離島,梅窩大廈 4樓 18室,N/A,21/05/2024,-,$150 萬,175 呎,"$8,571",N/A
新界,大嶼山離島,遠東發展坪洲大廈 5樓 C室,N/A,20/05/2024,-,$280 萬,477 呎,"$5,870",N/A
新界,大嶼山離島,Whitesands 30號屋,N/A,02/05/2024,3房,"$2,800 萬","2,467 呎","$11,350",花園 | | 天台 | | 平台 | | 露台 | | 工作平台
新界,大嶼山離島,龍軒苑 A座 (綿軒閣) 1樓 7室,N/A,02/05/2024,開放式,$198 萬,421 呎,"$4,703",N/A
新界,大嶼山離島,坪麗苑 4樓 15室,N/A,25/04/2024,開放式,$218 萬,427 呎,"$5,105",N/A
新界,大嶼山離島,銀蔚苑 5樓 11室,N/A,23/04/2024,-,$300 萬,543 呎,"$5,525",N/A
新界,大嶼山離島,海景大廈 2樓 F室,N/A,19/04/2024,-,$300 萬,403 呎,"$7,444",N/A
新界,大嶼山離島,海景大廈 2樓 E室,N/A,19/04/2024,-,$300 萬,392 呎,"$7,653",N/A
新界,大嶼山離島,花屏山莊 6號屋,N/A,18/04/2024,-,$450 萬,"1,009 呎","$4,460",N/A
新界,大嶼山離島,永利街(坪洲)1-9號 永利街(坪洲)3號 2樓,N/A,17/04/2024,-,$300 萬,408 呎,"$7,353",N/A
新界,大嶼山離島,家樂閣 3樓 A2室,N/A,17/04/2024,-,$330 萬,370 呎,"$8,919",N/A
新界,大嶼山離島,銀礦中心大廈 4樓 B室,N/A,15/04/2024,-,$290 萬,382 呎,"$7,592",N/A
新界,大嶼山離島,海景大廈 3樓 F室,N/A,26/03/2024,-,$360 萬,403 呎,"$8,933",N/A
新界,大嶼山離島,海愉花園 1座 5樓 B室,N/A,11/03/2024,-,$600 萬,638 呎,"$9,404",N/A
新界,大嶼山離島,碧濤軒 4座 G樓 D室,N/A,06/03/2024,2房,$350 萬,451 呎,"$7,761",N/A
新界,大嶼山離島,銀河苑 A座(銀旭閣) 13樓 8室,N/A,04/03/2024,1房,$180 萬,388 呎,"$4,639",N/A
新界,大嶼山離島,梅窩大廈 4樓 16室,N/A,29/02/2024,-,$160 萬,168 呎,"$9,524",N/A
新界,大嶼山離島,碧濤軒 7座 1樓 A室,N/A,28/02/2024,3房,$398 萬,633 呎,"$6,288",N/A
新界,大嶼山離島,海桐苑 10號屋,N/A,27/02/2024,-,$900 萬,786 呎,"$11,450",N/A
新界,大嶼山離島,海愉花園 1座 1樓 D室,N/A,27/02/2024,-,$278 萬,283 呎,"$9,823",平台
新界,大嶼山離島,天福花園 11號屋 1樓,N/A,22/01/2024,3房,$480 萬,785 呎,"$6,115",天台
新界,大嶼山離島,家樂閣 5樓 C1室,N/A,17/01/2024,-,$350 萬,429 呎,"$8,159",天台
新界,大嶼山離島,海愉花園 1座 1樓 B室,N/A,12/01/2024,-,$710 萬,602 呎,"$11,794",平台
新界,大嶼山離島,銀河苑 A座(銀旭閣) 11樓 11室,N/A,14/12/2023,1房,$216 萬,384 呎,"$5,625",N/A
