区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,天水圍,嘉湖山莊 景湖居 08座 中層 H室,N/A,03/04/2025,3房,$395 萬,547 呎,"$7,221",N/A
新界,天水圍,Yoho West 1期 3B座 高層 B9室,N/A,03/04/2025,2房,$503 萬,398 呎,"$12,638",露台
新界,天水圍,嘉湖山莊 景湖居 05座 高層 E室,N/A,03/04/2025,2房,"$10,000",446 呎,$22,N/A
新界,天水圍,Yoho West Yoho West Parkside 1B座 22樓 B8室,N/A,02/04/2025,2房,$477 萬,444 呎,"$10,744",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1A座 45樓 A8室,N/A,02/04/2025,3房,$625 萬,547 呎,"$11,422",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1B座 39樓 B3室,N/A,02/04/2025,2房,$574 萬,468 呎,"$12,257",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1B座 21樓 B3室,N/A,02/04/2025,2房,$551 萬,468 呎,"$11,773",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1B座 12樓 B5室,N/A,02/04/2025,1房,$324 萬,288 呎,"$11,263",露台
新界,天水圍,Yoho West Yoho West Parkside 1B座 36樓 B5室,N/A,02/04/2025,1房,$357 萬,288 呎,"$12,384",露台
新界,天水圍,Yoho West Yoho West Parkside 1B座 12樓 B2室,N/A,02/04/2025,2房,$510 萬,431 呎,"$11,835",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1B座 18樓 B2室,N/A,02/04/2025,2房,$516 萬,431 呎,"$11,977",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1B座 37樓 B5室,N/A,02/04/2025,1房,$358 萬,288 呎,"$12,433",露台
新界,天水圍,Yoho West Yoho West Parkside 1B座 15樓 B8室,N/A,02/04/2025,2房,$460 萬,444 呎,"$10,354",露台 | | 工作平台
新界,天水圍,天盛苑 盛彩閣 (A座) 26樓 5室,N/A,02/04/2025,1房,$370 萬,535 呎,"$6,916",N/A
新界,天水圍,Yoho West Yoho West Parkside 1B座 35樓 B2室,N/A,02/04/2025,2房,$540 萬,431 呎,"$12,530",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1A座 35樓 A8室,N/A,02/04/2025,3房,$619 萬,547 呎,"$11,320",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1B座 17樓 B3室,N/A,02/04/2025,2房,$545 萬,468 呎,"$11,637",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1B座 12樓 B3室,N/A,02/04/2025,2房,$540 萬,468 呎,"$11,534",露台 | | 工作平台
新界,天水圍,嘉湖山莊 景湖居 01座 高層 B室,N/A,02/04/2025,3房,$455 萬,630 呎,"$7,222",N/A
新界,天水圍,Yoho West Yoho West Parkside 1B座 37樓 B6室,N/A,02/04/2025,2房,$473 萬,408 呎,"$11,582",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1B座 35樓 B1室,N/A,02/04/2025,3房,$704 萬,592 呎,"$11,887",露台 | | 工作平台
新界,天水圍,天盛苑 B座 ( 盛昭閣 ) 高層 13室,N/A,02/04/2025,1房,$392 萬,530 呎,"$7,396",N/A
新界,天水圍,Yoho West Yoho West Parkside 1B座 35樓 B8室,N/A,02/04/2025,2房,$486 萬,444 呎,"$10,939",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1B座 10樓 B1室,N/A,02/04/2025,3房,$672 萬,592 呎,"$11,358",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1B座 10樓 B1室,N/A,02/04/2025,3房,$672 萬,592 呎,"$11,358",露台 | | 工作平台
新界,天水圍,栢慧豪園 一期(栢慧豪園) 3座 10樓 G室,N/A,02/04/2025,2房,$465 萬,502 呎,"$9,263",露台 | | 工作平台
新界,天水圍,Yoho West Yoho West Parkside 1A座 26樓 A6室,N/A,02/04/2025,1房,$359 萬,303 呎,"$11,836",露台
