区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,屯門市中心,卓爾居 一期 3座 低層 A室,N/A,03/04/2025,2房,$537 萬,512 呎,"$10,484",N/A
新界,屯門市中心,新圍苑 新奐閣 ( Block E ) 中層 4室,N/A,03/04/2025,3房,$434 萬,645 呎,"$6,726",N/A
新界,屯門市中心,叠茵庭 一期 4座 低層 A室,N/A,03/04/2025,2房,$380 萬,376 呎,"$10,106",N/A
新界,屯門市中心,時代廣場 C座 中層 5室,N/A,03/04/2025,1房,$269 萬,272 呎,"$9,882",N/A
新界,屯門市中心,聚康山莊 2座 中層 A室,N/A,03/04/2025,2房,$443 萬,428 呎,"$10,350",N/A
新界,屯門市中心,屯門市廣場 3期 8座 高層 E室,N/A,03/04/2025,2房,$365 萬,356 呎,"$10,253",N/A
新界,屯門市中心,菁雋 低層 11室,N/A,03/04/2025,開放式,$230 萬,169 呎,"$13,609",露台
新界,屯門市中心,屯門市廣場 2期 1座 中層 E室,N/A,03/04/2025,2房,$355 萬,335 呎,"$10,597",N/A
新界,屯門市中心,錦華花園 B座 中層 4室,N/A,03/04/2025,-,$332 萬,353 呎,"$9,405",N/A
新界,屯門市中心,卓爾居 二期 5座 11樓 F室,N/A,02/04/2025,3房,$738 萬,709 呎,"$10,409",N/A
新界,屯門市中心,叠茵庭 二期 7座 3樓 D室,N/A,02/04/2025,2房,$385 萬,376 呎,"$10,239",N/A
新界,屯門市中心,南浪海灣 3座 3樓 A室,N/A,02/04/2025,3房,$600 萬,691 呎,"$8,683",N/A
新界,屯門市中心,海典軒 2座 7樓 F室,N/A,02/04/2025,2房,$475 萬,457 呎,"$10,394",露台 | | 工作平台
新界,屯門市中心,華都花園 3座 25樓 E室,N/A,02/04/2025,3房,$401 萬,533 呎,"$7,523",N/A
新界,屯門市中心,NOVO LAND 3B期 Fiskars 第1座 23樓 K室,N/A,02/04/2025,2房,$559 萬,438 呎,"$12,771",露台 | | 工作平台
新界,屯門市中心,山景邨 景榮樓 (3座) 19樓 31室,N/A,02/04/2025,開放式,$29.67 萬,-,-,N/A
新界,屯門市中心,華都花園 4座 20樓 D室,N/A,02/04/2025,3房,$508 萬,533 呎,"$9,531",N/A
新界,屯門市中心,翠林花園 B座 28樓 3室,N/A,02/04/2025,-,$400 萬,429 呎,"$9,324",N/A
新界,屯門市中心,東威閣 6樓 F室,N/A,02/04/2025,1房,$192 萬,224 呎,"$8,571",N/A
新界,屯門市中心,御半山 2期 2B座 低層 H室,N/A,01/04/2025,1房,"$12,000",305 呎,$39,露台
新界,屯門市中心,卓爾居 一期 2座 32樓 C室,N/A,01/04/2025,3房,$790 萬,679 呎,"$11,635",N/A
新界,屯門市中心,倚嶺南庭 22樓 K室,N/A,01/04/2025,2房,$455 萬,587 呎,"$7,751",露台 | | 工作平台
新界,屯門市中心,碧翠花園 21座 11樓 C室,N/A,01/04/2025,3房,$490 萬,700 呎,"$7,000",車位
新界,屯門市中心,碧翠花園 23座 3樓 A室,N/A,01/04/2025,3房,$628 萬,889 呎,"$7,064",車位 | | 露台
新界,屯門市中心,卓爾居 二期 7座 29樓 C室,N/A,01/04/2025,3房,$790 萬,710 呎,"$11,127",N/A
新界,屯門市中心,時代廣場 C座 22樓 6室,N/A,01/04/2025,1房,$290 萬,272 呎,"$10,662",N/A
新界,屯門市中心,屯門市廣場 3期 8座 26樓 H室,N/A,01/04/2025,2房,$355 萬,363 呎,"$9,780",N/A
新界,屯門市中心,時代廣場 A座 25樓 4室,N/A,01/04/2025,2房,$355 萬,314 呎,"$11,306",N/A
新界,屯門市中心,景峰花園 2座 23樓 H室,N/A,01/04/2025,2房,$287 萬,409 呎,"$7,012",N/A
新界,屯門市中心,彩華花園 B座 1樓 5室,N/A,01/04/2025,2房,$295 萬,420 呎,"$7,024",N/A
新界,屯門市中心,錦華花園 B座 31樓 7室,N/A,01/04/2025,-,$338 萬,330 呎,"$10,242",N/A
新界,屯門市中心,御海灣 2期 1座 21樓 E室,N/A,01/04/2025,2房,$600 萬,448 呎,"$13,393",露台 | | 工作平台
新界,屯門市中心,兆康苑 兆寧閣(Block S) 7樓 5室,N/A,31/03/2025,2房,$310 萬,447 呎,"$6,935",N/A
新界,屯門市中心,怡樂花園 1座 14樓 H室,N/A,31/03/2025,2房,$290 萬,335 呎,"$8,657",N/A
新界,屯門市中心,瓏門 一期 2座 中層 G室,N/A,31/03/2025,3房,"$1,249 萬",783 呎,"$15,949",露台 | | 工作平台
新界,屯門市中心,大興花園 一期 1座 11樓 E室,N/A,31/03/2025,2房,$368 萬,428 呎,"$8,598",N/A
新界,屯門市中心,聚康山莊 5座 6樓 G室,N/A,31/03/2025,3房,$505 萬,531 呎,"$9,510",露台
新界,屯門市中心,時代廣場 C座 高層 2室,N/A,31/03/2025,1房,$338 萬,325 呎,"$10,400",N/A
新界,屯門市中心,倚嶺南庭 低層 K室,N/A,31/03/2025,2房,"$15,500",587 呎,$26,露台
新界,屯門市中心,NOVO LAND 3B期 Fiskars 第1座 22樓 K室,N/A,31/03/2025,2房,$558 萬,438 呎,"$12,740",露台 | | 工作平台
新界,屯門市中心,屯門市廣場 1期 4座 中層 K室,N/A,30/03/2025,2房,"$13,800",393 呎,$35,N/A
新界,屯門市中心,大興花園 一期 01座 高層 A室,N/A,29/03/2025,2房,"$11,800",428 呎,$28,N/A
新界,屯門市中心,凱德花園 1座 10樓 E室,N/A,28/03/2025,-,$267 萬,312 呎,"$8,551",N/A
新界,屯門市中心,卓爾居 一期 2座 低層 B室,N/A,28/03/2025,2房,"$15,800",511 呎,$31,N/A
新界,屯門市中心,時代廣場 B座 9樓 3室,N/A,28/03/2025,3房,$428 萬,487 呎,"$8,789",N/A
新界,屯門市中心,御半山 2期 2B座 15樓 A室,N/A,28/03/2025,2房,$515 萬,454 呎,"$11,344",露台 | | 工作平台
新界,屯門市中心,康德花園 2座 26樓 F室,N/A,28/03/2025,2房,$323 萬,363 呎,"$8,898",N/A
新界,屯門市中心,御海灣 2期 1座 高層 J室,N/A,28/03/2025,3房,"$1,200 萬",677 呎,"$17,725",天台 | | 平台 | | 露台 | | 工作平台
新界,屯門市中心,NOVO LAND 3B期 Fiskars 第1座 19樓 K室,N/A,28/03/2025,2房,$554 萬,438 呎,"$12,649",露台 | | 工作平台
新界,屯門市中心,南浪海灣 3座 低層 H室,N/A,28/03/2025,3房,$818 萬,840 呎,"$9,738",N/A
新界,屯門市中心,怡峰園 2座 13樓 D室,N/A,28/03/2025,-,$418 萬,527 呎,"$7,932",N/A
新界,屯門市中心,康德花園 3座 20樓 G室,N/A,28/03/2025,2房,$325 萬,363 呎,"$8,953",N/A
新界,屯門市中心,叠茵庭 二期 8座 10樓 C室,N/A,28/03/2025,2房,$400 萬,383 呎,"$10,444",N/A
新界,屯門市中心,翠林花園 B座 4樓 3室,N/A,27/03/2025,-,$300 萬,429 呎,"$6,993",N/A
新界,屯門市中心,屯門市廣場 1期 4座 21樓 H室,N/A,27/03/2025,2房,$402 萬,369 呎,"$10,894",N/A
新界,屯門市中心,麗寶大廈 26樓 B室,N/A,27/03/2025,2房,$270 萬,248 呎,"$10,887",N/A
新界,屯門市中心,景峰花園 4座 18樓 E室,N/A,27/03/2025,2房,$280 萬,399 呎,"$7,018",N/A
新界,屯門市中心,NOVO LAND 3B期 Fiskars 第2B座 10樓 F室,N/A,27/03/2025,2房,$495 萬,416 呎,"$11,904",露台 | | 工作平台
