区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,屯門碼頭,海翠花園 3座 高層 A室,N/A,03/04/2025,2房,$480 萬,609 呎,"$7,882",N/A
新界,屯門碼頭,兆禧苑 D座 (雅禧閣) 26樓 4室,N/A,02/04/2025,1房,$192 萬,363 呎,"$5,289",露台
新界,屯門碼頭,兆禧苑 D座 (雅禧閣) 7樓 11室,N/A,01/04/2025,2房,$340 萬,415 呎,"$8,193",露台
新界,屯門碼頭,兆禧苑 E座 (樂禧閣) 29樓 9室,N/A,01/04/2025,1房,$290 萬,351 呎,"$8,262",露台
新界,屯門碼頭,海翠花園 3座 低層 F室,N/A,31/03/2025,3房,$524 萬,668 呎,"$7,841",N/A
新界,屯門碼頭,邁亞美海灣 T-6座 低層 F室,N/A,29/03/2025,2房,"$13,500",466 呎,$29,N/A
新界,屯門碼頭,兆禧苑 C座 (順禧閣) 20樓 1室,N/A,28/03/2025,1房,$310 萬,363 呎,"$8,540",露台
新界,屯門碼頭,兆禧苑 E座 (樂禧閣) 9樓 1室,N/A,28/03/2025,1房,$288 萬,351 呎,"$8,205",露台
新界,屯門碼頭,美樂花園 4座 26樓 A室,N/A,28/03/2025,3房,$420 萬,861 呎,"$4,878",N/A
新界,屯門碼頭,富健花園 3座 24樓 G室,N/A,28/03/2025,3房,$350 萬,592 呎,"$5,912",N/A
新界,屯門碼頭,新屯門中心 6座 36樓 F室,N/A,26/03/2025,2房,$400 萬,455 呎,"$8,791",N/A
新界,屯門碼頭,新屯門中心 3座 11樓 F室,N/A,26/03/2025,1房,$400 萬,455 呎,"$8,791",N/A
新界,屯門碼頭,新屯門中心 2座 25樓 B室,N/A,25/03/2025,2房,$380 萬,462 呎,"$8,225",N/A
新界,屯門碼頭,新屯門中心 1座 19樓 C室,N/A,25/03/2025,1房,$380 萬,455 呎,"$8,352",N/A
新界,屯門碼頭,兆禧苑 E座 (樂禧閣) 2樓 13室,N/A,25/03/2025,1房,$253 萬,338 呎,"$7,485",露台
新界,屯門碼頭,兆禧苑 C座 (順禧閣) 13樓 16室,N/A,24/03/2025,1房,$280 萬,351 呎,"$7,977",露台
新界,屯門碼頭,邁亞美海灣 T-3座 31樓 E室,N/A,24/03/2025,2房,$398 萬,438 呎,"$9,087",N/A
新界,屯門碼頭,慧豐園 2座 21樓 D室,N/A,24/03/2025,2房,$415 萬,489 呎,"$8,487",N/A
新界,屯門碼頭,富健花園 11座 4樓 K室,N/A,24/03/2025,2房,$280 萬,431 呎,"$6,497",N/A
新界,屯門碼頭,海翠花園 6座 14樓 F室,N/A,24/03/2025,3房,$536 萬,668 呎,"$8,024",N/A
新界,屯門碼頭,悅湖山莊 4座 13樓 K室,N/A,20/03/2025,2房,$345 萬,431 呎,"$8,005",N/A
新界,屯門碼頭,兆山苑 C座 (柏景閣) 18樓 3室,N/A,20/03/2025,2房,$330 萬,546 呎,"$6,044",露台
新界,屯門碼頭,兆禧苑 C座 (順禧閣) 13樓 1室,N/A,20/03/2025,1房,$252 萬,363 呎,"$6,942",露台
新界,屯門碼頭,兆山苑 G座 (楊景閣) 2樓 2室,N/A,19/03/2025,2房,$332 萬,546 呎,"$6,081",露台
新界,屯門碼頭,富健花園 12座 9樓 G室,N/A,19/03/2025,3房,$339 萬,592 呎,"$5,723",N/A
新界,屯門碼頭,海翠花園 3座 8樓 B室,N/A,19/03/2025,2房,$433 萬,521 呎,"$8,311",N/A
新界,屯門碼頭,富健花園 5座 13樓 E室,N/A,18/03/2025,2房,$243 萬,431 呎,"$5,638",N/A
新界,屯門碼頭,兆禧苑 A座 (安禧閣) 22樓 1室,N/A,18/03/2025,1房,$270 萬,363 呎,"$7,438",露台
新界,屯門碼頭,新屯門中心 3座 32樓 C室,N/A,18/03/2025,2房,$370 萬,455 呎,"$8,132",N/A
新界,屯門碼頭,啟豐園 4座 14樓 B室,N/A,18/03/2025,2房,$435 萬,410 呎,"$10,610",N/A
新界,屯門碼頭,邁亞美海灣 T-1座 33樓 H室,N/A,18/03/2025,2房,$358 萬,398 呎,"$8,995",N/A
新界,屯門碼頭,邁亞美海灣 T-6座 3樓 E室,N/A,17/03/2025,2房,$388 萬,447 呎,"$8,680",N/A
新界,屯門碼頭,䨇寓 南翼 中層 B室,N/A,15/03/2025,開放式,"$12,000",276 呎,$43,露台
新界,屯門碼頭,新屯門中心 6座 3樓 D室,N/A,14/03/2025,3房,$450 萬,603 呎,"$7,463",N/A
新界,屯門碼頭,美樂花園 9座 12樓 A室,N/A,14/03/2025,2房,$398 萬,589 呎,"$6,757",N/A
新界,屯門碼頭,富健花園 9座 18樓 E室,N/A,14/03/2025,2房,$365 萬,431 呎,"$8,469",N/A
新界,屯門碼頭,慧豐園 5座 低層 E室,N/A,14/03/2025,3房,"$16,800",567 呎,$30,N/A
新界,屯門碼頭,新屯門中心 8座 12樓 F室,N/A,14/03/2025,2房,$319 萬,455 呎,"$7,011",N/A
新界,屯門碼頭,海翠花園 4座 3樓 B室,N/A,13/03/2025,2房,$430 萬,521 呎,"$8,253",N/A
新界,屯門碼頭,兆禧苑 C座 (順禧閣) 37樓 5室,N/A,13/03/2025,1房,$244 萬,363 呎,"$6,716",露台
新界,屯門碼頭,富健花園 9座 10樓 A室,N/A,12/03/2025,3房,$378 萬,592 呎,"$6,385",N/A
新界,屯門碼頭,美樂花園 9座 2樓 B室,N/A,11/03/2025,2房,$340 萬,591 呎,"$5,753",N/A
新界,屯門碼頭,新屯門中心 5座 12樓 D室,N/A,10/03/2025,2房,$399 萬,501 呎,"$7,964",N/A
新界,屯門碼頭,兆山苑 A座 (棉景閣) 2樓 5室,N/A,07/03/2025,2房,$316 萬,546 呎,"$5,788",露台
新界,屯門碼頭,兆禧苑 E座 (樂禧閣) 13樓 11室,N/A,03/03/2025,2房,$303 萬,415 呎,"$7,301",露台
新界,屯門碼頭,美樂花園 5座 21樓 A室,N/A,03/03/2025,3房,$485 萬,694 呎,"$6,988",N/A
新界,屯門碼頭,邁亞美海灣 T-6座 高層 F室,N/A,01/03/2025,2房,"$11,500",466 呎,$25,N/A
新界,屯門碼頭,新屯門中心 9座 33樓 E室,N/A,28/02/2025,3房,$500 萬,597 呎,"$8,375",N/A
新界,屯門碼頭,兆禧苑 A座 (安禧閣) 9樓 13室,N/A,28/02/2025,1房,$288 萬,363 呎,"$7,934",露台
新界,屯門碼頭,兆山苑 H座 (椰景閣) 5樓 2室,N/A,28/02/2025,2房,$315 萬,546 呎,"$5,769",露台
新界,屯門碼頭,新屯門中心 5座 14樓 C室,N/A,27/02/2025,1房,$390 萬,462 呎,"$8,442",N/A
新界,屯門碼頭,邁亞美海灣 T-3座 9樓 F室,N/A,26/02/2025,2房,$400 萬,443 呎,"$9,027",N/A
新界,屯門碼頭,富健花園 1座 4樓 F室,N/A,26/02/2025,2房,$280 萬,484 呎,"$5,785",N/A
新界,屯門碼頭,美樂花園 08座 低層 D室,N/A,26/02/2025,2房,"$14,000",589 呎,$24,N/A
新界,屯門碼頭,海翠花園 2座 中層 A室,N/A,26/02/2025,2房,"$14,000",609 呎,$23,N/A
新界,屯門碼頭,悅湖山莊 5座 13樓 A室,N/A,25/02/2025,3房,$320 萬,588 呎,"$5,442",N/A
新界,屯門碼頭,啟豐園 2座 28樓 G室,N/A,21/02/2025,2房,$360 萬,375 呎,"$9,600",N/A
新界,屯門碼頭,兆禧苑 A座 (安禧閣) 30樓 4室,N/A,21/02/2025,1房,$255 萬,338 呎,"$7,544",露台
