区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,愉景灣,愉景灣 頤峰 頤峰5座 (峻山閣) 14樓 B室,N/A,02/04/2025,2房,$488 萬,592 呎,"$8,243",露台
新界,愉景灣,愉景灣 明翠台 H4座 (觀峰樓) 20樓 D室,N/A,02/04/2025,2房,$450 萬,588 呎,"$7,653",N/A
新界,愉景灣,愉景灣 4期(蘅峰)蘅安徑 蘅峰 (曦欣閣) 13樓 G室,N/A,02/04/2025,1房,$345 萬,411 呎,"$8,394",N/A
新界,愉景灣,愉景灣 明翠台 H3座 (觀霞樓) 8樓 D室,N/A,02/04/2025,2房,$425 萬,588 呎,"$7,228",N/A
新界,愉景灣,愉景灣 畔峰 畔峰H1座 (觀柏樓) 3樓 A室,N/A,01/04/2025,2房,$450 萬,729 呎,"$6,173",N/A
新界,愉景灣,愉景灣 4期(蘅峰)蘅安徑 蘅峰1座 (寶安閣) 12樓 G室,N/A,31/03/2025,1房,$348 萬,410 呎,"$8,488",N/A
新界,愉景灣,愉景灣 海寧居 海寧居 (海愉閣) 2樓 D室,N/A,31/03/2025,2房,$475 萬,588 呎,"$8,078",露台
新界,愉景灣,愉景灣 寶峰 寶峰 (寶怡閣) 19樓 B室,N/A,28/03/2025,3房,$880 萬,980 呎,"$8,980",露台
新界,愉景灣,愉景灣 尚堤 2座 (珀蘆) 10樓 F室,N/A,27/03/2025,2房,$762 萬,958 呎,"$7,954",露台 | | 工作平台
新界,愉景灣,愉景灣 頤峰 頤峰4座 (怡山閣) 12樓 A室,N/A,26/03/2025,1房,$373 萬,456 呎,"$8,180",N/A
新界,愉景灣,愉景灣 寶峰 寶峰徑 9 號 1樓 C室,N/A,26/03/2025,3房,"$1,068 萬","1,138 呎","$9,385",露台
新界,愉景灣,愉景灣 頤峰 頤峰3座 (翠山閣) 13樓 D室,N/A,25/03/2025,3房,$540 萬,876 呎,"$6,164",露台
新界,愉景灣,愉景灣 4期(蘅峰)倚濤軒 倚濤軒 49 號 1樓 B室,N/A,25/03/2025,3房,$850 萬,"1,108 呎","$7,671",N/A
新界,愉景灣,愉景灣 康慧台 康慧台 (康寧閣) 9樓 E室,N/A,25/03/2025,開放式,$388 萬,398 呎,"$9,749",露台
新界,愉景灣,愉景灣 明翠台 觀峰樓 中層 C室,N/A,21/03/2025,2房,$455 萬,588 呎,"$7,738",N/A
新界,愉景灣,愉景灣 4期(蘅峰)蘅安徑 蘅峰3座 (彩暉閣) 7樓 A室,N/A,20/03/2025,3房,$470 萬,755 呎,"$6,225",N/A
新界,愉景灣,愉景灣 愉景廣場 愉景廣場C座 3樓 15室,N/A,18/03/2025,2房,$488 萬,662 呎,"$7,372",N/A
新界,愉景灣,愉景灣 頤峰 頤峰3座 (翠山閣) 20樓 C室,N/A,18/03/2025,3房,$673 萬,876 呎,"$7,683",露台
新界,愉景灣,愉景灣 4期(蘅峰)蘅安徑 蘅峰3座 (彩暉閣) 4樓 C室,N/A,17/03/2025,3房,$470 萬,757 呎,"$6,209",N/A
新界,愉景灣,愉景灣 意堤 6座 8樓 A室,N/A,17/03/2025,3房,"$1,200 萬","1,019 呎","$11,776",露台 | | 工作平台
新界,愉景灣,愉景灣 海寧居 海寧路 7 號 G樓 B室,N/A,17/03/2025,3房,$950 萬,911 呎,"$10,428",花園
新界,愉景灣,愉景灣 尚堤 2座 (珀蘆) 8樓 C室,N/A,17/03/2025,2房,$680 萬,737 呎,"$9,227",露台 | | 工作平台
新界,愉景灣,愉景灣 尚堤 1座 (碧蘆) 19樓 E室,N/A,17/03/2025,3房,$837 萬,904 呎,"$9,259",露台 | | 工作平台
新界,愉景灣,愉景灣 4期(蘅峰)蘅欣徑 蘅欣徑 5 號 2樓 B室,N/A,14/03/2025,3房,$863 萬,"1,158 呎","$7,453",N/A
新界,愉景灣,愉景灣 頤峰 頤峰5座 (峻山閣) 3樓 F室,N/A,14/03/2025,1房,$310 萬,456 呎,"$6,798",N/A
新界,愉景灣,愉景灣 海澄湖畔 天澄閣 (M2座) 15樓 C室,N/A,14/03/2025,1房,$488 萬,498 呎,"$9,799",露台
新界,愉景灣,愉景灣 海寧居 海寧居 (海愉閣) 8樓 E室,N/A,14/03/2025,3房,$713 萬,799 呎,"$8,921",露台
新界,愉景灣,愉景灣 4期(蘅峰)蘅欣徑 蘅欣徑 39 號 2樓 D室,N/A,14/03/2025,3房,"$1,130 萬","1,359 呎","$8,315",天台 | | 平台 | | 露台
新界,愉景灣,愉景灣 1期(碧濤)海燕徑 海燕徑39號 1樓 F室,N/A,14/03/2025,3房,$960 萬,962 呎,"$9,979",N/A
新界,愉景灣,愉景灣 尚堤 5座 (翠蘆) 高層 G室,N/A,13/03/2025,1房,"$16,000",517 呎,$31,露台
新界,愉景灣,愉景灣 明翠台 H4座 (觀峰樓) 8樓 D室,N/A,13/03/2025,2房,$405 萬,588 呎,"$6,888",N/A
新界,愉景灣,愉景灣 海澄湖畔 L58座 2樓 A室,N/A,12/03/2025,3房,"$1,050 萬",968 呎,"$10,847",花園 | | 平台
新界,愉景灣,愉景灣 畔峰 畔峰H2座 (觀港樓) 6樓 C室,N/A,12/03/2025,3房,$830 萬,"1,206 呎","$6,882",N/A
新界,愉景灣,愉景灣 康慧台 康慧台 (康和閣) 10樓 C室,N/A,12/03/2025,2房,$472 萬,591 呎,"$7,986",露台
新界,愉景灣,愉景灣 海澄湖畔2段 38座 D室,N/A,11/03/2025,-,"$13,500",451 呎,$30,N/A
新界,愉景灣,愉景灣 4期(蘅峰)蘅安徑 蘅峰 (曦欣閣) 14樓 F室,N/A,06/03/2025,3房,$560 萬,709 呎,"$7,898",N/A
新界,愉景灣,愉景灣 寶峰 寶峰 (寶怡閣) 2樓 A室,N/A,05/03/2025,3房,$540 萬,769 呎,"$7,022",露台
新界,愉景灣,愉景灣 康慧台 康慧台 (康和閣) 13樓 E室,N/A,05/03/2025,開放式,$310 萬,398 呎,"$7,789",露台
新界,愉景灣,愉景灣 海藍居 1座 2樓 B室,N/A,03/03/2025,3房,"$1,140 萬","1,012 呎","$11,265",平台
新界,愉景灣,愉景灣 海澄湖畔2段 28座 2樓 C室,N/A,28/02/2025,-,$365 萬,442 呎,"$8,258",N/A
新界,愉景灣,愉景灣 明翠台 H2座 (觀海樓) 14樓 F室,N/A,28/02/2025,1房,$328 萬,440 呎,"$7,455",N/A
新界,愉景灣,愉景灣 明翠台 H2座 (觀海樓) 8樓 E室,N/A,26/02/2025,1房,$330 萬,440 呎,"$7,500",N/A
新界,愉景灣,愉景灣 明翠台 明蔚徑 7 號 3樓 H室,N/A,25/02/2025,3房,"$1,035 萬","1,183 呎","$8,749",露台
新界,愉景灣,愉景灣 頤峰 頤峰5座 (峻山閣) 2樓 B室,N/A,25/02/2025,2房,$450 萬,592 呎,"$7,601",露台
新界,愉景灣,愉景灣 意堤 8座 低層 A室,N/A,24/02/2025,3房,"$48,000","1,201 呎",$40,露台 | | 工作平台
新界,愉景灣,愉景灣 頤峰 頤峰8座 (蔚山閣) 23樓 C室,N/A,21/02/2025,3房,$739 萬,947 呎,"$7,804",N/A
新界,愉景灣,愉景灣 明翠台 H2座 (觀海樓) 2樓 D室,N/A,19/02/2025,2房,$408 萬,588 呎,"$6,939",N/A
新界,愉景灣,愉景灣 尚堤 1座 (碧蘆) 27樓 G室,N/A,19/02/2025,-,$625 萬,780 呎,"$8,013",露台 | | 工作平台
新界,愉景灣,愉景灣 寶峰 寶峰 (寶晶閣) 14樓 E室,N/A,18/02/2025,開放式,$296 萬,368 呎,"$8,043",N/A
新界,愉景灣,愉景灣 尚堤 3座 (漪蘆) 8樓 D室,N/A,17/02/2025,1房,$463 萬,628 呎,"$7,373",露台 | | 工作平台
新界,愉景灣,愉景灣 海澄湖畔2段 閒澄閣 低層 B室,N/A,14/02/2025,2房,"$16,000",601 呎,$27,N/A
新界,愉景灣,愉景灣 頤峰 頤峰6座 (逸山閣) 4樓 F室,N/A,14/02/2025,1房,$320 萬,456 呎,"$7,018",N/A
新界,愉景灣,愉景灣 4期(蘅峰)碧濤軒 碧濤軒 8 號 1樓 B室,N/A,14/02/2025,3房,"$1,100 萬","1,347 呎","$8,166",露台
新界,愉景灣,愉景灣 海藍居 6座 B室,N/A,14/02/2025,3房,"$30,000","1,010 呎",$30,N/A
新界,愉景灣,愉景灣 康慧台 康慧台 (康和閣) 18樓 F室,N/A,12/02/2025,3房,$580 萬,776 呎,"$7,474",露台
新界,愉景灣,愉景灣 1期(蔚陽)朝暉徑 朝暉徑 2 號,N/A,10/02/2025,3房,"$2,700 萬","1,889 呎","$14,293",花園
新界,愉景灣,愉景灣 畔峰 畔峰H5座 (觀景樓) 4樓 B室,N/A,06/02/2025,開放式,$356 萬,478 呎,"$7,448",N/A
