区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,掃管笏,龍珠島別墅 F6 座 2樓 1室,N/A,02/04/2025,-,$193 萬,286 呎,"$6,748",N/A
新界,掃管笏,黃金海灣 意嵐 3座 25樓 D室,N/A,02/04/2025,2房,$623 萬,447 呎,"$13,946",露台 | | 工作平台
新界,掃管笏,黃金海灣 珀岸 1B座 15樓 D室,N/A,02/04/2025,2房,$547 萬,427 呎,"$12,801",露台 | | 工作平台
新界,掃管笏,黃金海灣 珀岸 1A座 25樓 H室,N/A,02/04/2025,1房,$374 萬,312 呎,"$11,990",露台 | | 工作平台
新界,掃管笏,滿名山 滿庭 12座 (滿庭) 2樓 E室,N/A,02/04/2025,3房,$880 萬,971 呎,"$9,063",露台
新界,掃管笏,珀居 9號屋,N/A,02/04/2025,3房,"$3,200 萬","2,673 呎","$11,972",車位 | | 花園 | | 天台 | | 平台 | | 露台
新界,掃管笏,愛琴海岸 2 座 15樓 C室,N/A,02/04/2025,3房,$547 萬,617 呎,"$8,865",N/A
新界,掃管笏,凱和山 1座 6樓 C室,N/A,01/04/2025,1房,$400 萬,375 呎,"$10,671",露台
新界,掃管笏,畔海 8號屋,N/A,01/04/2025,4房,"$5,000 萬","3,308 呎","$15,115",車位 | | 花園 | | 天台 | | 平台 | | 露台 | | 工作平台
新界,掃管笏,凱和山 3座 3樓 G室,N/A,01/04/2025,2房,$586 萬,586 呎,"$9,998",露台 | | 工作平台
新界,掃管笏,黃金海灣 意嵐 5B座 21樓 M室,N/A,01/04/2025,1房,$329 萬,317 呎,"$10,372",露台 | | 工作平台
新界,掃管笏,上源 2A座 12樓 D室,N/A,01/04/2025,2房,$450 萬,551 呎,"$8,167",露台
新界,掃管笏,香港黃金海岸 1A期 3座 11樓 B室,N/A,31/03/2025,2房,$420 萬,576 呎,"$7,292",N/A
新界,掃管笏,黃金海灣 珀岸 1A座 23樓 G室,N/A,31/03/2025,1房,$366 萬,312 呎,"$11,731",露台 | | 工作平台
新界,掃管笏,香港黃金海岸 2A期 9座 7樓 A室,N/A,31/03/2025,3房,$502 萬,680 呎,"$7,382",N/A
新界,掃管笏,黃金海灣 意嵐 5A座 22樓 J室,N/A,31/03/2025,1房,$326 萬,301 呎,"$10,834",露台 | | 工作平台
新界,掃管笏,帝御 1期(帝御．金灣) 3座 中層 15室,N/A,29/03/2025,開放式,"$8,800",207 呎,$43,露台
新界,掃管笏,緹岸 1期 2A座 16樓 E室,N/A,28/03/2025,開放式,$180 萬,224 呎,"$8,036",露台
