区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,東涌,映灣園 三期 9座 中層 E室,N/A,03/04/2025,2房,"$16,000",546 呎,$29,露台
新界,東涌,東環 1期 6B座 低層 8室,N/A,02/04/2025,2房,$550 萬,483 呎,"$11,387",露台
新界,東涌,海堤灣畔 第一座 47樓 C室,N/A,02/04/2025,2房,$586 萬,541 呎,"$10,832",N/A
新界,東涌,映灣園 二期 8座 高層 A室,N/A,01/04/2025,3房,$960 萬,897 呎,"$10,702",露台
新界,東涌,映灣園 一期 5座 40樓 A室,N/A,01/04/2025,3房,$942 萬,970 呎,"$9,711",露台
新界,東涌,昇薈 5座 高層 D室,N/A,01/04/2025,2房,"$23,000",704 呎,$33,露台 | | 工作平台
新界,東涌,東堤灣畔 2期 9座 45樓 A室,N/A,01/04/2025,3房,$890 萬,868 呎,"$10,253",N/A
新界,東涌,藍天海岸 1期 6座 中層 E室,N/A,01/04/2025,2房,"$17,000",492 呎,$35,N/A
新界,東涌,映灣園 三期 12座 中層 F室,N/A,01/04/2025,2房,"$17,300",563 呎,$31,N/A
新界,東涌,映灣園 四期 15座 48樓 C室,N/A,01/04/2025,2房,$550 萬,565 呎,"$9,735",平台 | | 露台 | | 工作平台
新界,東涌,東環 2期 1B座 18樓 08室,N/A,01/04/2025,2房,$508 萬,483 呎,"$10,518",露台
新界,東涌,藍天海岸 1期 2座 26樓 B室,N/A,01/04/2025,3房,$938 萬,911 呎,"$10,296",N/A
新界,東涌,昇薈 1座 38樓 D室,N/A,31/03/2025,3房,"$1,490 萬","1,194 呎","$12,479",露台 | | 工作平台
新界,東涌,映灣園 三期 9座 低層 F室,N/A,31/03/2025,2房,"$18,000",563 呎,$32,露台
新界,東涌,東堤灣畔 2期 9座 15樓 C室,N/A,28/03/2025,2房,$610 萬,592 呎,"$10,304",N/A
新界,東涌,映灣園 三期 9座 高層 G室,N/A,28/03/2025,3房,"$24,500",757 呎,$32,露台
新界,東涌,藍天海岸 1期 2座 57樓 G室,N/A,28/03/2025,2房,$625 萬,485 呎,"$12,887",N/A
新界,東涌,藍天海岸 1期 1座 高層 G室,N/A,28/03/2025,1房,$472 萬,399 呎,"$11,830",N/A
新界,東涌,映灣園 二期 8座 45樓 G室,N/A,28/03/2025,3房,$750 萬,737 呎,"$10,176",平台 | | 露台 | | 工作平台
新界,東涌,東環 2期 1B座 15樓 02室,N/A,28/03/2025,3房,$660 萬,645 呎,"$10,233",露台
新界,東涌,映灣園 一期 1座 11樓 C室,N/A,27/03/2025,2房,$501 萬,495 呎,"$10,121",N/A
新界,東涌,映灣園 三期 12座 25樓 A室,N/A,27/03/2025,3房,$850 萬,912 呎,"$9,320",露台 | | 工作平台
新界,東涌,海堤灣畔 第五座 33樓 A室,N/A,27/03/2025,2房,$690 萬,579 呎,"$11,917",N/A
新界,東涌,東堤灣畔 1期 2座 17樓 B室,N/A,26/03/2025,2房,$569 萬,536 呎,"$10,616",N/A
新界,東涌,東環 1期 6A座 20樓 9室,N/A,26/03/2025,3房,$715 萬,646 呎,"$11,068",露台
新界,東涌,映灣園 四期 15座 28樓 C室,N/A,26/03/2025,2房,$548 萬,563 呎,"$9,734",平台 | | 露台 | | 工作平台
新界,東涌,藍天海岸 1期 5座 45樓 D室,N/A,26/03/2025,3房,$825 萬,771 呎,"$10,700",N/A
新界,東涌,東環 1期 3B座 21樓 10室,N/A,26/03/2025,1房,$445 萬,377 呎,"$11,804",露台
新界,東涌,映灣園 二期 8座 30樓 F室,N/A,26/03/2025,2房,$545 萬,548 呎,"$9,945",平台 | | 露台 | | 工作平台
新界,東涌,裕東苑 A座(向東閣) 21樓 6室,N/A,25/03/2025,開放式,$345 萬,429 呎,"$8,042",N/A
新界,東涌,映灣園 三期 12座 42樓 E室,N/A,25/03/2025,2房,$550 萬,546 呎,"$10,073",露台 | | 工作平台
新界,東涌,昇薈 9座 16樓 A室,N/A,24/03/2025,3房,"$1,166 萬","1,159 呎","$10,060",露台 | | 工作平台
新界,東涌,東環 2期 2B座 9樓 07室,N/A,24/03/2025,2房,$550 萬,453 呎,"$12,141",露台
新界,東涌,藍天海岸 1期 1座 55樓 B室,N/A,24/03/2025,3房,$990 萬,911 呎,"$10,867",N/A
新界,東涌,東堤灣畔 1期 2座 20樓 D室,N/A,24/03/2025,2房,$538 萬,521 呎,"$10,326",N/A
新界,東涌,昇薈 7座 28樓 D室,N/A,24/03/2025,2房,$748 萬,671 呎,"$11,148",露台 | | 工作平台
新界,東涌,昇薈 5座 低層 D室,N/A,23/03/2025,2房,"$22,500",704 呎,$32,露台 | | 工作平台
新界,東涌,映灣園 四期 16座 低層 A室,N/A,23/03/2025,3房,"$25,800",912 呎,$28,露台
新界,東涌,海堤灣畔 第五座 中層 E室,N/A,22/03/2025,2房,"$18,000",516 呎,$35,N/A
新界,東涌,東環 2期 2A座 9樓 07室,N/A,21/03/2025,1房,$448 萬,384 呎,"$11,667",露台
新界,東涌,藍天海岸 水藍‧天岸 5座 6樓 F室,N/A,21/03/2025,2房,$690 萬,549 呎,"$12,568",露台 | | 工作平台
新界,東涌,東堤灣畔 2期 6座 20樓 C室,N/A,21/03/2025,2房,$610 萬,607 呎,"$10,049",N/A
新界,東涌,東堤灣畔 1期 2座 5樓 E室,N/A,20/03/2025,2房,$558 萬,581 呎,"$9,604",N/A
新界,東涌,東堤灣畔 1期 2座 高層 G室,N/A,20/03/2025,2房,"$19,000",547 呎,$35,N/A
新界,東涌,東環 2期 2A座 中層 01室,N/A,20/03/2025,3房,"$24,000",640 呎,$38,露台
新界,東涌,映灣園 三期 11座 21樓 B室,N/A,20/03/2025,3房,$688 萬,748 呎,"$9,198",露台 | | 工作平台
新界,東涌,藍天海岸 影岸．紅 8座 (影岸．紅 B座) 59&60樓 E室,N/A,20/03/2025,3房,"$1,800 萬","1,400 呎","$12,857",複式 | | 露台 | | 工作平台
新界,東涌,昇薈 6座 6樓 D室,N/A,19/03/2025,2房,$738 萬,671 呎,"$10,999",露台 | | 工作平台
新界,東涌,藍天海岸 1期 2座 36樓 C室,N/A,19/03/2025,3房,$955 萬,911 呎,"$10,483",N/A
新界,東涌,海堤灣畔 第三座 52樓 D室,N/A,18/03/2025,2房,$600 萬,516 呎,"$11,628",N/A
新界,東涌,海堤灣畔 第二座 中層 B室,N/A,18/03/2025,3房,"$27,500",845 呎,$33,N/A
