区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,沙田,沙田第一城 5期 46座 低層 A室,N/A,03/04/2025,2房,"$12,000",284 呎,$42,N/A
新界,沙田,愉翠苑 C座 20樓 4室,N/A,02/04/2025,3房,$606 萬,650 呎,"$9,323",N/A
新界,沙田,沙田第一城 5期 51座 11樓 D室,N/A,02/04/2025,2房,$428 萬,304 呎,"$14,079",N/A
新界,沙田,沙田第一城 5期 49座 29樓 H室,N/A,02/04/2025,2房,$405 萬,304 呎,"$13,322",N/A
新界,沙田,花園城 三期 雅蘭苑 13樓 I室,N/A,02/04/2025,2房,$308 萬,302 呎,"$10,199",N/A
新界,沙田,濱景花園 3座 24樓 G室,N/A,02/04/2025,2房,$460 萬,394 呎,"$11,675",N/A
新界,沙田,富豪花園 I座 (帝皇閣) 7樓 G室,N/A,02/04/2025,3房,$500 萬,560 呎,"$8,929",N/A
新界,沙田,沙田第一城 2期 23座 23樓 D室,N/A,02/04/2025,2房,$427 萬,327 呎,"$13,052",N/A
新界,沙田,碧濤花園 1期 第一期 - (2座)百利閣 高層 B室,N/A,02/04/2025,3房,$720 萬,764 呎,"$9,424",N/A
新界,沙田,沙田第一城 5期 52座 11樓 H室,N/A,02/04/2025,2房,$388 萬,304 呎,"$12,763",N/A
新界,沙田,沙田中心 佳寧大廈 12樓 C室,N/A,02/04/2025,2房,$485 萬,347 呎,"$13,977",N/A
新界,沙田,花園城 一期 雅士苑 14樓 G室,N/A,02/04/2025,2房,$360 萬,301 呎,"$11,960",N/A
新界,沙田,新城市廣場 3期 紅棉閣 (5座) 19樓 G室,N/A,02/04/2025,3房,"$1,058 萬",652 呎,"$16,227",N/A
新界,沙田,濱景花園 2座 中層 F室,N/A,01/04/2025,3房,$585 萬,545 呎,"$10,734",N/A
新界,沙田,沙田第一城 5期 50座 32樓 H室,N/A,01/04/2025,2房,$419 萬,304 呎,"$13,783",天台
新界,沙田,沙田第一城 2期 22座 高層 E室,N/A,01/04/2025,3房,"$19,500",504 呎,$39,N/A
新界,沙田,好運中心 B1座 ( 棕林閣 ) 4樓 E室,N/A,01/04/2025,2房,$415 萬,348 呎,"$11,925",N/A
新界,沙田,河畔花園 F座 25樓 8室,N/A,01/04/2025,2房,$350 萬,242 呎,"$14,463",N/A
新界,沙田,沙田第一城 5期 49座 15樓 C室,N/A,01/04/2025,2房,$400 萬,304 呎,"$13,158",N/A
新界,沙田,沙田第一城 7期 36座 15樓 H室,N/A,01/04/2025,2房,$386 萬,307 呎,"$12,573",N/A
新界,沙田,河畔花園 A座 10樓 1室,N/A,01/04/2025,2房,$353 萬,269 呎,"$13,123",N/A
新界,沙田,蔚景園 1座 6樓 F室,N/A,31/03/2025,2房,$486 萬,379 呎,"$12,823",N/A
新界,沙田,全輝中心 B座 15樓 9室,N/A,31/03/2025,2房,$321 萬,266 呎,"$12,068",N/A
新界,沙田,碧濤花園 3期 雅芝閣 17樓 C室,N/A,31/03/2025,3房,$700 萬,770 呎,"$9,091",車位 | | 露台
新界,沙田,沙田第一城 4期 44座 8樓 H室,N/A,31/03/2025,2房,$378 萬,304 呎,"$12,434",N/A
新界,沙田,花園城 一期 雅士苑 5樓 F室,N/A,31/03/2025,2房,$308 萬,286 呎,"$10,769",N/A
新界,沙田,沙田第一城 6期 24座 15樓 A室,N/A,31/03/2025,3房,$522 萬,447 呎,"$11,678",N/A
新界,沙田,沙田第一城 5期 52座 17樓 C室,N/A,31/03/2025,2房,$400 萬,304 呎,"$13,158",N/A
新界,沙田,欣廷軒 5座 中層 F室,N/A,31/03/2025,2房,"$17,800",417 呎,$43,N/A
新界,沙田,沙田第一城 3期 30座 19樓 B室,N/A,31/03/2025,3房,$500 萬,451 呎,"$11,086",N/A
新界,沙田,愉翠苑 J座 1樓 6室,N/A,31/03/2025,3房,$555 萬,650 呎,"$8,538",N/A
新界,沙田,濱景花園 5座 29樓 A室,N/A,31/03/2025,2房,$470 萬,401 呎,"$11,721",N/A
新界,沙田,好運中心 B2座 ( 椰林閣 ) 中層 F室,N/A,31/03/2025,2房,$430 萬,334 呎,"$12,874",N/A
新界,沙田,好運中心 A2座 ( 榆林閣 ) 11樓 G室,N/A,31/03/2025,3房,$520 萬,427 呎,"$12,178",N/A
新界,沙田,沙田第一城 4期 45座 5樓 B室,N/A,28/03/2025,2房,$368 萬,284 呎,"$12,958",N/A
新界,沙田,沙田第一城 4期 41座 20樓 H室,N/A,28/03/2025,2房,$415 萬,304 呎,"$13,645",N/A
新界,沙田,沙田第一城 2期 17座 16樓 B室,N/A,28/03/2025,3房,$480 萬,451 呎,"$10,643",N/A
新界,沙田,欣廷軒 3座 30樓 E室,N/A,28/03/2025,2房,$638 萬,396 呎,"$16,111",N/A
新界,沙田,沙田第一城 5期 28座 26樓 C室,N/A,28/03/2025,3房,$753 萬,688 呎,"$10,945",N/A
新界,沙田,愉田苑 B座(愉和閣) 6樓 1室,N/A,28/03/2025,2房,$390 萬,466 呎,"$8,369",N/A
新界,沙田,愉田苑 D座(愉澤閣) 25樓 8室,N/A,28/03/2025,2房,$394 萬,429 呎,"$9,179",N/A
新界,沙田,花園城 三期 雅蘭苑 6樓 A室,N/A,28/03/2025,2房,$353 萬,324 呎,"$10,889",N/A
新界,沙田,博康邨 5座 (博達樓) 16樓 3室,N/A,28/03/2025,開放式,$262 萬,424 呎,"$6,179",露台
新界,沙田,沙田第一城 2期 18座 中層 C室,N/A,28/03/2025,3房,$583 萬,484 呎,"$12,045",N/A
新界,沙田,沙田第一城 5期 27座 7樓 A室,N/A,27/03/2025,3房,$692 萬,688 呎,"$10,058",N/A
新界,沙田,沙田第一城 1期 11座 24樓 F室,N/A,27/03/2025,3房,$600 萬,484 呎,"$12,397",N/A
新界,沙田,綠怡雅苑 2座 3樓 I室,N/A,27/03/2025,2房,$465 萬,576 呎,"$8,073",露台 | | 工作平台
新界,沙田,沙田中心 唐寧大廈 1樓 E室,N/A,27/03/2025,2房,$400 萬,357 呎,"$11,204",N/A
新界,沙田,愉城苑 A座(城欣閣) 6樓 6室,N/A,27/03/2025,2房,$430 萬,492 呎,"$8,740",露台
新界,沙田,沙田第一城 5期 52座 低層 A室,N/A,27/03/2025,2房,"$13,300",284 呎,$47,N/A
新界,沙田,偉華中心 3座 18樓 A室,N/A,27/03/2025,2房,$450 萬,358 呎,"$12,570",N/A
新界,沙田,好運中心 D1座 ( 竹林閣 ) 11樓 E室,N/A,27/03/2025,2房,$400 萬,348 呎,"$11,494",N/A
新界,沙田,花園城 二期 雅碧苑 5樓 F室,N/A,27/03/2025,2房,$358 萬,350 呎,"$10,229",N/A
新界,沙田,博康邨 5座 (博達樓) 18樓 16室,N/A,26/03/2025,開放式,$213 萬,476 呎,"$4,475",露台
新界,沙田,沙田中心 G座 - (新寧大廈) 低層 C室,N/A,26/03/2025,2房,"$15,300",310 呎,$49,N/A
新界,沙田,康林苑 B座(園林閣) 24樓 8室,N/A,26/03/2025,2房,$300 萬,401 呎,"$7,481",露台
新界,沙田,花園城 二期 雅碧苑 2樓 C室,N/A,26/03/2025,2房,$307 萬,269 呎,"$11,405",N/A
新界,沙田,河畔花園 C座 32樓 6室,N/A,26/03/2025,2房,$333 萬,269 呎,"$12,379",N/A
新界,沙田,好運中心 A2座 ( 榆林閣 ) 12樓 G室,N/A,26/03/2025,3房,$523 萬,427 呎,"$12,248",N/A
新界,沙田,富豪花園 D座 - 明麗閣 中層 B室,N/A,26/03/2025,3房,$650 萬,725 呎,"$8,966",N/A
新界,沙田,沙田第一城 2期 23座 6樓 C室,N/A,26/03/2025,2房,$386 萬,327 呎,"$11,804",N/A
新界,沙田,好運中心 C2座 ( 柏林閣 ) 18樓 G室,N/A,26/03/2025,2房,$465 萬,326 呎,"$14,264",N/A
新界,沙田,好運中心 A1座 ( 松林閣 ) 5樓 C室,N/A,25/03/2025,3房,$538 萬,443 呎,"$12,144",N/A
新界,沙田,蔚景園 2座 17樓 E室,N/A,25/03/2025,2房,$580 萬,459 呎,"$12,636",N/A
新界,沙田,綠怡雅苑 1座 10樓 D室,N/A,25/03/2025,1房,$378 萬,420 呎,"$9,000",露台
新界,沙田,愉城苑 D座(城康閣) 6樓 8室,N/A,25/03/2025,2房,$485 萬,492 呎,"$9,858",露台
新界,沙田,希爾頓中心 B座 高層 4室,N/A,25/03/2025,2房,"$15,200",283 呎,$54,N/A
新界,沙田,新城市廣場 3期 2座 - (紫藤閣) 中層 E室,N/A,25/03/2025,3房,"$26,500",733 呎,$36,N/A
新界,沙田,偉華中心 3座 高層 A室,N/A,25/03/2025,2房,"$17,000",358 呎,$47,N/A
新界,沙田,沙田第一城 6期 24座 低層 A室,N/A,25/03/2025,3房,"$17,500",447 呎,$39,N/A
新界,沙田,沙田第一城 2期 16座 25樓 G室,N/A,25/03/2025,2房,$530 萬,327 呎,"$16,208",N/A
新界,沙田,帝堡城 1座 21樓 D室,N/A,25/03/2025,2房,$648 萬,547 呎,"$11,846",N/A
新界,沙田,河畔花園 B座 低層 3室,N/A,25/03/2025,2房,"$11,000",242 呎,$45,N/A
新界,沙田,偉華中心 3座 22樓 B室,N/A,24/03/2025,2房,$479 萬,358 呎,"$13,374",N/A
新界,沙田,沙田第一城 2期 22座 22樓 B室,N/A,24/03/2025,3房,$620 萬,515 呎,"$12,039",N/A
新界,沙田,沙田第一城 5期 48座 3樓 H室,N/A,24/03/2025,2房,$386 萬,304 呎,"$12,697",N/A
新界,沙田,愉田苑 C座(愉健閣) 3樓 3室,N/A,24/03/2025,2房,$406 萬,449 呎,"$9,042",N/A
新界,沙田,沙田第一城 2期 19座 25樓 H室,N/A,24/03/2025,2房,$412 萬,327 呎,"$12,599",N/A
新界,沙田,皇御居 18樓 D室,N/A,24/03/2025,-,$620 萬,469 呎,"$13,220",N/A
新界,沙田,翠麗花園 A座 5樓 6室,N/A,24/03/2025,3房,$403 萬,410 呎,"$9,829",N/A
新界,沙田,好運中心 D1座 ( 竹林閣 ) 19樓 F室,N/A,24/03/2025,2房,$448 萬,334 呎,"$13,413",N/A
新界,沙田,沙田第一城 2期 16座 16樓 E室,N/A,24/03/2025,3房,$483 萬,451 呎,"$10,710",N/A
新界,沙田,花園城 一期 雅士苑 19樓 D室,N/A,24/03/2025,2房,$385 萬,324 呎,"$11,883",N/A
新界,沙田,希爾頓中心 D座 8樓 6室,N/A,24/03/2025,3房,$560 萬,412 呎,"$13,592",N/A
新界,沙田,希爾頓中心 A座 25樓 5室,N/A,24/03/2025,2房,$420 萬,274 呎,"$15,328",N/A
新界,沙田,河畔花園 F座 8樓 2室,N/A,24/03/2025,2房,$320 萬,269 呎,"$11,896",N/A
新界,沙田,沙田中心 G座 - (新寧大廈) 高層 H室,N/A,23/03/2025,2房,"$15,200",292 呎,$52,N/A
新界,沙田,沙田中心 A座 - (東寧大廈) 中層 E室,N/A,23/03/2025,2房,"$15,800",288 呎,$55,N/A
新界,沙田,河畔花園 A座 高層 3室,N/A,22/03/2025,2房,"$13,500",242 呎,$56,N/A
