区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,洪水橋,柏𣾷 7座 B室,N/A,03/04/2025,2房,$385 萬,517 呎,"$7,447",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 11樓 B09室,N/A,02/04/2025,2房,$451 萬,436 呎,"$10,348",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 10樓 A01室,N/A,02/04/2025,2房,$461 萬,443 呎,"$10,403",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 3座 10樓 B02室,N/A,02/04/2025,2房,$458 萬,440 呎,"$10,400",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 6樓 A01室,N/A,02/04/2025,2房,$452 萬,443 呎,"$10,204",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 3樓 A07室,N/A,02/04/2025,2房,$462 萬,423 呎,"$10,923",露台 | | 工作平台
新界,洪水橋,麗珊園 1 座 12樓 E室,N/A,02/04/2025,2房,$358 萬,431 呎,"$8,306",N/A
新界,洪水橋,滙都 滙都I 2座 2樓 B01室,N/A,01/04/2025,2房,$469 萬,453 呎,"$10,356",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 5樓 A07室,N/A,01/04/2025,2房,$464 萬,423 呎,"$10,978",露台 | | 工作平台
新界,洪水橋,泉薈 2座 6樓 E室,N/A,01/04/2025,2房,$430 萬,505 呎,"$8,515",露台 | | 工作平台
新界,洪水橋,滙都 滙都II 6座 12樓 A08室,N/A,01/04/2025,2房,$530 萬,449 呎,"$11,814",天台 | | 露台 | | 工作平台
新界,洪水橋,#LYOS 1B座 G樓 C室,N/A,01/04/2025,開放式,$260 萬,216 呎,"$12,037",花園
新界,洪水橋,滙都 滙都I 2座 9樓 B08室,N/A,01/04/2025,2房,$451 萬,436 呎,"$10,352",露台 | | 工作平台
新界,洪水橋,尚城 8座 11樓 C室,N/A,01/04/2025,3房,$556 萬,756 呎,"$7,354",露台 | | 工作平台
新界,洪水橋,滙都 滙都II 6座 12樓 A07室,N/A,01/04/2025,2房,$513 萬,433 呎,"$11,839",天台 | | 露台 | | 工作平台
新界,洪水橋,金閣豪園 第三座 3樓 D室,N/A,01/04/2025,-,$577 萬,822 呎,"$7,019",N/A
新界,洪水橋,滙都 滙都I 2座 3樓 B08室,N/A,01/04/2025,2房,$440 萬,436 呎,"$10,103",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 3座 11樓 B02室,N/A,01/04/2025,2房,$460 萬,440 呎,"$10,450",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 5樓 B08室,N/A,31/03/2025,2房,$443 萬,436 呎,"$10,154",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 10樓 A07室,N/A,31/03/2025,2房,$476 萬,423 呎,"$11,246",露台 | | 工作平台
新界,洪水橋,滙都 滙都II 6座 12樓 A01室,N/A,31/03/2025,2房,$508 萬,436 呎,"$11,642",天台 | | 露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 7樓 B08室,N/A,31/03/2025,2房,$447 萬,436 呎,"$10,252",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 11樓 A01室,N/A,31/03/2025,2房,$463 萬,443 呎,"$10,453",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 1座 2樓 A10室,N/A,31/03/2025,2房,$433 萬,426 呎,"$10,160",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 8樓 A02室,N/A,31/03/2025,2房,$469 萬,446 呎,"$10,507",露台 | | 工作平台
新界,洪水橋,柏巒 2期(柏逸) 2座 C3室,N/A,30/03/2025,2房,"$12,500",442 呎,$28,天台 | | 露台
新界,洪水橋,滙都 滙都II 5座 1樓 B01室,N/A,28/03/2025,2房,$435 萬,443 呎,"$9,812",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 7樓 A07室,N/A,28/03/2025,2房,$469 萬,423 呎,"$11,085",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 3座 11樓 A06室,N/A,28/03/2025,2房,$469 萬,443 呎,"$10,584",露台 | | 工作平台
新界,洪水橋,滙都 滙都II 6座 12樓 B09室,N/A,28/03/2025,1房,$416 萬,340 呎,"$12,229",天台 | | 露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 9樓 B01室,N/A,28/03/2025,2房,$483 萬,453 呎,"$10,664",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 1樓 A01室,N/A,28/03/2025,2房,$449 萬,405 呎,"$11,096",平台
新界,洪水橋,滙都 滙都I 3座 2樓 B02室,N/A,28/03/2025,2房,$435 萬,440 呎,"$9,888",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 10樓 B09室,N/A,28/03/2025,2房,$449 萬,436 呎,"$10,299",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 3座 11樓 B07室,N/A,27/03/2025,3房,$540 萬,498 呎,"$10,844",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 11樓 B01室,N/A,27/03/2025,2房,$488 萬,453 呎,"$10,766",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 3座 11樓 B05室,N/A,27/03/2025,2房,$468 萬,448 呎,"$10,451",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 5樓 B01室,N/A,27/03/2025,2房,$474 萬,453 呎,"$10,458",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 11樓 B08室,N/A,27/03/2025,2房,$456 萬,436 呎,"$10,452",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 3座 8樓 B06室,N/A,27/03/2025,3房,$572 萬,491 呎,"$11,641",露台 | | 工作平台
新界,洪水橋,滙都 滙都II 6座 12樓 B08室,N/A,27/03/2025,2房,$518 萬,431 呎,"$12,016",天台 | | 露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 1樓 B08室,N/A,26/03/2025,2房,$448 萬,406 呎,"$11,041",平台
新界,洪水橋,屏欣苑 C座 26樓 3室,N/A,26/03/2025,1房,$413 萬,377 呎,"$10,955",N/A
新界,洪水橋,屏欣苑 C座 6樓 3室,N/A,26/03/2025,1房,$263 萬,377 呎,"$6,971",N/A
新界,洪水橋,滙都 滙都I 2座 10樓 B08室,N/A,26/03/2025,2房,$454 萬,436 呎,"$10,403",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 3座 2樓 B01室,N/A,26/03/2025,2房,$434 萬,429 呎,"$10,109",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 2座 1樓 B01室,N/A,26/03/2025,2房,$474 萬,415 呎,"$11,424",平台
新界,洪水橋,滙都 滙都I 2座 6樓 A07室,N/A,26/03/2025,2房,$467 萬,423 呎,"$11,030",露台 | | 工作平台
新界,洪水橋,滙都 滙都I 3座 6樓 B02室,N/A,26/03/2025,2房,$449 萬,440 呎,"$10,202",露台 | | 工作平台
新界,洪水橋,屏欣苑 A座 22樓 7室,N/A,25/03/2025,3房,$508 萬,574 呎,"$8,850",N/A
新界,洪水橋,滙都 滙都I 3座 2樓 B12室,N/A,24/03/2025,2房,$438 萬,411 呎,"$10,655",平台
新界,洪水橋,滙都 滙都I 3座 8樓 B05室,N/A,21/03/2025,2房,$462 萬,448 呎,"$10,302",露台 | | 工作平台
新界,洪水橋,滙都 滙都II 5座 11樓 A07室,N/A,21/03/2025,2房,$488 萬,442 呎,"$11,043",露台 | | 工作平台
新界,洪水橋,滙都 滙都II 6座 1樓 A07室,N/A,21/03/2025,2房,$423 萬,395 呎,"$10,699",平台
新界,洪水橋,金碧花園 07 座 G樓 C室,N/A,21/03/2025,3房,$525 萬,733 呎,"$7,162",車位 | | 花園
