区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,深井青龍頭,海韻花園 3座 低層 B室,N/A,03/04/2025,3房,$495 萬,710 呎,"$6,972",N/A
新界,深井青龍頭,浪翠園 4期 13座 8樓 F室,N/A,02/04/2025,2房,$370 萬,435 呎,"$8,506",N/A
新界,深井青龍頭,海韻花園 1座 5樓 B室,N/A,02/04/2025,3房,$470 萬,710 呎,"$6,620",N/A
新界,深井青龍頭,碧堤半島 2期 5座 27樓 B室,N/A,02/04/2025,3房,"$1,030 萬",935 呎,"$11,016",露台 | | 工作平台
新界,深井青龍頭,浪翠園 3期 7座 23樓 E室,N/A,01/04/2025,3房,$593 萬,657 呎,"$9,026",N/A
新界,深井青龍頭,豪景花園 三期 13座 8樓 A室,N/A,01/04/2025,3房,$568 萬,820 呎,"$6,927",N/A
新界,深井青龍頭,豪景花園 三期 27座 (御濤) 17樓 A室,N/A,31/03/2025,3房,"$1,150 萬","1,379 呎","$8,339",露台
新界,深井青龍頭,碧堤半島 2期 2座 39樓 D室,N/A,31/03/2025,3房,$745 萬,808 呎,"$9,220",露台 | | 工作平台
新界,深井青龍頭,豪景花園 三期 16座 (景峰閣) 19樓 A室,N/A,28/03/2025,3房,$665 萬,947 呎,"$7,022",N/A
新界,深井青龍頭,浪翠園 1期 2座 20樓 D室,N/A,27/03/2025,3房,$528 萬,623 呎,"$8,475",N/A
新界,深井青龍頭,碧堤半島 1期 6座 33樓 D室,N/A,26/03/2025,3房,$760 萬,755 呎,"$10,066",N/A
新界,深井青龍頭,縉皇居 2座 17樓 C室,N/A,26/03/2025,2房,$660 萬,653 呎,"$10,107",N/A
新界,深井青龍頭,碧堤半島 2期 5座 12樓 A室,N/A,26/03/2025,3房,$776 萬,808 呎,"$9,604",露台 | | 工作平台
新界,深井青龍頭,碧堤半島 1期 9座 28樓 A室,N/A,25/03/2025,3房,$818 萬,755 呎,"$10,834",N/A
新界,深井青龍頭,豪景花園 二期 10座 (富儷閣) 5樓 A室,N/A,24/03/2025,3房,$510 萬,828 呎,"$6,159",N/A
新界,深井青龍頭,浪翠園 3期 8座 11樓 D室,N/A,24/03/2025,2房,$437 萬,460 呎,"$9,500",N/A
新界,深井青龍頭,碧堤半島 1期 9座 59樓 E室,N/A,21/03/2025,2房,$618 萬,521 呎,"$11,862",N/A
新界,深井青龍頭,縉皇居 3座 45樓 B室,N/A,21/03/2025,2房,$668 萬,653 呎,"$10,230",N/A
新界,深井青龍頭,海韻花園 1座 3樓 E室,N/A,21/03/2025,3房,$400 萬,716 呎,"$5,587",N/A
新界,深井青龍頭,豪景花園 三期 20座 高層 D室,N/A,20/03/2025,3房,"$20,000",947 呎,$21,車位
新界,深井青龍頭,縉皇居 3座 37樓 C室,N/A,19/03/2025,2房,$660 萬,653 呎,"$10,107",N/A
新界,深井青龍頭,浪翠園 1期 3座 6樓 B室,N/A,19/03/2025,2房,$394 萬,454 呎,"$8,678",N/A
新界,深井青龍頭,逸璟．龍灣 2座 7樓 A室,N/A,19/03/2025,3房,$920 萬,928 呎,"$9,914",露台 | | 工作平台
新界,深井青龍頭,豪景花園 一期 1座 低層 H室,N/A,18/03/2025,2房,$290 萬,358 呎,"$8,101",N/A
新界,深井青龍頭,麗都花園 2座 12樓 H室,N/A,18/03/2025,2房,$470 萬,579 呎,"$8,117",N/A
新界,深井青龍頭,麗都花園 2座 36樓 B室,N/A,14/03/2025,3房,$638 萬,657 呎,"$9,711",天台
新界,深井青龍頭,碧堤半島 3期 1座 31樓 B室,N/A,14/03/2025,3房,"$1,010 萬",908 呎,"$11,123",N/A
新界,深井青龍頭,碧堤半島 2期 2座 57樓 F室,N/A,12/03/2025,2房,$546 萬,524 呎,"$10,420",露台 | | 工作平台
新界,深井青龍頭,碧堤半島 3期 1座 31樓 A室,N/A,12/03/2025,3房,"$1,115 萬",968 呎,"$11,519",露台 | | 工作平台
新界,深井青龍頭,浪翠園 3期 8座 2樓 D室,N/A,11/03/2025,2房,$458 萬,460 呎,"$9,957",N/A
新界,深井青龍頭,逸璟．龍灣 2座 11樓 A室,N/A,11/03/2025,3房,"$1,025 萬",928 呎,"$11,045",車位 | | 露台 | | 工作平台
新界,深井青龍頭,碧堤半島 1期 9座 中層 B室,N/A,10/03/2025,3房,"$27,800",891 呎,$31,N/A
新界,深井青龍頭,碧堤半島 3期 3座 17樓 B室,N/A,10/03/2025,3房,"$1,000 萬",935 呎,"$10,695",露台 | | 工作平台
新界,深井青龍頭,碧堤半島 1期 6座 53樓 B室,N/A,07/03/2025,3房,$945 萬,893 呎,"$10,582",N/A
新界,深井青龍頭,浪翠園 2期 5座 12樓 A室,N/A,07/03/2025,3房,$488 萬,747 呎,"$6,533",N/A
新界,深井青龍頭,麗都花園 3座 17樓 D室,N/A,07/03/2025,2房,$400 萬,555 呎,"$7,207",N/A
新界,深井青龍頭,豪景花園 三期 26座 (麒麟閣) 11樓 B室,N/A,06/03/2025,3房,$920 萬,"1,382 呎","$6,657",車位 | | 露台
新界,深井青龍頭,碧堤半島 1期 9座 42樓 F室,N/A,03/03/2025,2房,$568 萬,524 呎,"$10,840",N/A
新界,深井青龍頭,浪翠園 2期 05座 低層 D室,N/A,02/03/2025,3房,"$16,200",747 呎,$22,N/A
新界,深井青龍頭,碧堤半島 1期 6座 高層 A室,N/A,28/02/2025,3房,"$24,000",771 呎,$31,N/A
新界,深井青龍頭,浪翠園 4期 13座 20樓 D室,N/A,28/02/2025,2房,$438 萬,470 呎,"$9,319",N/A
新界,深井青龍頭,碧堤半島 1期 7座 45樓 C室,N/A,27/02/2025,3房,$928 萬,891 呎,"$10,415",N/A
新界,深井青龍頭,海韻花園 3座 13樓 D室,N/A,26/02/2025,3房,$425 萬,630 呎,"$6,746",N/A
新界,深井青龍頭,碧堤半島 1期 9座 22樓 G室,N/A,21/02/2025,2房,$518 萬,524 呎,"$9,885",N/A
