区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,粉嶺沙頭角,欣盛苑 欣暉閣 (G座) 中層 10室,N/A,03/04/2025,2房,$358 萬,401 呎,"$8,928",N/A
新界,粉嶺沙頭角,山麗苑 B座 (榕山閣) 6樓 10室,N/A,02/04/2025,-,$295 萬,449 呎,"$6,559",N/A
新界,粉嶺沙頭角,牽晴間 2座 22樓 H室,N/A,02/04/2025,2房,$430 萬,393 呎,"$10,941",N/A
新界,粉嶺沙頭角,粉嶺中心 2期 H座 4樓 8室,N/A,02/04/2025,2房,$388 萬,366 呎,"$10,601",N/A
新界,粉嶺沙頭角,粉嶺名都 4座 (龍騰閣) 8樓 H室,N/A,02/04/2025,2房,$350 萬,376 呎,"$9,309",N/A
新界,粉嶺沙頭角,粉嶺中心 2期 H座 16樓 6室,N/A,02/04/2025,3房,$488 萬,535 呎,"$9,121",N/A
新界,粉嶺沙頭角,景盛苑 A座 (歡景閣) 27樓 16室,N/A,02/04/2025,1房,$365 萬,541 呎,"$6,747",N/A
新界,粉嶺沙頭角,聯旺樓 2樓 E室,N/A,02/04/2025,-,$200 萬,269 呎,"$7,435",N/A
新界,粉嶺沙頭角,花都廣場 06座 低層 A室,N/A,01/04/2025,2房,"$12,800",392 呎,$33,N/A
新界,粉嶺沙頭角,One Innovale Archway 第1期 B座 中層 7室,N/A,01/04/2025,開放式,"$9,500",223 呎,$43,露台
新界,粉嶺沙頭角,嘉盛苑 B座 (嘉輝閣) 25樓 3室,N/A,01/04/2025,1房,$395 萬,603 呎,"$6,551",N/A
新界,粉嶺沙頭角,粉嶺名都 4座 高層 H室,N/A,01/04/2025,2房,"$12,000",376 呎,$32,N/A
新界,粉嶺沙頭角,花都廣場 2座 27樓 A室,N/A,01/04/2025,2房,$399 萬,392 呎,"$10,179",N/A
新界,粉嶺沙頭角,花都廣場 07座 高層 A室,N/A,01/04/2025,2房,"$12,000",392 呎,$31,N/A
新界,粉嶺沙頭角,景盛苑 D座 (賢景閣) 15樓 11室,N/A,01/04/2025,1房,$398 萬,606 呎,"$6,568",N/A
新界,粉嶺沙頭角,華明邨 禮明樓 (1座) 2樓 1室,N/A,01/04/2025,開放式,$43.66 萬,-,-,露台
新界,粉嶺沙頭角,粉嶺名都 6座 (富臨閣) 1樓 E室,N/A,31/03/2025,2房,$370 萬,395 呎,"$9,367",N/A
新界,粉嶺沙頭角,碧湖花園 3座 12樓 B室,N/A,31/03/2025,3房,$464 萬,491 呎,"$9,446",N/A
新界,粉嶺沙頭角,花都廣場 9座 11樓 A室,N/A,31/03/2025,2房,$390 萬,392 呎,"$9,949",N/A
新界,粉嶺沙頭角,逸峯 第三座 中層 E室,N/A,29/03/2025,2房,"$13,800",459 呎,$30,露台 | | 工作平台
新界,粉嶺沙頭角,牽晴間 08座 低層 D室,N/A,28/03/2025,2房,$396 萬,384 呎,"$10,313",N/A
新界,粉嶺沙頭角,粉嶺中心 2期 L座 21樓 6室,N/A,28/03/2025,3房,$498 萬,533 呎,"$9,343",N/A
新界,粉嶺沙頭角,碧湖花園 2座 27樓 D室,N/A,28/03/2025,2房,$418 萬,441 呎,"$9,474",N/A
新界,粉嶺沙頭角,粉嶺中心 2期 L座 6樓 5室,N/A,28/03/2025,2房,$375 萬,365 呎,"$10,274",N/A
新界,粉嶺沙頭角,綠悠軒 6座 中層 A室,N/A,28/03/2025,2房,$418 萬,427 呎,"$9,789",N/A
新界,粉嶺沙頭角,粉嶺名都 1座 高層 H室,N/A,28/03/2025,2房,$372 萬,376 呎,"$9,888",N/A
新界,粉嶺沙頭角,牽晴間 11座 29樓 E室,N/A,28/03/2025,2房,$426 萬,381 呎,"$11,181",N/A
新界,粉嶺沙頭角,綠悠軒 6座 2樓 D室,N/A,28/03/2025,2房,$390 萬,445 呎,"$8,764",N/A
新界,粉嶺沙頭角,山麗苑 B座 (榕山閣) 29樓 12室,N/A,28/03/2025,-,$295 萬,448 呎,"$6,585",N/A
新界,粉嶺沙頭角,牽晴間 1座 7樓 H室,N/A,28/03/2025,2房,$410 萬,392 呎,"$10,459",N/A
新界,粉嶺沙頭角,綠悠軒 3座 中層 F室,N/A,27/03/2025,3房,"$16,000",612 呎,$26,N/A
新界,粉嶺沙頭角,碧湖花園 6座 18樓 D室,N/A,27/03/2025,2房,$418 萬,441 呎,"$9,478",N/A
新界,粉嶺沙頭角,花都廣場 3座 31樓 E室,N/A,27/03/2025,2房,$385 萬,370 呎,"$10,405",N/A
新界,粉嶺沙頭角,景盛苑 C座 (欣景閣) 2樓 1室,N/A,27/03/2025,2房,$400 萬,649 呎,"$6,163",N/A
新界,粉嶺沙頭角,景盛苑 B座 (俊景閣) 2樓 9室,N/A,26/03/2025,2房,$425 萬,649 呎,"$6,549",N/A
新界,粉嶺沙頭角,花都廣場 1座 36樓 B室,N/A,26/03/2025,3房,$522 萬,526 呎,"$9,924",天台
新界,粉嶺沙頭角,One Innovale Archway 第1期 B座 高層 11室,N/A,26/03/2025,1房,"$11,500",309 呎,$37,露台
新界,粉嶺沙頭角,雍盛苑 A座 (雍薈閣) 17樓 23室,N/A,26/03/2025,開放式,$225 萬,206 呎,"$10,922",N/A
新界,粉嶺沙頭角,粉嶺中心 1期 C座 15樓 4室,N/A,25/03/2025,2房,$375 萬,368 呎,"$10,190",N/A
新界,粉嶺沙頭角,碧湖花園 2座 2樓 F室,N/A,25/03/2025,2房,$340 萬,400 呎,"$8,500",N/A
新界,粉嶺沙頭角,華明邨 禮明樓 (1座) 26樓 13室,N/A,25/03/2025,開放式,$228 萬,489 呎,"$4,663",露台
新界,粉嶺沙頭角,粉嶺中心 2期 K座 低層 8室,N/A,25/03/2025,2房,"$13,500",473 呎,$29,N/A
新界,粉嶺沙頭角,粉嶺中心 2期 J座 3樓 6室,N/A,25/03/2025,3房,$430 萬,510 呎,"$8,431",N/A
新界,粉嶺沙頭角,牽晴間 10座 30樓 H室,N/A,25/03/2025,3房,$820 萬,940 呎,"$8,723",N/A
新界,粉嶺沙頭角,One Innovale Archway 第1期 A座 高層 11室,N/A,25/03/2025,1房,"$12,000",294 呎,$41,露台
新界,粉嶺沙頭角,和泰街41-53號 和泰街47號 2樓,N/A,24/03/2025,-,$325 萬,732 呎,"$4,440",N/A
新界,粉嶺沙頭角,牽晴間 7座 6樓 B室,N/A,24/03/2025,2房,$448 萬,431 呎,"$10,394",N/A
新界,粉嶺沙頭角,瓏山一號 15樓 1B室,N/A,24/03/2025,4房,$828 萬,720 呎,"$11,500",露台
新界,粉嶺沙頭角,One Innovale Cabanna 第3期 D座 中層 21室,N/A,24/03/2025,2房,"$14,800",473 呎,$31,露台 | | 工作平台
新界,粉嶺沙頭角,粉嶺名都 7座 高層 H室,N/A,24/03/2025,2房,"$13,000",369 呎,$35,N/A
新界,粉嶺沙頭角,粉嶺中心 1期 E座 低層 4室,N/A,23/03/2025,2房,"$10,800",368 呎,$29,N/A
新界,粉嶺沙頭角,雍盛苑 A座 (雍薈閣) 中層 24室,N/A,23/03/2025,開放式,"$8,700",206 呎,$42,N/A
新界,粉嶺沙頭角,粉嶺名都 2座 高層 C室,N/A,22/03/2025,2房,"$11,800",376 呎,$31,N/A
新界,粉嶺沙頭角,華慧園 第十座 1樓 D室,N/A,21/03/2025,3房,$788 萬,"1,100 呎","$7,164",車位 | | 天台
