区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,荃灣,愉景新城 3期 10座 中層 G室,N/A,03/04/2025,2房,$565 萬,493 呎,"$11,460",N/A
新界,荃灣,麗城花園 二期 9座 中層 G室,N/A,03/04/2025,3房,$502 萬,572 呎,"$8,776",N/A
新界,荃灣,縉庭山 2座 50樓 B室,N/A,02/04/2025,2房,$643 萬,529 呎,"$12,155",露台
新界,荃灣,綠楊新邨 K座 29樓 7室,N/A,02/04/2025,2房,$495 萬,445 呎,"$11,124",N/A
新界,荃灣,荃威花園 F座 15樓 8室,N/A,02/04/2025,2房,$450 萬,546 呎,"$8,242",N/A
新界,荃灣,祈德尊新邨 A座 19樓 A室,N/A,02/04/2025,2房,$421 萬,440 呎,"$9,568",露台
新界,荃灣,翠濤閣 2座 15樓 G室,N/A,02/04/2025,2房,$450 萬,477 呎,"$9,434",N/A
新界,荃灣,全．城滙 3座 37樓 C室,N/A,02/04/2025,2房,$888 萬,536 呎,"$16,567",露台 | | 工作平台
新界,荃灣,荃威花園 M座 27樓 5室,N/A,02/04/2025,2房,$389 萬,533 呎,"$7,295",平台
新界,荃灣,愉景新城 1期 03座 低層 G室,N/A,01/04/2025,2房,"$16,500",495 呎,$33,N/A
新界,荃灣,翠豐臺 2座 7樓 H室,N/A,01/04/2025,2房,$484 萬,435 呎,"$11,122",N/A
新界,荃灣,荃景花園 2期 9座 14樓 C室,N/A,01/04/2025,2房,$424 萬,431 呎,"$9,833",N/A
新界,荃灣,麗城花園 二期 2座 28樓 G室,N/A,01/04/2025,3房,$420 萬,572 呎,"$7,343",N/A
新界,荃灣,綠楊新邨 H座 21樓 4室,N/A,01/04/2025,3房,$610 萬,582 呎,"$10,481",N/A
新界,荃灣,海之戀 2期(愛炫美) 5B座 36樓 C室,N/A,01/04/2025,2房,$855 萬,534 呎,"$16,011",露台
新界,荃灣,荃威花園 R座 10樓 4室,N/A,01/04/2025,-,$350 萬,533 呎,"$6,567",N/A
新界,荃灣,愉景新城 3期 9座 42樓 A室,N/A,01/04/2025,3房,$827 萬,652 呎,"$12,684",N/A
新界,荃灣,友聯樓 3樓 2室,N/A,01/04/2025,-,$300 萬,502 呎,"$5,976",N/A
新界,荃灣,綠楊新邨 K座 中層 4室,N/A,01/04/2025,3房,"$21,000",582 呎,$36,N/A
新界,荃灣,愉景新城 2期 8座 39樓 D室,N/A,01/04/2025,3房,$648 萬,600 呎,"$10,800",N/A
新界,荃灣,秋雲大廈 7樓 A室,N/A,01/04/2025,-,$268 萬,320 呎,"$8,375",N/A
新界,荃灣,麗城花園 三期 7座 37樓 G室,N/A,01/04/2025,3房,$600 萬,742 呎,"$8,086",N/A
新界,荃灣,映日灣 2座 15樓 A室,N/A,31/03/2025,3房,"$1,190 萬",690 呎,"$17,246",露台
新界,荃灣,愉景新城 1期 1座 37樓 D室,N/A,31/03/2025,3房,$673 萬,590 呎,"$11,407",N/A
新界,荃灣,愉景新城 1期 1座 37樓 D室,N/A,31/03/2025,3房,$673 萬,590 呎,"$11,407",N/A
新界,荃灣,海濱花園 8座 (海雅閣) 2樓 A室,N/A,31/03/2025,3房,$568 萬,579 呎,"$9,801",N/A
新界,荃灣,荃灣中心 安慶樓(5座) 2樓 H室,N/A,31/03/2025,1房,$270 萬,324 呎,"$8,333",N/A
新界,荃灣,荃德花園 C座 20樓 G室,N/A,31/03/2025,2房,$320 萬,341 呎,"$9,384",N/A
新界,荃灣,荃景花園 1期 6座 22樓 H室,N/A,31/03/2025,3房,$445 萬,495 呎,"$8,990",N/A
新界,荃灣,海之戀 1期 10座 23樓 E室,N/A,28/03/2025,3房,"$1,230 萬",773 呎,"$15,912",露台
新界,荃灣,荃景花園 2期 12座 2樓 C室,N/A,28/03/2025,2房,$375 萬,431 呎,"$8,701",N/A
新界,荃灣,海之戀 2期(愛炫美) 2A座 10樓 C室,N/A,28/03/2025,3房,"$1,040 萬",791 呎,"$13,148",露台
