区域,子区域,房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
新界,葵涌,月海灣 1座 高層 A室,N/A,03/04/2025,2房,$570 萬,410 呎,"$13,902",N/A
新界,葵涌,芊紅居 2座 中層 B室,N/A,03/04/2025,2房,$450 萬,424 呎,"$10,613",N/A
新界,葵涌,葵景大廈 11樓 K室,N/A,02/04/2025,-,$330 萬,422 呎,"$7,820",N/A
新界,葵涌,守運樓 8樓 D室,N/A,02/04/2025,-,$370 萬,405 呎,"$9,136",N/A
新界,葵涌,寶星中心 D座 中層 6室,N/A,02/04/2025,2房,$340 萬,329 呎,"$10,334",N/A
新界,葵涌,保基大樓 19樓 2室,N/A,02/04/2025,-,$269 萬,417 呎,"$6,446",N/A
新界,葵涌,荔欣苑 B座(荔采閣 ) 1樓 14室,N/A,01/04/2025,-,$410 萬,432 呎,"$9,491",N/A
新界,葵涌,荔欣苑 B座(荔采閣 ) 30樓 5室,N/A,01/04/2025,1房,$458 萬,531 呎,"$8,625",N/A
新界,葵涌,寶星中心 C座 2樓 6室,N/A,01/04/2025,-,$400 萬,329 呎,"$12,158",N/A
新界,葵涌,華員邨 華智閣(4座) 15樓 B室,N/A,01/04/2025,2房,$550 萬,649 呎,"$8,475",露台
新界,葵涌,恒景花園 37樓 E室,N/A,01/04/2025,3房,$310 萬,511 呎,"$6,067",N/A
新界,葵涌,怡峰苑 B座 29樓 10室,N/A,31/03/2025,2房,$310 萬,407 呎,"$7,617",露台
新界,葵涌,雍雅軒 1座 5樓 J室,N/A,31/03/2025,2房,$480 萬,478 呎,"$10,042",N/A
新界,葵涌,德泰大廈 13樓 D室,N/A,28/03/2025,-,$330 萬,375 呎,"$8,800",N/A
新界,葵涌,寬德大廈 6樓 D室,N/A,28/03/2025,-,$313 萬,333 呎,"$9,399",N/A
新界,葵涌,德泰大廈 4樓 I室,N/A,28/03/2025,-,$298 萬,375 呎,"$7,947",N/A
新界,葵涌,名堂大樓 3樓 F室,N/A,28/03/2025,-,$165 萬,368 呎,"$4,484",N/A
新界,葵涌,荔灣花園 D座 4樓 3室,N/A,28/03/2025,3房,$450 萬,552 呎,"$8,152",N/A
新界,葵涌,葵福大廈 7樓 A室,N/A,28/03/2025,3房,$288 萬,347 呎,"$8,300",N/A
新界,葵涌,新葵芳花園 A座 23樓 8室,N/A,27/03/2025,2房,$467 萬,418 呎,"$11,177",N/A
新界,葵涌,新葵芳花園 D座 24樓 4室,N/A,27/03/2025,2房,$470 萬,400 呎,"$11,750",N/A
新界,葵涌,芊紅居 2座 22樓 A室,N/A,26/03/2025,3房,$735 萬,595 呎,"$12,353",N/A
新界,葵涌,昌發大廈 中層 B室,N/A,25/03/2025,3房,$345 萬,435 呎,"$7,931",N/A
新界,葵涌,協德大廈 11樓 C室,N/A,25/03/2025,-,$440 萬,499 呎,"$8,818",N/A
新界,葵涌,葵賢苑 A座(葵義閣) 6樓 10室,N/A,25/03/2025,2房,$345 萬,401 呎,"$8,603",露台
新界,葵涌,悅麗苑 麗霞閣(C座) 21樓 2室,N/A,24/03/2025,2房,$340 萬,421 呎,"$8,076",N/A
新界,葵涌,葵興邨 第四座 (興樂樓) 14樓 4室,N/A,24/03/2025,開放式,$268 萬,439 呎,"$6,105",露台
新界,葵涌,新葵芳花園 E座 中層 6室,N/A,24/03/2025,2房,"$15,500",408 呎,$38,N/A
新界,葵涌,華景山莊 2座 1樓 C室,N/A,24/03/2025,3房,$688 萬,749 呎,"$9,186",平台
新界,葵涌,葵興邨 第三座 (興褔樓) 15樓 2室,N/A,24/03/2025,開放式,$338 萬,572 呎,"$5,909",露台
新界,葵涌,葵康苑 葵逸閣(B座) 高層 6室,N/A,22/03/2025,2房,"$15,500",493 呎,$31,N/A
新界,葵涌,盈暉臺 3座 高層 B室,N/A,22/03/2025,2房,"$19,000",475 呎,$40,N/A
新界,葵涌,葵賢苑 B座(葵謙閣) 32樓 10室,N/A,21/03/2025,2房,$331 萬,401 呎,"$8,254",露台
新界,葵涌,國寶樓 2樓 A室,N/A,20/03/2025,-,$210 萬,406 呎,"$5,172",N/A
新界,葵涌,嘉寶大廈 22樓 C室,N/A,20/03/2025,-,$280 萬,377 呎,"$7,427",天台
新界,葵涌,浩景臺 3座 22樓 B室,N/A,20/03/2025,3房,$540 萬,595 呎,"$9,076",N/A
新界,葵涌,葵華大廈 4樓 C室,N/A,19/03/2025,-,$350 萬,411 呎,"$8,516",N/A
新界,葵涌,葵俊苑 葵豐閣 (C座) 17樓 10室,N/A,18/03/2025,2房,$357 萬,401 呎,"$8,903",露台
新界,葵涌,昌偉大廈 19樓 C室,N/A,18/03/2025,-,$367 萬,447 呎,"$8,210",N/A
新界,葵涌,豐寓 中層 D室,N/A,17/03/2025,開放式,"$15,200",273 呎,$56,露台
